WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,RelativeHumidity,AirTemperature,Rainfall,StationPressure,VaporPressure,WindDirection,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,DewPoint
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,3.7,10-11-2019,16:00:00,54,33.1,0.00,990.56,27.20,080,0.00,1007.62,12.00,22.5
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,3.7,10-11-2019,16:00:00,55,33.4,0.00,981.05,28.07,320,0.00,1006.26,12.00,23.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,3.7,10-11-2019,16:00:00,62,33.8,0.00,1001.55,32.40,290,0.00,1007.21,10.00,25.4
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,10-11-2019,16:00:00,61,33.5,0.00,1001.16,31.75,000,0.00,1007.22,10.00,25.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,9.3,10-11-2019,16:00:00,63,32.4,0.00,991.30,30.61,040,9.80,1007.45,12.00,24.4
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,5.6,10-11-2019,16:00:00,58,33.0,0.00,983.60,29.25,240,62.50,1005.45,12.00,23.7
48376,TAK,ตาก,ตาก,16.87833,99.14333,3.7,10-11-2019,16:00:00,66,32.0,0.00,993.60,31.52,100,12.40,1007.76,10.00,24.9
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,10-11-2019,16:00:00,62,31.7,0.00,990.89,28.91,000,50.90,1007.02,7.00,23.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,11.1,10-11-2019,16:00:00,60,32.2,0.00,1002.02,28.78,290,0.00,1007.16,10.00,23.4
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,3.7,10-11-2019,16:00:00,67,31.4,0.00,992.63,30.57,030,0.00,1005.62,12.00,24.4
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,10-11-2019,16:00:00,56,34.0,0.00,998.48,29.87,000,0.00,1007.60,12.00,24.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,9.3,10-11-2019,16:00:00,52,34.5,0.00,985.16,28.30,090,0.00,1006.30,10.00,23.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,10-11-2019,16:00:00,57,34.5,0.00,990.13,30.93,000,0.00,1007.21,10.00,24.6
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,3.7,10-11-2019,16:00:00,55,33.7,0.00,990.76,28.68,050,0.00,1006.24,12.00,23.3
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,10-11-2019,16:00:00,55,34.9,0.00,987.35,30.60,000,0.00,1005.72,10.00,24.4
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,10-11-2019,16:00:00,71,29.0,0.00,957.43,28.37,000,44.60,1008.16,10.00,23.2
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,7.4,10-11-2019,16:00:00,61,33.5,0.00,1002.86,31.46,270,0.00,1006.73,9.00,24.9
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.0,10-11-2019,16:00:00,82,24.6,0.00,913.61,25.27,000,0.00,1007.85,8.00,21.3
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,5.6,10-11-2019,16:00:00,59,33.5,0.00,990.98,30.28,360,0.00,1006.62,10.00,24.2
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,7.4,10-11-2019,16:00:00,70,31.5,0.00,1003.10,32.52,150,0.00,1007.08,8.00,25.4
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,10-11-2019,16:00:00,76,28.8,0.00,997.36,29.90,000,0.30,1007.97,8.00,24.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,10-11-2019,16:00:00,62,33.0,0.00,1005.42,30.99,000,0.00,1007.31,9.00,24.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,3.7,10-11-2019,16:00:00,53,34.4,0.00,985.91,28.67,130,0.00,1006.26,10.00,23.3
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,5.6,10-11-2019,16:00:00,67,32.8,0.00,989.15,33.52,060,0.00,1006.47,10.00,26.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,9.3,10-11-2019,16:00:00,55,33.6,0.00,990.47,28.47,100,0.00,1006.27,10.00,23.2
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,3.7,10-11-2019,16:00:00,66,32.3,0.00,993.08,32.15,100,0.60,1006.87,10.00,25.2
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,3.7,10-11-2019,16:00:00,74,31.0,0.00,992.95,33.22,060,0.00,1007.59,10.00,25.8
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,3.7,10-11-2019,16:00:00,76,32.0,0.00,992.86,36.32,150,0.10,1007.29,10.00,27.3
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,10-11-2019,16:00:00,74,31.1,0.00,1003.82,33.43,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,1006.79,10.00,25.9
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,10-11-2019,16:00:00,68,30.6,0.00,998.90,29.81,000,0.00,1006.75,10.00,24.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,3.7,10-11-2019,16:00:00,50,34.7,0.00,1005.82,27.85,270,0.00,1006.91,10.00,22.9
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,10-11-2019,16:00:00,72,31.5,0.00,992.23,33.40,000,0.00,1006.70,8.00,25.9
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,3.7,10-11-2019,16:00:00,90,23.2,7.60,873.85,25.44,350,14.20,1007.34,.10,21.4
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,7.4,10-11-2019,16:00:00,56,34.7,0.00,1000.83,30.76,110,2.60,1006.56,10.00,24.5
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,3.7,10-11-2019,16:00:00,61,34.2,0.00,1005.89,32.67,080,0.00,1006.68,8.00,25.5
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,11.1,10-11-2019,16:00:00,63,32.0,0.00,1006.21,30.08,210,0.00,1006.65,10.00,24.1
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,10-11-2019,16:00:00,75,30.0,0.00,996.03,31.72,000,5.80,1007.22,10.00,25.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,10-11-2019,16:00:00,56,34.2,0.00,1006.04,30.00,000,28.80,1007.03,10.00,24.1
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.0,10-11-2019,16:00:00,57,33.9,0.00,1005.31,29.95,000,0.00,1007.09,13.00,24.1
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,10-11-2019,16:00:00,60,32.6,0.00,1005.86,29.30,000,9.40,1006.61,9.00,23.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,9.3,10-11-2019,16:00:00,56,33.5,0.00,1006.26,29.13,140,12.60,1006.95,9.00,23.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,5.6,10-11-2019,16:00:00,59,34.5,0.00,1005.96,32.12,320,0.00,1006.65,10.00,25.2
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.0,10-11-2019,16:00:00,52,34.0,0.00,985.75,27.58,000,0.00,1006.42,12.00,22.7
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,5.6,10-11-2019,16:00:00,55,32.6,0.00,990.53,27.05,090,0.00,1006.94,13.00,22.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,3.7,10-11-2019,16:00:00,61,33.5,0.00,991.52,31.46,090,0.60,1007.62,10.00,24.9
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,10-11-2019,16:00:00,54,34.0,0.00,985.12,28.72,000,0.00,1006.47,10.00,23.4
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,14.8,10-11-2019,16:00:00,63,30.4,0.00,964.50,27.22,240,0.00,1007.28,7.00,22.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.0,10-11-2019,16:00:00,56,33.5,0.00,986.25,28.84,000,0.00,1006.37,12.00,23.4
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,7.4,10-11-2019,16:00:00,68,32.5,0.00,988.37,33.47,100,0.00,1008.85,10.00,25.9
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.0,10-11-2019,16:00:00,68,31.3,0.00,1006.86,31.23,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1.20,1007.29,10.00,24.8
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,3.7,10-11-2019,16:00:00,71,31.0,0.00,1005.44,31.76,060,0.00,1006.84,11.00,25.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,3.7,10-11-2019,16:00:00,74,30.8,0.00,1002.28,32.80,350,0.00,1007.15,9.00,25.6
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,3.7,10-11-2019,16:00:00,47,34.5,0.00,1003.24,25.49,080,5.40,1006.45,12.00,21.4
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,10-11-2019,16:00:00,56,34.0,0.00,1005.72,29.87,000,0.00,1006.80,10.00,24.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,9.3,10-11-2019,16:00:00,59,33.2,0.00,1006.39,30.24,230,3.30,1006.68,10.00,24.2
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,7.4,10-11-2019,16:00:00,64,32.5,0.00,1007.11,31.11,230,30.40,1007.79,10.00,24.7
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,7.4,10-11-2019,16:00:00,57,33.2,0.00,1005.87,29.09,120,25.40,1006.35,10.00,23.6
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,9.3,10-11-2019,16:00:00,58,33.0,0.00,1005.29,29.25,030,0.00,1006.67,9.00,23.7
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,13.0,10-11-2019,16:00:00,66,30.5,0.00,1005.19,28.78,210,2.30,1006.84,7.00,23.4
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,10-11-2019,16:00:00,60,33.5,0.00,1000.43,30.87,000,0.00,1008.27,12.00,24.6
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,11.1,10-11-2019,16:00:00,64,32.7,0.00,1006.31,31.82,270,0.00,1006.59,10.00,25.1
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,5.6,10-11-2019,16:00:00,66,31.5,0.00,1003.71,30.49,330,0.00,1006.80,12.00,24.4
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,9.3,10-11-2019,16:00:00,67,30.9,0.00,1000.41,29.85,240,0.00,1007.26,10.00,24.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,10-11-2019,16:00:00,56,34.6,0.00,1001.29,30.55,000,0.00,1006.74,10.00,24.4
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,9.3,10-11-2019,16:00:00,67,33.4,0.00,998.89,34.24,260,0.00,1008.02,9.00,26.3
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,3.7,10-11-2019,16:00:00,59,33.5,0.00,1006.72,30.28,120,1.10,1007.95,14.00,24.2
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,14.8,10-11-2019,16:00:00,65,32.8,0.00,1006.54,32.33,130,0.00,1006.97,11.00,25.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,9.3,10-11-2019,16:00:00,54,32.5,0.00,995.39,26.31,130,0.00,1007.43,8.00,21.9
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,11.1,10-11-2019,16:00:00,69,31.1,0.00,1006.80,31.10,090,0.00,1007.50,10.00,24.7
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,11.1,10-11-2019,16:00:00,70,31.0,0.00,1006.06,31.47,210,11.80,1008.47,8.00,24.9
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,9.3,10-11-2019,16:00:00,72,31.0,0.00,1008.22,32.34,250,0.50,1008.74,12.00,25.4
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1.9,10-11-2019,16:00:00,69,30.7,0.00,1002.07,30.58,140,1.60,1007.16,10.00,24.4
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,10-11-2019,16:00:00,66,33.2,0.00,1006.45,33.50,000,0.00,1006.86,10.00,25.9
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,10-11-2019,16:00:00,73,31.3,0.00,1004.14,33.57,000,0.00,1006.87,8.00,26.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,9.3,10-11-2019,16:00:00,67,32.1,0.00,1006.38,32.02,120,0.00,1007.15,10.00,25.2
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.6,10-11-2019,16:00:00,72,31.0,0.00,1006.98,32.34,270,0.70,1007.44,8.00,25.4
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.4,10-11-2019,16:00:00,61,32.6,0.00,1007.10,30.16,120,0.00,1007.77,10.00,24.2
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,7.4,10-11-2019,16:00:00,59,33.0,0.00,1005.63,29.54,080,0.00,1007.13,9.00,23.8
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.0,10-11-2019,16:00:00,87,27.2,19.50,1007.14,31.22,000,19.50,1008.06,10.00,24.8
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,9.3,10-11-2019,16:00:00,75,30.5,0.00,1007.93,32.75,080,0.00,1008.61,10.00,25.6
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,3.7,10-11-2019,16:00:00,65,31.5,0.00,1006.98,29.92,110,0.00,1007.76,10.00,24.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,3.7,10-11-2019,16:00:00,65,31.7,0.00,1007.71,30.32,120,0.00,1008.33,10.00,24.3
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,10-11-2019,16:00:00,78,30.5,0.00,1007.73,33.93,000,0.00,1008.13,10.00,26.2
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,5.6,10-11-2019,16:00:00,77,31.2,0.00,1005.79,35.15,250,0.00,1009.95,6.00,26.8
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,10-11-2019,16:00:00,93,25.4,0.00,1006.65,30.25,000,0.00,1008.27,10.00,24.2
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,10-11-2019,16:00:00,90,26.8,8.80,1005.22,31.55,000,8.80,1008.70,8.00,24.9
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,7.4,10-11-2019,16:00:00,68,30.4,0.00,1007.08,29.42,330,0.50,1008.42,10.00,23.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,10-11-2019,16:00:00,72,30.7,0.10,1007.20,31.72,000,3.30,1008.08,10.00,25.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,5.6,10-11-2019,16:00:00,69,31.0,0.00,1004.43,30.90,260,5.20,1007.94,10.00,24.6
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,5.6,10-11-2019,16:00:00,66,31.7,0.60,1007.29,30.90,280,4.60,1007.72,10.00,24.6
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,10-11-2019,16:00:00,71,30.8,0.00,1006.72,31.64,000,0.01,1007.70,10.00,25.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.0,10-11-2019,16:00:00,77,29.1,0.00,1007.72,31.05,000,0.00,1008.53,10.00,24.7
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,9.3,10-11-2019,16:00:00,93,26.5,24.50,1007.21,32.07,180,39.10,1009.03,7.00,25.2
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,7.4,10-11-2019,16:00:00,80,30.2,0.00,1008.85,34.18,030,0.00,1009.59,11.00,26.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,20.4,10-11-2019,16:00:00,97,24.7,15.60,1004.99,30.30,290,30.00,1009.03,4.00,24.3
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,10-11-2019,16:00:00,86,26.7,2.30,1007.84,30.26,000,2.30,1008.53,7.00,24.2
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,18.5,10-11-2019,16:00:00,81,28.0,0.40,1007.10,30.56,240,2.20,1008.22,10.00,24.4
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,14.8,10-11-2019,16:00:00,78,27.5,0.00,1005.94,28.80,340,15.60,1008.86,10.00,23.4
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.0,10-11-2019,16:00:00,71,31.0,0.00,1006.87,31.76,000,8.10,1007.55,10.00,25.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.0,10-11-2019,16:00:00,68,30.5,0.00,1003.86,29.61,000,47.20,1007.94,10.00,23.9
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,14.8,10-11-2019,16:00:00,68,30.5,0.00,1007.02,29.89,040,0.00,1007.61,12.00,24.0
