WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,DewPoint,AirTemperature,WindDirection,StationPressure,LandVisibility,MeanSeaLevelPressure,WindSpeed,VaporPressure,Rainfall,RelativeHumidity
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,4.80,08-13-2019,01:00:00,24.2,25.2,000,992.47,10.00,1005.73,0.0,30.15,1.80,94
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,3.70,08-13-2019,01:00:00,25.1,26.0,000,997.81,8.00,1007.16,0.0,31.93,3.20,95
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.01,08-13-2019,01:00:00,23.7,28.5,250,985.32,8.00,1006.89,5.6,29.33,0.01,75
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-13-2019,01:00:00,24.4,28.4,000,989.62,10.00,1007.04,0.0,30.51,0.00,79
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1.60,08-13-2019,01:00:00,25.4,27.5,000,990.05,10.00,1005.84,0.0,32.36,0.00,88
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.01,08-13-2019,01:00:00,24.4,28.1,190,986.84,8.00,1005.63,1.9,30.48,0.01,80
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,13.50,08-13-2019,01:00:00,22.0,23.4,000,957.68,6.00,1009.40,0.0,26.50,8.90,92
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.50,08-13-2019,01:00:00,24.6,25.9,340,1003.35,6.00,1007.32,1.9,30.92,0.00,93
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,7.10,08-13-2019,01:00:00,20.8,21.1,000,911.75,.80,1006.95,0.0,24.53,0.00,98
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.80,08-13-2019,01:00:00,25.5,26.2,000,990.35,6.00,1006.36,0.0,32.59,0.00,96
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,5.20,08-13-2019,01:00:00,25.1,26.5,000,1002.97,8.00,1007.01,0.0,31.79,0.00,92
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1.30,08-13-2019,01:00:00,25.1,26.0,000,997.26,6.00,1007.98,0.0,31.93,0.00,95
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,5.60,08-13-2019,01:00:00,24.5,25.5,000,1004.36,8.00,1006.30,0.0,30.71,0.00,94
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-13-2019,01:00:00,23.8,27.9,220,986.50,10.00,1007.31,16.7,29.55,0.00,79
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,08-13-2019,01:00:00,25.3,27.0,200,988.81,10.00,1006.47,11.1,32.21,0.00,90
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,4.40,08-13-2019,01:00:00,25.4,27.3,000,990.15,10.00,1006.28,0.0,32.53,0.00,90
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,08-13-2019,01:00:00,24.3,26.8,200,993.08,10.00,1007.12,5.6,30.45,0.00,86
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,08-13-2019,01:00:00,24.4,26.0,170,992.73,10.00,1007.62,3.7,30.57,0.00,91
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,08-13-2019,01:00:00,25.3,27.0,240,992.96,6.00,1007.64,11.1,32.21,0.00,90
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.10,08-13-2019,01:00:00,25.2,26.8,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1003.90,10.00,1006.92,0.0,32.10,0.00,91
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.20,08-13-2019,01:00:00,24.7,27.3,000,999.23,7.00,1007.17,0.0,31.14,0.00,86
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,08-13-2019,01:00:00,24.7,27.6,110,1006.41,6.00,1007.51,5.6,31.16,0.00,84
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,08-13-2019,01:00:00,23.8,27.0,000,992.24,8.00,1006.92,0.0,29.48,0.00,83
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,26.60,08-13-2019,01:00:00,20.1,20.3,200,873.97,.05,1008.87,7.4,23.57,2.00,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,5.80,08-13-2019,01:00:00,25.6,26.3,000,1001.69,10.00,1007.59,0.0,32.79,1.60,96
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,08-13-2019,01:00:00,25.1,28.7,230,1007.00,8.00,1007.80,3.7,31.94,0.00,81
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,08-13-2019,01:00:00,23.2,29.0,230,1007.25,10.00,1007.69,11.1,28.37,0.00,71
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,18.10,08-13-2019,01:00:00,24.9,25.8,000,996.78,4.00,1008.14,0.0,31.55,0.00,95
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,2.10,08-13-2019,01:00:00,26.2,27.1,000,1006.75,10.00,1007.76,0.0,34.11,0.00,95
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,08-13-2019,01:00:00,25.5,27.5,000,1005.49,7.00,1007.31,0.0,32.64,0.00,89
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,13.10,08-13-2019,01:00:00,25.4,26.0,000,1006.63,4.00,1007.40,0.0,32.48,0.01,97
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.10,08-13-2019,01:00:00,23.5,27.9,200,1007.26,10.00,1007.96,5.6,29.01,0.00,77
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.01,08-13-2019,01:00:00,25.7,28.1,000,1007.17,7.00,1007.87,0.0,33.00,0.00,87
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,9.50,08-13-2019,01:00:00,23.6,27.0,000,986.18,10.00,1007.33,0.0,29.21,0.00,82
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,08-13-2019,01:00:00,24.6,26.9,000,990.69,7.00,1007.42,0.0,30.91,0.00,87
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,08-13-2019,01:00:00,24.4,27.0,190,991.51,6.00,1007.95,7.4,30.56,0.00,86
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,08-13-2019,01:00:00,23.9,27.4,000,985.78,10.00,1007.62,0.0,29.69,0.00,81
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.10,08-13-2019,01:00:00,23.3,25.9,000,964.57,12.00,1008.00,0.0,28.52,0.00,85
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-13-2019,01:00:00,23.2,27.2,000,987.41,10.00,1007.97,0.0,28.51,0.00,79
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.40,08-13-2019,01:00:00,24.9,26.5,190,988.42,7.00,1009.32,16.7,31.52,0.00,91
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.40,08-13-2019,01:00:00,24.3,28.3,200,1007.37,10.00,1007.81,9.3,30.31,0.00,79
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,2.00,08-13-2019,01:00:00,25.0,26.7,000,1006.45,6.00,1007.87,0.0,31.63,0.00,90
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.01,08-13-2019,01:00:00,25.5,26.2,000,1003.41,7.00,1008.36,0.0,32.59,0.00,96
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.40,08-13-2019,01:00:00,23.9,26.7,000,1004.24,10.00,1007.54,0.0,29.72,0.00,85
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,2.10,08-13-2019,01:00:00,25.2,26.2,000,1006.56,10.00,1007.67,0.0,32.04,0.00,94
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.01,08-13-2019,01:00:00,23.9,28.5,180,1007.46,10.00,1007.76,7.4,29.60,0.01,76
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-13-2019,01:00:00,24.8,27.4,000,1006.66,10.00,1007.15,0.0,31.33,0.00,86
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.01,08-13-2019,01:00:00,24.1,28.4,180,1006.37,10.00,1007.77,11.1,29.96,0.00,77
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,08-13-2019,01:00:00,24.1,25.6,230,1002.34,10.00,1010.41,3.7,30.09,0.00,92
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.20,08-13-2019,01:00:00,26.0,27.7,000,1007.38,10.00,1007.66,0.0,33.62,0.00,91
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,13.00,08-13-2019,01:00:00,24.2,28.5,250,1005.10,10.00,1008.22,5.6,30.15,0.00,78
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,5.80,08-13-2019,01:00:00,25.7,27.5,180,1001.36,10.00,1008.29,5.6,32.93,0.00,90
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-13-2019,01:00:00,25.5,27.1,000,1002.83,8.00,1008.44,0.0,32.69,0.00,91
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10.20,08-13-2019,01:00:00,25.4,25.7,000,1007.16,10.00,1008.43,0.0,32.45,0.00,98
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1.80,08-13-2019,01:00:00,24.6,27.8,000,1007.45,11.00,1007.88,0.0,31.00,0.00,83
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1.90,08-13-2019,01:00:00,23.3,24.5,000,996.37,10.00,1008.75,0.0,28.63,0.00,93
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,4.90,08-13-2019,01:00:00,23.4,27.9,210,1007.50,10.00,1008.21,11.1,28.74,0.00,76
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-13-2019,01:00:00,24.6,26.0,180,1005.08,10.00,1007.53,3.7,30.84,0.00,92
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-13-2019,01:00:00,26.6,28.8,240,1008.11,10.00,1008.63,11.1,34.74,0.00,88
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.30,08-13-2019,01:00:00,25.0,27.7,000,1003.52,9.00,1008.67,0.0,31.64,0.00,85
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,3.10,08-13-2019,01:00:00,25.9,27.5,190,1008.34,7.00,1008.75,5.6,33.50,0.40,91
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.20,08-13-2019,01:00:00,24.6,26.0,000,1005.95,8.00,1008.73,0.0,30.84,0.00,92
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,7.00,08-13-2019,01:00:00,24.1,26.0,000,1008.26,10.00,1009.05,0.0,30.03,0.00,89
48501,TRAD,ตราด,ตราด,11.76667,102.88333,53.90,08-13-2019,01:00:00,24.8,25.1,080,1008.70,7.00,1009.17,3.7,31.31,0.00,98
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,4.30,08-13-2019,01:00:00,24.6,27.2,000,1008.56,7.00,1009.24,0.0,30.94,0.00,86
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1.60,08-13-2019,01:00:00,24.4,26.4,280,1007.79,7.00,1009.32,7.4,30.51,0.00,89
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,2.80,08-13-2019,01:00:00,24.7,27.0,210,1008.81,10.00,1009.73,5.6,31.11,0.00,87
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-13-2019,01:00:00,23.9,26.5,000,1009.03,10.00,1009.72,0.0,29.62,0.00,86
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.01,08-13-2019,01:00:00,23.4,24.3,000,1008.86,8.00,1009.67,0.0,28.79,0.00,95
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-13-2019,01:00:00,23.0,26.2,000,1008.50,10.00,1009.14,0.0,28.01,0.00,82
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-13-2019,01:00:00,23.5,25.3,000,1008.89,10.00,1009.29,0.0,29.01,0.00,90
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-13-2019,01:00:00,23.2,25.1,000,1006.91,6.00,1011.16,0.0,28.40,0.00,89
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,3.40,08-13-2019,01:00:00,24.5,25.4,000,1006.35,10.00,1007.97,0.0,30.79,0.00,95
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.01,08-13-2019,01:00:00,24.6,26.0,000,1007.71,8.00,1009.08,0.0,30.84,0.00,92
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.60,08-13-2019,01:00:00,25.4,26.5,000,1008.70,10.00,1009.59,0.0,32.35,0.00,93
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-13-2019,01:00:00,23.6,24.8,000,1005.96,10.00,1009.55,0.0,29.16,0.00,93
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.60,08-13-2019,01:00:00,25.1,27.2,000,1008.45,10.00,1008.88,0.0,31.77,0.00,88
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-13-2019,01:00:00,24.9,26.2,000,1007.15,10.00,1008.15,0.0,31.49,0.00,93
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,6.20,08-13-2019,01:00:00,24.5,25.7,090,1008.41,10.00,1009.23,7.4,30.81,0.00,93
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,2.90,08-13-2019,01:00:00,24.8,26.0,000,1007.54,10.00,1009.36,0.0,31.38,0.00,93
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-13-2019,01:00:00,24.0,26.9,000,1008.60,10.00,1009.35,0.0,29.83,0.00,84
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,3.00,08-13-2019,01:00:00,24.2,25.1,000,1005.06,7.00,1009.09,0.0,30.23,0.00,95
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1.60,08-13-2019,01:00:00,24.6,26.0,000,1008.84,10.00,1009.53,0.0,30.84,0.00,92
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,4.20,08-13-2019,01:00:00,24.8,25.5,000,1008.99,10.00,1010.11,0.0,31.25,0.00,96
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1.10,08-13-2019,01:00:00,24.1,25.3,000,1006.30,10.00,1009.24,0.0,30.07,0.00,93
