WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,DewPoint,WindSpeed,StationPressure,MinimumTemperature,Rainfall,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,VaporPressure,WindDirection,RelativeHumidity
48400,NAKHON SAWAN,\u0e19\u0e04\u0e23\u0e2a\u0e27\u0e23\u0e23\u0e04\u0e4c ,\u0e19\u0e04\u0e23\u0e2a\u0e27\u0e23\u0e23\u0e04\u0e4c,15.67183,100.13236,27.4,07-08-2019,07:00:00,24.5,1.9,1004.07,26.9,0.00,1008.11,0.00,10.00,30.78,200,84
48401,TAKFA AGROMET.,\u0e15\u0e32\u0e01\u0e1f\u0e49\u0e32 \u0e2a\u0e01\u0e29.,\u0e19\u0e04\u0e23\u0e2a\u0e27\u0e23\u0e23\u0e04\u0e4c,15.34944,100.53028,26.6,07-08-2019,07:00:00,24.0,0.0,998.70,25.6,0.00,1009.42,0.00,9.00,29.80,000,86
48402,CHAINAT AGROMET.,\u0e0a\u0e31\u0e22\u0e19\u0e32\u0e17 \u0e2a\u0e01\u0e29.,\u0e0a\u0e31\u0e22\u0e19\u0e32\u0e17,15.15000,100.18333,27.0,07-08-2019,07:00:00,23.3,11.1,1006.88,26.8,0.00,1008.81,0.00,9.00,28.67,190,80
48403,CHAIYAPHUM,\u0e0a\u0e31\u0e22\u0e20\u0e39\u0e21\u0e34,\u0e0a\u0e31\u0e22\u0e20\u0e39\u0e21\u0e34,15.80000,102.03333,27.0,07-08-2019,07:00:00,22.6,7.4,987.20,26.1,0.00,1008.08,0.00,10.00,27.36,230,77
48404,ROI ET AGROMET.,\u0e23\u0e49\u0e2d\u0e22\u0e40\u0e2d\u0e47\u0e14 \u0e2a\u0e01\u0e29.,\u0e23\u0e49\u0e2d\u0e22\u0e40\u0e2d\u0e47\u0e14,16.07322,103.60844,27.0,07-08-2019,07:00:00,22.6,11.1,990.05,26.3,0.00,1007.72,0.00,10.00,27.36,220,77
48405,ROI ET,\u0e23\u0e49\u0e2d\u0e22\u0e40\u0e2d\u0e47\u0e14,\u0e23\u0e49\u0e2d\u0e22\u0e40\u0e2d\u0e47\u0e14,16.02000,103.74389,28.1,07-08-2019,07:00:00,23.6,16.7,991.37,27.3,0.00,1007.48,0.00,10.00,29.11,230,77
48407,UBON RATCHATHANI,\u0e2d\u0e38\u0e1a\u0e25\u0e23\u0e32\u0e0a\u0e18\u0e32\u0e19\u0e35 (\u0e28\u0e39\u0e19\u0e22\u0e4c\u0e2f),\u0e2d\u0e38\u0e1a\u0e25\u0e23\u0e32\u0e0a\u0e18\u0e32\u0e19\u0e35,15.25000,104.86667,27.7,07-08-2019,07:00:00,22.9,7.4,994.68,26.4,0.00,1008.71,0.00,10.00,27.83,220,75
48408,UBON RATCHATHANI AGROMET.,\u0e2d\u0e38\u0e1a\u0e25\u0e23\u0e32\u0e0a\u0e18\u0e32\u0e19\u0e35 \u0e2a\u0e01\u0e29.,\u0e2d\u0e38\u0e1a\u0e25\u0e23\u0e32\u0e0a\u0e18\u0e32\u0e19\u0e35,15.23914,105.02350,26.0,07-08-2019,07:00:00,23.8,0.0,994.48,24.8,0.00,1009.39,0.00,8.00,29.50,000,88
48409,SI SAKET AGROMET.,\u0e28\u0e23\u0e35\u0e2a\u0e30\u0e40\u0e01\u0e29,\u0e28\u0e23\u0e35\u0e2a\u0e30\u0e40\u0e01\u0e29,15.00000,104.05000,27.0,07-08-2019,07:00:00,23.6,7.4,994.74,25.7,0.00,1009.44,0.00,9.00,29.21,230,82
48410,UTHAITHANI,\u0e2d\u0e38\u0e17\u0e31\u0e22\u0e18\u0e32\u0e19\u0e35,\u0e2d\u0e38\u0e17\u0e31\u0e22\u0e18\u0e32\u0e19\u0e35,15.37417,100.03889,27.1,07-08-2019,07:00:00,24.2,0.0,1004.69,26.3,0.00,1007.71,0.00,10.00,30.20,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",84
