WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindSpeed,VaporPressure,DewPoint,MeanSeaLevelPressure,LandVisibility,AirTemperature,StationPressure,Rainfall,WindDirection,Rainfall24Hr,MaximumTemperature
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,77,10-13-2019,19:00:00,0.0,29.19,23.6,1008.62,12.00,28.0,982.90,0.00,000,0.00,34.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,92,10-13-2019,19:00:00,9.3,34.81,26.6,1009.35,8.00,28.0,1003.57,0.00,040,0.00,31.8
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,86,10-13-2019,19:00:00,0.0,32.52,25.4,1008.91,6.00,28.0,1002.73,0.00,000,0.00,32.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,81,10-13-2019,19:00:00,0.0,30.56,24.4,1009.88,10.00,28.0,993.46,0.00,000,0.00,35.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,82,10-13-2019,19:00:00,0.0,31.42,24.9,1007.64,10.00,28.3,985.40,0.00,000,0.00,30.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,83,10-13-2019,19:00:00,0.0,32.71,25.5,1009.91,7.00,28.8,995.57,0.00,000,24.70,31.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,90,10-13-2019,19:00:00,0.0,32.61,25.5,1009.83,8.00,27.2,993.42,0.00,000,7.70,30.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,74,10-13-2019,19:00:00,9.3,29.93,24.1,1008.81,8.00,29.1,1003.61,0.00,050,0.00,35.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,82,10-13-2019,19:00:00,0.0,31.82,25.1,1007.95,12.00,28.5,994.81,0.60,000,0.60,36.1
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,84,10-13-2019,19:00:00,7.4,34.46,26.4,1009.06,10.00,29.5,999.80,0.00,270,0.80,33.5
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,64,10-13-2019,19:00:00,7.4,25.99,21.7,1009.59,9.00,29.3,988.02,0.00,090,0.00,34.7
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,63,10-13-2019,19:00:00,0.0,28.09,23.0,1009.34,10.00,31.0,992.03,0.00,000,0.00,34.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,62,10-13-2019,19:00:00,5.6,26.21,21.9,1009.57,10.00,30.0,993.85,0.00,050,0.00,34.4
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,75,10-13-2019,19:00:00,0.0,28.02,23.0,1008.88,9.00,27.8,990.01,0.00,000,0.00,34.1
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,90,10-13-2019,19:00:00,0.0,27.09,22.4,1010.87,8.00,24.2,959.20,0.00,000,10.10,31.5
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,78,10-13-2019,19:00:00,0.0,32.13,25.2,1008.59,10.00,29.5,1004.66,0.00,000,0.20,34.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,93,10-13-2019,19:00:00,0.0,25.76,21.6,1010.33,6.00,22.8,915.32,0.00,000,3.80,26.9
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,70,10-13-2019,19:00:00,0.0,26.63,22.1,1009.87,10.00,28.2,993.91,0.00,000,0.00,33.7
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,77,10-13-2019,19:00:00,0.0,34.27,26.3,1008.63,9.00,30.8,1004.64,0.00,000,0.00,34.9
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,76,10-13-2019,19:00:00,3.7,30.96,24.6,1009.49,8.00,29.2,998.86,0.00,010,0.00,34.8
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,75,10-13-2019,19:00:00,0.0,33.09,25.7,1008.89,9.00,30.8,1006.98,0.00,000,0.00,34.9
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,70,10-13-2019,19:00:00,0.0,30.34,24.3,1009.19,10.00,30.3,988.51,0.00,000,0.00,34.3
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,82,10-13-2019,19:00:00,3.7,31.23,24.8,1009.38,10.00,28.2,991.75,0.10,050,0.10,32.8
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,68,10-13-2019,19:00:00,5.6,27.59,22.7,1009.11,10.00,29.3,993.04,0.00,030,0.00,33.7
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,63,10-13-2019,19:00:00,0.0,26.46,22.0,1010.38,10.00,29.7,996.42,0.00,000,0.00,34.5
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,82,10-13-2019,19:00:00,0.0,31.11,24.7,1009.35,9.00,28.0,994.54,0.00,000,0.00,34.8
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,87,10-13-2019,19:00:00,0.0,31.22,24.8,1009.47,7.00,27.2,994.78,5.30,000,5.30,33.1
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,72,10-13-2019,19:00:00,0.0,33.97,26.2,1008.03,10.00,31.9,1005.06,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,35.3
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,88,10-13-2019,19:00:00,0.0,34.82,26.6,1008.57,10.00,28.7,1000.65,0.00,000,16.70,34.8
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,77,10-13-2019,19:00:00,0.0,31.05,24.7,1009.42,8.09,29.1,1008.32,0.00,000,0.00,35.4
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,75,10-13-2019,19:00:00,0.0,31.72,25.0,1009.70,8.00,30.0,995.12,0.00,000,0.00,32.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,98,10-13-2019,19:00:00,3.7,23.20,19.9,1010.65,8.00,20.2,875.47,0.00,100,1.80,26.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,80,10-13-2019,19:00:00,5.6,33.41,25.9,1008.92,10.00,29.7,1003.08,0.00,030,0.00,34.2
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,73,10-13-2019,19:00:00,3.7,31.88,25.1,1008.30,8.00,30.5,1007.51,0.00,050,0.00,36.5
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,74,10-13-2019,19:00:00,3.7,31.44,24.9,1008.01,8.00,30.0,1007.57,0.00,210,0.00,33.2
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,77,10-13-2019,19:00:00,0.0,32.46,25.4,1008.34,10.00,29.8,997.13,0.00,000,0.00,35.2
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,69,10-13-2019,19:00:00,0.0,31.85,25.1,1008.43,8.00,31.6,1007.44,0.00,000,0.00,35.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,64,10-13-2019,19:00:00,0.0,26.54,22.1,1008.44,8.00,29.6,1006.63,0.00,000,0.00,34.5
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,78,10-13-2019,19:00:00,0.0,33.17,25.8,1008.00,9.00,30.0,1007.24,0.00,000,0.00,35.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,75,10-13-2019,19:00:00,11.1,26.58,22.1,1008.64,9.00,27.0,1007.94,0.01,020,0.20,34.1
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,66,10-13-2019,19:00:00,0.0,28.67,23.3,1008.11,9.00,30.3,1007.42,0.00,000,0.00,35.8
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,71,10-13-2019,19:00:00,1.9,29.33,23.7,1009.07,8.00,29.5,988.05,0.00,090,0.00,33.1
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,92,10-13-2019,19:00:00,0.0,29.91,24.0,1009.46,8.00,25.5,992.63,2.70,000,2.70,32.7
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,94,10-13-2019,19:00:00,0.0,30.15,24.2,1009.88,8.00,25.2,993.31,2.70,000,2.70,33.6
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,76,10-13-2019,19:00:00,0.0,31.28,24.8,1008.85,10.00,29.5,987.14,0.00,000,0.00,33.7
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,83,10-13-2019,19:00:00,3.7,27.21,22.5,1009.71,10.00,25.6,966.16,0.00,070,0.00,32.1
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,92,10-13-2019,19:00:00,0.0,28.64,23.3,1009.23,10.00,24.8,988.48,5.00,000,5.00,33.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,95,10-13-2019,19:00:00,5.6,31.55,24.9,1011.19,10.00,25.8,990.21,0.00,190,0.00,33.2
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,74,10-13-2019,19:00:00,0.0,32.67,25.5,1008.53,10.00,30.6,1008.10,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",18.20,31.9
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,83,10-13-2019,19:00:00,0.0,31.00,24.6,1007.95,6.00,27.8,1006.53,0.00,000,0.00,34.4
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,86,10-13-2019,19:00:00,0.0,32.92,25.6,1008.37,10.00,28.2,1003.45,0.00,000,0.00,34.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,77,10-13-2019,19:00:00,0.0,32.26,25.3,1008.12,9.00,29.7,1004.85,0.00,000,19.40,33.5
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,79,10-13-2019,19:00:00,0.0,32.83,25.6,1008.07,10.00,29.7,1006.98,0.00,000,0.00,34.5
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,75,10-13-2019,19:00:00,5.6,32.75,25.6,1008.46,10.00,30.5,1008.16,0.00,170,0.01,33.8
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,75,10-13-2019,19:00:00,0.0,33.30,25.8,1008.10,10.00,30.9,1007.43,0.00,000,0.00,33.9
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,76,10-13-2019,19:00:00,5.6,33.55,26.0,1009.70,10.00,30.6,1009.22,0.00,120,0.00,35.2
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,69,10-13-2019,19:00:00,11.1,30.58,24.4,1008.35,10.00,30.7,1006.96,0.00,070,0.00,34.9
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,73,10-13-2019,19:00:00,5.6,31.07,24.7,1008.68,8.00,30.1,1007.02,0.00,180,0.00,32.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,84,10-13-2019,19:00:00,3.7,31.67,25.0,1010.62,10.00,28.0,1002.62,0.00,180,0.01,35.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,77,10-13-2019,19:00:00,0.0,32.59,25.5,1008.18,4.00,30.0,1007.90,0.00,000,0.00,33.3
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,81,10-13-2019,19:00:00,0.0,31.54,24.9,1008.34,10.00,28.5,1005.21,0.00,000,0.40,31.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,85,10-13-2019,19:00:00,0.0,32.23,25.3,1008.06,10.00,28.0,1001.14,0.00,000,43.00,30.7
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,79,10-13-2019,19:00:00,0.0,31.69,25.0,1009.43,10.00,29.0,1003.86,0.00,000,0.00,34.5
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,80,10-13-2019,19:00:00,5.6,30.40,24.3,1009.37,10.00,28.2,1000.07,0.00,270,3.60,33.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,80,10-13-2019,19:00:00,0.0,33.00,25.7,1008.78,10.00,29.5,1007.53,0.00,000,0.01,34.8
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,74,10-13-2019,19:00:00,3.7,32.88,25.6,1008.59,11.00,30.7,1008.16,0.00,160,0.60,35.1
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,81,10-13-2019,19:00:00,0.0,30.56,24.4,1008.79,6.00,28.0,996.55,0.00,000,0.00,33.7
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,78,10-13-2019,19:00:00,0.0,33.17,25.8,1008.59,10.00,30.0,1007.88,0.00,000,0.00,32.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,85,10-13-2019,19:00:00,0.0,32.63,25.5,1008.36,9.00,28.2,1005.93,0.00,000,17.80,32.9
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,79,10-13-2019,19:00:00,0.0,31.69,25.0,1008.67,7.00,29.0,1008.15,0.00,000,3.40,32.7
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,86,10-13-2019,19:00:00,5.6,33.12,25.8,1008.17,8.00,28.3,1003.04,0.00,310,13.30,31.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,84,10-13-2019,19:00:00,0.0,31.36,24.8,1008.77,8.00,27.7,1008.36,0.00,000,17.40,34.1
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,88,10-13-2019,19:00:00,0.0,31.38,24.8,1008.84,8.00,27.0,1006.06,0.00,000,0.00,33.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,78,10-13-2019,19:00:00,3.7,32.54,25.5,1009.94,10.00,29.7,1009.16,0.00,150,0.00,34.8
48501,TRAD,ตราด,ตราด,11.76667,102.88333,90,10-13-2019,19:00:00,9.3,28.66,23.3,1009.15,7.00,25.1,1008.69,0.01,080,4.40,33.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,76,10-13-2019,19:00:00,0.0,31.48,24.9,1008.63,9.00,29.6,1007.95,0.00,000,0.00,34.2
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,83,10-13-2019,19:00:00,3.7,33.41,25.9,1008.06,9.00,29.0,1006.55,0.00,040,0.00,34.8
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,92,10-13-2019,19:00:00,3.7,29.54,23.8,1009.29,10.00,25.3,1008.36,6.40,040,15.50,32.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,79,10-13-2019,19:00:00,11.1,32.71,25.5,1008.69,12.00,29.5,1008.01,0.00,080,0.00,31.5
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,90,10-13-2019,19:00:00,0.0,30.30,24.3,1008.95,10.00,26.0,1008.15,0.00,000,0.00,34.2
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,81,10-13-2019,19:00:00,0.0,32.26,25.3,1008.63,10.00,29.0,1008.00,0.00,000,0.00,33.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,86,10-13-2019,19:00:00,0.0,32.52,25.4,1008.93,10.00,28.0,1008.52,0.00,000,0.00,33.3
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,88,10-13-2019,19:00:00,0.0,30.43,24.3,1010.25,6.00,26.5,1006.02,0.00,000,0.00,33.2
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,96,10-13-2019,19:00:00,0.0,29.41,23.8,1010.05,10.00,24.5,1008.43,0.00,000,8.50,34.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,95,10-13-2019,19:00:00,0.0,30.05,24.1,1009.17,7.00,25.0,1005.67,0.70,000,1.70,34.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,76,10-13-2019,19:00:00,0.0,31.28,24.8,1008.62,10.00,29.5,1007.27,0.00,000,0.01,33.5
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,95,10-13-2019,19:00:00,0.0,31.17,24.7,1008.90,8.00,25.6,1008.01,3.00,000,10.10,32.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,97,10-13-2019,19:00:00,0.0,30.30,24.3,1009.10,10.00,24.7,1005.51,1.40,000,5.80,33.1
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,83,10-13-2019,19:00:00,0.0,31.79,25.1,1008.78,8.00,28.2,1008.34,0.10,000,0.10,33.2
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,91,10-13-2019,19:00:00,5.6,33.62,26.0,1007.75,9.00,27.7,1006.76,0.50,140,0.50,32.4
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,83,10-13-2019,19:00:00,9.3,28.10,23.0,1008.93,9.00,26.1,1008.11,2.20,090,13.60,32.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,95,10-13-2019,19:00:00,0.0,29.87,24.0,1009.50,8.00,24.9,1007.67,6.70,000,11.50,34.2
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,72,10-13-2019,19:00:00,5.6,27.24,22.5,1008.93,12.00,28.1,1008.18,0.00,200,0.00,32.1
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,97,10-13-2019,19:00:00,3.7,31.14,24.7,1009.31,10.00,25.3,1005.28,12.20,240,25.00,36.5
48570,SATUN,สตูล,สตูล,6.65000,100.08333,89,10-13-2019,19:00:00,0.0,30.13,24.2,1008.73,10.00,26.2,1008.05,0.00,000,12.10,32.2
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,97,10-13-2019,19:00:00,0.0,32.48,25.4,1008.91,10.00,26.0,1007.79,0.00,000,0.00,32.8
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,94,10-13-2019,19:00:00,0.0,32.04,25.2,1009.06,10.00,26.2,1006.13,1.50,000,16.50,33.9
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,87,10-13-2019,19:00:00,5.6,31.89,25.1,1009.07,8.00,27.4,1008.38,0.00,230,0.00,34.1
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,96,10-13-2019,19:00:00,11.1,28.53,23.3,1010.17,8.00,24.0,1006.00,2.60,220,2.60,34.2
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,74,10-13-2019,19:00:00,0.0,29.74,23.9,1008.37,10.00,29.0,1007.78,0.00,000,0.00,32.6
