WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindDirection,StationPressure,WindSpeed,Rainfall24Hr,AirTemperature,VaporPressure,MeanSeaLevelPressure,RelativeHumidity,LandVisibility,DewPoint
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,08-27-2019,01:00:00,000,974.10,0.0,2.10,24.2,29.66,1003.92,98,10.00,23.9
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-27-2019,01:00:00,000,997.62,0.0,9.00,25.5,30.71,1004.94,94,8.00,24.5
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,13.60,08-27-2019,01:00:00,120,984.81,5.6,55.20,25.2,31.49,1004.77,98,3.00,24.9
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,08-27-2019,01:00:00,000,975.43,0.0,2.50,25.0,30.32,1004.15,96,10.00,24.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1.10,08-27-2019,01:00:00,080,984.52,1.9,44.10,25.0,30.32,1004.76,96,10.00,24.3
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.80,08-27-2019,01:00:00,000,983.38,0.0,29.70,25.0,30.05,1005.20,95,7.00,24.1
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1.50,08-27-2019,01:00:00,000,985.39,0.0,30.60,24.7,30.30,1004.97,97,7.00,24.3
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.01,08-27-2019,01:00:00,000,988.73,0.0,28.10,25.0,30.05,1006.23,95,8.00,24.1
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.20,08-27-2019,01:00:00,000,977.74,0.0,14.00,25.0,30.32,1003.58,96,10.00,24.3
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,08-27-2019,01:00:00,130,998.97,3.7,15.00,25.7,32.45,1004.77,98,10.00,25.4
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,08-27-2019,01:00:00,000,999.08,0.0,71.60,25.0,31.12,1005.31,98,10.00,24.7
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.20,08-27-2019,01:00:00,000,989.07,0.0,3.80,24.5,29.41,1005.62,96,8.00,23.8
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,08-27-2019,01:00:00,210,982.55,3.7,8.50,24.5,29.41,1005.00,96,10.00,23.8
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,08-27-2019,01:00:00,260,991.70,11.1,0.00,27.5,26.95,1006.05,73,10.00,22.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,08-27-2019,01:00:00,000,988.29,0.0,0.00,27.7,26.26,1004.60,71,8.00,21.9
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.40,08-27-2019,01:00:00,140,1000.43,3.7,0.40,26.2,32.32,1005.66,95,10.00,25.3
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1.00,08-27-2019,01:00:00,000,990.61,0.0,8.60,24.7,29.25,1003.87,94,10.00,23.7
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,08-27-2019,01:00:00,000,995.77,0.0,2.30,26.0,31.38,1005.11,93,11.00,24.8
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.30,08-27-2019,01:00:00,220,982.58,5.6,2.60,25.8,30.73,1004.29,93,8.00,24.5
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-27-2019,01:00:00,000,986.97,0.0,6.00,26.5,29.08,1004.45,84,10.00,23.6
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,08-27-2019,01:00:00,000,989.23,0.0,76.70,25.0,30.32,1005.13,96,10.00,24.3
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.60,08-27-2019,01:00:00,200,984.74,3.7,1.30,26.8,29.64,1003.57,84,7.00,23.9
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,08-27-2019,01:00:00,000,956.43,0.0,19.30,23.0,26.09,1008.16,93,6.00,21.8
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1.30,08-27-2019,01:00:00,100,1001.17,7.4,11.60,25.5,31.25,1005.14,96,4.00,24.8
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,08-27-2019,01:00:00,200,911.29,14.8,2.70,20.9,23.77,1006.52,96,4.00,20.3
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,08-27-2019,01:00:00,000,988.95,0.0,66.70,25.9,32.29,1004.95,97,6.00,25.3
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.01,08-27-2019,01:00:00,140,1001.28,3.7,0.01,26.1,31.03,1005.32,92,9.00,24.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,08-27-2019,01:00:00,000,995.78,0.0,39.00,24.5,29.41,1006.54,96,7.00,23.8
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,08-27-2019,01:00:00,180,1003.57,3.7,9.70,25.5,29.91,1005.51,92,5.00,24.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.90,08-27-2019,01:00:00,220,983.66,3.7,1.40,25.0,29.52,1004.61,93,6.00,23.8
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.60,08-27-2019,01:00:00,170,987.05,9.3,36.70,26.1,30.76,1004.72,91,10.00,24.5
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1.10,08-27-2019,01:00:00,200,988.43,7.4,66.10,26.0,31.65,1004.60,94,10.00,25.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.20,08-27-2019,01:00:00,000,992.18,0.0,8.10,25.5,31.25,1006.28,96,10.00,24.8
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.40,08-27-2019,01:00:00,000,991.63,0.0,7.80,25.1,30.77,1006.54,97,9.00,24.5
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,08-27-2019,01:00:00,230,991.62,3.7,0.50,26.0,31.11,1006.32,93,7.00,24.7
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,08-27-2019,01:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1002.49,0.0,0.20,26.9,29.29,1005.50,83,10.00,23.7
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1.30,08-27-2019,01:00:00,000,996.84,0.0,4.60,25.5,31.25,1004.81,96,7.00,24.8
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,08-27-2019,01:00:00,210,1004.92,7.4,0.00,26.6,29.80,1006.03,86,8.00,24.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,08-27-2019,01:00:00,100,990.17,3.7,3.90,27.0,32.77,1004.82,92,9.00,25.6
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,08-27-2019,01:00:00,280,872.32,7.4,33.00,18.6,21.41,1007.79,100,.05,18.6
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.10,08-27-2019,01:00:00,000,999.70,0.0,17.90,25.6,31.44,1005.60,96,9.00,24.9
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,08-27-2019,01:00:00,230,1005.91,7.4,0.50,26.3,29.25,1006.72,86,8.00,23.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,08-27-2019,01:00:00,240,1006.15,16.7,2.70,28.0,26.80,1006.59,71,10.00,22.2
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,2.00,08-27-2019,01:00:00,000,996.69,0.0,43.80,24.3,29.05,1008.11,96,3.00,23.6
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,08-27-2019,01:00:00,190,1005.27,3.7,0.20,26.4,29.17,1006.28,85,10.00,23.6
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.30,08-27-2019,01:00:00,170,1004.30,3.7,2.70,25.9,30.65,1006.13,92,7.00,24.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,08-27-2019,01:00:00,230,1005.52,7.4,0.90,26.5,27.25,1006.29,79,4.00,22.5
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,08-27-2019,01:00:00,230,1006.54,9.3,2.70,25.9,28.26,1007.25,85,10.00,23.1
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.30,08-27-2019,01:00:00,000,1005.96,0.0,2.90,26.8,31.55,1006.66,90,7.00,24.9
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,08-27-2019,01:00:00,250,984.17,3.7,0.00,26.7,28.92,1005.30,83,10.00,23.5
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,08-27-2019,01:00:00,000,989.08,0.0,0.80,26.5,30.43,1005.80,88,7.00,24.3
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.20,08-27-2019,01:00:00,180,989.74,3.7,3.70,26.0,29.50,1006.21,88,6.00,23.8
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,08-27-2019,01:00:00,000,984.18,0.0,0.00,26.0,29.50,1006.08,88,10.00,23.8
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,08-27-2019,01:00:00,240,962.45,11.1,0.01,24.6,26.76,1005.98,87,10.00,22.2
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-27-2019,01:00:00,000,985.19,0.0,0.40,25.6,29.29,1005.82,89,8.00,23.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,08-27-2019,01:00:00,190,985.94,11.1,2.80,25.0,31.66,1006.89,100,7.00,25.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,08-27-2019,01:00:00,280,1006.74,7.4,4.50,26.4,27.33,1007.18,79,10.00,22.6
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,08-27-2019,01:00:00,000,1005.31,0.0,4.30,25.8,31.00,1006.73,93,6.00,24.6
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,08-27-2019,01:00:00,000,1001.74,0.0,2.50,25.9,30.65,1006.69,92,7.00,24.4
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.01,08-27-2019,01:00:00,000,1003.42,0.0,9.70,26.1,27.83,1006.72,82,10.00,22.9
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.01,08-27-2019,01:00:00,240,1005.54,7.4,3.30,25.6,28.77,1006.65,88,10.00,23.4
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,08-27-2019,01:00:00,000,1006.69,0.0,4.80,26.7,28.92,1006.99,83,9.00,23.5
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-27-2019,01:00:00,280,1006.52,5.6,9.10,26.2,30.67,1007.01,90,10.00,24.5
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,08-27-2019,01:00:00,230,1005.59,16.7,15.00,26.4,28.90,1007.00,84,10.00,23.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,08-27-2019,01:00:00,000,1000.56,0.0,2.80,25.5,29.91,1008.62,92,10.00,24.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,08-27-2019,01:00:00,000,1006.57,0.0,0.70,28.0,27.85,1006.85,74,10.00,22.9
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-27-2019,01:00:00,000,1004.04,0.0,0.80,28.0,29.19,1007.16,77,10.00,23.6
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-27-2019,01:00:00,230,1000.22,7.4,4.30,28.2,27.95,1007.13,73,10.00,22.9
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-27-2019,01:00:00,000,1001.27,0.0,2.20,26.5,30.43,1006.88,88,7.00,24.3
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1.00,08-27-2019,01:00:00,000,1006.39,0.0,7.70,24.8,29.16,1007.67,93,6.00,23.6
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,08-27-2019,01:00:00,210,1006.66,5.6,6.80,27.5,26.43,1007.09,72,11.00,22.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.01,08-27-2019,01:00:00,000,996.42,0.0,9.90,23.7,28.01,1008.83,96,8.00,23.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-27-2019,01:00:00,000,1006.69,0.0,7.30,25.5,28.59,1007.41,88,10.00,23.3
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-27-2019,01:00:00,200,1005.29,3.7,3.00,27.5,29.06,1007.72,79,10.00,23.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-27-2019,01:00:00,260,1007.13,14.8,0.90,28.5,28.78,1007.65,74,10.00,23.4
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-27-2019,01:00:00,000,1002.36,0.0,2.40,27.0,27.36,1007.52,77,8.00,22.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.20,08-27-2019,01:00:00,000,1007.56,0.0,0.30,27.4,32.16,1007.98,88,7.00,25.3
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,08-27-2019,01:00:00,000,1004.94,0.0,1.40,25.8,31.00,1007.73,93,8.00,24.6
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,08-27-2019,01:00:00,000,1007.64,0.0,8.20,25.1,27.11,1008.43,85,10.00,22.4
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.10,08-27-2019,01:00:00,230,1007.86,5.6,6.80,27.3,31.97,1008.32,88,6.00,25.2
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,08-27-2019,01:00:00,000,1008.29,0.0,1.10,26.8,30.18,1008.97,86,8.00,24.2
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.60,08-27-2019,01:00:00,250,1007.09,7.4,0.80,26.8,30.18,1008.62,86,8.00,24.2
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,4.00,08-27-2019,01:00:00,310,1011.14,11.1,5.00,24.5,28.89,1012.07,94,8.00,23.5
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-27-2019,01:00:00,000,1008.97,0.0,0.00,27.7,30.26,1009.66,81,10.00,24.2
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,08-27-2019,01:00:00,150,1008.93,3.7,2.60,25.7,31.63,1009.73,96,8.00,25.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-27-2019,01:00:00,000,1008.58,0.0,0.30,25.8,29.13,1009.22,88,10.00,23.6
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-27-2019,01:00:00,000,1009.03,0.0,0.00,25.9,27.48,1009.43,82,10.00,22.6
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-27-2019,01:00:00,000,1006.65,0.0,0.00,26.5,31.79,1010.88,92,5.00,25.1
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-27-2019,01:00:00,000,1007.76,0.0,8.00,24.7,30.03,1009.39,97,8.00,24.1
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-27-2019,01:00:00,000,1006.13,0.0,2.20,24.5,29.41,1009.65,96,6.00,23.8
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-27-2019,01:00:00,000,1007.78,0.0,0.00,26.8,29.64,1009.14,84,10.00,23.9
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.70,08-27-2019,01:00:00,240,1009.35,5.6,11.70,26.7,32.46,1010.24,93,10.00,25.4
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.20,08-27-2019,01:00:00,000,1006.54,0.0,1.50,24.8,29.69,1010.14,95,10.00,23.9
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-27-2019,01:00:00,270,1009.31,7.4,0.40,28.5,30.15,1009.75,78,10.00,24.2
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-27-2019,01:00:00,000,1008.46,0.0,0.00,28.9,31.21,1009.45,78,10.00,24.8
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-27-2019,01:00:00,280,1008.90,25.9,0.00,28.7,33.08,1009.71,84,10.00,25.7
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,08-27-2019,01:00:00,000,1007.96,0.0,0.00,26.1,31.57,1009.78,93,10.00,24.9
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-27-2019,01:00:00,240,1009.11,5.6,0.01,26.4,28.64,1009.87,83,11.00,23.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-27-2019,01:00:00,110,1005.84,3.7,9.60,24.4,30.02,1009.89,98,10.00,24.1
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-27-2019,01:00:00,000,1009.68,0.0,0.00,25.7,30.81,1010.37,93,10.00,24.5
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-27-2019,01:00:00,000,1009.36,0.0,0.00,24.4,29.49,1010.49,97,10.00,23.8
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-27-2019,01:00:00,000,1007.42,0.0,2.80,25.4,31.06,1010.37,96,10.00,24.7
