WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MaximumTemperature,Date,Time,VaporPressure,AirTemperature,Rainfall,RelativeHumidity,StationPressure,WindDirection,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,DewPoint,LandVisibility
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,34.8,07-15-2019,19:00:00,31.93,31.5,0.00,69,971.51,000,0.0,0.00,1000.71,25.1,12.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,36.5,07-15-2019,19:00:00,23.77,32.0,0.00,50,966.54,000,0.0,0.00,1001.18,20.3,10.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,38.1,07-15-2019,19:00:00,30.39,29.9,0.00,72,972.03,000,0.0,0.00,1001.23,24.3,14.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,38.1,07-15-2019,19:00:00,32.76,27.7,1.00,88,995.61,000,0.0,1.00,1002.87,25.6,10.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,35.4,07-15-2019,19:00:00,32.59,33.2,0.00,64,981.91,100,5.6,0.00,1001.29,25.5,15.00
48353,LOEI,เลย,เลย,17.45000,101.73333,37.1,07-15-2019,19:00:00,29.89,30.5,0.00,68,973.78,040,5.6,0.00,1001.93,24.0,15.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,34.8,07-15-2019,19:00:00,29.79,32.0,0.00,63,982.15,000,0.0,0.10,1001.87,24.0,13.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,35.6,07-15-2019,19:00:00,34.30,31.5,0.00,74,980.84,000,0.0,0.00,1002.13,26.3,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,34.8,07-15-2019,19:00:00,30.65,32.0,0.00,64,982.66,000,0.0,0.00,1001.72,24.5,12.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,34.4,07-15-2019,19:00:00,31.97,31.1,0.00,71,986.48,000,0.0,0.01,1002.92,25.2,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,33.8,07-15-2019,19:00:00,31.72,30.0,0.00,75,985.95,000,0.0,0.10,1003.11,25.0,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,35.5,07-15-2019,19:00:00,31.11,32.5,0.00,64,975.26,000,0.0,0.00,1000.40,24.7,12.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,36.0,07-15-2019,19:00:00,28.32,31.4,0.00,62,996.25,210,11.1,0.00,1001.92,23.1,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,35.2,07-15-2019,19:00:00,31.31,30.5,0.00,72,996.90,000,0.0,0.00,1002.99,24.8,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,35.1,07-15-2019,19:00:00,26.56,31.2,0.00,58,986.73,000,0.0,0.00,1002.88,22.1,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,31.3,07-15-2019,19:00:00,28.11,24.5,13.10,91,982.21,250,11.1,15.10,1004.66,23.0,6.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,34.6,07-15-2019,19:00:00,26.91,29.8,0.00,64,989.35,240,9.3,0.00,1003.56,22.3,8.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,33.7,07-15-2019,19:00:00,26.09,29.5,0.00,63,986.29,230,14.8,0.00,1002.46,21.8,7.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,34.1,07-15-2019,19:00:00,28.94,32.0,0.00,61,997.72,180,3.7,0.00,1002.84,23.5,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,34.6,07-15-2019,19:00:00,29.80,31.3,0.00,65,988.46,000,0.0,0.00,1001.39,24.0,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,33.1,07-15-2019,19:00:00,25.91,32.0,0.00,54,992.99,000,0.0,0.00,1002.12,21.7,12.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,36.3,07-15-2019,19:00:00,27.79,31.7,0.00,59,980.44,240,7.4,0.00,1001.68,22.8,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,37.7,07-15-2019,19:00:00,30.49,31.5,0.00,66,985.61,220,14.8,0.00,1002.78,24.4,12.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,36.2,07-15-2019,19:00:00,29.25,33.0,0.00,58,986.29,000,0.0,0.00,1001.73,23.7,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,36.7,07-15-2019,19:00:00,30.05,31.0,0.00,67,982.59,000,0.0,0.10,1001.11,24.1,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,29.4,07-15-2019,19:00:00,25.45,26.2,0.00,75,954.22,000,0.0,0.00,1005.27,21.4,8.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,33.2,07-15-2019,19:00:00,33.98,30.8,0.00,77,998.60,120,3.7,0.00,1002.49,26.2,8.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,25.8,07-15-2019,19:00:00,24.91,21.5,0.01,97,910.46,240,13.0,0.20,1005.40,21.0,.01
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,38.3,07-15-2019,19:00:00,29.09,30.8,0.01,66,986.13,340,9.3,0.20,1001.83,23.6,10.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,34.3,07-15-2019,19:00:00,29.73,30.7,0.00,67,999.04,000,0.0,0.00,1003.01,23.9,12.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,35.0,07-15-2019,19:00:00,28.70,30.6,0.00,65,993.68,000,0.0,0.00,1004.20,23.4,9.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,35.2,07-15-2019,19:00:00,28.65,31.0,0.00,64,1001.59,210,5.6,0.60,1003.48,23.3,10.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,36.4,07-15-2019,19:00:00,26.02,31.2,0.00,57,982.13,270,9.3,0.00,1002.62,21.7,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,35.9,07-15-2019,19:00:00,28.42,30.6,0.01,65,984.96,200,7.4,1.90,1002.33,23.2,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,36.1,07-15-2019,19:00:00,28.66,32.0,0.00,60,986.42,000,0.0,0.00,1002.24,23.3,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,35.9,07-15-2019,19:00:00,30.12,32.3,0.00,62,988.90,140,5.6,0.90,1002.63,24.2,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,35.6,07-15-2019,19:00:00,30.53,31.1,0.00,68,989.14,000,0.0,11.50,1003.72,24.4,9.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,37.6,07-15-2019,19:00:00,31.02,32.6,0.00,63,988.45,160,3.7,0.01,1002.79,24.7,10.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,36.6,07-15-2019,19:00:00,25.52,32.8,0.00,51,999.69,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,0.00,1002.64,21.4,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,34.5,07-15-2019,19:00:00,32.64,31.7,0.00,70,994.79,000,0.0,0.00,1002.59,25.5,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,34.8,07-15-2019,19:00:00,30.08,31.3,0.00,66,1003.78,250,5.6,0.00,1004.87,24.1,9.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,36.8,07-15-2019,19:00:00,31.19,31.0,0.00,69,988.47,000,0.0,0.00,1002.90,24.7,10.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,24.6,07-15-2019,19:00:00,24.15,21.0,0.00,97,870.49,000,0.0,0.00,1004.51,20.5,8.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,36.6,07-15-2019,19:00:00,30.65,32.0,0.00,64,997.33,000,0.0,0.00,1003.09,24.5,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,36.5,07-15-2019,19:00:00,33.17,30.0,0.00,78,1003.45,230,5.6,0.00,1004.24,25.8,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,32.7,07-15-2019,19:00:00,31.62,28.4,0.70,82,1004.17,240,5.6,0.70,1004.62,25.0,6.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,31.2,07-15-2019,19:00:00,29.60,27.5,0.20,81,994.81,000,0.0,7.40,1006.08,23.9,5.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,34.8,07-15-2019,19:00:00,27.02,31.3,0.00,59,1003.07,280,3.7,0.00,1004.06,22.4,12.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,35.4,07-15-2019,19:00:00,29.43,31.4,0.00,64,1001.81,180,5.6,0.00,1003.60,23.8,8.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,33.8,07-15-2019,19:00:00,25.68,30.0,0.00,61,1003.49,230,7.4,0.00,1004.25,21.5,6.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,34.7,07-15-2019,19:00:00,29.30,24.0,18.20,98,1004.29,320,9.3,18.20,1005.00,23.7,8.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,36.4,07-15-2019,19:00:00,31.73,32.1,0.00,66,1002.88,240,3.7,0.00,1003.57,25.0,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,37.0,07-15-2019,19:00:00,28.65,32.7,0.00,58,982.02,240,7.4,0.00,1002.69,23.3,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,36.5,07-15-2019,19:00:00,29.50,32.7,0.00,60,986.32,000,0.0,0.00,1002.65,23.8,9.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,37.7,07-15-2019,19:00:00,29.95,32.5,0.00,61,987.12,000,0.0,0.00,1003.20,24.1,10.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,36.5,07-15-2019,19:00:00,25.66,32.3,0.00,53,981.59,000,0.0,0.00,1002.98,21.5,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,32.2,07-15-2019,19:00:00,25.09,28.5,0.00,64,961.10,250,22.2,0.00,1003.99,21.2,12.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,36.8,07-15-2019,19:00:00,27.41,32.5,0.00,56,982.29,120,13.0,0.00,1002.39,22.6,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,38.5,07-15-2019,19:00:00,30.26,26.7,0.20,86,983.86,250,18.5,0.20,1004.64,24.2,9.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,34.6,07-15-2019,19:00:00,32.84,27.6,14.80,89,1003.48,000,0.0,14.80,1003.91,25.6,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,34.5,07-15-2019,19:00:00,30.59,30.0,0.00,72,1002.25,000,0.0,0.00,1003.64,24.4,8.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,34.9,07-15-2019,19:00:00,33.40,31.5,0.00,72,998.58,000,0.0,0.00,1003.42,25.9,10.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,35.0,07-15-2019,19:00:00,27.03,29.0,0.00,68,1001.56,330,7.4,0.00,1004.82,22.4,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,35.0,07-15-2019,19:00:00,31.56,30.2,0.00,74,1003.11,000,0.0,0.00,1004.20,24.9,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,34.8,07-15-2019,19:00:00,30.89,26.6,3.60,89,1004.46,000,0.0,3.60,1004.76,24.6,8.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,35.3,07-15-2019,19:00:00,31.84,27.8,2.10,85,1003.68,000,0.0,2.10,1004.36,25.1,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,35.5,07-15-2019,19:00:00,30.44,25.5,46.70,93,1004.89,000,0.0,49.30,1005.38,24.3,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,34.1,07-15-2019,19:00:00,30.22,26.1,0.01,89,1002.87,200,18.5,0.01,1004.27,24.2,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,31.7,07-15-2019,19:00:00,31.00,29.5,0.00,75,1002.74,330,5.6,0.00,1004.41,24.6,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,34.7,07-15-2019,19:00:00,26.48,31.3,0.00,58,997.68,230,7.4,0.00,1005.56,22.0,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,35.0,07-15-2019,19:00:00,32.59,30.7,0.00,74,1004.08,180,7.4,0.00,1004.36,25.5,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,32.5,07-15-2019,19:00:00,30.72,29.5,0.00,75,1001.24,000,0.0,0.00,1004.34,24.5,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,32.6,07-15-2019,19:00:00,31.80,29.9,0.00,75,997.77,000,0.0,0.00,1004.63,25.1,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,35.5,07-15-2019,19:00:00,31.02,32.6,0.00,63,997.10,000,0.0,0.00,1002.57,24.7,7.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,33.8,07-15-2019,19:00:00,27.14,30.5,0.00,62,999.04,210,14.8,0.00,1008.25,22.4,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,34.9,07-15-2019,19:00:00,32.61,27.2,0.00,90,1004.15,000,0.0,2.90,1005.41,25.5,12.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,35.6,07-15-2019,19:00:00,27.47,30.1,0.00,64,1003.67,240,16.7,0.00,1004.09,22.6,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,34.5,07-15-2019,19:00:00,26.13,28.5,0.00,67,992.69,140,5.6,0.00,1004.86,21.8,10.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,34.8,07-15-2019,19:00:00,26.48,30.0,0.00,62,1003.82,280,11.1,21.00,1004.53,22.0,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,35.5,07-15-2019,19:00:00,30.74,30.5,0.00,70,1002.94,210,3.7,0.00,1005.35,24.5,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,32.4,07-15-2019,19:00:00,33.17,30.0,0.00,78,1004.39,270,11.1,0.00,1004.90,25.8,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,35.3,07-15-2019,19:00:00,31.44,30.0,0.00,74,999.73,170,3.7,0.00,1004.82,24.9,11.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,33.2,07-15-2019,19:00:00,31.72,30.0,0.00,75,1005.02,000,0.0,18.90,1005.43,25.0,9.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,33.3,07-15-2019,19:00:00,30.72,29.5,0.00,75,1003.20,000,0.0,8.30,1005.94,24.5,10.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,35.0,07-15-2019,19:00:00,26.02,28.0,0.00,69,1005.04,000,0.0,0.00,1005.82,21.7,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,33.0,07-15-2019,19:00:00,30.72,29.5,0.00,75,1005.41,210,5.6,89.70,1005.86,24.5,8.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,34.1,07-15-2019,19:00:00,29.19,28.0,0.00,77,1006.11,260,3.7,0.01,1006.79,23.6,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,34.4,07-15-2019,19:00:00,30.29,29.0,0.00,76,1005.12,000,0.0,6.60,1006.64,24.3,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,33.0,07-15-2019,19:00:00,32.28,27.6,8.50,87,1007.06,210,3.7,9.60,1007.97,25.3,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,35.4,07-15-2019,19:00:00,31.93,31.5,0.00,69,1005.58,000,0.0,0.00,1006.25,25.1,12.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,35.5,07-15-2019,19:00:00,30.72,29.5,0.00,75,1006.13,260,5.6,0.00,1006.92,24.5,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,36.4,07-15-2019,19:00:00,29.00,28.9,0.00,73,1005.85,000,0.0,0.00,1006.48,23.5,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,35.7,07-15-2019,19:00:00,29.24,28.6,0.00,75,1006.08,000,0.0,0.00,1006.48,23.7,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,34.5,07-15-2019,19:00:00,32.76,27.7,0.00,88,1005.01,000,0.0,0.00,1009.22,25.6,5.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,35.5,07-15-2019,19:00:00,30.46,25.8,0.00,92,1005.32,000,0.0,5.60,1006.94,24.3,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,34.5,07-15-2019,19:00:00,32.61,27.2,0.00,90,1003.86,000,0.0,10.50,1007.34,25.5,8.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,35.0,07-15-2019,19:00:00,29.75,30.0,0.00,70,1005.25,310,5.6,0.00,1006.59,24.0,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,33.0,07-15-2019,19:00:00,30.55,29.7,0.00,73,1006.27,300,9.3,1.90,1007.15,24.4,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,34.0,07-15-2019,19:00:00,29.27,28.9,0.00,74,1003.11,000,0.0,0.00,1006.64,23.7,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,34.0,07-15-2019,19:00:00,30.31,30.0,0.00,71,1006.58,000,0.0,0.60,1007.01,24.3,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,33.0,07-15-2019,19:00:00,31.27,30.2,0.00,73,1005.91,320,7.4,1.50,1006.89,24.8,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,31.5,07-15-2019,19:00:00,30.75,29.8,0.00,73,1006.06,270,24.1,0.00,1006.87,24.5,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,34.9,07-15-2019,19:00:00,31.32,29.8,0.00,75,1005.12,210,5.6,0.00,1006.91,24.8,12.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,35.3,07-15-2019,19:00:00,27.24,31.7,0.00,58,1005.84,230,9.3,0.00,1006.58,22.5,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,34.4,07-15-2019,19:00:00,28.37,30.0,0.00,67,1003.06,230,11.1,0.00,1007.02,23.2,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,32.6,07-15-2019,19:00:00,32.91,29.6,0.00,79,1007.54,000,0.0,0.00,1008.21,25.6,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,34.2,07-15-2019,19:00:00,28.26,30.8,0.00,64,1006.48,210,5.6,0.00,1007.58,23.1,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,33.8,07-15-2019,19:00:00,30.40,29.2,0.00,75,1004.31,260,5.6,0.00,1007.20,24.3,10.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,34.3,07-15-2019,19:00:00,30.70,30.2,0.00,72,1006.06,000,0.0,0.00,1006.74,24.5,10.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,33.6,07-15-2019,19:00:00,26.44,29.4,0.00,65,1003.38,320,5.6,9.50,1007.47,22.0,10.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,35.4,07-15-2019,19:00:00,25.61,31.7,0.00,55,1006.57,000,0.0,0.00,1007.15,21.5,10.00
