WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,AirTemperature,Rainfall,DewPoint,MeanSeaLevelPressure,LandVisibility,WindSpeed,RelativeHumidity,WindDirection,Rainfall24Hr,StationPressure
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,29.46,07-15-2019,16:00:00,34.5,0.00,23.8,1000.92,15.00,7.4,54,100,0.00,982.03
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,29.71,07-15-2019,16:00:00,34.2,0.00,23.9,1001.81,12.00,1.9,55,190,0.01,985.55
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,32.00,07-15-2019,16:00:00,33.2,0.00,25.2,1001.42,10.00,0.0,63,000,0.10,984.47
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,26.52,07-15-2019,16:00:00,34.6,0.00,22.1,999.72,13.00,3.7,48,150,0.00,974.77
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,29.83,07-15-2019,16:00:00,33.0,0.00,24.0,1001.23,10.00,9.3,59,150,0.00,995.59
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,27.43,07-15-2019,16:00:00,33.5,0.00,22.6,1002.20,12.00,13.0,53,240,0.00,996.17
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.02,07-15-2019,16:00:00,34.3,0.00,20.4,1002.65,10.00,0.0,44,000,0.00,986.67
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,28.04,07-15-2019,16:00:00,29.4,0.00,23.0,1002.91,10.00,3.7,68,310,2.00,980.86
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.62,07-15-2019,16:00:00,33.6,0.00,22.7,1002.77,8.00,18.5,53,260,0.00,988.75
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,26.75,07-15-2019,16:00:00,32.3,0.00,22.2,1001.81,7.00,11.1,55,240,0.00,985.79
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,29.70,07-15-2019,16:00:00,33.5,0.00,23.9,1002.85,10.00,9.3,57,140,0.00,997.76
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,30.16,07-15-2019,16:00:00,34.0,0.00,24.2,1001.41,12.00,5.6,57,150,0.00,988.58
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,26.72,07-15-2019,16:00:00,33.0,0.00,22.2,1002.58,12.00,7.4,53,180,0.00,993.48
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,27.43,07-15-2019,16:00:00,31.8,0.00,22.6,1001.81,10.00,0.0,58,000,0.00,980.57
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,26.37,07-15-2019,16:00:00,36.5,0.00,22.0,1001.56,12.00,11.1,43,230,0.00,984.69
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,27.40,07-15-2019,16:00:00,35.6,0.00,22.6,1000.84,12.00,3.7,47,280,0.00,985.54
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,30.72,07-15-2019,16:00:00,29.5,0.10,24.5,1001.08,7.00,3.7,75,350,0.10,982.46
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.14,07-15-2019,16:00:00,27.8,0.00,20.5,1005.33,10.00,0.0,65,000,0.00,954.54
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,29.42,07-15-2019,16:00:00,32.8,0.00,23.8,1002.84,10.00,0.0,59,000,0.00,998.97
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,24.22,07-15-2019,16:00:00,23.8,0.00,20.6,1004.32,8.00,18.5,82,210,0.20,910.17
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,27.03,07-15-2019,16:00:00,37.1,0.00,22.4,1000.91,10.00,7.4,43,230,0.20,985.53
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,35.60,07-15-2019,16:00:00,32.5,0.00,27.0,1003.34,12.00,0.0,73,000,0.00,999.39
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,27.01,07-15-2019,16:00:00,34.0,0.00,22.4,1003.80,10.00,0.0,51,000,0.00,993.40
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,30.53,07-15-2019,16:00:00,33.2,0.60,24.4,1003.27,10.00,5.6,60,210,0.60,1001.38
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,24.39,07-15-2019,16:00:00,35.5,0.00,20.7,1001.35,10.00,11.1,42,260,0.00,981.18
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,32.20,07-15-2019,16:00:00,32.6,1.90,25.3,1000.81,11.00,3.7,65,140,1.90,983.58
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,28.43,07-15-2019,16:00:00,34.7,0.00,23.2,1000.72,10.00,7.4,51,340,0.00,985.06
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,27.48,07-15-2019,16:00:00,35.5,0.00,22.6,1001.75,10.00,3.7,48,300,40.50,988.17
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,29.46,07-15-2019,16:00:00,34.5,0.00,23.8,1002.44,10.00,0.0,54,000,11.90,988.04
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,26.82,07-15-2019,16:00:00,37.0,0.00,22.2,1001.58,10.00,7.4,43,240,0.01,987.46
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,29.21,07-15-2019,16:00:00,34.1,0.00,23.6,1003.36,10.00,0.0,55,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,1000.42
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,30.66,07-15-2019,16:00:00,33.4,0.00,24.5,1002.80,10.00,7.4,60,250,0.00,995.04
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,28.19,07-15-2019,16:00:00,33.6,0.00,23.1,1004.36,9.00,22.2,54,230,0.00,1003.28
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,29.48,07-15-2019,16:00:00,31.0,0.00,23.8,1003.03,10.00,0.0,66,000,0.00,988.59
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,24.94,07-15-2019,16:00:00,23.8,0.00,21.1,1002.49,8.00,0.0,85,000,0.00,869.89
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,34.91,07-15-2019,16:00:00,35.6,0.00,26.6,1002.86,10.00,7.4,60,240,0.00,997.16
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,33.54,07-15-2019,16:00:00,35.0,0.00,26.0,1003.93,8.00,7.4,60,230,0.00,1003.15
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,29.43,07-15-2019,16:00:00,31.4,0.00,23.8,1003.72,10.00,13.0,64,210,0.00,1003.28
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,29.33,07-15-2019,16:00:00,28.5,0.00,23.7,1005.93,6.00,5.6,75,220,8.80,994.69
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,27.15,07-15-2019,16:00:00,33.5,0.00,22.4,1003.66,12.00,13.0,52,310,0.00,1002.68
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,29.33,07-15-2019,16:00:00,34.3,0.00,23.7,1003.66,10.00,7.4,54,170,0.00,1001.89
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,25.35,07-15-2019,16:00:00,33.0,0.00,21.3,1003.82,9.00,11.1,50,270,0.00,1003.07
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,30.28,07-15-2019,16:00:00,32.8,0.00,24.2,1003.94,10.00,20.4,61,210,0.00,1003.25
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,33.74,07-15-2019,16:00:00,35.5,0.00,26.1,1003.30,10.00,5.6,58,240,0.00,1002.62
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,29.03,07-15-2019,16:00:00,36.8,0.00,23.5,1001.91,10.00,11.1,47,310,0.00,981.53
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,27.48,07-15-2019,16:00:00,35.5,0.00,22.6,1001.75,12.00,3.7,48,230,0.00,985.57
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,27.89,07-15-2019,16:00:00,36.4,0.00,22.9,1002.34,10.00,11.1,46,210,0.00,986.48
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,28.93,07-15-2019,16:00:00,35.5,0.00,23.5,1001.82,10.00,0.0,50,000,0.00,980.67
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.32,07-15-2019,16:00:00,31.5,0.00,21.9,1003.36,14.00,14.8,57,270,0.00,960.90
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,25.24,07-15-2019,16:00:00,36.5,0.00,21.2,1001.74,11.00,13.0,41,260,0.00,981.91
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,27.36,07-15-2019,16:00:00,35.3,0.00,22.6,1003.41,10.00,9.3,48,200,0.00,983.23
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,31.02,07-15-2019,16:00:00,31.2,0.00,24.7,1003.89,11.00,22.2,68,210,0.00,1003.47
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,31.34,07-15-2019,16:00:00,34.0,0.00,24.8,1003.10,11.00,0.0,59,000,0.00,1001.72
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,29.62,07-15-2019,16:00:00,34.3,0.00,23.9,1003.47,12.00,3.7,55,220,0.00,998.67
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,27.69,07-15-2019,16:00:00,34.9,0.00,22.8,1003.96,12.00,9.3,50,310,0.00,1000.76
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,30.28,07-15-2019,16:00:00,33.5,0.00,24.2,1003.65,10.00,5.6,59,320,0.00,1002.58
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,30.46,07-15-2019,16:00:00,34.0,0.00,24.3,1003.88,10.00,9.3,57,230,0.00,1003.59
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,30.38,07-15-2019,16:00:00,34.8,0.00,24.3,1003.26,12.00,5.6,55,190,0.00,1002.59
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,35.72,07-15-2019,16:00:00,30.5,2.60,27.0,1003.84,10.00,3.7,82,240,2.60,1003.36
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,27.62,07-15-2019,16:00:00,33.6,0.00,22.7,1003.46,10.00,18.5,53,260,0.00,1002.09
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,29.25,07-15-2019,16:00:00,30.6,0.00,23.7,1004.32,12.00,18.5,67,180,0.00,1002.66
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,28.76,07-15-2019,16:00:00,34.3,0.00,23.4,1005.23,15.00,7.4,53,310,0.00,997.43
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,31.29,07-15-2019,16:00:00,33.7,0.00,24.8,1003.59,10.00,7.4,60,220,0.00,1003.32
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,28.51,07-15-2019,16:00:00,31.5,0.00,23.2,1004.20,12.00,5.6,62,200,0.00,1001.12
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,27.19,07-15-2019,16:00:00,32.1,0.00,22.5,1004.47,12.00,7.4,57,230,0.00,997.66
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,29.97,07-15-2019,16:00:00,35.3,0.00,24.1,1003.21,7.00,13.0,52,270,0.00,997.78
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,28.25,07-15-2019,16:00:00,32.5,0.00,23.1,1007.44,12.00,11.1,58,240,0.00,998.29
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,32.05,07-15-2019,16:00:00,27.2,2.90,25.2,1005.21,12.00,7.4,89,360,2.90,1003.95
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,35.52,07-15-2019,16:00:00,32.6,0.00,26.9,1004.17,11.00,11.1,72,130,0.00,1003.75
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,27.82,07-15-2019,16:00:00,31.0,0.00,22.8,1005.25,10.00,11.1,62,270,0.00,993.18
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,29.39,07-15-2019,16:00:00,30.1,21.00,23.7,1004.87,10.00,11.1,69,260,21.00,1004.17
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,29.46,07-15-2019,16:00:00,34.5,0.00,23.8,1005.51,10.00,11.1,54,190,0.00,1003.14
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,32.30,07-15-2019,16:00:00,31.4,0.00,25.3,1004.77,10.00,14.8,70,220,0.00,1004.26
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.41,07-15-2019,16:00:00,32.3,0.00,23.2,1004.44,12.00,9.3,59,230,0.00,999.38
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,31.02,07-15-2019,16:00:00,32.6,0.00,24.7,1004.61,10.00,0.0,63,000,18.90,1004.20
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,32.81,07-15-2019,16:00:00,31.5,0.00,25.6,1005.06,10.00,7.4,71,220,8.30,1002.34
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,25.88,07-15-2019,16:00:00,28.8,0.00,21.7,1005.86,12.00,18.5,65,290,0.00,1005.08
48501,TRAD,ตราด,ตราด,11.76667,102.88333,33.22,07-15-2019,16:00:00,31.0,0.00,25.8,1005.32,10.00,7.4,74,250,89.70,1004.87
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,26.62,07-15-2019,16:00:00,29.5,0.01,22.1,1006.48,9.00,7.4,65,300,0.01,1005.80
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,29.32,07-15-2019,16:00:00,31.2,6.60,23.7,1006.49,9.00,3.7,65,230,6.60,1004.99
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,30.75,07-15-2019,16:00:00,29.8,1.10,24.5,1007.07,8.00,11.1,73,290,1.10,1006.16
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,28.63,07-15-2019,16:00:00,34.1,0.00,23.3,1005.83,12.00,11.1,54,320,0.00,1005.16
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,29.15,07-15-2019,16:00:00,31.4,0.00,23.6,1006.14,10.00,5.6,63,270,0.00,1005.36
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,26.87,07-15-2019,16:00:00,30.5,0.00,22.3,1005.88,10.00,1.9,62,130,0.10,1005.25
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,28.55,07-15-2019,16:00:00,34.2,0.00,23.3,1005.67,10.00,0.0,53,000,0.01,1005.28
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,27.14,07-15-2019,16:00:00,30.5,0.00,22.4,1008.62,5.00,16.7,62,280,0.00,1004.45
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,29.19,07-15-2019,16:00:00,30.0,5.60,23.6,1005.42,10.00,0.0,69,000,5.60,1003.83
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,29.08,07-15-2019,16:00:00,26.5,10.50,23.6,1007.18,7.00,0.0,84,000,10.50,1003.70
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,25.65,07-15-2019,16:00:00,34.3,0.00,21.5,1005.79,10.00,11.1,47,300,0.00,1004.47
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,30.36,07-15-2019,16:00:00,32.0,0.00,24.3,1006.71,10.00,9.3,64,300,1.90,1005.84
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,27.52,07-15-2019,16:00:00,31.7,0.00,22.7,1006.43,10.00,5.6,59,280,0.00,1002.92
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,28.92,07-15-2019,16:00:00,33.4,0.00,23.5,1006.55,10.00,9.3,56,270,1.80,1006.12
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,29.07,07-15-2019,16:00:00,31.5,0.00,23.6,1008.36,10.00,13.0,63,280,1.50,1007.39
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,31.76,07-15-2019,16:00:00,30.3,0.00,25.0,1006.52,10.00,24.1,74,270,0.00,1005.72
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,28.12,07-15-2019,16:00:00,33.0,0.00,23.0,1006.40,14.00,16.7,56,250,0.00,1004.63
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,26.84,07-15-2019,16:00:00,34.9,0.00,22.3,1005.63,12.00,11.1,48,250,0.01,1004.90
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,28.85,07-15-2019,16:00:00,32.8,0.00,23.4,1006.30,10.00,18.5,58,230,0.20,1002.39
48570,SATUN,สตูล,สตูล,6.65000,100.08333,29.06,07-15-2019,16:00:00,32.2,0.00,23.6,1006.53,10.00,9.3,60,270,0.40,1005.86
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,26.98,07-15-2019,16:00:00,33.7,0.00,22.3,1006.20,12.00,7.4,52,260,0.00,1005.11
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,29.54,07-15-2019,16:00:00,33.0,0.00,23.8,1006.74,11.00,13.0,59,270,0.00,1003.88
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,31.08,07-15-2019,16:00:00,33.6,0.00,24.7,1005.40,11.00,7.4,60,210,0.90,1004.72
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,26.56,07-15-2019,16:00:00,33.2,0.00,22.1,1006.35,12.00,14.8,52,220,9.50,1002.32
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,23.44,07-15-2019,16:00:00,35.0,0.00,20.0,1006.21,12.00,11.1,42,310,0.00,1005.64
