WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,WindSpeed,RelativeHumidity,WindDirection,Rainfall,LandVisibility,VaporPressure,DewPoint,AirTemperature,StationPressure,Rainfall24Hr
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,07-20-2019,22:00:00,1005.38,0.0,95,000,0.00,12.00,31.55,24.9,25.8,975.66,2.60
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,07-20-2019,22:00:00,1004.71,0.0,70,000,0.00,10.00,32.52,25.4,31.5,997.53,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,07-20-2019,22:00:00,1005.18,0.0,80,000,0.00,13.00,34.90,26.6,30.4,985.55,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,07-20-2019,22:00:00,1005.54,0.0,81,000,0.00,13.00,30.56,24.4,28.0,977.06,0.01
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,07-20-2019,22:00:00,1005.67,7.4,70,150,0.00,12.00,29.16,23.6,29.7,985.72,1.20
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,07-20-2019,22:00:00,1006.84,0.0,88,000,0.00,10.00,31.38,24.8,27.0,985.13,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,07-20-2019,22:00:00,1005.88,0.0,82,000,0.00,10.00,31.62,25.0,28.4,986.51,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,07-20-2019,22:00:00,1006.87,0.0,78,000,0.00,10.00,34.14,26.3,30.6,990.34,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,07-20-2019,22:00:00,1006.86,0.0,87,000,0.00,10.00,35.30,26.8,29.2,989.59,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,07-20-2019,22:00:00,1003.00,11.1,69,160,0.00,11.00,29.08,23.6,29.8,977.58,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,07-20-2019,22:00:00,1004.38,3.7,76,180,0.00,10.00,34.11,26.2,31.0,998.68,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,07-20-2019,22:00:00,1003.87,0.0,75,000,0.00,12.00,32.75,25.6,30.5,997.77,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,07-20-2019,22:00:00,1005.63,0.0,66,000,0.00,10.00,29.48,23.8,31.0,989.44,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,07-20-2019,22:00:00,1005.60,7.4,80,240,0.00,10.00,29.15,23.6,27.4,983.34,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,07-20-2019,22:00:00,1005.86,11.1,68,260,0.00,10.00,29.89,24.0,30.5,991.66,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,07-20-2019,22:00:00,1004.98,11.1,63,240,0.00,7.00,28.09,23.0,31.0,988.85,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,07-20-2019,22:00:00,1005.07,0.0,75,000,0.00,10.00,32.34,25.3,30.3,999.91,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,07-20-2019,22:00:00,1003.99,0.0,64,000,0.00,10.00,29.24,23.7,31.3,991.02,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,07-20-2019,22:00:00,1005.35,9.3,69,200,0.00,10.00,29.47,23.8,30.0,996.13,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,07-20-2019,22:00:00,1006.94,7.4,93,180,9.90,6.00,31.19,24.7,25.9,985.18,9.90
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,07-20-2019,22:00:00,1006.25,13.0,92,200,10.80,4.00,30.84,24.6,26.0,988.71,10.80
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,07-20-2019,22:00:00,1005.73,5.6,61,160,0.00,10.00,28.23,23.1,31.5,990.15,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,07-20-2019,22:00:00,1006.01,0.0,96,000,2.70,6.00,32.59,25.5,26.2,987.10,2.70
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,07-20-2019,22:00:00,1008.43,0.0,90,000,4.40,7.00,28.83,23.4,25.2,957.05,10.80
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,07-20-2019,22:00:00,1005.34,7.4,75,150,0.00,8.00,32.75,25.6,30.5,1001.43,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,07-20-2019,22:00:00,1007.59,11.1,92,230,0.00,5.00,25.84,21.6,23.0,912.90,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,07-20-2019,22:00:00,1007.59,3.7,84,210,0.80,5.00,31.28,24.8,27.8,991.64,0.80
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,07-20-2019,22:00:00,1006.28,7.4,76,220,0.00,10.00,32.42,25.4,30.2,1002.29,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,07-20-2019,22:00:00,1007.46,5.6,74,180,0.00,8.00,29.74,23.9,29.0,996.85,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,07-20-2019,22:00:00,1006.86,0.0,77,000,0.00,9.00,29.19,23.6,28.0,1004.94,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,07-20-2019,22:00:00,1006.95,0.0,79,000,0.10,10.00,29.93,24.1,28.1,986.16,4.20
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,07-20-2019,22:00:00,1006.64,0.0,79,000,0.00,10.00,29.44,23.8,27.7,989.02,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,07-20-2019,22:00:00,1006.60,0.0,91,000,6.60,10.00,34.11,26.2,27.8,990.49,6.60
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,07-20-2019,22:00:00,1007.26,3.7,78,170,0.00,10.00,29.46,23.8,28.0,993.27,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,07-20-2019,22:00:00,1008.41,0.0,78,000,0.00,10.00,32.13,25.2,29.5,993.68,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,07-20-2019,22:00:00,1008.41,7.4,79,210,0.00,8.00,29.93,24.1,28.1,993.78,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,07-20-2019,22:00:00,1006.34,0.0,76,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,10.00,30.96,24.6,29.2,1003.34,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,07-20-2019,22:00:00,1005.96,7.4,70,150,0.00,8.00,29.66,23.9,30.1,998.10,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,07-20-2019,22:00:00,1007.04,11.1,79,150,0.00,8.00,32.01,25.2,29.3,1005.94,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,07-20-2019,22:00:00,1007.13,0.0,76,000,0.00,10.00,30.96,24.6,29.2,992.55,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,07-20-2019,22:00:00,1007.36,11.1,99,190,0.00,.05,23.86,20.3,20.5,872.75,9.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,07-20-2019,22:00:00,1006.27,5.6,81,230,0.00,10.00,33.50,25.9,29.6,1000.44,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,07-20-2019,22:00:00,1007.44,9.3,92,180,0.00,8.00,38.07,28.1,29.5,1006.65,2.30
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,07-20-2019,22:00:00,1005.73,9.3,85,210,0.00,10.00,33.99,26.2,29.0,1005.29,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,07-20-2019,22:00:00,1007.70,0.0,82,000,0.00,6.00,31.70,25.0,28.3,996.44,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,07-20-2019,22:00:00,1007.01,1.9,82,190,0.00,10.00,31.70,25.0,28.3,1006.00,0.80
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,07-20-2019,22:00:00,1007.05,3.7,79,180,0.00,9.00,32.30,25.3,29.3,1005.24,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,07-20-2019,22:00:00,1006.83,0.0,84,000,0.00,8.00,30.70,24.5,27.5,1006.06,0.30
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,07-20-2019,22:00:00,1007.17,13.0,81,200,0.00,10.00,32.87,25.6,29.3,1006.48,0.10
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,07-20-2019,22:00:00,1007.47,0.0,80,000,0.00,7.00,30.67,24.5,28.2,1006.77,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,07-20-2019,22:00:00,1006.73,3.7,82,230,0.00,10.00,31.11,24.7,28.0,985.65,0.01
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,07-20-2019,22:00:00,1007.26,0.0,82,000,0.00,8.00,30.15,24.2,27.5,990.57,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,07-20-2019,22:00:00,1007.69,3.7,81,190,0.00,7.00,29.60,23.9,27.5,991.28,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,07-20-2019,22:00:00,1006.63,0.0,72,000,0.00,10.00,27.61,22.7,28.3,984.87,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,07-20-2019,22:00:00,1006.92,0.0,74,000,0.00,12.00,27.03,22.4,27.4,963.74,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,07-20-2019,22:00:00,1006.68,7.4,74,160,0.00,9.00,27.85,22.9,28.0,986.20,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,07-20-2019,22:00:00,1008.59,5.6,94,200,0.01,8.00,31.85,25.1,26.1,987.68,0.01
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,07-20-2019,22:00:00,1006.66,13.0,76,220,0.00,10.00,30.88,24.6,29.3,1006.23,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,07-20-2019,22:00:00,1007.85,0.0,90,000,0.00,6.00,31.16,24.7,26.6,1006.43,8.20
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,07-20-2019,22:00:00,1008.05,0.0,94,000,0.00,7.00,31.46,24.9,25.9,1003.09,23.90
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,07-20-2019,22:00:00,1006.92,3.7,76,190,0.00,12.00,30.57,24.4,29.0,1003.65,1.10
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,07-20-2019,22:00:00,1007.03,0.0,85,000,0.00,10.00,32.35,25.4,28.2,1005.92,0.70
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,07-20-2019,22:00:00,1006.98,13.0,82,190,0.00,10.00,34.00,26.2,29.7,1006.69,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,07-20-2019,22:00:00,1006.47,0.0,79,000,0.00,10.00,32.83,25.6,29.7,1005.98,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,07-20-2019,22:00:00,1007.40,9.3,86,170,0.00,10.00,35.00,26.7,29.2,1006.00,10.20
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,07-20-2019,22:00:00,1009.25,0.0,92,000,0.01,10.00,30.84,24.6,26.0,1001.21,13.90
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,07-20-2019,22:00:00,1007.76,0.0,80,000,0.00,10.00,33.41,25.9,29.7,1007.48,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,07-20-2019,22:00:00,1007.55,0.0,76,000,0.00,10.00,30.96,24.6,29.2,1004.44,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,07-20-2019,22:00:00,1007.44,5.6,81,210,0.00,12.00,32.55,25.5,29.0,1000.55,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,07-20-2019,22:00:00,1008.51,7.4,84,300,0.00,8.00,30.97,24.6,27.5,1002.91,0.60
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,07-20-2019,22:00:00,1007.83,0.0,93,000,0.01,8.00,32.46,25.4,26.7,1006.56,0.30
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,07-20-2019,22:00:00,1006.84,18.5,79,240,0.00,11.00,32.10,25.2,29.2,1006.42,6.10
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,07-20-2019,22:00:00,1007.64,9.3,85,210,0.00,10.00,28.62,23.3,26.1,995.34,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,07-20-2019,22:00:00,1007.54,7.4,78,240,0.00,10.00,30.15,24.2,28.5,1006.83,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,07-20-2019,22:00:00,1006.92,14.8,73,180,0.00,10.00,30.47,24.4,29.8,1004.50,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,07-20-2019,22:00:00,1007.83,18.5,81,250,0.00,10.00,33.58,26.0,29.5,1007.31,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,07-20-2019,22:00:00,1007.73,1.9,76,190,0.00,12.00,30.96,24.6,29.2,1002.61,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,07-20-2019,22:00:00,1008.27,7.4,81,220,0.00,7.00,32.46,25.4,29.1,1007.86,0.40
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,07-20-2019,22:00:00,1008.45,0.0,88,000,0.00,8.00,32.36,25.4,27.5,1005.68,16.10
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,07-20-2019,22:00:00,1007.71,0.0,88,000,0.10,10.00,29.68,23.9,26.1,1006.92,6.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,07-20-2019,22:00:00,1008.89,5.6,95,050,0.00,6.00,31.17,24.7,25.6,1008.43,43.90
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,07-20-2019,22:00:00,1008.57,0.0,88,000,0.00,8.00,29.31,23.7,25.9,1007.89,15.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,07-20-2019,22:00:00,1008.30,0.0,88,000,0.00,8.00,28.67,23.3,25.4,1006.77,2.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,07-20-2019,22:00:00,1008.82,0.0,91,000,0.20,10.00,28.11,23.0,24.5,1007.89,38.60
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,07-20-2019,22:00:00,1008.50,0.0,84,000,0.00,10.00,30.02,24.1,27.0,1007.81,2.60
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,07-20-2019,22:00:00,1008.84,1.9,96,190,0.10,6.00,29.41,23.8,24.5,1008.03,4.90
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,07-20-2019,22:00:00,1008.87,0.0,86,000,0.00,10.00,29.70,23.9,26.4,1008.23,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,07-20-2019,22:00:00,1008.94,0.0,90,000,0.00,10.00,29.38,23.7,25.5,1008.53,0.01
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,07-20-2019,22:00:00,1010.28,0.0,89,000,0.00,5.00,30.59,24.4,26.3,1006.04,0.01
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,07-20-2019,22:00:00,1009.08,0.0,96,000,0.01,7.00,28.53,23.3,24.0,1007.45,11.20
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,07-20-2019,22:00:00,1009.06,0.0,96,000,0.00,7.00,29.77,24.0,24.7,1005.56,35.70
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,07-20-2019,22:00:00,1008.72,0.0,95,000,0.00,8.00,29.69,23.9,24.8,1007.36,29.50
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,07-20-2019,22:00:00,1007.71,0.0,98,000,1.60,10.00,31.87,25.1,25.4,1006.82,47.80
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,07-20-2019,22:00:00,1009.26,0.0,98,000,0.00,10.00,29.30,23.7,24.0,1005.66,14.20
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,07-20-2019,22:00:00,1008.76,0.0,96,000,0.60,10.00,32.20,25.3,26.0,1008.33,9.60
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,07-20-2019,22:00:00,1008.55,0.0,97,000,1.80,8.00,31.71,25.0,25.6,1007.55,49.90
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,07-20-2019,22:00:00,1008.87,0.0,95,000,0.00,10.00,29.69,23.9,24.8,1008.05,16.20
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,07-20-2019,22:00:00,1009.80,0.0,96,000,0.00,10.00,29.77,24.0,24.7,1007.97,20.90
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,07-20-2019,22:00:00,1009.44,1.9,87,260,0.00,9.00,30.83,24.5,27.0,1008.69,3.70
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,07-20-2019,22:00:00,1009.35,0.0,92,000,0.00,10.00,31.41,24.9,26.3,1005.33,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,07-20-2019,22:00:00,1010.49,0.0,92,000,0.00,10.00,30.84,24.6,26.0,1009.80,6.80
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,07-20-2019,22:00:00,1008.92,0.0,94,000,0.00,10.00,30.71,24.5,25.5,1007.80,6.60
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,07-20-2019,22:00:00,1009.44,0.0,87,000,0.00,10.00,31.89,25.1,27.4,1006.52,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,07-20-2019,22:00:00,1009.25,0.0,96,000,29.70,5.00,31.63,25.0,25.7,1008.56,30.50
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,07-20-2019,22:00:00,1009.58,0.0,88,000,0.00,5.00,33.90,26.1,28.4,1005.47,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,07-20-2019,22:00:00,1009.32,0.0,79,000,0.00,10.00,29.36,23.7,27.8,1008.73,0.00
