WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,MaximumTemperature,WindSpeed,RelativeHumidity,WindDirection,VaporPressure,StationPressure,DewPoint,AirTemperature,MeanSeaLevelPressure,LandVisibility
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,08-04-2019,19:00:00,0.30,29.0,0.0,75,000,27.19,983.83,22.5,27.2,1000.09,7.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.01,08-04-2019,19:00:00,0.70,31.0,5.6,81,180,30.56,995.83,24.4,28.0,1001.01,7.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,08-04-2019,19:00:00,0.00,31.0,0.0,75,000,28.95,986.90,23.5,28.3,999.94,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,08-04-2019,19:00:00,0.00,30.9,0.0,85,000,31.95,991.38,25.1,28.0,1000.61,12.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.01,08-04-2019,19:00:00,2.20,31.8,7.4,61,240,24.69,979.59,20.9,29.3,1000.97,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-04-2019,19:00:00,0.50,31.8,3.7,80,240,30.48,984.18,24.4,28.1,1001.52,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,08-04-2019,19:00:00,0.00,31.5,3.7,80,240,29.52,985.19,23.8,27.6,1000.90,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-04-2019,19:00:00,0.50,33.9,0.0,71,000,28.75,981.35,23.4,29.2,999.96,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,4.80,08-04-2019,19:00:00,15.50,26.4,0.0,92,000,25.84,952.67,21.6,23.0,1004.20,8.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,08-04-2019,19:00:00,0.00,32.2,14.8,76,120,29.98,996.84,24.1,28.7,1000.75,7.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,7.30,08-04-2019,19:00:00,17.80,21.9,20.4,98,250,23.05,907.47,19.8,20.1,1002.56,.40
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,08-04-2019,19:00:00,0.20,30.0,0.0,87,000,31.61,985.34,25.0,27.4,1001.21,8.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.01,08-04-2019,19:00:00,0.10,33.1,5.6,84,200,29.08,997.26,23.6,26.5,1001.28,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10.90,08-04-2019,19:00:00,10.90,31.7,5.6,85,250,26.94,993.29,22.3,25.0,1004.00,4.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.30,08-04-2019,19:00:00,0.30,31.3,0.0,85,000,29.07,998.14,23.6,26.2,1000.06,8.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-04-2019,19:00:00,0.00,32.9,20.4,65,210,26.70,980.86,22.2,29.4,1001.44,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.10,08-04-2019,19:00:00,0.10,31.0,0.0,90,000,30.48,983.37,24.4,26.1,1000.98,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,08-04-2019,19:00:00,0.00,32.0,0.0,80,000,28.67,984.71,23.3,27.0,1000.77,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,2.40,08-04-2019,19:00:00,2.40,32.3,0.0,80,000,30.40,987.99,24.3,28.2,1001.89,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,08-04-2019,19:00:00,0.40,32.5,0.0,81,000,30.56,987.93,24.4,28.0,1002.64,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,08-04-2019,19:00:00,0.70,32.0,0.0,74,000,28.97,988.55,23.5,28.6,1003.08,8.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,8.00,08-04-2019,19:00:00,8.20,33.4,0.0,92,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",29.08,998.82,23.6,24.9,1001.84,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,08-04-2019,19:00:00,0.00,31.8,0.0,83,000,29.00,994.05,23.5,26.6,1001.97,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.50,08-04-2019,19:00:00,0.90,31.1,7.4,83,230,30.23,1002.16,24.2,27.4,1003.27,5.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,08-04-2019,19:00:00,0.00,31.6,3.7,87,120,38.56,989.35,28.3,30.8,1003.81,9.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.40,08-04-2019,19:00:00,2.70,21.0,7.4,99,210,22.01,869.95,19.0,19.2,1004.76,.05
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.20,08-04-2019,19:00:00,10.20,33.4,0.0,90,000,31.35,996.78,24.8,26.7,1002.64,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.60,08-04-2019,19:00:00,1.80,32.0,16.7,71,240,29.33,1002.35,23.7,29.5,1003.15,7.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,08-04-2019,19:00:00,0.30,31.0,14.8,71,230,28.37,1003.34,23.2,29.0,1003.79,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1.00,08-04-2019,19:00:00,42.00,28.0,0.0,92,000,29.99,992.26,24.1,25.4,1003.58,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.40,08-04-2019,19:00:00,1.40,32.6,5.6,85,200,30.10,1002.01,24.1,26.9,1003.02,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.01,08-04-2019,19:00:00,0.50,32.2,7.4,81,210,30.17,1001.08,24.2,27.8,1002.89,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,08-04-2019,19:00:00,4.00,31.1,3.7,72,220,26.88,1001.98,22.3,27.9,1002.74,8.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.01,08-04-2019,19:00:00,0.01,30.4,11.1,80,200,30.48,1003.00,24.4,28.1,1003.70,9.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,08-04-2019,19:00:00,0.00,32.9,0.0,72,000,29.49,1002.33,23.8,29.3,1003.02,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,08-04-2019,19:00:00,0.10,32.6,11.1,67,270,27.69,981.11,22.8,29.5,1001.98,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,08-04-2019,19:00:00,0.00,32.9,7.4,63,240,26.46,985.29,22.0,29.7,1001.77,9.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,08-04-2019,19:00:00,0.10,33.2,11.1,67,190,26.95,986.44,22.3,29.1,1002.69,6.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,08-04-2019,19:00:00,0.01,31.7,9.3,61,270,25.30,980.29,21.3,29.5,1001.85,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.50,08-04-2019,19:00:00,0.80,30.3,0.0,85,000,26.60,960.00,22.1,24.8,1003.39,3.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-04-2019,19:00:00,0.00,34.0,14.8,64,240,25.71,981.77,21.6,29.0,1002.10,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,08-04-2019,19:00:00,0.00,31.1,7.4,76,230,27.73,982.35,22.8,27.5,1003.05,9.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,2.40,08-04-2019,19:00:00,3.90,30.1,5.6,88,310,29.68,1003.66,23.9,26.1,1004.10,8.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,08-04-2019,19:00:00,0.10,31.0,0.0,78,000,29.28,1001.66,23.7,27.9,1003.07,8.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.01,08-04-2019,19:00:00,0.01,31.8,0.0,74,000,29.35,998.34,23.7,28.8,1003.23,8.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.30,08-04-2019,19:00:00,6.40,31.0,7.4,81,200,28.39,1000.07,23.2,26.7,1003.35,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.40,08-04-2019,19:00:00,3.70,30.8,7.4,89,230,30.51,1002.20,24.4,26.4,1003.30,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.01,08-04-2019,19:00:00,0.50,31.7,0.0,78,000,30.73,1003.25,24.5,28.8,1003.55,8.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,08-04-2019,19:00:00,0.80,31.9,11.1,75,280,30.21,1003.35,24.2,29.1,1004.03,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.20,08-04-2019,19:00:00,0.70,31.6,1.9,81,270,31.74,1002.87,25.0,28.6,1003.35,8.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.01,08-04-2019,19:00:00,0.60,31.1,18.5,76,210,29.03,1014.04,23.5,28.2,1015.45,8.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,08-04-2019,19:00:00,0.00,31.8,18.5,73,240,30.47,1002.39,24.4,29.8,1004.05,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.01,08-04-2019,19:00:00,0.01,32.2,3.7,72,230,27.87,996.94,22.9,28.3,1004.89,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,08-04-2019,19:00:00,0.01,31.8,5.6,80,150,32.79,1003.00,25.6,29.4,1003.28,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-04-2019,19:00:00,1.30,30.7,5.6,74,250,29.35,1000.52,23.7,28.8,1003.63,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-04-2019,19:00:00,0.40,30.2,13.0,74,210,28.78,997.14,23.4,28.5,1004.03,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-04-2019,19:00:00,0.00,33.4,0.0,66,000,27.82,997.58,22.8,30.0,1003.10,7.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.01,08-04-2019,19:00:00,0.20,31.8,14.8,77,240,29.76,995.57,24.0,28.3,1004.82,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1.00,08-04-2019,19:00:00,3.50,30.3,0.0,93,000,31.00,1003.18,24.6,25.8,1004.44,10.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.30,08-04-2019,19:00:00,2.80,31.3,0.0,77,000,29.96,1003.00,24.1,28.4,1003.43,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.01,08-04-2019,19:00:00,3.00,28.5,3.7,92,320,31.03,991.72,24.7,26.1,1003.98,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-04-2019,19:00:00,1.20,29.4,5.6,88,180,32.36,1002.86,25.4,27.5,1003.57,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-04-2019,19:00:00,0.01,33.4,11.1,71,230,28.56,1002.11,23.3,29.1,1004.52,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-04-2019,19:00:00,0.01,31.0,18.5,80,250,31.38,1004.34,24.8,28.7,1004.85,8.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-04-2019,19:00:00,0.01,33.7,1.9,74,240,29.54,998.91,23.8,28.9,1004.01,10.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,08-04-2019,19:00:00,4.70,32.5,0.0,80,000,30.98,1003.88,24.6,28.5,1004.29,8.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,08-04-2019,19:00:00,0.00,32.5,0.0,82,000,31.82,1001.95,25.1,28.5,1004.70,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,08-04-2019,19:00:00,6.30,28.8,11.1,79,250,29.06,1003.09,23.6,27.5,1003.87,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,3.40,08-04-2019,19:00:00,114.80,28.0,5.6,96,200,33.19,1004.72,25.8,26.5,1005.18,6.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.80,08-04-2019,19:00:00,1.50,31.0,0.0,89,000,32.45,1004.99,25.4,27.4,1005.67,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.40,08-04-2019,19:00:00,1.20,31.8,3.7,90,270,32.61,1004.21,25.5,27.2,1005.74,7.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,4.80,08-04-2019,19:00:00,5.30,31.6,7.4,87,200,30.83,1005.50,24.5,27.0,1006.41,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-04-2019,19:00:00,0.00,34.6,7.4,71,240,31.03,1004.66,24.7,30.5,1005.34,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.01,08-04-2019,19:00:00,0.40,34.9,5.6,73,260,28.62,1005.61,23.3,28.7,1006.40,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-04-2019,19:00:00,1.80,35.0,11.1,74,230,28.78,1004.92,23.4,28.5,1005.55,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-04-2019,19:00:00,2.50,35.0,7.4,82,210,30.15,1005.48,24.2,27.5,1005.89,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-04-2019,19:00:00,0.01,33.0,0.0,74,000,29.74,1003.54,23.9,29.0,1007.72,5.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-04-2019,19:00:00,0.00,33.5,7.4,81,250,29.60,1005.10,23.9,27.5,1006.71,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,4.70,08-04-2019,19:00:00,13.00,32.8,0.0,93,000,32.07,1003.73,25.2,26.5,1007.21,8.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-04-2019,19:00:00,0.00,34.6,0.0,60,000,25.78,1005.26,21.6,30.2,1006.60,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,08-04-2019,19:00:00,0.50,32.0,11.1,76,240,30.88,1005.88,24.6,29.3,1006.76,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-04-2019,19:00:00,0.00,32.1,0.0,71,000,27.34,1003.51,22.6,28.3,1007.05,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-04-2019,19:00:00,0.00,33.7,9.3,68,270,29.30,1006.24,23.7,30.2,1006.67,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-04-2019,19:00:00,0.00,32.8,5.6,72,240,30.59,1005.55,24.4,30.0,1006.53,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-04-2019,19:00:00,0.00,31.5,27.8,73,240,30.16,1006.39,24.2,29.5,1007.20,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,08-04-2019,19:00:00,0.20,34.0,7.4,74,220,29.74,1005.51,23.9,29.0,1007.31,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-04-2019,19:00:00,0.00,35.1,14.8,57,120,25.47,1006.23,21.4,30.9,1006.98,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-04-2019,19:00:00,3.20,34.4,13.0,63,240,26.37,1003.03,22.0,29.8,1006.99,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-04-2019,19:00:00,8.60,33.4,0.0,82,000,31.70,1007.02,25.0,28.3,1007.70,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-04-2019,19:00:00,0.00,34.3,7.4,59,270,25.80,1005.94,21.6,30.5,1007.04,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-04-2019,19:00:00,0.80,34.0,5.6,70,260,28.97,1004.26,23.5,29.6,1007.15,10.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,08-04-2019,19:00:00,0.00,34.5,0.0,71,000,29.24,1006.08,23.7,29.6,1006.76,8.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,08-04-2019,19:00:00,0.00,34.7,7.4,57,250,23.77,1002.87,20.3,29.8,1006.95,10.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,08-04-2019,19:00:00,0.00,36.0,0.0,70,000,28.78,1006.31,23.4,29.5,1006.89,10.00
