WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall,MaximumTemperature,MeanSeaLevelPressure,DewPoint,WindSpeed,WindDirection,StationPressure,RelativeHumidity,Rainfall24Hr,VaporPressure,LandVisibility
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.8,10-14-2019,19:00:00,0.00,28.0,1013.49,22.1,0.0,000,979.57,85,13.20,26.60,7.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,28.3,10-14-2019,19:00:00,0.00,34.1,1011.46,24.4,0.0,000,992.98,80,0.01,30.59,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.7,10-14-2019,19:00:00,0.00,32.8,1012.81,22.1,0.0,000,989.81,81,0.00,26.62,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.2,10-14-2019,19:00:00,0.01,33.0,1013.08,22.4,0.0,000,982.80,90,1.30,27.09,9.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,25.0,10-14-2019,19:00:00,0.00,30.0,1012.94,23.8,0.0,000,977.09,93,0.20,29.52,8.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,26.2,10-14-2019,19:00:00,0.00,34.3,1011.56,21.4,3.7,270,981.70,75,0.00,25.45,12.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,30.4,10-14-2019,19:00:00,0.00,36.0,1010.65,22.5,0.0,000,1003.40,63,0.00,27.22,9.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,30.5,10-14-2019,19:00:00,0.00,34.5,1011.99,22.4,5.6,080,992.24,62,0.00,27.14,7.00
48353,LOEI,เลย,เลย,17.45000,101.73333,29.0,10-14-2019,19:00:00,0.00,34.1,1011.54,21.6,0.0,000,982.99,64,0.00,25.71,15.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,29.2,10-14-2019,19:00:00,0.00,34.0,1012.05,22.3,1.9,060,991.94,66,0.00,26.87,12.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,24.9,10-14-2019,19:00:00,9.10,34.0,1012.56,23.4,0.0,000,990.57,92,9.10,28.82,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,26.0,10-14-2019,19:00:00,3.10,33.8,1012.16,23.5,3.7,040,992.53,86,3.10,28.97,12.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,28.1,10-14-2019,19:00:00,0.00,34.5,1013.40,22.0,0.0,000,996.62,70,0.00,26.45,12.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,27.2,10-14-2019,19:00:00,0.00,33.1,1013.89,20.9,3.7,090,996.39,68,0.00,24.63,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,28.2,10-14-2019,19:00:00,0.00,34.0,1010.79,22.0,3.7,080,985.04,69,0.00,26.37,8.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,30.6,10-14-2019,19:00:00,0.00,35.6,1010.41,24.8,0.0,000,1004.67,71,0.00,31.23,8.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,29.8,10-14-2019,19:00:00,0.00,35.0,1010.57,23.9,0.0,000,1004.42,71,0.00,29.63,8.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,30.0,10-14-2019,19:00:00,0.00,35.2,1011.48,21.9,0.0,000,995.13,62,0.00,26.21,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,28.0,10-14-2019,19:00:00,0.00,34.2,1009.30,20.4,0.0,000,987.01,63,11.90,23.97,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,29.0,10-14-2019,19:00:00,0.00,34.0,1011.98,24.7,0.0,000,997.62,78,0.40,31.13,10.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,27.2,10-14-2019,19:00:00,0.00,33.5,1011.76,23.2,0.0,000,995.31,79,0.00,28.51,8.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,29.5,10-14-2019,19:00:00,0.00,34.7,1011.18,23.6,0.0,000,1005.97,70,0.01,29.05,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,29.4,10-14-2019,19:00:00,0.00,35.4,1009.39,24.1,0.0,000,996.27,73,0.00,29.96,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,29.6,10-14-2019,19:00:00,0.00,33.9,1011.27,23.8,0.0,000,1001.99,71,4.10,29.52,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,29.0,10-14-2019,19:00:00,0.00,33.9,1011.32,21.7,3.7,090,989.69,65,0.00,25.98,9.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,28.5,10-14-2019,19:00:00,0.00,34.0,1012.02,24.2,0.0,000,994.52,78,0.00,30.15,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,30.0,10-14-2019,19:00:00,0.00,34.7,1011.31,21.9,3.7,030,995.57,62,0.00,26.21,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,28.0,10-14-2019,19:00:00,0.00,34.0,1010.51,23.5,0.0,000,991.63,77,0.00,28.92,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,26.2,10-14-2019,19:00:00,0.00,32.1,1011.16,21.7,0.0,000,959.82,76,18.20,25.95,8.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,30.9,10-14-2019,19:00:00,0.00,33.7,1010.28,25.7,0.0,000,1006.36,74,9.10,33.01,10.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.2,10-14-2019,19:00:00,0.00,26.4,1013.64,19.5,0.0,000,917.83,90,13.70,22.61,7.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,28.4,10-14-2019,19:00:00,0.00,33.4,1011.44,24.8,0.0,000,995.46,81,0.00,31.34,10.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,29.0,10-14-2019,19:00:00,0.00,34.0,1010.83,23.9,0.0,000,1006.81,74,1.30,29.74,8.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,28.5,10-14-2019,19:00:00,0.00,32.8,1012.18,23.4,0.0,000,1001.51,74,0.00,28.78,6.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,29.5,10-14-2019,19:00:00,0.00,34.1,1011.38,23.2,0.0,000,1009.46,69,0.00,28.50,9.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,29.9,10-14-2019,19:00:00,0.00,33.1,1011.23,22.2,0.0,000,990.49,64,0.01,26.82,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,28.1,10-14-2019,19:00:00,0.00,33.0,1010.85,24.5,0.0,000,993.18,81,1.00,30.75,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,29.5,10-14-2019,19:00:00,0.00,33.8,1010.57,23.2,0.0,000,994.49,69,0.00,28.50,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,29.3,10-14-2019,19:00:00,0.00,34.0,1010.74,21.4,0.0,000,996.76,63,0.00,25.47,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,29.0,10-14-2019,19:00:00,0.00,34.0,1011.20,20.4,11.1,040,996.41,60,0.00,23.91,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,28.9,10-14-2019,19:00:00,0.00,33.0,1010.88,24.8,0.0,000,996.24,78,0.00,31.21,10.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,30.8,10-14-2019,19:00:00,0.00,34.1,1010.41,23.9,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1007.42,67,0.10,29.65,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,29.2,10-14-2019,19:00:00,0.00,33.6,1010.29,22.1,0.0,000,1002.37,66,0.00,26.60,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,26.6,10-14-2019,19:00:00,6.10,35.5,1010.14,25.0,7.4,230,1009.03,91,6.10,31.71,6.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,28.0,10-14-2019,19:00:00,0.00,31.2,1010.65,23.6,0.0,000,995.96,77,6.20,29.19,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.9,10-14-2019,19:00:00,0.00,26.2,1012.57,19.1,1.9,030,877.01,95,0.00,22.10,8.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,28.7,10-14-2019,19:00:00,0.00,33.3,1011.06,24.8,0.0,000,1005.19,80,0.00,31.38,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,26.8,10-14-2019,19:00:00,3.60,35.9,1010.41,24.2,5.6,330,1009.60,86,9.60,30.18,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,28.9,10-14-2019,19:00:00,0.00,33.0,1009.93,25.4,0.0,000,1009.48,81,8.70,32.34,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,26.5,10-14-2019,19:00:00,0.00,34.7,1011.20,25.1,0.0,000,999.83,92,14.50,31.79,7.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,28.2,10-14-2019,19:00:00,0.00,34.0,1011.30,23.7,5.6,150,1010.29,77,23.10,29.30,8.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,30.1,10-14-2019,19:00:00,0.00,33.7,1010.85,22.8,0.0,000,1009.04,65,0.00,27.74,8.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,26.0,10-14-2019,19:00:00,4.90,33.0,1010.59,24.4,0.0,000,1009.82,91,33.90,30.57,7.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,28.3,10-14-2019,19:00:00,0.00,33.3,1010.41,24.4,9.3,210,1009.71,80,12.80,30.59,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,29.0,10-14-2019,19:00:00,0.00,34.5,1010.05,24.1,3.7,090,1009.35,75,0.30,30.01,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,29.4,10-14-2019,19:00:00,0.00,32.4,1010.79,22.7,0.0,000,989.72,67,0.00,27.50,8.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,28.7,10-14-2019,19:00:00,0.00,32.2,1010.54,23.0,0.0,000,993.86,71,0.00,28.08,8.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,27.0,10-14-2019,19:00:00,0.00,32.7,1011.38,24.1,0.0,000,994.88,84,0.00,30.02,7.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,29.5,10-14-2019,19:00:00,0.00,33.4,1010.73,23.6,0.0,000,988.97,70,0.00,29.05,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.8,10-14-2019,19:00:00,0.00,32.0,1011.12,21.9,5.6,070,967.68,74,0.00,26.23,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,27.6,10-14-2019,19:00:00,0.00,32.6,1010.94,23.8,0.0,000,990.34,80,0.00,29.52,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.9,10-14-2019,19:00:00,0.00,31.8,1012.33,24.4,5.6,040,991.33,92,0.00,30.65,10.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,29.7,10-14-2019,19:00:00,0.00,31.2,1010.08,24.6,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1009.65,74,54.60,30.83,{'@attributes': {'Unit': 'km'}}
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,26.2,10-14-2019,19:00:00,0.00,33.8,1010.19,23.0,0.0,000,1008.77,82,0.20,28.01,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,26.9,10-14-2019,19:00:00,1.00,33.2,1011.03,24.9,0.0,000,1006.08,89,18.00,31.46,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,29.0,10-14-2019,19:00:00,0.00,32.0,1010.90,24.7,0.0,000,1007.62,78,9.30,31.13,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,29.0,10-14-2019,19:00:00,0.00,33.2,1010.94,25.9,1.9,120,1009.84,83,9.10,33.41,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,30.0,10-14-2019,19:00:00,0.00,33.6,1010.13,25.2,0.0,000,1009.83,75,31.70,32.01,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,30.0,10-14-2019,19:00:00,0.01,33.7,1009.93,26.4,0.0,000,1009.24,81,9.10,34.34,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.8,10-14-2019,19:00:00,0.00,34.7,1009.93,25.4,0.0,000,1009.44,77,14.20,32.46,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,27.0,10-14-2019,19:00:00,0.01,33.4,1010.59,26.6,18.5,200,1009.18,98,30.20,34.77,6.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,29.0,10-14-2019,19:00:00,0.00,30.5,1010.21,23.2,0.0,000,1008.53,71,42.00,28.37,9.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,28.8,10-14-2019,19:00:00,0.00,33.5,1013.08,26.0,0.0,000,1005.08,85,4.20,33.57,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,29.0,10-14-2019,19:00:00,0.00,35.0,1009.98,25.8,0.0,000,1009.70,83,1.20,33.12,4.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,28.0,10-14-2019,19:00:00,0.00,32.5,1009.91,25.1,0.0,000,1006.78,85,8.90,31.95,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,26.5,10-14-2019,19:00:00,0.01,30.9,1009.53,25.8,0.0,000,1002.56,96,14.40,33.19,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,28.2,10-14-2019,19:00:00,0.00,34.0,1011.34,23.9,3.7,010,1005.74,77,0.01,29.57,8.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,26.0,10-14-2019,19:00:00,8.40,32.8,1010.76,25.6,5.6,210,1001.38,98,11.50,32.76,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,27.2,10-14-2019,19:00:00,0.00,30.4,1010.98,25.6,0.0,000,1009.72,91,15.30,32.89,10.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,29.5,10-14-2019,19:00:00,0.00,33.0,1010.11,25.2,0.0,000,1009.68,78,8.40,32.13,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,26.9,10-14-2019,19:00:00,0.00,31.0,1010.50,24.3,0.0,000,998.19,86,2.00,30.37,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,28.6,10-14-2019,19:00:00,0.00,30.7,1010.07,25.8,0.0,000,1009.36,85,16.60,33.16,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,28.3,10-14-2019,19:00:00,0.00,32.7,1010.26,25.2,5.6,180,1007.83,83,43.60,31.99,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.0,10-14-2019,19:00:00,0.00,32.2,1010.03,25.2,0.0,000,1009.51,80,3.50,31.98,8.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.4,10-14-2019,19:00:00,0.00,32.4,1009.78,25.7,0.0,000,1004.64,85,0.70,33.04,8.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,29.2,10-14-2019,19:00:00,0.00,34.8,1010.38,24.5,0.0,000,1009.97,76,0.00,30.68,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,27.0,10-14-2019,19:00:00,0.00,33.0,1010.03,24.8,0.0,000,1007.25,88,0.00,31.38,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.0,10-14-2019,19:00:00,0.00,33.3,1009.40,24.3,0.0,000,1008.61,76,30.70,30.29,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.9,10-14-2019,19:00:00,3.60,33.2,1010.26,23.9,7.4,070,1009.80,89,3.60,29.58,6.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,26.6,10-14-2019,19:00:00,0.00,32.4,1009.89,24.0,0.0,000,1009.20,86,9.30,29.80,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,27.8,10-14-2019,19:00:00,0.00,32.0,1009.76,24.8,0.0,000,1008.23,84,16.00,31.28,9.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,27.0,10-14-2019,19:00:00,0.00,31.3,1009.51,23.3,0.0,000,1008.59,80,0.00,28.67,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,26.8,10-14-2019,19:00:00,0.00,29.8,1009.65,24.6,0.0,000,1008.96,88,15.30,31.00,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,26.2,10-14-2019,19:00:00,0.00,28.5,1009.64,24.5,0.0,000,1008.84,90,1.30,30.67,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,27.4,10-14-2019,19:00:00,0.00,30.3,1009.40,25.0,0.0,000,1008.77,87,23.50,31.61,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,27.4,10-14-2019,19:00:00,0.00,30.8,1009.53,25.0,0.0,000,1009.12,87,7.00,31.61,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,26.0,10-14-2019,19:00:00,0.00,30.3,1010.43,25.1,0.0,000,1006.19,95,8.30,31.93,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,26.0,10-14-2019,19:00:00,0.00,33.8,1009.15,23.1,0.0,000,1007.53,84,0.00,28.18,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,26.5,10-14-2019,19:00:00,0.00,31.5,1009.50,24.3,0.0,000,1006.01,88,0.00,30.43,10.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,27.5,10-14-2019,19:00:00,0.00,30.7,1009.28,24.6,3.7,120,1007.92,84,6.00,30.97,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,26.4,10-14-2019,19:00:00,0.80,31.7,1008.16,25.1,0.0,000,1007.27,93,1.20,31.88,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,27.3,10-14-2019,19:00:00,0.00,32.0,1009.08,25.2,9.3,050,1005.52,88,0.00,31.97,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,29.0,10-14-2019,19:00:00,0.00,32.8,1008.43,24.7,0.0,000,1008.00,78,9.70,31.13,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,28.3,10-14-2019,19:00:00,0.00,31.8,1007.88,24.4,0.0,000,1006.89,80,4.90,30.59,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,26.2,10-14-2019,19:00:00,0.01,32.5,1009.09,23.6,7.4,090,1008.27,85,0.01,29.07,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,28.0,10-14-2019,19:00:00,0.00,32.0,1009.08,24.3,0.0,000,1007.27,80,0.00,30.28,12.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,28.6,10-14-2019,19:00:00,0.00,31.6,1009.89,24.0,11.1,060,1009.14,76,0.30,29.79,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,27.5,10-14-2019,19:00:00,0.00,32.8,1009.54,24.8,11.1,070,1005.54,85,7.00,31.25,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,27.0,10-14-2019,19:00:00,0.00,32.5,1010.18,25.3,0.0,000,1009.49,90,1.90,32.21,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,28.0,10-14-2019,19:00:00,0.00,31.3,1009.02,24.8,0.0,000,1007.90,83,4.20,31.39,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,27.0,10-14-2019,19:00:00,0.00,32.6,1009.56,26.1,0.0,000,1006.64,95,0.01,33.91,10.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,27.6,10-14-2019,19:00:00,0.00,32.8,1009.72,25.2,0.0,000,1009.03,87,12.20,32.00,10.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,26.6,10-14-2019,19:00:00,8.00,32.8,1010.50,25.0,5.6,230,1006.36,91,8.20,31.71,7.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,28.1,10-14-2019,19:00:00,0.00,32.1,1009.72,23.7,0.0,000,1009.13,77,16.00,29.38,10.00
