WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall,MeanSeaLevelPressure,WindSpeed,AirTemperature,DewPoint,WindDirection,Rainfall24Hr,RelativeHumidity,VaporPressure,LandVisibility,StationPressure
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10-02-2019,04:00:00,0.00,1010.22,0.0,25.6,23.8,000,0.00,90,29.56,7.00,989.20
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10-02-2019,04:00:00,0.00,1009.68,1.9,25.1,24.2,210,0.00,95,30.23,7.00,991.86
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10-02-2019,04:00:00,0.00,1009.61,0.0,26.1,24.7,000,0.00,92,31.03,8.00,993.36
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10-02-2019,04:00:00,0.00,1010.41,0.0,25.7,23.5,000,0.00,88,28.95,5.00,996.27
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10-02-2019,04:00:00,0.00,1011.03,0.0,24.3,23.3,000,0.00,94,28.54,5.00,996.01
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10-02-2019,04:00:00,0.00,1010.48,0.0,25.8,25.5,000,0.00,98,32.65,5.00,995.70
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10-02-2019,04:00:00,0.00,1009.53,0.0,27.3,26.2,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,94,33.95,6.00,1006.50
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10-02-2019,04:00:00,0.00,1009.84,0.0,26.8,25.2,000,0.00,91,32.10,7.00,1001.86
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,10-02-2019,04:00:00,0.00,1009.90,7.4,27.0,25.1,130,0.00,90,31.94,6.00,1008.79
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,10-02-2019,04:00:00,0.00,1010.48,0.0,25.8,24.6,000,0.00,93,31.00,8.00,995.68
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,10-02-2019,04:00:00,0.00,1012.11,0.0,19.2,19.0,000,0.01,99,22.01,.10,876.31
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10-02-2019,04:00:00,0.00,1010.20,0.0,27.0,25.7,000,0.00,93,33.06,7.00,1004.31
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,10-02-2019,04:00:00,0.00,1010.12,1.9,27.0,26.3,150,0.00,96,34.19,8.00,1009.31
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10-02-2019,04:00:00,0.00,1009.79,7.4,26.9,24.0,230,60.20,84,29.83,8.00,1009.34
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,10-02-2019,04:00:00,0.00,1011.00,0.0,24.5,23.5,000,0.00,94,28.89,5.00,999.56
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10-02-2019,04:00:00,0.00,1009.69,0.0,27.7,25.6,000,0.00,88,32.76,6.00,1008.67
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,10-02-2019,04:00:00,0.00,1009.84,5.6,27.5,25.4,100,0.00,88,32.36,7.00,1008.01
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,10-02-2019,04:00:00,0.00,1009.63,0.0,25.6,24.1,000,0.00,92,30.09,3.00,1008.86
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10-02-2019,04:00:00,0.00,1010.35,5.6,25.6,21.2,160,0.01,77,25.19,10.00,1009.64
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,10-02-2019,04:00:00,0.00,1010.06,0.0,27.9,25.6,000,0.00,88,32.88,7.00,1009.36
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10-02-2019,04:00:00,0.00,1010.34,0.0,25.9,23.3,000,0.00,85,28.52,6.00,989.05
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10-02-2019,04:00:00,0.00,1010.28,0.0,25.6,24.6,000,0.00,94,30.90,6.00,993.43
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,10-02-2019,04:00:00,0.00,1011.06,0.0,24.7,23.7,000,0.00,94,29.25,6.00,994.44
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10-02-2019,04:00:00,0.00,1010.30,0.0,25.3,24.4,000,50.50,95,30.60,2.00,988.25
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10-02-2019,04:00:00,0.00,1010.72,3.7,23.8,22.6,110,0.00,93,27.42,2.00,966.87
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10-02-2019,04:00:00,0.00,1010.17,0.0,24.7,24.3,000,3.60,97,30.30,5.00,989.40
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10-02-2019,04:00:00,0.00,1011.63,7.4,24.0,24.0,220,0.00,100,29.82,5.00,990.51
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10-02-2019,04:00:00,0.00,1009.68,0.0,28.4,25.6,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,85,32.75,10.00,1009.25
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,10-02-2019,04:00:00,0.00,1010.10,0.0,26.5,25.1,000,0.00,92,31.79,6.00,1008.68
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,10-02-2019,04:00:00,0.00,1010.78,0.0,26.1,25.8,000,12.60,98,33.23,7.00,1005.81
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10-02-2019,04:00:00,0.00,1009.55,5.6,26.7,24.1,250,6.50,86,29.99,10.00,1006.24
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10-02-2019,04:00:00,0.00,1009.58,0.0,26.5,25.2,000,0.00,93,32.07,10.00,1008.47
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10-02-2019,04:00:00,0.00,1010.09,0.0,26.0,23.2,000,0.40,85,28.44,10.00,1009.78
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10-02-2019,04:00:00,0.00,1010.22,0.0,28.0,25.9,000,0.00,88,33.37,7.00,1009.73
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10-02-2019,04:00:00,0.01,1010.08,0.0,26.0,24.7,000,57.20,93,31.11,9.00,1008.66
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10-02-2019,04:00:00,0.00,1012.21,0.0,24.6,24.2,000,0.90,97,30.12,8.00,1004.10
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10-02-2019,04:00:00,0.00,1009.82,0.0,27.8,25.2,000,0.00,86,32.12,10.00,1009.53
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10-02-2019,04:00:00,0.00,1010.26,9.3,27.0,24.8,300,0.00,88,31.38,10.00,1007.12
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10-02-2019,04:00:00,0.00,1010.36,0.0,27.0,25.6,000,0.00,92,32.77,10.00,1003.40
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10-02-2019,04:00:00,0.00,1010.79,0.0,26.5,24.3,000,0.00,88,30.43,7.00,1005.16
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10-02-2019,04:00:00,0.00,1010.71,0.0,26.0,25.0,000,0.00,94,31.65,4.00,1009.44
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,10-02-2019,04:00:00,0.00,1009.71,0.0,26.6,24.3,000,0.00,87,30.34,11.00,1009.28
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10-02-2019,04:00:00,0.00,1010.48,0.0,23.8,23.4,000,6.60,97,28.69,8.00,998.05
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10-02-2019,04:00:00,0.00,1010.08,0.0,26.0,24.0,000,0.00,89,29.76,7.00,1009.36
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10-02-2019,04:00:00,0.00,1010.43,7.4,27.0,25.3,200,0.00,90,32.21,6.00,1007.98
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10-02-2019,04:00:00,0.00,1010.47,5.6,28.4,25.3,230,0.00,83,32.19,9.00,1009.95
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,10-02-2019,04:00:00,0.00,1010.15,0.0,27.8,25.2,000,0.00,86,32.12,7.00,1004.99
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,10-02-2019,04:00:00,0.00,1010.55,0.0,26.8,25.2,000,0.00,91,32.10,7.00,1010.14
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,10-02-2019,04:00:00,0.30,1010.97,0.0,25.2,24.9,000,3.10,98,31.49,8.00,1008.17
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10-02-2019,04:00:00,0.00,1010.18,0.0,25.8,24.3,000,0.00,92,30.46,10.00,1009.39
48501,TRAD,ตราด,ตราด,11.76667,102.88333,10-02-2019,04:00:00,0.00,1010.90,9.3,25.2,24.0,050,3.40,93,29.89,6.00,1010.43
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,10-02-2019,04:00:00,0.00,1010.58,0.0,25.3,24.4,000,0.00,95,30.60,8.00,1009.89
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,10-02-2019,04:00:00,0.00,1009.93,0.0,25.0,24.1,000,0.40,95,30.05,8.00,1008.39
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10-02-2019,04:00:00,0.00,1010.95,0.0,25.0,23.5,000,0.00,92,29.00,10.00,1010.02
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10-02-2019,04:00:00,0.00,1010.97,0.0,26.8,25.1,000,0.00,90,31.82,10.00,1010.28
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10-02-2019,04:00:00,0.00,1011.18,0.0,23.5,22.8,000,4.50,96,27.66,7.00,1010.37
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10-02-2019,04:00:00,0.00,1010.33,0.0,24.6,23.4,000,0.00,93,28.81,10.00,1009.69
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10-02-2019,04:00:00,0.00,1010.39,0.0,24.8,24.4,000,0.00,97,30.48,8.00,1009.98
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,10-02-2019,04:00:00,0.00,1013.10,0.0,23.5,22.8,000,2.80,96,27.66,5.00,1008.81
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10-02-2019,04:00:00,0.00,1010.97,0.0,23.2,22.9,000,9.00,98,27.91,9.00,1009.33
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10-02-2019,04:00:00,0.00,1010.81,0.0,24.1,23.4,000,0.01,96,28.70,6.00,1007.29
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10-02-2019,04:00:00,0.00,1010.64,0.0,24.5,24.1,000,0.00,97,29.93,8.00,1009.27
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10-02-2019,04:00:00,0.00,1010.44,0.0,25.2,24.9,000,9.60,98,31.49,10.00,1009.55
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10-02-2019,04:00:00,0.00,1010.75,0.0,24.0,23.8,000,1.40,99,29.56,1.00,1007.15
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10-02-2019,04:00:00,0.00,1010.26,0.0,26.0,23.8,000,4.20,88,29.50,10.00,1009.82
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10-02-2019,04:00:00,0.00,1010.21,0.0,24.6,23.7,000,0.20,95,29.33,10.00,1009.20
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10-02-2019,04:00:00,19.00,1010.89,5.6,24.2,23.0,040,19.00,93,28.10,10.00,1010.06
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10-02-2019,04:00:00,0.00,1010.69,0.0,24.5,23.8,000,0.00,96,29.41,7.00,1008.86
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10-02-2019,04:00:00,0.00,1010.41,0.0,24.9,23.0,000,0.01,89,28.04,10.00,1009.65
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10-02-2019,04:00:00,0.00,1010.61,3.7,23.5,23.2,990,5.80,98,28.42,10.00,1006.55
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10-02-2019,04:00:00,0.00,1010.70,0.0,25.0,23.8,000,17.80,93,29.52,10.00,1010.01
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10-02-2019,04:00:00,0.00,1010.37,0.0,23.3,22.8,000,44.20,97,27.83,10.00,1009.24
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10-02-2019,04:00:00,0.00,1010.71,0.0,25.0,24.1,000,0.00,95,30.05,10.00,1007.76
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10-02-2019,04:00:00,0.00,1009.52,0.0,24.5,21.5,000,0.00,83,25.60,8.00,1008.93
