WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,LandVisibility,WindSpeed,WindDirection,Rainfall24Hr,MeanSeaLevelPressure,RelativeHumidity,StationPressure,AirTemperature,DewPoint,VaporPressure
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,08-07-2019,10:00:00,15.00,11.1,320,0.00,1005.20,60,983.88,32.0,23.3,28.66
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,08-07-2019,10:00:00,15.00,9.3,250,0.70,1003.88,60,984.78,32.0,23.3,28.66
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,08-07-2019,10:00:00,13.00,5.6,270,2.00,1004.67,70,988.14,30.2,24.2,30.14
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,08-07-2019,10:00:00,12.00,3.7,260,3.00,1004.80,72,987.61,30.1,24.5,30.79
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,08-07-2019,10:00:00,12.00,5.6,280,0.60,1004.56,69,979.11,30.0,23.8,29.47
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,08-07-2019,10:00:00,10.00,0.0,000,4.40,1006.02,85,1000.28,29.0,26.2,33.99
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,08-07-2019,10:00:00,11.00,9.3,270,7.10,1006.71,81,1000.56,29.0,25.5,32.55
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,08-07-2019,10:00:00,10.00,0.0,000,0.00,1006.97,71,990.67,29.5,23.7,29.33
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,7.00,08-07-2019,10:00:00,7.00,0.0,000,32.40,1006.71,95,984.24,24.8,23.9,29.69
48376,TAK,ตาก,ตาก,16.87833,99.14333,1.50,08-07-2019,10:00:00,6.00,0.0,000,20.30,1007.23,87,992.84,26.8,24.5,30.72
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,2.00,08-07-2019,10:00:00,6.00,0.0,000,20.40,1007.33,80,990.95,27.0,23.3,28.67
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,08-07-2019,10:00:00,10.00,0.0,000,0.80,1006.94,83,1001.75,29.2,26.1,33.83
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,08-07-2019,10:00:00,12.00,0.0,000,0.20,1005.47,82,992.36,28.4,25.0,31.62
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.40,08-07-2019,10:00:00,10.00,3.7,340,3.00,1006.50,85,997.22,28.2,25.4,32.35
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,08-07-2019,10:00:00,10.00,9.3,270,0.00,1004.80,58,983.52,32.0,22.7,27.55
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-07-2019,10:00:00,12.00,13.0,350,0.00,1005.57,62,988.41,32.5,24.2,30.24
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,08-07-2019,10:00:00,12.00,5.6,020,3.40,1003.93,66,988.39,31.7,24.6,30.90
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-07-2019,10:00:00,10.00,0.0,000,0.00,1004.11,58,985.59,32.0,22.7,27.55
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1.10,08-07-2019,10:00:00,9.00,0.0,000,21.20,1007.75,91,956.13,23.5,22.0,26.42
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,08-07-2019,10:00:00,6.00,3.7,240,0.01,1006.60,72,1002.68,30.0,24.4,30.59
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1.20,08-07-2019,10:00:00,.70,5.6,230,15.20,1007.43,98,912.21,21.2,20.9,24.68
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,08-07-2019,10:00:00,12.00,11.1,300,0.00,1004.99,67,989.27,31.5,24.7,31.06
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.01,08-07-2019,10:00:00,10.00,3.7,180,4.10,1006.72,76,1002.73,30.2,25.4,32.42
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.10,08-07-2019,10:00:00,10.00,5.6,160,0.10,1007.82,71,997.23,29.6,23.7,29.24
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,08-07-2019,10:00:00,10.00,5.6,190,0.00,1007.23,64,1005.32,30.8,23.1,28.26
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-07-2019,10:00:00,12.00,5.6,250,0.00,1006.31,57,985.71,30.7,21.3,25.37
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,08-07-2019,10:00:00,10.00,13.0,270,1.20,1004.60,66,987.24,31.5,24.4,30.49
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,08-07-2019,10:00:00,10.00,5.6,280,3.80,1004.81,62,988.93,31.7,23.5,28.91
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,08-07-2019,10:00:00,10.00,11.1,260,1.60,1005.24,65,991.43,31.2,23.7,29.32
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,08-07-2019,10:00:00,10.00,3.7,240,1.00,1005.52,69,990.93,31.5,25.1,31.93
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,08-07-2019,10:00:00,10.00,18.5,310,2.60,1006.26,72,991.77,30.5,24.8,31.31
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,08-07-2019,10:00:00,10.00,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.10,1006.27,66,1003.30,30.9,23.7,29.28
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,08-07-2019,10:00:00,10.00,0.0,000,0.00,1006.36,65,998.51,30.5,23.2,28.50
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,08-07-2019,10:00:00,8.00,14.8,230,0.20,1008.03,68,1006.93,29.4,23.0,28.04
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,08-07-2019,10:00:00,9.00,0.0,000,18.10,1005.74,76,991.16,28.8,24.2,30.18
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1.20,08-07-2019,10:00:00,2.00,13.0,290,3.40,1008.70,97,873.48,19.5,19.0,21.98
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,08-07-2019,10:00:00,10.00,7.4,190,0.01,1007.03,70,1001.20,29.6,23.5,28.97
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,08-07-2019,10:00:00,8.00,14.8,240,0.40,1008.39,69,1007.60,29.8,23.6,29.08
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,08-07-2019,10:00:00,10.00,18.5,230,24.10,1007.58,76,1007.14,28.8,24.2,30.18
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,2.30,08-07-2019,10:00:00,5.00,0.0,000,23.80,1008.72,92,997.38,26.5,25.1,31.79
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,08-07-2019,10:00:00,12.00,5.6,230,14.70,1007.42,73,1006.42,29.5,24.2,30.16
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,08-07-2019,10:00:00,8.00,3.7,200,0.90,1007.49,71,1005.68,29.8,24.0,29.91
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,08-07-2019,10:00:00,9.00,3.7,240,2.70,1007.06,71,1006.30,29.5,23.7,29.33
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.01,08-07-2019,10:00:00,10.00,16.7,210,26.20,1007.87,72,1007.17,29.3,23.8,29.49
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,08-07-2019,10:00:00,7.00,5.6,240,0.10,1007.75,78,1007.05,28.6,24.3,30.34
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,08-07-2019,10:00:00,12.00,9.3,270,0.00,1006.29,61,985.43,31.0,22.7,27.54
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,08-07-2019,10:00:00,8.00,7.4,270,0.30,1006.29,70,989.72,29.5,23.4,28.78
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,08-07-2019,10:00:00,10.00,13.0,270,0.90,1006.96,69,990.66,29.3,23.0,28.12
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,08-07-2019,10:00:00,10.00,22.2,270,0.00,1006.00,54,984.49,31.5,21.1,24.98
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.01,08-07-2019,10:00:00,15.00,22.2,230,0.01,1007.31,73,964.01,26.6,21.3,25.37
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-07-2019,10:00:00,10.00,7.4,250,0.00,1005.84,56,985.67,32.5,22.6,27.41
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,08-07-2019,10:00:00,10.00,9.3,240,0.00,1007.69,76,987.07,30.0,25.3,32.30
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,08-07-2019,10:00:00,10.00,3.7,210,1.10,1007.57,74,1007.14,28.9,23.7,29.27
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,08-07-2019,10:00:00,10.00,0.0,000,3.20,1007.69,88,1006.28,28.1,26.0,33.57
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,08-07-2019,10:00:00,8.00,0.0,000,0.30,1007.64,85,1002.72,28.0,25.1,31.95
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,08-07-2019,10:00:00,12.00,9.3,280,1.60,1007.10,66,1003.85,30.6,23.5,28.97
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.01,08-07-2019,10:00:00,10.00,0.0,000,4.90,1007.79,79,1006.69,29.0,25.0,31.69
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.01,08-07-2019,10:00:00,10.00,9.3,210,19.00,1007.92,73,1007.62,29.7,24.4,30.55
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,08-07-2019,10:00:00,10.00,0.0,000,13.90,1007.64,84,1006.95,28.4,25.4,32.47
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-07-2019,10:00:00,10.00,0.0,000,15.90,1007.66,71,1007.17,29.2,23.4,28.75
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,08-07-2019,10:00:00,10.00,11.1,220,5.60,1008.00,72,1006.61,29.3,23.7,29.22
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,08-07-2019,10:00:00,10.00,14.8,240,6.00,1007.82,74,1006.15,28.5,23.4,28.78
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,08-07-2019,10:00:00,10.00,7.4,240,14.50,1009.95,86,1001.95,27.8,25.2,32.12
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,08-07-2019,10:00:00,10.00,3.7,270,19.90,1007.89,80,1007.60,28.6,24.9,31.46
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-07-2019,10:00:00,10.00,5.6,200,5.00,1007.55,71,1004.44,29.0,23.2,28.37
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.10,08-07-2019,10:00:00,10.00,0.0,000,5.00,1008.16,84,1001.22,27.5,24.6,30.97
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-07-2019,10:00:00,7.00,13.0,190,0.00,1007.40,78,1001.84,29.0,24.7,31.13
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.30,08-07-2019,10:00:00,12.00,14.8,280,10.90,1008.84,82,999.53,27.4,24.1,29.96
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,08-07-2019,10:00:00,14.00,0.0,000,0.10,1008.33,75,1007.08,29.5,24.6,31.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,08-07-2019,10:00:00,11.00,9.3,200,1.30,1007.43,76,1006.99,27.9,23.2,28.47
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.10,08-07-2019,10:00:00,8.00,0.0,000,20.60,1007.85,83,995.56,26.3,23.2,28.46
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-07-2019,10:00:00,10.00,0.0,000,12.50,1007.50,82,1006.79,27.6,24.3,30.34
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-07-2019,10:00:00,10.00,0.0,000,11.40,1008.02,70,1005.60,29.7,23.6,29.16
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.20,08-07-2019,10:00:00,9.00,7.4,290,6.50,1008.18,77,1007.66,28.4,24.1,29.96
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-07-2019,10:00:00,12.00,5.6,280,6.20,1008.08,76,1002.94,28.6,24.0,29.79
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.60,08-07-2019,10:00:00,8.00,0.0,000,18.20,1008.61,90,1008.20,28.1,26.3,34.15
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.80,08-07-2019,10:00:00,8.00,0.0,000,51.50,1008.98,84,1006.21,27.5,24.6,30.97
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.70,08-07-2019,10:00:00,4.00,0.0,000,23.50,1008.56,81,1007.77,25.5,22.1,26.53
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.20,08-07-2019,10:00:00,6.00,5.6,230,105.90,1008.70,93,1008.24,26.7,25.4,32.46
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,19.40,08-07-2019,10:00:00,7.00,0.0,000,23.30,1009.11,97,1008.42,24.2,23.6,29.13
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.80,08-07-2019,10:00:00,6.00,1.9,260,2.00,1009.26,93,1007.72,25.4,24.2,30.25
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,08-07-2019,10:00:00,10.00,5.6,210,0.90,1009.94,77,1009.03,29.5,25.1,31.85
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-07-2019,10:00:00,12.00,0.0,000,0.00,1009.74,72,1009.05,29.2,23.7,29.30
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,08-07-2019,10:00:00,8.00,5.6,210,0.00,1010.06,82,1009.27,29.2,25.8,33.24
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-07-2019,10:00:00,10.00,0.0,000,0.00,1009.20,65,1008.57,30.5,23.2,28.50
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-07-2019,10:00:00,10.00,11.1,270,0.00,1009.56,65,1009.16,30.6,23.2,28.42
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-07-2019,10:00:00,6.00,5.6,230,0.00,1011.38,71,1007.18,29.0,23.2,28.37
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-07-2019,10:00:00,10.00,0.0,000,0.00,1010.10,74,1008.50,29.6,24.4,30.63
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-07-2019,10:00:00,8.00,0.0,000,0.00,1009.70,75,1006.24,29.2,24.3,30.40
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-07-2019,10:00:00,8.00,5.6,280,0.00,1009.52,65,1008.18,30.1,22.8,27.74
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,08-07-2019,10:00:00,10.00,0.0,000,0.00,1009.79,68,1008.91,31.2,24.5,30.73
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-07-2019,10:00:00,10.00,5.6,030,0.00,1009.96,73,1006.42,29.5,24.1,29.93
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-07-2019,10:00:00,10.00,0.0,000,0.00,1009.52,69,1009.09,31.5,25.1,31.93
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-07-2019,10:00:00,10.00,0.0,000,0.00,1009.41,68,1008.42,30.2,23.7,29.30
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-07-2019,10:00:00,10.00,7.4,290,0.00,1009.76,85,1008.95,30.0,27.2,36.14
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,08-07-2019,10:00:00,10.00,0.0,000,0.00,1009.98,73,1008.19,30.3,24.9,31.48
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-07-2019,10:00:00,7.00,7.4,260,0.00,1009.76,71,1009.01,30.3,24.4,30.62
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-07-2019,10:00:00,10.00,5.6,990,0.00,1010.00,72,1006.04,30.5,25.0,31.60
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-07-2019,10:00:00,10.00,9.3,270,0.00,1009.77,64,1009.09,31.7,24.1,30.04
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-07-2019,10:00:00,12.00,0.0,000,0.00,1010.74,71,1009.63,29.9,24.0,29.83
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-07-2019,10:00:00,10.00,0.0,000,0.00,1009.83,78,1006.94,30.0,25.8,33.17
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,08-07-2019,10:00:00,8.00,0.0,000,0.00,1009.28,78,1008.60,30.0,25.8,33.17
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,08-07-2019,10:00:00,7.00,5.6,200,0.00,1010.21,73,1006.10,29.2,23.9,29.57
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,08-07-2019,10:00:00,9.00,0.0,000,0.00,1010.11,71,1009.53,29.5,23.7,29.33
