WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,VaporPressure,StationPressure,MeanSeaLevelPressure,WindDirection,Rainfall,Rainfall24Hr,DewPoint,AirTemperature,LandVisibility,WindSpeed
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,90,09-06-2019,22:00:00,32.33,991.78,1008.21,180,0.00,4.90,25.3,27.2,6.00,3.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,79,09-06-2019,22:00:00,28.51,986.26,1008.12,210,0.00,0.01,23.2,27.2,10.00,9.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,95,09-06-2019,22:00:00,29.33,965.53,1009.20,000,3.90,5.50,23.7,24.6,10.00,0.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,82,09-06-2019,22:00:00,29.96,987.47,1008.02,200,0.00,0.00,24.1,27.4,8.00,5.6
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,96,09-06-2019,22:00:00,33.38,988.42,1009.31,210,0.00,0.00,25.9,26.6,9.00,5.6
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,73,09-06-2019,22:00:00,27.77,1008.58,1009.01,300,0.00,1.60,22.8,28.1,10.00,1.9
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,93,09-06-2019,22:00:00,32.35,1007.29,1008.71,000,1.00,5.20,25.4,26.5,8.00,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,92,09-06-2019,22:00:00,32.77,1003.73,1008.67,000,0.00,7.00,25.6,27.0,7.00,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,77,09-06-2019,22:00:00,28.45,1005.60,1008.89,000,0.00,0.10,23.2,27.6,10.00,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,84,09-06-2019,22:00:00,30.02,1008.02,1009.12,000,0.00,0.01,24.1,27.0,10.00,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,71,09-06-2019,22:00:00,27.81,1008.70,1009.00,300,0.00,0.20,22.8,28.7,10.00,7.4
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,82,09-06-2019,22:00:00,30.15,1008.28,1008.77,000,0.00,2.90,24.2,27.5,10.00,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,73,09-06-2019,22:00:00,28.51,1007.55,1008.95,260,0.20,12.00,23.2,28.5,10.00,14.8
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,84,09-06-2019,22:00:00,29.08,1002.71,1010.75,000,0.00,4.60,23.6,26.5,10.00,0.0
