WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindDirection,WindSpeed,Rainfall24Hr,MaximumTemperature,MeanSeaLevelPressure,VaporPressure,LandVisibility,Rainfall,RelativeHumidity,AirTemperature,StationPressure
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,23.6,08-30-2019,19:00:00,250,3.7,0.00,31.8,1001.05,29.05,12.00,0.00,70,29.5,997.81
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,26.1,08-30-2019,19:00:00,000,0.0,0.60,29.4,1000.94,33.82,6.00,0.00,87,28.5,999.85
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,25.3,08-30-2019,19:00:00,200,3.7,1.00,29.4,1001.02,32.30,7.00,0.10,83,28.6,1000.72
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,25.4,08-30-2019,19:00:00,200,3.7,1.20,29.1,1000.81,32.39,10.00,0.10,83,28.5,1000.13
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,25.4,08-30-2019,19:00:00,000,0.0,1.20,29.0,1001.30,32.52,7.00,0.10,86,28.0,1000.82
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,25.3,08-30-2019,19:00:00,190,11.1,1.20,28.4,1001.52,32.15,10.00,0.00,85,28.1,1000.12
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,28.4,08-30-2019,19:00:00,210,24.1,0.01,30.2,1001.01,38.76,9.00,0.01,92,29.8,999.36
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.5,08-30-2019,19:00:00,000,0.0,6.20,28.2,1003.38,30.72,10.00,0.01,87,26.8,995.40
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.1,08-30-2019,19:00:00,180,9.3,0.40,32.7,1001.25,31.95,10.00,0.00,85,28.0,1000.97
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,25.5,08-30-2019,19:00:00,130,5.6,0.01,31.5,1001.26,32.71,10.00,0.00,83,28.8,998.16
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,25.3,08-30-2019,19:00:00,180,5.6,0.00,29.9,1001.69,32.27,10.00,0.00,84,28.3,994.82
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.2,08-30-2019,19:00:00,000,0.0,1.90,27.8,1001.60,32.04,7.00,0.20,94,26.2,996.02
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,27.3,08-30-2019,19:00:00,200,7.4,0.00,30.5,1001.83,36.34,10.00,0.00,94,28.3,992.61
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,23.5,08-30-2019,19:00:00,270,7.4,0.00,31.8,1001.82,28.91,10.00,0.00,72,29.0,1000.57
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,23.4,08-30-2019,19:00:00,300,5.6,0.00,32.0,1001.58,28.75,11.00,0.00,71,29.2,1001.16
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,22.7,08-30-2019,19:00:00,230,3.7,0.00,31.3,1002.27,27.54,10.00,0.00,77,27.1,990.08
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,23.6,08-30-2019,19:00:00,240,11.1,0.00,33.1,1001.98,29.11,10.00,0.00,77,28.1,1001.27
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.7,08-30-2019,19:00:00,230,14.8,0.01,32.3,1002.92,31.05,10.00,0.01,77,29.1,1000.51
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.1,08-30-2019,19:00:00,260,14.8,0.01,30.6,1002.51,31.94,10.00,0.00,81,28.7,1002.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.7,08-30-2019,19:00:00,180,5.6,0.01,31.3,1001.96,31.20,9.00,0.01,83,27.9,996.85
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.1,08-30-2019,19:00:00,220,9.3,4.60,30.2,1002.89,31.95,7.00,0.00,85,28.0,1002.48
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.1,08-30-2019,19:00:00,200,14.8,0.80,29.7,1003.29,31.87,8.00,0.00,84,28.1,1000.54
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.8,08-30-2019,19:00:00,240,3.7,8.20,30.6,1004.00,29.54,6.00,8.20,92,25.3,1003.21
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.3,08-30-2019,19:00:00,260,9.3,37.20,29.0,1004.35,32.33,6.00,1.40,90,27.2,1003.89
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,23.9,08-30-2019,19:00:00,000,0.0,45.40,27.6,1004.65,29.61,7.00,0.50,94,24.9,1003.97
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.6,08-30-2019,19:00:00,150,1.9,35.00,29.0,1004.57,29.19,7.00,1.40,90,25.4,1003.04
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.0,08-30-2019,19:00:00,220,3.7,53.50,27.9,1005.79,29.80,7.00,1.80,92,25.3,1004.87
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,23.5,08-30-2019,19:00:00,270,5.6,1.50,30.2,1005.20,28.90,10.00,0.20,84,26.4,1004.51
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.7,08-30-2019,19:00:00,000,0.0,12.30,27.0,1006.06,31.12,10.00,0.40,98,25.0,1005.26
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.7,08-30-2019,19:00:00,060,7.4,10.90,27.9,1004.93,31.17,10.00,0.60,95,25.6,1004.29
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,23.3,08-30-2019,19:00:00,240,7.4,5.40,30.3,1005.59,28.59,8.00,0.40,88,25.5,1005.18
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.5,08-30-2019,19:00:00,250,7.4,1.70,28.6,1007.25,28.95,6.00,0.01,88,25.7,1003.02
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.8,08-30-2019,19:00:00,000,0.0,18.20,29.2,1007.84,31.38,8.00,0.60,93,26.0,1006.23
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,25.6,08-30-2019,19:00:00,000,0.0,20.70,28.9,1006.48,32.92,10.00,2.60,86,28.2,1003.02
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.1,08-30-2019,19:00:00,310,3.7,21.30,30.0,1005.82,30.02,6.00,2.40,98,24.4,1004.45
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.4,08-30-2019,19:00:00,240,18.5,101.70,27.2,1011.33,30.58,8.00,7.20,97,25.0,1010.43
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.3,08-30-2019,19:00:00,000,0.0,65.70,26.5,1006.21,30.32,10.00,0.00,96,25.0,1002.63
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.1,08-30-2019,19:00:00,280,9.3,40.40,28.5,1006.39,30.02,6.00,2.00,84,27.0,1005.95
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,23.5,08-30-2019,19:00:00,290,3.7,93.00,27.6,1006.40,28.88,5.00,15.50,96,24.2,1005.40
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.2,08-30-2019,19:00:00,260,18.5,45.40,28.4,1006.46,32.12,10.00,0.00,86,27.8,1005.65
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,23.5,08-30-2019,19:00:00,000,0.0,43.60,27.4,1006.31,28.88,10.00,0.00,96,24.2,1004.48
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.1,08-30-2019,19:00:00,210,5.6,16.80,32.6,1006.18,28.31,10.00,0.60,88,25.2,1005.42
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.5,08-30-2019,19:00:00,220,3.7,11.00,32.6,1006.33,28.86,10.00,3.20,97,23.9,1002.30
48570,SATUN,สตูล,สตูล,6.65000,100.08333,23.8,08-30-2019,19:00:00,000,0.0,28.50,31.3,1007.63,29.41,10.00,2.50,96,24.5,1006.94
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.3,08-30-2019,19:00:00,000,0.0,4.00,32.6,1006.02,30.30,10.00,2.40,97,24.7,1004.89
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.0,08-30-2019,19:00:00,000,0.0,27.40,32.4,1006.69,29.75,10.00,1.20,97,24.4,1003.75
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,23.8,08-30-2019,19:00:00,000,0.0,0.80,33.9,1006.12,29.41,8.00,0.00,96,24.5,1005.42
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.0,08-30-2019,19:00:00,290,7.4,0.00,34.0,1006.35,28.13,8.00,0.00,80,26.7,1002.23
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,22.9,08-30-2019,19:00:00,000,0.0,0.00,34.0,1006.24,27.85,10.00,0.00,74,28.0,1005.65
