WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,WindDirection,StationPressure,AirTemperature,LandVisibility,DewPoint,MaximumTemperature,RelativeHumidity,VaporPressure,WindSpeed,Rainfall24Hr
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,08-29-2019,19:00:00,1001.73,000,974.60,29.1,10.00,26.4,33.5,86,34.49,0.0,1.20
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,08-29-2019,19:00:00,1000.99,000,968.05,30.0,12.00,25.0,33.3,75,31.72,0.0,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,08-29-2019,19:00:00,1007.48,000,989.21,30.5,10.00,26.7,33.8,80,35.12,0.0,0.90
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,08-29-2019,19:00:00,1000.69,000,978.32,30.6,10.00,27.0,33.5,81,35.64,0.0,0.01
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,08-29-2019,19:00:00,1000.89,000,971.55,30.0,10.00,27.2,33.3,85,36.14,0.0,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,08-29-2019,19:00:00,1001.19,000,966.28,29.5,7.00,26.0,32.0,81,33.58,0.0,2.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,08-29-2019,19:00:00,999.66,000,970.40,28.7,12.00,26.3,33.9,87,34.24,0.0,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-29-2019,19:00:00,1000.62,000,993.47,31.5,10.00,26.6,34.8,76,34.90,0.0,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-29-2019,19:00:00,999.06,000,979.54,30.3,13.00,28.0,32.8,87,37.72,0.0,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,08-29-2019,19:00:00,999.98,000,971.86,30.2,15.00,26.0,33.0,78,33.59,0.0,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,08-29-2019,19:00:00,1006.85,000,986.78,28.3,12.00,26.2,32.3,88,33.99,0.0,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,2.00,08-29-2019,19:00:00,999.57,260,978.02,27.0,9.00,25.6,30.3,92,32.77,11.1,3.20
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,2.90,08-29-2019,19:00:00,998.03,300,978.72,26.8,7.00,25.7,29.6,94,32.94,7.4,5.10
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,26.40,08-29-2019,19:00:00,998.54,330,981.91,26.4,7.00,25.1,28.2,93,31.88,3.7,33.70
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,20.80,08-29-2019,19:00:00,998.75,000,981.38,25.0,10.00,24.1,28.6,95,30.05,0.0,29.70
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,08-29-2019,19:00:00,999.33,000,973.99,29.6,10.00,27.4,32.8,88,36.47,0.0,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,08-29-2019,19:00:00,1001.25,000,995.57,31.0,10.00,27.6,34.0,82,36.84,0.0,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,08-29-2019,19:00:00,1001.11,000,995.03,30.5,10.00,27.7,33.6,85,37.25,0.0,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,08-29-2019,19:00:00,1001.97,000,985.74,29.2,10.00,25.5,34.2,81,32.67,0.0,0.60
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,08-29-2019,19:00:00,1001.39,240,979.26,27.7,10.00,23.8,32.1,79,29.44,7.4,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,08-29-2019,19:00:00,1001.50,260,987.36,30.5,10.00,23.2,34.5,65,28.50,14.8,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,08-29-2019,19:00:00,1001.35,000,985.27,30.9,7.00,23.4,34.8,64,28.73,0.0,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,08-29-2019,19:00:00,1001.13,000,995.99,30.3,10.00,26.4,33.3,80,34.39,0.0,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,08-29-2019,19:00:00,999.57,000,986.56,29.2,10.00,25.4,33.0,80,32.38,0.0,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,08-29-2019,19:00:00,1001.29,000,992.10,29.6,10.00,23.8,34.2,71,29.52,0.0,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,08-29-2019,19:00:00,1001.31,160,979.87,28.7,9.00,26.6,31.3,88,34.82,1.9,2.60
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.60,08-29-2019,19:00:00,1001.62,000,984.19,26.5,6.00,23.6,29.7,84,29.08,0.0,77.50
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,14.40,08-29-2019,19:00:00,997.98,240,982.19,25.0,10.00,23.5,29.0,92,29.00,3.7,18.30
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.01,08-29-2019,19:00:00,1000.20,000,981.50,27.8,8.00,26.7,31.0,94,34.98,0.0,4.20
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,08-29-2019,19:00:00,1002.34,000,951.36,25.7,8.00,23.5,29.0,88,28.95,0.0,1.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,08-29-2019,19:00:00,1001.08,000,997.19,30.1,8.00,27.2,33.0,85,36.05,0.0,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,08-29-2019,19:00:00,1003.34,240,909.04,23.0,5.00,21.3,25.6,90,25.36,9.3,0.10
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1.10,08-29-2019,19:00:00,1000.28,180,984.39,26.8,6.00,26.4,29.2,98,34.36,9.3,45.10
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,08-29-2019,19:00:00,1001.32,170,997.35,29.9,10.00,25.4,33.9,77,32.38,3.7,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,08-29-2019,19:00:00,1002.84,000,992.26,28.5,7.00,25.7,30.8,85,32.96,0.0,12.80
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,08-29-2019,19:00:00,1002.30,000,1000.38,28.2,9.00,25.8,31.0,87,33.20,0.0,83.30
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-29-2019,19:00:00,1001.32,240,980.72,29.0,10.00,24.7,30.5,78,31.13,9.3,1.40
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.50,08-29-2019,19:00:00,1000.54,220,982.98,26.8,7.00,25.8,28.4,94,33.22,7.4,25.60
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1.00,08-29-2019,19:00:00,1000.75,190,984.68,26.7,7.00,26.3,29.0,98,34.15,5.6,14.20
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.60,08-29-2019,19:00:00,1000.63,250,986.62,25.6,10.00,24.6,29.3,94,30.90,5.6,36.80
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.20,08-29-2019,19:00:00,1002.10,000,987.24,25.0,6.00,24.6,26.5,97,30.85,0.0,60.20
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.70,08-29-2019,19:00:00,1001.41,000,986.79,26.4,6.00,26.1,27.8,98,33.83,0.0,14.30
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1.20,08-29-2019,19:00:00,1001.62,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",998.64,28.8,10.00,25.4,32.4,82,32.42,0.0,2.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,08-29-2019,19:00:00,1001.78,000,993.94,29.4,10.00,26.0,30.8,82,33.66,0.0,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,08-29-2019,19:00:00,1003.06,000,1001.96,29.8,8.00,26.4,32.1,82,34.51,0.0,2.10
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,4.60,08-29-2019,19:00:00,1002.44,000,987.78,26.0,2.00,25.3,29.1,96,32.20,0.0,34.60
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,08-29-2019,19:00:00,1003.83,270,869.52,20.1,.10,19.9,21.5,99,23.28,9.3,1.20
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,08-29-2019,19:00:00,1002.12,000,996.30,28.5,10.00,26.1,30.4,87,33.82,0.0,75.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,08-29-2019,19:00:00,1002.37,230,1001.58,31.0,8.00,24.0,33.5,66,29.76,24.1,7.60
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,2.00,08-29-2019,19:00:00,1002.45,230,1002.00,28.6,8.00,24.4,32.0,78,30.62,16.7,13.90
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,08-29-2019,19:00:00,1004.26,000,992.97,26.5,6.00,24.3,30.8,88,30.43,0.0,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,08-29-2019,19:00:00,1002.19,000,1001.19,30.7,10.00,25.2,34.0,72,32.01,0.0,2.10
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,08-29-2019,19:00:00,1001.90,000,1000.10,29.6,8.00,26.1,31.7,82,33.79,0.0,2.40
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,08-29-2019,19:00:00,1002.45,000,1001.69,30.0,6.00,22.5,34.0,64,27.28,0.0,0.90
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.01,08-29-2019,19:00:00,1002.50,220,1001.81,27.8,10.00,24.0,32.2,80,29.90,14.8,0.01
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,08-29-2019,19:00:00,1002.07,000,1001.38,29.3,7.00,26.5,31.7,85,34.62,0.0,33.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,08-29-2019,19:00:00,1002.32,280,981.36,28.3,10.00,24.6,29.6,80,30.87,3.7,6.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.20,08-29-2019,19:00:00,1001.60,000,984.99,27.2,7.00,26.1,28.3,94,33.74,0.0,14.80
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.10,08-29-2019,19:00:00,1002.03,000,985.69,27.2,6.00,25.5,28.2,90,32.61,0.0,13.60
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,08-29-2019,19:00:00,1001.86,000,980.20,28.1,10.00,24.2,29.5,79,30.20,0.0,2.10
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,08-29-2019,19:00:00,1002.34,210,959.11,25.6,10.00,23.2,27.2,87,28.51,7.4,11.50
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-29-2019,19:00:00,1001.99,000,981.59,27.8,8.00,24.5,29.4,82,30.72,0.0,41.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,08-29-2019,19:00:00,1003.39,240,982.59,26.2,7.00,26.2,27.7,100,34.00,3.7,16.80
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.70,08-29-2019,19:00:00,1003.17,270,1002.74,28.0,10.00,23.3,33.0,76,28.65,9.3,5.30
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.01,08-29-2019,19:00:00,1002.18,000,1000.77,27.5,8.00,25.7,30.4,90,32.93,0.0,13.10
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,08-29-2019,19:00:00,1003.26,000,998.35,27.4,7.00,26.1,29.4,93,33.86,0.0,6.50
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,08-29-2019,19:00:00,1002.95,250,999.70,29.9,12.00,23.5,34.5,69,29.00,7.4,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,08-29-2019,19:00:00,1002.75,260,1001.65,29.5,10.00,25.5,33.9,79,32.71,7.4,0.01
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,08-29-2019,19:00:00,1002.88,220,1002.58,29.5,10.00,24.2,33.2,73,30.16,5.6,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,08-29-2019,19:00:00,1003.06,230,1002.38,29.6,10.00,23.4,33.4,69,28.69,5.6,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-29-2019,19:00:00,1003.68,000,1003.20,29.5,10.00,23.2,32.7,69,28.50,0.0,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,08-29-2019,19:00:00,1002.67,240,1001.28,30.3,10.00,23.5,32.5,67,28.94,22.2,0.80
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.10,08-29-2019,19:00:00,1002.94,250,1001.28,27.9,10.00,27.6,30.3,98,36.96,25.9,0.80
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,08-29-2019,19:00:00,1004.45,000,996.48,27.7,10.00,24.7,30.8,84,31.08,0.0,15.40
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,08-29-2019,19:00:00,1009.23,000,1008.95,29.0,10.00,25.0,31.7,79,31.69,0.0,8.60
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-29-2019,19:00:00,1002.78,100,999.69,29.5,10.00,24.5,31.5,75,30.72,7.4,21.10
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-29-2019,19:00:00,1003.49,210,996.62,29.0,10.00,24.7,31.0,78,31.13,13.0,0.40
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.30,08-29-2019,19:00:00,1002.93,000,997.35,27.2,7.00,25.5,29.9,90,32.61,0.0,6.60
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,08-29-2019,19:00:00,1003.85,270,994.62,28.9,10.00,25.1,33.1,80,31.77,18.5,5.20
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,2.30,08-29-2019,19:00:00,1004.28,270,1003.02,26.5,10.00,24.3,32.3,88,30.43,7.4,19.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,4.30,08-29-2019,19:00:00,1003.31,150,1002.88,28.6,11.00,22.6,32.9,70,27.36,14.8,7.20
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,08-29-2019,19:00:00,1004.17,000,991.96,27.5,8.00,22.2,30.6,73,26.69,0.0,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-29-2019,19:00:00,1003.97,240,1003.26,28.2,10.00,23.7,32.0,77,29.30,5.6,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-29-2019,19:00:00,1005.33,250,1002.92,29.8,10.00,23.6,32.8,69,29.08,11.1,0.01
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-29-2019,19:00:00,1003.58,260,1003.06,28.8,10.00,24.8,30.0,79,31.29,16.7,0.90
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-29-2019,19:00:00,1003.32,190,998.21,28.5,10.00,23.4,31.9,74,28.78,1.9,0.01
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,3.90,08-29-2019,19:00:00,1003.84,000,1003.42,26.6,6.00,25.5,29.3,93,32.54,0.0,16.50
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,5.20,08-29-2019,19:00:00,1004.31,000,1001.54,26.0,8.00,25.3,29.5,96,32.20,0.0,50.10
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.30,08-29-2019,19:00:00,1005.14,000,1004.36,26.6,10.00,22.3,29.0,77,26.91,0.0,2.80
48501,TRAD,ตราด,ตราด,11.76667,102.88333,14.20,08-29-2019,19:00:00,1004.69,340,1004.23,26.5,3.00,24.3,27.2,88,30.43,7.4,53.90
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,2.20,08-29-2019,19:00:00,1006.55,280,1005.87,24.2,7.00,23.5,26.8,96,28.88,7.4,13.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,3.20,08-29-2019,19:00:00,1006.36,320,1004.82,23.8,7.00,21.8,27.6,89,26.17,3.7,30.40
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,6.10,08-29-2019,19:00:00,1007.69,000,1006.76,23.8,10.00,22.6,27.1,93,27.42,0.0,51.30
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-29-2019,19:00:00,1006.92,270,1006.23,27.2,10.00,24.8,31.2,87,31.22,7.4,0.50
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,5.70,08-29-2019,19:00:00,1007.47,000,1006.67,25.0,8.00,24.4,31.7,97,30.58,0.0,6.20
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.10,08-29-2019,19:00:00,1006.95,120,1006.31,25.8,10.00,24.9,33.0,95,31.55,3.7,4.60
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.80,08-29-2019,19:00:00,1007.50,000,1007.10,24.8,8.00,24.4,32.7,97,30.48,0.0,6.40
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1.00,08-29-2019,19:00:00,1010.00,000,1005.75,25.5,4.00,23.6,31.7,89,29.11,0.0,4.80
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,4.00,08-29-2019,19:00:00,1007.68,000,1006.06,25.5,8.00,23.6,29.8,89,29.11,0.0,9.80
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,2.00,08-29-2019,19:00:00,1008.46,000,1004.96,25.0,8.00,24.0,31.0,94,29.79,0.0,13.80
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.60,08-29-2019,19:00:00,1007.57,000,1006.20,25.5,6.00,25.2,32.4,98,32.07,0.0,10.80
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,7.50,08-29-2019,19:00:00,1007.48,000,1006.59,24.0,8.00,23.4,30.6,97,28.78,0.0,18.70
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-29-2019,19:00:00,1007.47,000,1003.90,25.8,10.00,25.2,29.0,97,32.09,0.0,41.10
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-29-2019,19:00:00,1007.62,000,1007.19,28.5,10.00,24.2,32.0,78,30.15,0.0,7.60
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-29-2019,19:00:00,1008.64,250,1007.65,28.8,10.00,23.9,30.8,75,29.63,16.7,1.50
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-29-2019,19:00:00,1007.76,270,1006.95,28.2,10.00,25.5,28.9,85,32.63,20.4,0.01
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,3.00,08-29-2019,19:00:00,1007.94,000,1006.11,25.0,10.00,24.3,30.3,96,30.32,0.0,27.10
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.01,08-29-2019,19:00:00,1008.16,250,1007.41,27.0,10.00,23.3,30.6,80,28.67,3.7,1.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,6.60,08-29-2019,19:00:00,1007.70,240,1003.67,24.6,10.00,23.0,30.2,91,28.03,9.3,22.60
48570,SATUN,สตูล,สตูล,6.65000,100.08333,8.00,08-29-2019,19:00:00,1008.36,000,1007.68,25.4,10.00,24.1,31.4,92,29.99,0.0,17.60
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1.80,08-29-2019,19:00:00,1008.47,000,1007.35,25.5,10.00,23.9,30.9,91,29.64,0.0,8.40
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1.30,08-29-2019,19:00:00,1007.99,000,1005.05,25.1,10.00,24.1,30.6,94,29.97,0.0,16.90
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,08-29-2019,19:00:00,1007.53,000,1006.84,24.5,7.00,23.8,31.4,96,29.41,0.0,11.20
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,7.50,08-29-2019,19:00:00,1008.32,000,1004.14,23.6,6.00,22.7,31.4,95,27.58,0.0,7.50
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.30,08-29-2019,19:00:00,1007.35,290,1006.76,26.5,9.00,22.3,33.0,78,26.99,7.4,0.30
