WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,WindDirection,RelativeHumidity,Rainfall,MeanSeaLevelPressure,Rainfall24Hr,WindSpeed,VaporPressure,LandVisibility,DewPoint
48376,TAK,ตาก,ตาก,16.87833,99.14333,994.06,07-13-2019,13:00:00,33.7,260,52,0.00,1008.15,0.00,16.7,27.26,10.00,22.5
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,991.08,07-13-2019,13:00:00,34.2,000,53,0.00,1007.08,0.00,0.0,28.55,12.00,23.3
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1002.75,07-13-2019,13:00:00,33.0,270,62,0.00,1007.88,0.00,5.6,30.99,10.00,24.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,992.70,07-13-2019,13:00:00,33.8,000,60,0.00,1005.58,10.40,0.0,31.80,12.00,25.1
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,998.19,07-13-2019,13:00:00,34.1,120,55,0.00,1007.30,0.00,9.3,29.21,12.00,23.6
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,984.67,07-13-2019,13:00:00,34.6,300,46,0.00,1005.80,0.70,14.8,25.41,12.00,21.4
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,988.57,07-13-2019,13:00:00,35.5,280,52,0.00,1005.57,0.00,9.3,30.10,10.00,24.2
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,989.06,07-13-2019,13:00:00,34.2,200,56,0.00,1004.48,0.00,9.3,30.29,13.00,24.3
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,986.24,07-13-2019,13:00:00,36.4,280,46,0.00,1004.50,0.00,5.6,27.89,10.00,22.9
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,958.62,07-13-2019,13:00:00,30.0,000,60,0.00,1009.24,0.00,0.0,25.42,11.00,21.4
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1003.14,07-13-2019,13:00:00,33.4,230,58,0.00,1007.02,0.00,5.6,29.79,7.00,24.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,914.32,07-13-2019,13:00:00,26.5,230,73,0.00,1008.01,0.40,18.5,25.20,8.00,21.2
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,989.81,07-13-2019,13:00:00,36.0,220,51,0.00,1005.31,0.00,7.4,30.59,10.00,24.4
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1003.54,07-13-2019,13:00:00,34.1,060,65,0.00,1007.48,16.70,3.7,34.90,10.00,26.6
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,997.56,07-13-2019,13:00:00,34.5,000,53,0.00,1007.99,0.00,0.0,29.17,10.00,23.6
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1006.23,07-13-2019,13:00:00,34.5,210,49,0.00,1008.12,0.00,3.7,26.60,10.00,22.1
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,985.66,07-13-2019,13:00:00,35.7,240,45,0.00,1005.91,0.00,11.1,26.18,12.00,21.8
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,988.23,07-13-2019,13:00:00,35.0,000,49,0.00,1005.41,0.10,0.0,27.61,10.00,22.7
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,989.41,07-13-2019,13:00:00,34.8,310,53,0.00,1005.14,0.20,7.4,29.21,10.00,23.7
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,992.78,07-13-2019,13:00:00,34.5,280,51,0.00,1006.47,0.01,7.4,28.02,10.00,23.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,992.42,07-13-2019,13:00:00,34.3,000,56,0.00,1006.90,0.00,0.0,30.50,12.00,24.4
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,993.57,07-13-2019,13:00:00,35.5,300,47,0.00,1007.85,0.00,14.8,27.19,10.00,22.5
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1004.18,07-13-2019,13:00:00,36.4,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",43,0.00,1007.11,0.00,0.0,26.17,10.00,21.8
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,999.10,07-13-2019,13:00:00,33.4,100,61,0.00,1006.89,58.00,5.6,31.24,10.00,24.8
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1006.52,07-13-2019,13:00:00,33.6,270,55,0.00,1007.61,2.90,5.6,28.76,8.00,23.4
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,992.43,07-13-2019,13:00:00,33.5,000,43,0.00,1006.80,0.00,0.0,22.02,8.00,19.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,873.14,07-13-2019,13:00:00,24.7,290,78,0.00,1005.81,5.80,3.7,24.21,8.00,20.6
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1001.47,07-13-2019,13:00:00,33.9,190,71,0.00,1007.21,77.40,5.6,37.58,9.00,27.9
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1006.98,07-13-2019,13:00:00,35.2,230,60,0.00,1007.77,0.00,9.3,34.30,12.00,26.3
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1007.91,07-13-2019,13:00:00,31.6,230,64,0.00,1008.35,9.30,18.5,29.84,10.00,24.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,998.49,07-13-2019,13:00:00,32.0,000,66,0.00,1009.64,8.00,0.0,31.52,10.00,24.9
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1006.47,07-13-2019,13:00:00,36.0,180,48,0.00,1007.45,0.00,5.6,28.22,12.00,23.1
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1005.91,07-13-2019,13:00:00,34.4,230,52,0.00,1007.69,0.00,3.7,28.10,9.00,23.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1006.60,07-13-2019,13:00:00,35.5,220,42,0.00,1007.35,0.00,7.4,24.39,9.00,20.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1007.07,07-13-2019,13:00:00,33.5,210,57,0.00,1007.76,16.90,13.0,29.70,10.00,23.9
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1007.06,07-13-2019,13:00:00,35.0,240,56,0.00,1007.75,0.00,7.4,31.71,11.00,25.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,985.29,07-13-2019,13:00:00,35.6,320,48,0.00,1005.83,0.01,11.1,27.97,12.00,22.9
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,989.89,07-13-2019,13:00:00,35.5,220,47,0.00,1006.13,0.00,11.1,26.91,12.00,22.3
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,990.88,07-13-2019,13:00:00,35.7,270,49,0.00,1006.85,0.00,3.7,28.47,12.00,23.2
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,985.20,07-13-2019,13:00:00,34.8,280,50,0.00,1006.50,1.10,18.5,27.77,10.00,22.8
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,963.91,07-13-2019,13:00:00,31.5,230,62,0.00,1006.50,0.00,22.2,28.79,10.00,23.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,986.07,07-13-2019,13:00:00,35.2,110,48,0.00,1006.07,1.20,7.4,27.44,11.00,22.6
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,987.73,07-13-2019,13:00:00,34.5,260,50,0.00,1008.06,0.00,9.3,27.45,10.00,22.6
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1007.68,07-13-2019,13:00:00,32.4,150,58,0.00,1008.10,0.00,18.5,28.05,10.00,23.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1006.39,07-13-2019,13:00:00,33.5,000,64,0.00,1007.78,0.00,0.0,33.25,11.00,25.8
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1003.05,07-13-2019,13:00:00,34.2,000,60,0.00,1007.87,0.00,0.0,32.07,9.00,25.2
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1004.68,07-13-2019,13:00:00,35.7,000,47,0.00,1007.89,0.00,0.0,27.32,12.00,22.5
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1006.53,07-13-2019,13:00:00,35.0,250,51,0.00,1007.61,0.00,11.1,28.76,10.00,23.4
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1007.75,07-13-2019,13:00:00,34.5,210,54,0.00,1008.04,57.70,9.3,29.46,10.00,23.8
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1007.57,07-13-2019,13:00:00,35.0,200,54,0.00,1008.24,10.40,11.1,30.52,10.00,24.4
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1007.24,07-13-2019,13:00:00,34.7,280,54,0.00,1007.72,4.80,9.3,29.88,10.00,24.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.59,07-13-2019,13:00:00,33.9,260,57,0.00,1007.97,12.40,13.0,30.24,10.00,24.2
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1006.92,07-13-2019,13:00:00,30.1,210,62,0.00,1008.59,0.00,14.8,26.66,10.00,22.1
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1001.97,07-13-2019,13:00:00,33.1,270,54,0.00,1009.84,0.50,5.6,27.20,10.00,22.5
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1007.92,07-13-2019,13:00:00,33.5,270,56,0.00,1008.20,12.80,5.6,28.84,10.00,23.4
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1004.59,07-13-2019,13:00:00,32.0,230,63,0.00,1007.67,0.00,5.6,30.08,12.00,24.1
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1001.67,07-13-2019,13:00:00,32.0,260,58,0.00,1008.50,0.00,9.3,27.55,12.00,22.7
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1002.24,07-13-2019,13:00:00,34.5,270,59,0.00,1007.70,0.00,14.8,32.12,8.00,25.2
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1001.30,07-13-2019,13:00:00,33.3,000,61,0.00,1010.45,0.00,0.0,31.33,12.00,24.8
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1007.65,07-13-2019,13:00:00,34.6,210,49,0.00,1008.88,7.30,3.7,26.80,15.00,22.2
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1007.87,07-13-2019,13:00:00,35.5,160,57,0.00,1008.29,0.00,18.5,33.12,11.00,25.8
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,996.22,07-13-2019,13:00:00,34.0,270,46,0.00,1008.21,0.00,3.7,24.26,10.00,20.6
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1008.12,07-13-2019,13:00:00,32.0,120,59,0.00,1008.83,0.00,18.5,28.10,10.00,23.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1006.48,07-13-2019,13:00:00,34.4,300,52,0.00,1008.86,0.00,18.5,28.10,10.00,23.0
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1008.28,07-13-2019,13:00:00,32.0,240,63,0.00,1008.79,0.00,20.4,29.79,10.00,24.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1003.10,07-13-2019,13:00:00,33.5,140,55,0.00,1008.15,0.00,3.7,28.27,16.00,23.1
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1008.94,07-13-2019,13:00:00,33.4,210,66,0.00,1009.35,67.90,5.6,33.94,9.00,26.2
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1006.38,07-13-2019,13:00:00,31.5,210,72,0.00,1009.12,78.50,7.4,33.40,8.00,25.9
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1008.34,07-13-2019,13:00:00,34.0,000,57,0.00,1009.11,0.00,0.0,30.46,10.00,24.3
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1009.14,07-13-2019,13:00:00,32.2,240,69,0.00,1009.59,10.90,5.6,33.12,10.00,25.8
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1008.84,07-13-2019,13:00:00,34.5,280,54,0.00,1009.51,0.00,3.7,29.46,10.00,23.8
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1007.64,07-13-2019,13:00:00,34.0,270,53,0.00,1009.13,0.00,7.4,28.14,9.00,23.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.08,07-13-2019,13:00:00,32.0,250,63,0.00,1010.98,0.00,7.4,30.08,10.00,24.1
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1009.10,07-13-2019,13:00:00,33.5,280,60,0.00,1009.77,12.00,7.4,31.16,10.00,24.7
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.85,07-13-2019,13:00:00,34.9,260,54,0.00,1009.63,6.30,9.3,30.30,12.00,24.3
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1008.61,07-13-2019,13:00:00,34.6,240,48,0.00,1009.23,0.30,9.3,26.52,10.00,22.1
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.91,07-13-2019,13:00:00,34.3,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",60,0.00,1009.30,44.90,0.0,32.59,10.00,25.5
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1007.32,07-13-2019,13:00:00,33.5,000,61,0.00,1011.46,37.50,0.0,31.75,7.00,25.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.19,07-13-2019,13:00:00,33.3,000,49,0.00,1009.77,0.20,0.0,24.84,10.00,21.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1007.89,07-13-2019,13:00:00,32.5,000,64,0.00,1011.32,0.10,0.0,31.11,12.00,24.7
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.21,07-13-2019,13:00:00,32.5,300,65,0.00,1009.54,0.50,5.6,31.69,8.00,25.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.94,07-13-2019,13:00:00,31.4,270,71,0.00,1010.82,0.00,13.0,32.60,10.00,25.5
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1007.03,07-13-2019,13:00:00,32.5,200,59,0.00,1010.54,0.00,9.3,28.81,10.00,23.4
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1011.04,07-13-2019,13:00:00,26.4,000,85,11.00,1011.47,11.00,0.0,29.17,6.00,23.6
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.00,07-13-2019,13:00:00,28.0,250,81,0.60,1010.99,0.60,9.3,30.56,7.00,24.4
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1009.91,07-13-2019,13:00:00,31.7,290,72,0.00,1010.72,0.01,9.3,33.53,10.00,26.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.35,07-13-2019,13:00:00,32.1,220,65,0.00,1010.14,6.00,9.3,30.86,9.00,24.6
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.89,07-13-2019,13:00:00,31.3,080,70,0.00,1009.63,0.00,5.6,32.10,12.00,25.2
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1006.09,07-13-2019,13:00:00,32.4,230,57,0.00,1010.03,1.40,16.7,27.77,10.00,22.8
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.25,07-13-2019,13:00:00,28.8,000,72,0.00,1010.94,6.40,0.0,28.54,10.00,23.3
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.30,07-13-2019,13:00:00,33.8,260,56,0.00,1009.39,20.60,9.3,29.46,10.00,23.8
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1007.09,07-13-2019,13:00:00,33.8,180,56,0.00,1009.95,1.00,11.1,29.46,12.00,23.8
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1008.66,07-13-2019,13:00:00,33.3,340,58,0.00,1009.34,0.00,9.3,29.58,10.00,23.9
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1005.84,07-13-2019,13:00:00,32.8,270,56,0.00,1009.90,0.10,9.3,28.00,10.00,23.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1009.13,07-13-2019,13:00:00,33.2,000,50,0.00,1009.71,0.00,0.0,25.19,12.00,21.2
