WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall,StationPressure,VaporPressure,Rainfall24Hr,WindDirection,MaximumTemperature,LandVisibility,AirTemperature,DewPoint,WindSpeed,MeanSeaLevelPressure
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,76,07-27-2019,19:00:00,0.00,988.32,29.22,0.10,000,34.2,10.00,28.3,23.7,0.0,1004.36
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,72,07-27-2019,19:00:00,0.00,991.66,27.97,0.01,260,33.3,10.00,28.5,22.9,11.1,1005.60
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,76,07-27-2019,19:00:00,0.00,991.36,32.92,0.00,000,32.7,8.00,30.3,25.6,0.0,1006.01
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,76,07-27-2019,19:00:00,0.00,990.99,30.96,0.50,000,34.2,8.00,29.2,24.6,0.0,1005.53
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,63,07-27-2019,19:00:00,0.00,1002.30,28.17,0.01,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",36.2,10.00,30.9,23.1,0.0,1005.28
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,68,07-27-2019,19:00:00,0.00,997.43,28.34,0.00,000,32.8,10.00,29.7,23.1,0.0,1005.29
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,65,07-27-2019,19:00:00,0.00,1004.65,28.89,0.00,000,35.0,8.00,30.7,23.5,0.0,1005.74
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,79,07-27-2019,19:00:00,0.00,993.17,35.31,0.00,000,33.5,9.00,31.0,26.8,0.0,1007.67
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,94,07-27-2019,19:00:00,0.00,872.02,21.05,17.60,000,24.1,8.00,19.3,18.3,0.0,1007.11
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,59,07-27-2019,19:00:00,0.00,999.93,25.72,0.00,040,34.9,10.00,30.6,21.6,3.7,1005.73
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,55,07-27-2019,19:00:00,0.00,1005.03,26.86,0.00,190,36.0,10.00,32.5,22.3,3.7,1005.82
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,70,07-27-2019,19:00:00,0.00,1005.39,30.06,0.01,210,32.1,10.00,30.3,24.1,11.1,1005.83
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,74,07-27-2019,19:00:00,0.00,996.31,29.16,4.30,000,30.4,10.00,28.7,23.6,0.0,1007.55
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,55,07-27-2019,19:00:00,0.00,1004.89,27.13,0.00,000,36.7,12.00,32.5,22.4,0.0,1005.88
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,60,07-27-2019,19:00:00,0.00,1004.06,26.73,0.10,180,35.0,8.00,31.0,22.2,3.7,1005.86
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,51,07-27-2019,19:00:00,0.00,1005.18,23.66,0.00,270,35.9,6.00,31.5,20.2,3.7,1005.93
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,70,07-27-2019,19:00:00,0.00,1005.35,29.16,0.01,200,33.8,9.00,29.7,23.6,9.3,1006.05
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,66,07-27-2019,19:00:00,0.00,1004.99,31.73,1.30,000,34.9,10.00,32.1,25.0,0.0,1005.68
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,48,07-27-2019,19:00:00,0.00,984.36,23.17,0.01,000,36.3,10.00,32.1,19.9,0.0,1005.13
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,65,07-27-2019,19:00:00,0.00,988.59,29.01,7.20,000,33.9,9.00,30.9,23.5,0.0,1005.05
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,69,07-27-2019,19:00:00,0.00,989.34,29.19,8.90,000,34.3,8.00,30.0,23.6,0.0,1005.58
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,48,07-27-2019,19:00:00,0.00,984.12,22.37,0.00,000,35.6,10.00,31.5,19.3,0.0,1005.63
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,57,07-27-2019,19:00:00,0.00,962.97,22.32,0.01,170,31.7,10.00,28.5,19.3,7.4,1005.95
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,49,07-27-2019,19:00:00,0.00,984.69,23.25,0.00,120,36.0,10.00,32.0,19.9,3.7,1004.87
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,80,07-27-2019,19:00:00,0.00,986.00,31.18,0.00,020,34.9,10.00,28.6,24.7,3.7,1006.70
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,72,07-27-2019,19:00:00,0.00,1005.69,30.70,0.00,180,31.3,10.00,30.2,24.5,14.8,1006.11
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,76,07-27-2019,19:00:00,0.00,1004.37,30.37,14.80,000,33.8,8.00,28.9,24.3,0.0,1005.77
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,78,07-27-2019,19:00:00,0.00,1001.03,30.23,3.50,000,33.1,8.00,28.4,24.2,0.0,1005.94
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,55,07-27-2019,19:00:00,0.00,1002.93,25.06,0.20,320,35.4,12.00,31.4,21.1,16.7,1006.17
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,57,07-27-2019,19:00:00,0.00,1004.74,26.21,0.00,300,35.5,10.00,31.3,21.9,7.4,1005.83
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,69,07-27-2019,19:00:00,0.00,1005.84,29.98,0.01,210,33.9,10.00,30.4,24.1,5.6,1006.13
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,68,07-27-2019,19:00:00,0.00,1006.31,28.91,0.00,240,35.2,10.00,30.0,23.5,5.6,1006.99
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,69,07-27-2019,19:00:00,0.00,1007.00,30.29,0.00,000,34.7,10.00,30.7,24.3,0.0,1007.49
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,47,07-27-2019,19:00:00,0.00,1004.49,22.57,0.00,240,33.4,10.00,32.2,19.4,11.1,1005.88
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,77,07-27-2019,19:00:00,0.00,1004.40,33.00,0.00,190,33.1,10.00,30.2,25.7,13.0,1006.06
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,78,07-27-2019,19:00:00,0.00,999.59,31.61,0.20,000,33.4,10.00,29.1,25.0,0.0,1007.54
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,66,07-27-2019,19:00:00,0.00,1005.29,29.48,0.20,000,33.5,10.00,31.0,23.8,0.0,1005.57
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,68,07-27-2019,19:00:00,0.00,1003.17,27.96,0.00,000,32.5,10.00,29.5,22.9,0.0,1006.28
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,69,07-27-2019,19:00:00,0.00,999.48,29.27,1.20,240,32.8,12.00,29.9,23.7,5.6,1006.35
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,57,07-27-2019,19:00:00,0.00,1001.31,24.74,0.01,000,34.0,7.00,30.5,20.9,0.0,1006.84
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,64,07-27-2019,19:00:00,0.00,997.92,27.01,0.00,000,38.1,10.00,30.0,22.4,0.0,1007.14
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,78,07-27-2019,19:00:00,0.00,1005.88,33.17,0.01,150,34.0,10.00,30.0,25.8,7.4,1007.13
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,74,07-27-2019,19:00:00,0.00,1006.01,32.17,0.00,170,33.8,11.00,30.5,25.3,9.3,1006.44
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,57,07-27-2019,19:00:00,0.00,994.59,24.37,0.00,000,34.6,10.00,30.0,20.7,0.0,1006.73
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,80,07-27-2019,19:00:00,0.00,1005.81,33.96,0.00,000,34.3,10.00,30.1,26.2,0.0,1006.51
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,67,07-27-2019,19:00:00,0.00,1005.88,29.14,1.40,190,34.7,10.00,30.4,23.6,11.1,1008.29
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,73,07-27-2019,19:00:00,0.00,1007.05,30.87,0.00,000,32.3,10.00,30.0,24.6,0.0,1007.56
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,66,07-27-2019,19:00:00,0.00,1001.36,28.20,0.20,180,34.8,14.00,30.2,23.1,1.9,1006.46
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,85,07-27-2019,19:00:00,0.10,1006.92,31.44,13.80,000,32.9,7.00,27.6,24.9,0.0,1007.33
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,90,07-27-2019,19:00:00,0.00,1004.68,32.93,10.40,030,31.5,8.00,27.5,25.7,7.4,1007.45
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,57,07-27-2019,19:00:00,0.00,1006.29,25.94,0.00,000,37.9,10.00,31.3,21.7,0.0,1007.06
48501,TRAD,ตราด,ตราด,11.76667,102.88333,81,07-27-2019,19:00:00,0.00,1007.31,31.74,0.30,000,31.5,8.00,28.6,25.0,0.0,1007.77
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,64,07-27-2019,19:00:00,0.00,1006.97,26.91,0.00,250,33.2,10.00,29.8,22.3,7.4,1007.65
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,70,07-27-2019,19:00:00,0.00,1006.04,28.10,0.00,000,33.4,10.00,29.0,23.0,0.0,1007.56
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,75,07-27-2019,19:00:00,0.00,1007.22,30.72,10.30,000,32.4,10.00,29.5,24.5,0.0,1008.13
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,84,07-27-2019,19:00:00,0.00,1007.03,30.59,26.80,000,33.7,10.00,27.3,24.4,0.0,1007.71
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,88,07-27-2019,19:00:00,0.00,1007.13,31.38,0.40,000,36.0,10.00,27.0,24.8,0.0,1007.92
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,92,07-27-2019,19:00:00,18.50,1007.18,30.84,18.50,070,33.6,10.00,26.0,24.6,1.9,1007.82
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,76,07-27-2019,19:00:00,0.00,1007.41,34.11,0.00,000,34.7,10.00,31.0,26.2,0.0,1007.81
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,83,07-27-2019,19:00:00,0.00,1005.85,29.37,2.30,000,33.2,5.00,26.8,23.7,0.0,1010.07
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,77,07-27-2019,19:00:00,0.00,1006.43,28.26,0.00,000,35.8,10.00,27.5,23.1,0.0,1008.04
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,84,07-27-2019,19:00:00,0.00,1004.90,30.59,0.00,000,33.6,8.00,27.3,24.4,0.0,1008.38
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,91,07-27-2019,19:00:00,17.80,1006.64,33.70,17.80,000,33.0,10.00,27.6,26.0,0.0,1008.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,74,07-27-2019,19:00:00,0.00,1007.18,29.16,0.80,000,32.5,10.00,28.7,23.6,0.0,1008.06
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,75,07-27-2019,19:00:00,0.00,1004.81,28.02,0.00,000,33.3,10.00,27.8,23.0,0.0,1008.36
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,72,07-27-2019,19:00:00,0.00,1007.45,30.39,0.00,000,33.9,10.00,29.9,24.3,0.0,1007.88
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,71,07-27-2019,19:00:00,0.00,1006.77,29.71,0.00,260,32.4,10.00,29.7,23.9,11.1,1007.76
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,72,07-27-2019,19:00:00,0.00,1007.50,29.22,0.00,270,31.7,10.00,29.3,23.7,22.2,1008.31
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,74,07-27-2019,19:00:00,0.00,1006.59,29.74,0.00,200,34.0,10.00,29.0,23.9,5.6,1008.39
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,71,07-27-2019,19:00:00,0.50,1007.82,26.62,0.50,190,33.3,10.00,27.9,22.1,7.4,1008.57
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,84,07-27-2019,19:00:00,0.00,1004.87,28.90,0.00,000,33.2,10.00,26.4,23.5,0.0,1008.88
48570,SATUN,สตูล,สตูล,6.65000,100.08333,85,07-27-2019,19:00:00,0.00,1010.57,31.25,1.50,000,32.0,10.00,27.5,24.8,0.0,1011.25
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,94,07-27-2019,19:00:00,7.20,1008.44,30.71,17.00,000,32.8,10.00,25.5,24.5,0.0,1009.57
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,89,07-27-2019,19:00:00,0.00,1006.04,31.27,0.00,000,32.7,10.00,26.8,24.8,0.0,1008.97
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,90,07-27-2019,19:00:00,0.00,1008.17,33.33,9.90,000,34.2,8.00,27.7,25.9,0.0,1008.86
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,81,07-27-2019,19:00:00,0.00,1005.37,28.94,0.00,350,34.2,8.00,27.0,23.5,5.6,1009.50
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,92,07-27-2019,19:00:00,17.60,1009.11,27.85,17.60,210,33.6,7.00,24.2,22.9,3.7,1009.71
