WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,AirTemperature,DewPoint,StationPressure,WindDirection,LandVisibility,Rainfall,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,WindSpeed
48331,NAN,น่าน,น่าน,18.77972,100.77778,29.42,07-12-2019,01:00:00,27.4,23.8,985.67,000,10.00,0.00,81,0.00,1008.44,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,30.26,07-12-2019,01:00:00,26.7,24.2,978.53,000,8.00,0.00,86,0.00,1008.42,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,28.84,07-12-2019,01:00:00,26.8,23.4,973.29,000,7.00,0.00,82,2.40,1008.77,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,30.02,07-12-2019,01:00:00,27.0,24.1,977.96,000,10.00,0.00,84,0.00,1007.63,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,27.85,07-12-2019,01:00:00,28.0,22.9,1001.43,000,9.00,0.00,74,0.00,1008.72,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,31.08,07-12-2019,01:00:00,26.7,24.7,987.77,000,10.00,0.00,89,3.90,1007.69,0.0
48353,LOEI,เลย,เลย,17.45000,101.73333,28.78,07-12-2019,01:00:00,28.5,23.4,979.54,000,13.00,0.00,74,0.00,1008.04,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,33.06,07-12-2019,01:00:00,27.0,25.7,987.72,240,10.00,0.00,93,10.40,1007.89,1.9
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,32.91,07-12-2019,01:00:00,26.5,25.6,986.19,000,10.00,0.00,95,3.20,1007.96,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,30.64,07-12-2019,01:00:00,27.9,24.4,988.04,170,10.00,0.00,82,4.80,1007.47,3.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,30.53,07-12-2019,01:00:00,27.7,24.4,992.17,140,10.00,0.00,82,2.80,1008.90,7.4
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,31.91,07-12-2019,01:00:00,26.7,25.1,991.37,000,10.00,0.00,91,0.50,1008.82,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,31.89,07-12-2019,01:00:00,27.4,25.1,982.03,000,10.00,0.00,87,0.00,1007.77,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,27.71,07-12-2019,01:00:00,28.5,22.8,1003.05,250,10.00,0.00,71,0.00,1008.82,11.1
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,28.16,07-12-2019,01:00:00,28.6,23.0,993.51,000,8.00,0.00,72,0.00,1009.90,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,28.83,07-12-2019,01:00:00,25.2,23.4,986.94,000,10.00,0.00,90,1.40,1009.44,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.06,07-12-2019,01:00:00,28.0,22.4,995.81,270,6.00,0.00,72,0.00,1010.19,11.1
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,29.19,07-12-2019,01:00:00,28.0,23.6,992.77,000,7.00,0.00,77,0.00,1009.13,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,27.96,07-12-2019,01:00:00,29.5,22.9,1003.97,000,10.00,0.00,68,0.00,1009.16,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,28.95,07-12-2019,01:00:00,28.3,23.5,994.66,000,10.00,0.00,75,0.00,1007.81,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,27.06,07-12-2019,01:00:00,28.0,22.4,1000.20,320,10.00,0.00,72,0.00,1009.52,7.4
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,31.25,07-12-2019,01:00:00,27.5,24.8,986.57,230,8.00,0.00,85,1.80,1008.24,3.7
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,30.02,07-12-2019,01:00:00,27.0,24.1,991.53,000,10.00,0.00,84,0.01,1009.06,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,31.70,07-12-2019,01:00:00,28.3,25.0,992.33,000,10.00,0.00,82,0.00,1008.12,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,31.02,07-12-2019,01:00:00,27.1,24.7,988.35,000,8.00,0.00,87,0.01,1007.23,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,26.92,07-12-2019,01:00:00,23.8,22.3,960.95,000,6.00,0.00,91,1.10,1012.78,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,31.66,07-12-2019,01:00:00,27.0,25.0,1005.05,000,7.00,0.00,89,0.00,1009.01,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,23.83,07-12-2019,01:00:00,21.1,20.3,915.40,250,4.00,0.00,95,0.70,1010.99,16.7
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,31.29,07-12-2019,01:00:00,28.8,24.8,992.09,000,6.00,0.00,79,0.00,1007.99,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,31.29,07-12-2019,01:00:00,28.8,24.8,1005.62,320,10.00,0.00,79,0.00,1009.64,3.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,29.19,07-12-2019,01:00:00,28.0,23.6,999.95,000,8.00,0.00,77,0.00,1010.63,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,31.23,07-12-2019,01:00:00,28.2,24.8,1007.73,000,8.00,0.00,82,0.00,1009.65,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,27.50,07-12-2019,01:00:00,28.1,22.7,988.27,270,10.00,0.00,72,0.00,1009.10,5.6
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,30.23,07-12-2019,01:00:00,28.4,24.2,989.97,000,10.00,0.00,78,0.00,1007.56,0.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,31.69,07-12-2019,01:00:00,29.0,25.0,991.65,000,10.00,0.00,79,0.00,1007.72,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,31.61,07-12-2019,01:00:00,27.4,25.0,994.67,000,10.00,0.00,87,0.00,1008.70,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,31.24,07-12-2019,01:00:00,26.5,24.8,994.71,000,8.00,0.00,90,0.00,1009.60,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,29.74,07-12-2019,01:00:00,28.0,23.9,994.64,220,8.00,0.00,79,0.00,1009.29,3.7
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,27.90,07-12-2019,01:00:00,29.9,22.9,1006.47,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,0.00,66,0.00,1009.47,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,30.73,07-12-2019,01:00:00,28.8,24.5,1001.31,000,7.00,0.00,78,0.00,1009.23,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,30.31,07-12-2019,01:00:00,28.3,24.3,1008.92,200,8.00,0.00,79,0.00,1010.02,7.4
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,31.75,07-12-2019,01:00:00,27.9,25.0,993.25,000,8.00,0.00,85,0.00,1007.90,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,21.65,07-12-2019,01:00:00,19.1,18.8,875.43,180,4.00,0.00,98,0.00,1011.14,9.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,31.77,07-12-2019,01:00:00,28.9,25.1,1003.97,180,10.00,0.00,80,0.00,1009.83,7.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,32.55,07-12-2019,01:00:00,29.0,25.5,1009.54,180,8.00,0.00,81,0.00,1010.34,3.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,32.13,07-12-2019,01:00:00,29.5,25.2,1009.61,210,10.00,0.00,78,0.00,1010.05,14.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,28.83,07-12-2019,01:00:00,25.2,23.4,1000.57,000,5.00,0.00,90,0.00,1012.00,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,29.28,07-12-2019,01:00:00,27.9,23.7,1009.09,210,10.00,0.00,78,0.00,1010.10,3.7
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,30.04,07-12-2019,01:00:00,28.3,24.1,1008.00,180,8.00,0.00,78,0.00,1009.82,3.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,28.08,07-12-2019,01:00:00,27.4,23.0,1009.33,000,7.00,0.00,77,0.00,1010.09,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,30.70,07-12-2019,01:00:00,28.5,24.5,1009.75,210,10.00,0.00,79,0.00,1010.46,9.3
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,30.40,07-12-2019,01:00:00,28.2,24.3,1009.68,000,7.00,0.00,80,0.00,1010.38,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,28.78,07-12-2019,01:00:00,28.5,23.4,987.99,230,10.00,0.00,74,0.00,1009.08,9.3
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,29.93,07-12-2019,01:00:00,28.1,24.1,992.63,210,7.00,0.00,79,0.00,1009.32,7.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,27.63,07-12-2019,01:00:00,27.3,22.7,993.46,170,6.00,0.00,76,0.00,1009.92,3.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,26.95,07-12-2019,01:00:00,27.5,22.3,987.66,000,10.00,0.00,73,0.00,1009.54,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,24.04,07-12-2019,01:00:00,25.5,20.5,966.72,240,12.00,0.00,74,0.00,1010.31,11.1
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,27.36,07-12-2019,01:00:00,27.0,22.6,988.83,210,10.00,0.00,77,0.00,1009.44,5.6
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,28.90,07-12-2019,01:00:00,27.7,23.5,989.73,220,8.00,0.00,78,0.00,1010.57,11.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,30.48,07-12-2019,01:00:00,28.1,24.4,1010.01,310,10.00,0.00,80,0.00,1010.44,5.6
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,31.97,07-12-2019,01:00:00,27.3,25.2,1008.94,000,6.00,0.00,88,0.00,1010.36,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,30.92,07-12-2019,01:00:00,25.9,24.6,1005.47,000,7.00,0.00,93,0.00,1010.44,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,25.69,07-12-2019,01:00:00,28.4,21.5,1007.09,240,10.00,0.00,66,0.00,1010.38,7.4
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,30.02,07-12-2019,01:00:00,27.0,24.1,1009.31,000,10.00,0.00,84,0.00,1010.42,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,32.10,07-12-2019,01:00:00,29.2,25.2,1009.85,230,10.00,0.00,79,0.00,1010.15,7.4
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.90,07-12-2019,01:00:00,28.8,24.0,1009.61,210,10.00,0.00,76,0.00,1010.10,5.6
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,32.59,07-12-2019,01:00:00,28.6,25.5,1008.92,190,10.00,0.00,83,0.00,1010.33,9.3
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,31.93,07-12-2019,01:00:00,26.0,25.1,1003.62,180,10.00,0.00,95,0.00,1011.69,3.7
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,31.70,07-12-2019,01:00:00,28.3,25.0,1009.71,000,10.00,0.00,82,0.00,1010.00,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,32.55,07-12-2019,01:00:00,29.0,25.5,1007.06,190,10.00,0.00,81,0.00,1010.18,7.4
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,31.54,07-12-2019,01:00:00,28.5,24.9,1003.59,000,10.00,0.00,81,0.00,1010.52,0.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,30.40,07-12-2019,01:00:00,28.2,24.3,1004.59,000,7.00,0.00,80,0.00,1010.18,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,29.84,07-12-2019,01:00:00,25.9,24.0,1009.78,270,10.00,0.00,89,0.00,1011.05,11.1
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,26.16,07-12-2019,01:00:00,27.2,21.8,1009.70,280,11.00,0.00,73,0.00,1010.14,9.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,25.93,07-12-2019,01:00:00,25.0,21.7,998.88,000,8.00,0.00,82,0.00,1011.27,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,27.96,07-12-2019,01:00:00,26.9,22.9,1010.13,000,10.00,0.00,79,0.00,1010.84,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,30.95,07-12-2019,01:00:00,28.2,24.6,1008.33,180,10.00,0.00,81,0.00,1010.77,7.4
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,32.30,07-12-2019,01:00:00,29.3,25.3,1010.19,230,10.00,0.00,79,0.00,1010.71,11.1
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,31.26,07-12-2019,01:00:00,28.5,24.8,1005.43,350,10.00,0.00,80,0.00,1010.58,1.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,29.50,07-12-2019,01:00:00,26.0,23.8,1010.37,000,7.00,0.00,88,0.00,1010.79,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,30.71,07-12-2019,01:00:00,25.5,24.5,1008.18,000,8.00,0.00,94,0.00,1010.97,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,30.31,07-12-2019,01:00:00,27.3,24.3,1009.90,000,10.00,0.00,84,0.00,1010.69,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,29.41,07-12-2019,01:00:00,24.5,23.8,1009.96,070,6.00,0.00,96,0.00,1010.43,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,29.62,07-12-2019,01:00:00,26.5,23.9,1010.84,000,8.00,0.00,86,0.00,1011.53,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,30.67,07-12-2019,01:00:00,26.2,24.5,1009.33,000,8.00,0.00,90,0.00,1010.87,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,30.24,07-12-2019,01:00:00,26.4,24.2,1011.25,050,10.00,0.00,88,0.00,1012.17,3.7
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,33.12,07-12-2019,01:00:00,29.0,25.8,1010.88,000,10.00,0.00,83,0.00,1011.56,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,30.84,07-12-2019,01:00:00,26.0,24.6,1011.01,000,8.00,0.00,92,0.00,1011.81,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,28.71,07-12-2019,01:00:00,24.4,23.4,1010.18,000,10.00,0.00,94,1.20,1010.83,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,28.18,07-12-2019,01:00:00,23.8,23.1,1010.98,000,10.00,0.00,96,4.70,1011.39,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,32.76,07-12-2019,01:00:00,26.0,25.6,1008.90,000,6.00,0.00,98,1.20,1013.15,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,30.07,07-12-2019,01:00:00,25.3,24.1,1007.59,000,10.00,0.00,93,0.00,1009.21,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,30.22,07-12-2019,01:00:00,24.8,24.2,1008.20,000,7.00,0.00,97,0.00,1011.71,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,29.08,07-12-2019,01:00:00,24.9,23.6,1010.08,000,8.00,0.00,92,0.01,1011.45,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,31.95,07-12-2019,01:00:00,28.0,25.1,1010.34,000,10.00,0.00,85,0.00,1011.22,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,30.19,07-12-2019,01:00:00,25.8,24.2,1007.96,000,10.00,0.00,91,0.00,1011.55,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.56,07-12-2019,01:00:00,28.0,24.4,1010.38,000,10.00,0.00,81,0.00,1010.82,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,32.04,07-12-2019,01:00:00,26.2,25.2,1009.50,000,10.00,0.00,94,8.30,1010.50,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,28.64,07-12-2019,01:00:00,24.8,23.3,1009.71,090,10.00,0.00,92,0.00,1010.53,7.4
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,30.32,07-12-2019,01:00:00,25.0,24.3,1009.53,000,10.00,0.00,96,1.40,1011.36,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,30.12,07-12-2019,01:00:00,27.2,24.2,1010.22,210,11.00,0.00,84,37.00,1010.98,3.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,31.24,07-12-2019,01:00:00,26.5,24.8,1007.65,000,10.00,0.00,90,1.00,1011.67,0.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,32.46,07-12-2019,01:00:00,26.7,25.4,1010.75,000,10.00,3.00,93,3.50,1011.43,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,30.45,07-12-2019,01:00:00,27.8,24.3,1010.21,000,10.00,0.00,82,1.00,1011.32,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,30.36,07-12-2019,01:00:00,25.6,24.3,1008.62,000,10.00,0.00,93,0.00,1011.57,0.0
