WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,RelativeHumidity,Rainfall24Hr,StationPressure,WindDirection,DewPoint,WindSpeed,LandVisibility,MeanSeaLevelPressure,AirTemperature,Rainfall
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,28.34,10-07-2019,01:00:00,85,4.00,989.99,120,23.2,3.7,8.00,1011.86,25.8,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,27.29,10-07-2019,01:00:00,84,7.50,994.60,000,22.5,0.0,7.00,1012.28,25.5,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,25.61,10-07-2019,01:00:00,76,0.00,995.44,000,21.5,0.0,10.00,1011.40,26.0,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,26.25,10-07-2019,01:00:00,88,7.00,992.21,000,21.9,0.0,6.00,1011.36,24.0,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.03,10-07-2019,01:00:00,91,0.00,960.96,000,20.5,0.0,6.00,1013.11,22.0,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,32.97,10-07-2019,01:00:00,92,0.00,1007.01,000,25.7,0.0,7.00,1010.98,27.1,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.57,10-07-2019,01:00:00,97,1.70,916.94,040,18.7,5.6,5.00,1013.34,19.2,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,30.60,10-07-2019,01:00:00,95,3.90,995.37,000,24.4,0.0,6.00,1011.52,25.3,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,30.03,10-07-2019,01:00:00,89,0.00,1007.38,000,24.1,0.0,7.00,1011.45,26.0,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,28.28,10-07-2019,01:00:00,93,0.00,1001.64,000,23.1,0.0,7.00,1012.47,24.3,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,28.22,10-07-2019,01:00:00,89,0.00,1009.75,000,23.1,0.0,8.00,1011.70,25.0,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.60,10-07-2019,01:00:00,91,4.40,990.89,000,21.5,0.0,10.00,1012.14,23.0,4.40
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,26.83,10-07-2019,01:00:00,96,36.60,993.37,000,22.2,0.0,10.00,1011.35,23.0,33.80
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,29.33,10-07-2019,01:00:00,95,16.20,995.05,000,23.7,0.0,10.00,1011.41,24.6,13.70
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,27.96,10-07-2019,01:00:00,88,0.00,997.07,000,22.9,0.0,10.00,1011.25,25.0,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,28.63,10-07-2019,01:00:00,93,0.00,997.01,000,23.3,0.0,8.00,1012.03,24.5,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,28.59,10-07-2019,01:00:00,88,0.00,997.19,000,23.3,0.0,6.00,1012.01,25.5,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,29.80,10-07-2019,01:00:00,92,0.80,1007.96,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",24.0,0.0,7.00,1011.01,25.3,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,28.01,10-07-2019,01:00:00,82,0.00,1003.35,000,23.0,0.0,8.00,1011.36,26.2,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,29.97,10-07-2019,01:00:00,94,0.60,1009.91,000,24.1,0.0,8.00,1011.03,25.1,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,29.79,10-07-2019,01:00:00,94,14.50,996.62,000,24.0,0.0,8.00,1011.47,25.0,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,27.28,10-07-2019,01:00:00,85,0.00,1005.85,060,22.5,3.7,10.00,1011.79,25.2,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,30.03,10-07-2019,01:00:00,89,0.00,1010.73,000,24.1,0.0,6.00,1011.54,26.0,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,30.46,10-07-2019,01:00:00,92,6.10,1009.63,000,24.3,0.0,5.00,1010.08,25.8,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,29.69,10-07-2019,01:00:00,95,0.60,1000.09,000,23.9,0.0,5.00,1011.53,24.8,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,29.91,10-07-2019,01:00:00,92,0.80,1010.14,000,24.0,0.0,8.00,1011.16,25.5,0.70
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,29.26,10-07-2019,01:00:00,92,5.20,1009.47,000,23.7,0.0,8.00,1011.32,25.0,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,30.23,10-07-2019,01:00:00,95,0.00,1009.86,000,24.2,0.0,7.00,1010.64,25.1,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,30.65,10-07-2019,01:00:00,92,13.40,1010.75,050,24.4,5.6,9.00,1011.46,25.9,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,28.88,10-07-2019,01:00:00,85,4.30,1010.34,000,23.5,0.0,8.00,1011.05,26.1,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,26.42,10-07-2019,01:00:00,88,0.00,990.54,000,22.0,0.0,7.00,1012.01,24.1,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,29.41,10-07-2019,01:00:00,96,5.60,994.38,000,23.8,0.0,6.00,1011.30,24.5,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,29.41,10-07-2019,01:00:00,96,11.80,994.97,000,23.8,0.0,6.00,1011.61,24.5,0.40
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,27.60,10-07-2019,01:00:00,91,21.50,989.79,000,22.7,0.0,10.00,1011.96,24.2,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.12,10-07-2019,01:00:00,91,0.01,968.08,050,21.2,11.1,8.00,1012.15,22.7,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,28.03,10-07-2019,01:00:00,91,11.40,990.53,000,23.0,0.0,10.00,1011.34,24.6,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,27.57,10-07-2019,01:00:00,100,44.70,991.63,010,22.7,1.9,8.00,1012.87,22.7,16.10
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,30.30,10-07-2019,01:00:00,90,0.30,1010.45,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",24.3,0.0,10.00,1010.89,26.0,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,29.87,10-07-2019,01:00:00,95,0.00,1009.68,000,24.0,0.0,6.00,1011.11,24.9,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,29.93,10-07-2019,01:00:00,97,12.50,1006.12,000,24.1,0.0,7.00,1011.11,24.5,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,29.93,10-07-2019,01:00:00,90,0.00,1007.65,210,24.1,3.7,10.00,1010.96,25.8,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,32.12,10-07-2019,01:00:00,95,0.00,1009.94,000,25.2,0.0,10.00,1011.05,26.1,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,31.00,10-07-2019,01:00:00,93,11.70,1010.93,080,24.6,3.7,10.00,1011.23,25.8,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,30.96,10-07-2019,01:00:00,97,16.40,1010.62,000,24.6,0.0,10.00,1011.12,25.2,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,30.63,10-07-2019,01:00:00,93,15.00,1009.87,080,24.4,5.6,9.00,1011.29,25.6,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,28.95,10-07-2019,01:00:00,98,47.50,1004.34,000,23.5,0.0,10.00,1012.48,23.8,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,29.82,10-07-2019,01:00:00,91,5.50,1010.36,000,24.0,0.0,6.00,1010.65,25.6,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,30.59,10-07-2019,01:00:00,89,0.20,1007.56,000,24.4,0.0,10.00,1010.71,26.3,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,29.70,10-07-2019,01:00:00,93,29.60,1003.86,000,23.9,0.0,10.00,1010.87,25.1,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,29.70,10-07-2019,01:00:00,93,4.60,1006.07,000,23.9,0.0,8.00,1011.73,25.1,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,31.63,10-07-2019,01:00:00,96,0.30,1010.42,320,25.0,3.7,4.00,1011.70,25.7,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,32.49,10-07-2019,01:00:00,91,3.80,1010.23,210,25.4,9.3,11.00,1010.66,27.0,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,29.57,10-07-2019,01:00:00,97,16.80,998.77,000,23.9,0.0,8.00,1011.19,24.3,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,30.13,10-07-2019,01:00:00,89,1.30,1009.98,000,24.2,0.0,8.00,1010.70,26.2,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,30.07,10-07-2019,01:00:00,93,145.50,1008.56,360,24.1,5.6,7.00,1011.01,25.3,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,30.84,10-07-2019,01:00:00,92,5.70,1010.17,000,24.6,0.0,8.00,1010.70,26.0,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,29.91,10-07-2019,01:00:00,92,22.40,1005.54,000,24.0,0.0,6.00,1010.74,25.5,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,28.92,10-07-2019,01:00:00,91,0.20,1010.19,000,23.5,0.0,7.00,1010.60,25.1,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,29.93,10-07-2019,01:00:00,97,0.70,1007.81,000,24.1,0.0,8.00,1010.61,24.5,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.82,10-07-2019,01:00:00,91,0.00,1009.71,000,24.0,0.0,10.00,1010.50,25.6,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,27.45,10-07-2019,01:00:00,87,0.20,1010.17,070,22.6,5.6,6.00,1010.63,25.0,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,30.05,10-07-2019,01:00:00,95,2.00,1009.50,000,24.1,0.0,7.00,1010.19,25.0,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,28.97,10-07-2019,01:00:00,95,1.00,1008.72,000,23.5,0.0,6.00,1010.27,24.4,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,28.81,10-07-2019,01:00:00,93,12.60,1009.81,000,23.4,0.0,10.00,1010.74,24.6,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,30.52,10-07-2019,01:00:00,94,0.00,1010.09,000,24.4,0.0,10.00,1010.79,25.4,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,29.41,10-07-2019,01:00:00,96,0.00,1010.02,000,23.8,0.0,8.00,1010.83,24.5,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,30.32,10-07-2019,01:00:00,96,0.00,1010.05,200,24.3,5.6,10.00,1010.69,25.0,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,30.87,10-07-2019,01:00:00,96,0.80,1009.71,000,24.6,0.0,8.00,1010.12,25.3,0.80
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,29.04,10-07-2019,01:00:00,97,0.10,1008.38,000,23.6,0.0,5.00,1012.65,24.0,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,29.91,10-07-2019,01:00:00,92,0.00,1008.67,000,24.0,0.0,8.00,1010.29,25.5,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,29.05,10-07-2019,01:00:00,96,0.01,1006.05,000,23.6,0.0,6.00,1009.57,24.3,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,29.05,10-07-2019,01:00:00,96,0.00,1008.91,000,23.6,0.0,7.00,1010.28,24.3,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,30.46,10-07-2019,01:00:00,92,0.10,1009.37,000,24.3,0.0,10.00,1010.26,25.8,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,29.05,10-07-2019,01:00:00,96,3.00,1006.55,000,23.6,0.0,10.00,1010.15,24.3,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.84,10-07-2019,01:00:00,92,8.60,1010.27,000,24.6,0.0,10.00,1010.71,26.0,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,32.12,10-07-2019,01:00:00,95,0.30,1008.68,000,25.2,0.0,8.00,1009.67,26.1,0.30
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,29.91,10-07-2019,01:00:00,92,0.00,1009.60,090,24.0,7.4,10.00,1010.42,25.5,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,29.13,10-07-2019,01:00:00,97,36.00,1008.66,000,23.6,0.0,10.00,1010.50,24.2,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,28.83,10-07-2019,01:00:00,90,0.00,1009.77,270,23.4,3.7,9.00,1010.53,25.2,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,29.30,10-07-2019,01:00:00,98,24.60,1006.41,300,23.7,5.6,9.00,1010.46,24.0,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,29.41,10-07-2019,01:00:00,96,0.00,1010.17,000,23.8,0.0,10.00,1010.87,24.5,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,30.13,10-07-2019,01:00:00,96,14.00,1009.51,000,24.2,0.0,10.00,1010.64,24.9,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,30.85,10-07-2019,01:00:00,97,3.60,1007.65,000,24.6,0.0,10.00,1010.60,25.0,0.00
