WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,StationPressure,WindSpeed,MinimumTemperature,WindDirection,LandVisibility,Rainfall,DewPoint,AirTemperature,RelativeHumidity,Rainfall24Hr
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1006.14,07-30-2019,07:00:00,30.53,1002.18,0.0,25.8,000,7.00,0.00,24.4,26.7,87,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1008.66,07-30-2019,07:00:00,22.24,912.95,9.3,19.4,240,.90,0.01,19.2,20.0,95,2.50
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1006.63,07-30-2019,07:00:00,31.87,990.57,0.0,24.3,000,8.00,0.00,25.1,25.4,98,59.20
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1007.00,07-30-2019,07:00:00,31.76,1002.95,0.0,25.5,000,10.00,0.00,25.0,26.2,93,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1008.07,07-30-2019,07:00:00,26.78,997.32,3.7,24.7,150,8.00,0.00,22.2,25.2,84,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1007.72,07-30-2019,07:00:00,30.85,1005.77,0.0,24.5,000,10.00,0.00,24.6,25.0,97,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1006.29,07-30-2019,07:00:00,26.47,985.42,0.0,26.3,000,10.00,0.00,22.0,26.5,77,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1006.51,07-30-2019,07:00:00,30.32,988.74,0.0,24.3,000,10.00,0.00,24.3,25.0,96,11.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1006.46,07-30-2019,07:00:00,31.04,990.20,0.0,24.8,000,10.00,0.00,24.7,25.1,97,20.30
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1007.32,07-30-2019,07:00:00,28.36,993.16,0.0,23.0,000,10.00,1.70,23.2,24.2,94,48.30
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1008.13,07-30-2019,07:00:00,28.53,993.14,0.0,23.0,000,8.00,0.00,23.3,24.0,96,28.80
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1006.99,07-30-2019,07:00:00,30.58,992.22,7.4,23.0,200,8.00,0.01,24.4,25.0,97,75.70
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1006.72,07-30-2019,07:00:00,27.77,1003.69,0.0,24.9,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,0.00,22.8,26.5,80,0.10
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1006.86,07-30-2019,07:00:00,29.50,998.88,0.0,25.3,000,10.00,0.00,23.8,26.0,88,1.60
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1007.92,07-30-2019,07:00:00,27.70,1006.80,3.7,24.5,110,8.00,0.00,22.8,25.0,88,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1006.44,07-30-2019,07:00:00,28.26,991.71,0.0,24.9,000,9.00,0.00,23.1,25.9,85,24.80
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1009.99,07-30-2019,07:00:00,20.50,874.14,0.0,17.4,000,8.00,0.00,17.9,18.4,97,16.20
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1007.75,07-30-2019,07:00:00,26.88,1001.85,5.6,24.9,190,10.00,0.00,22.3,26.0,80,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1008.21,07-30-2019,07:00:00,25.47,1007.40,14.8,26.3,260,8.00,0.00,21.4,27.1,71,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1007.91,07-30-2019,07:00:00,25.67,1007.47,5.6,27.5,240,10.00,0.00,21.5,28.1,68,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1009.72,07-30-2019,07:00:00,27.85,998.28,0.0,24.0,000,6.00,0.00,22.9,24.2,92,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1007.91,07-30-2019,07:00:00,26.14,1006.89,0.0,25.4,000,10.00,0.00,21.8,26.6,75,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1007.81,07-30-2019,07:00:00,26.71,1005.98,3.7,25.4,190,7.00,0.00,22.2,25.9,80,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1008.11,07-30-2019,07:00:00,24.80,1007.34,0.0,25.0,000,8.00,0.00,21.0,27.3,68,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1008.36,07-30-2019,07:00:00,25.05,1007.65,13.0,25.5,260,10.00,0.00,21.1,27.3,69,5.80
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1008.25,07-30-2019,07:00:00,28.03,1007.55,0.0,25.8,000,7.00,0.00,23.0,26.5,81,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1007.11,07-30-2019,07:00:00,26.41,985.97,7.4,26.4,240,10.00,0.00,22.0,27.2,73,0.10
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1007.31,07-30-2019,07:00:00,30.40,990.48,0.0,23.8,000,7.00,0.40,24.3,24.9,97,48.10
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1007.46,07-30-2019,07:00:00,30.15,990.93,7.4,23.7,180,6.00,0.60,24.2,25.2,94,44.90
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1007.28,07-30-2019,07:00:00,26.22,985.39,0.0,25.6,000,10.00,0.00,21.9,26.5,76,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1008.26,07-30-2019,07:00:00,24.70,964.52,0.0,22.8,000,15.00,0.00,20.9,23.8,84,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1007.15,07-30-2019,07:00:00,28.59,986.49,3.7,25.1,130,10.00,0.00,23.3,25.5,88,1.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1008.17,07-30-2019,07:00:00,31.20,987.18,18.5,23.8,200,8.00,0.40,24.7,24.9,99,26.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1008.56,07-30-2019,07:00:00,26.73,1008.12,0.0,25.5,000,10.00,0.00,22.2,26.5,77,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1008.01,07-30-2019,07:00:00,29.91,1006.59,0.0,25.2,000,11.00,0.00,24.0,25.5,92,0.40
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1008.23,07-30-2019,07:00:00,29.50,1003.28,0.0,25.8,000,8.00,0.00,23.8,26.0,88,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1008.58,07-30-2019,07:00:00,26.22,1005.27,7.4,24.4,210,12.00,0.00,21.9,26.5,76,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1008.55,07-30-2019,07:00:00,25.61,1007.44,3.7,25.4,270,10.00,0.00,21.5,26.0,76,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1008.32,07-30-2019,07:00:00,25.81,1008.02,13.0,26.4,280,10.00,0.00,21.6,27.0,72,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1009.10,07-30-2019,07:00:00,28.26,1008.42,0.0,27.0,000,10.00,0.00,23.1,27.5,77,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1008.33,07-30-2019,07:00:00,26.17,1007.84,0.0,26.8,000,10.00,0.00,21.8,27.5,71,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1008.76,07-30-2019,07:00:00,25.57,1007.36,18.5,27.1,260,10.00,0.00,21.5,27.6,69,0.01
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1008.29,07-30-2019,07:00:00,29.19,1006.62,16.7,28.1,250,10.00,0.00,23.6,29.0,73,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1010.28,07-30-2019,07:00:00,27.70,1002.20,0.0,24.7,000,10.00,0.00,22.8,25.0,88,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1007.65,07-30-2019,07:00:00,28.78,1007.37,7.4,26.9,270,10.00,0.00,23.4,28.5,74,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1007.91,07-30-2019,07:00:00,25.71,1004.79,5.6,28.3,220,12.00,0.00,21.6,29.0,64,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1008.47,07-30-2019,07:00:00,26.13,1001.55,7.4,28.0,240,10.00,0.00,21.8,28.5,67,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1008.19,07-30-2019,07:00:00,28.41,1002.59,0.0,25.9,000,7.00,0.00,23.2,27.0,80,0.01
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1009.24,07-30-2019,07:00:00,26.55,999.95,14.8,28.0,290,12.00,0.00,22.1,28.3,69,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1009.39,07-30-2019,07:00:00,28.04,1008.11,0.0,24.4,000,14.00,0.00,23.0,24.9,89,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1008.46,07-30-2019,07:00:00,25.46,1008.02,0.0,26.2,000,11.00,0.00,21.4,26.8,72,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1008.77,07-30-2019,07:00:00,26.60,996.42,0.0,24.0,000,10.00,0.00,22.1,25.1,84,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1008.34,07-30-2019,07:00:00,28.65,1007.63,0.0,25.7,000,10.00,0.00,23.3,26.7,82,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1008.77,07-30-2019,07:00:00,25.71,1006.35,11.1,28.3,270,10.00,0.00,21.6,29.0,64,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1008.57,07-30-2019,07:00:00,26.13,1008.05,0.0,28.0,000,10.00,0.00,21.8,28.5,67,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1008.32,07-30-2019,07:00:00,26.84,1003.16,3.7,26.4,260,11.00,0.00,22.3,27.0,75,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1008.47,07-30-2019,07:00:00,32.69,1008.06,0.0,26.5,000,8.00,0.00,25.5,27.1,91,0.01
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1008.54,07-30-2019,07:00:00,31.79,1005.76,0.0,26.0,000,8.00,0.00,25.1,26.5,92,2.40
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.10,07-30-2019,07:00:00,29.15,1008.31,0.0,23.0,000,12.00,0.00,23.6,26.1,86,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1008.49,07-30-2019,07:00:00,32.53,1008.03,5.6,25.6,280,7.00,0.00,25.4,27.3,90,2.20
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1009.82,07-30-2019,07:00:00,28.04,1009.13,0.0,24.4,000,8.00,0.00,23.0,24.9,89,0.20
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1009.68,07-30-2019,07:00:00,27.66,1008.13,0.0,23.5,000,8.00,0.00,22.8,23.5,96,0.60
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.70,07-30-2019,07:00:00,28.29,1009.78,0.0,24.4,000,10.00,0.00,23.1,24.6,92,0.40
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1009.59,07-30-2019,07:00:00,31.52,1008.90,0.0,25.3,000,10.00,0.00,24.9,27.5,86,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.57,07-30-2019,07:00:00,29.59,1009.76,0.0,24.5,000,8.00,0.00,23.9,24.6,96,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1009.28,07-30-2019,07:00:00,29.64,1008.65,0.0,24.9,000,10.00,0.00,23.9,25.5,91,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1009.83,07-30-2019,07:00:00,29.46,1009.42,0.0,24.7,000,10.00,0.00,23.8,25.4,91,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1011.72,07-30-2019,07:00:00,29.50,1007.47,0.0,24.6,000,5.00,0.00,23.8,26.0,88,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.99,07-30-2019,07:00:00,29.41,1007.36,0.0,23.0,000,6.00,0.00,23.8,24.5,96,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1010.59,07-30-2019,07:00:00,29.41,1007.07,0.0,24.3,000,8.00,0.00,23.8,24.5,96,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.06,07-30-2019,07:00:00,30.15,1008.69,0.0,25.2,000,9.00,0.00,24.2,25.2,94,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.92,07-30-2019,07:00:00,31.96,1009.03,0.0,25.5,000,10.00,0.00,25.1,26.3,93,1.20
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1010.55,07-30-2019,07:00:00,28.89,1006.95,0.0,23.3,000,10.00,0.00,23.5,24.5,94,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.19,07-30-2019,07:00:00,31.38,1009.75,0.0,26.5,000,10.00,0.00,24.8,27.0,88,3.20
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.59,07-30-2019,07:00:00,31.33,1008.60,7.4,26.1,290,10.00,0.00,24.8,29.1,78,1.60
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1009.91,07-30-2019,07:00:00,31.61,1009.10,18.5,24.8,280,10.00,0.00,25.0,29.1,78,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1010.52,07-30-2019,07:00:00,30.15,1008.69,0.0,25.0,000,7.00,0.00,24.2,25.2,94,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.31,07-30-2019,07:00:00,28.84,1009.55,5.6,25.6,210,10.00,0.00,23.4,26.8,82,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1010.71,07-30-2019,07:00:00,29.25,1006.67,0.0,22.6,000,8.00,0.00,23.7,24.7,94,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.28,07-30-2019,07:00:00,29.52,1009.59,0.0,23.7,000,10.00,0.00,23.8,25.0,93,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1010.02,07-30-2019,07:00:00,29.69,1008.90,0.0,21.5,000,10.00,0.00,23.9,24.8,95,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1010.73,07-30-2019,07:00:00,28.26,1007.76,0.0,22.2,000,10.00,0.00,23.1,23.7,96,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1009.40,07-30-2019,07:00:00,29.77,1008.71,0.0,24.0,000,10.00,0.00,24.0,24.7,96,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1010.43,07-30-2019,07:00:00,28.37,1006.26,0.0,24.5,000,6.00,0.00,23.2,24.5,92,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1009.10,07-30-2019,07:00:00,26.84,1008.50,0.0,.0,000,9.00,0.00,22.3,24.5,87,0.00
