WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindDirection,LandVisibility,AirTemperature,Rainfall,MeanSeaLevelPressure,StationPressure,DewPoint,Rainfall24Hr,WindSpeed,VaporPressure,MaximumTemperature
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,75,08-16-2019,19:00:00,020,10.00,29.1,0.00,1003.29,981.83,24.2,1.10,1.9,30.21,34.4
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,72,08-16-2019,19:00:00,000,10.00,31.0,0.00,1003.15,985.95,25.4,5.80,0.0,32.34,35.4
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,88,08-16-2019,19:00:00,000,10.00,27.5,0.50,1003.24,987.49,25.4,4.70,0.0,32.36,32.8
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,77,08-16-2019,19:00:00,000,8.00,30.0,0.00,1002.04,983.43,25.5,6.30,0.0,32.59,34.3
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,82,08-16-2019,19:00:00,000,8.00,26.2,0.00,1006.11,955.02,23.0,2.50,0.0,28.01,28.6
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,89,08-16-2019,19:00:00,000,7.00,29.0,0.00,1002.99,999.07,26.9,0.00,0.0,35.46,33.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,93,08-16-2019,19:00:00,220,.90,22.3,0.00,1004.51,909.89,21.1,0.20,5.6,24.97,24.3
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,84,08-16-2019,19:00:00,000,8.00,29.6,0.00,1006.89,991.04,26.7,3.20,0.0,34.97,33.3
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,65,08-16-2019,19:00:00,230,9.00,31.8,0.00,1003.27,999.32,24.4,0.00,1.9,30.53,34.9
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,71,08-16-2019,19:00:00,150,8.00,30.0,0.00,1005.10,994.55,24.3,0.00,9.3,30.31,34.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,77,08-16-2019,19:00:00,000,9.00,31.0,0.00,1003.93,1002.03,26.4,0.00,0.0,34.41,34.5
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,63,08-16-2019,19:00:00,000,10.00,30.6,0.00,1003.44,982.90,22.9,0.00,0.0,27.87,34.1
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,84,08-16-2019,19:00:00,000,10.00,28.2,0.00,1002.79,985.27,25.2,0.00,0.0,32.07,32.3
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,82,08-16-2019,19:00:00,000,10.00,28.9,0.01,1002.57,986.58,25.5,0.01,0.0,32.63,33.3
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,85,08-16-2019,19:00:00,180,10.00,28.3,10.20,1004.76,990.82,25.5,10.20,5.6,32.55,34.5
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,78,08-16-2019,19:00:00,000,10.00,28.9,0.00,1005.96,991.25,24.8,0.60,0.0,31.21,34.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,77,08-16-2019,19:00:00,160,8.00,30.0,0.00,1005.25,990.75,25.5,0.00,5.6,32.59,34.8
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,71,08-16-2019,19:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,31.8,0.00,1002.62,999.66,25.8,0.30,0.0,33.15,35.6
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,75,08-16-2019,19:00:00,000,10.00,30.5,0.00,1003.30,995.47,25.6,0.00,0.0,32.75,32.1
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,90,08-16-2019,19:00:00,000,7.00,27.7,3.80,1004.26,1003.16,25.9,3.80,0.0,33.33,34.4
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,85,08-16-2019,19:00:00,000,8.00,28.0,0.20,1005.42,990.81,25.1,0.20,0.0,31.95,34.5
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,99,08-16-2019,19:00:00,190,.05,21.1,1.00,1005.94,871.77,20.9,56.40,11.1,24.77,22.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,78,08-16-2019,19:00:00,220,10.00,30.9,0.00,1003.68,997.90,26.6,0.00,11.1,34.79,32.8
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,87,08-16-2019,19:00:00,180,8.00,27.7,19.00,1004.88,1004.08,25.3,19.00,9.3,32.20,37.5
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,77,08-16-2019,19:00:00,210,10.00,30.0,0.00,1004.87,1004.42,25.5,0.00,16.7,32.59,31.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,90,08-16-2019,19:00:00,000,5.00,26.7,0.00,1006.03,994.73,25.0,18.00,0.0,31.63,32.6
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,78,08-16-2019,19:00:00,180,10.00,30.5,0.00,1004.19,1003.19,26.2,0.00,5.6,33.93,37.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,79,08-16-2019,19:00:00,140,8.00,27.9,0.00,1003.75,1001.94,24.0,0.00,3.7,29.82,35.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,72,08-16-2019,19:00:00,000,8.00,30.4,2.00,1004.78,1004.02,24.9,2.00,0.0,31.39,34.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,78,08-16-2019,19:00:00,200,10.00,29.5,0.00,1005.03,1004.34,25.2,0.00,18.5,32.13,33.3
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,70,08-16-2019,19:00:00,000,7.00,31.7,0.00,1004.21,1003.52,25.5,0.60,0.0,32.64,35.6
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,58,08-16-2019,19:00:00,260,10.00,32.0,0.00,1004.03,983.29,22.7,0.00,7.4,27.55,36.5
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,72,08-16-2019,19:00:00,000,8.00,30.2,0.00,1004.27,987.77,24.5,0.00,0.0,30.70,35.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,74,08-16-2019,19:00:00,180,8.00,30.2,0.00,1004.54,988.32,24.9,0.00,7.4,31.56,35.5
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,65,08-16-2019,19:00:00,000,10.00,31.3,0.00,1003.65,982.17,24.0,0.00,0.0,29.80,35.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,89,08-16-2019,19:00:00,000,9.00,26.0,6.80,1004.76,961.48,24.0,6.80,0.0,29.76,31.3
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,65,08-16-2019,19:00:00,220,10.00,30.5,0.00,1003.86,983.60,23.2,0.00,11.1,28.50,35.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,78,08-16-2019,19:00:00,190,9.00,30.0,0.00,1005.32,984.74,25.8,0.00,13.0,33.17,34.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,81,08-16-2019,19:00:00,230,10.00,29.3,0.01,1004.69,1004.26,25.8,0.01,13.0,33.16,32.8
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,82,08-16-2019,19:00:00,000,8.00,29.0,0.00,1004.27,1002.87,25.6,0.00,0.0,32.83,34.4
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,92,08-16-2019,19:00:00,000,7.00,27.2,15.20,1004.65,999.73,25.8,15.20,0.0,33.17,34.4
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,66,08-16-2019,19:00:00,320,11.00,31.1,0.00,1004.61,1001.37,23.9,0.00,5.6,29.68,35.7
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,81,08-16-2019,19:00:00,000,10.00,29.5,0.00,1004.51,1003.42,26.0,0.00,0.0,33.58,35.5
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,80,08-16-2019,19:00:00,210,10.00,30.1,0.00,1004.93,1004.63,26.2,0.00,13.0,33.96,34.9
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,80,08-16-2019,19:00:00,220,10.00,30.3,0.00,1004.68,1004.00,26.4,0.00,5.6,34.39,35.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,66,08-16-2019,19:00:00,000,10.00,30.5,0.00,1004.84,1004.36,23.4,0.00,0.0,28.78,35.2
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,86,08-16-2019,19:00:00,210,10.00,27.5,0.60,1004.67,1003.26,24.9,0.60,13.0,31.52,35.2
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,88,08-16-2019,19:00:00,190,10.00,29.5,0.00,1004.85,1003.19,27.3,0.00,29.6,36.25,30.7
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,78,08-16-2019,19:00:00,180,10.00,28.8,0.00,1006.50,998.55,24.6,0.60,3.7,31.01,34.2
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,69,08-16-2019,19:00:00,120,10.00,31.2,0.00,1004.88,1004.60,24.8,0.00,3.7,31.31,34.3
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,83,08-16-2019,19:00:00,000,10.00,29.0,0.00,1004.84,1001.73,25.8,0.00,0.0,33.12,32.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,81,08-16-2019,19:00:00,210,12.00,29.0,0.00,1005.44,998.56,25.5,0.00,5.6,32.55,31.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,71,08-16-2019,19:00:00,000,8.00,30.6,0.00,1005.09,999.56,24.8,0.00,0.0,31.23,36.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,76,08-16-2019,19:00:00,210,10.00,29.3,0.00,1004.38,995.16,24.6,0.00,14.8,30.88,32.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,88,08-16-2019,19:00:00,000,10.00,27.9,0.00,1005.53,1004.27,25.6,3.30,0.0,32.88,34.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,81,08-16-2019,19:00:00,180,11.00,29.0,0.20,1005.17,1004.74,25.5,12.20,18.5,32.55,34.6
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,76,08-16-2019,19:00:00,000,8.00,28.7,0.00,1005.80,993.62,24.1,0.00,0.0,29.98,34.3
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,77,08-16-2019,19:00:00,250,10.00,29.8,0.00,1005.26,1004.55,25.4,1.00,7.4,32.46,33.2
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,79,08-16-2019,19:00:00,200,10.00,29.5,0.00,1005.79,1003.38,25.4,0.00,3.7,32.42,33.7
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,85,08-16-2019,19:00:00,270,10.00,29.0,0.00,1005.58,1005.06,26.2,0.00,18.5,33.99,31.5
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,81,08-16-2019,19:00:00,210,10.00,29.0,0.00,1005.69,1000.58,25.3,0.00,3.7,32.26,33.5
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,83,08-16-2019,19:00:00,220,8.00,28.9,0.00,1006.25,1005.84,25.6,1.20,5.6,32.91,32.3
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,85,08-16-2019,19:00:00,000,8.00,28.5,0.00,1006.66,1003.90,25.7,0.00,0.0,32.96,31.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,70,08-16-2019,19:00:00,300,10.00,29.3,0.00,1006.44,1005.66,23.2,0.00,9.3,28.40,33.7
48501,TRAD,ตราด,ตราด,11.76667,102.88333,94,08-16-2019,19:00:00,210,6.00,26.7,8.70,1007.25,1006.79,25.7,18.90,9.3,33.02,30.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,92,08-16-2019,19:00:00,000,7.00,26.5,7.10,1007.99,1007.30,25.1,7.80,0.0,31.79,31.8
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,86,08-16-2019,19:00:00,000,7.00,27.0,1.20,1007.47,1005.94,24.4,3.80,0.0,30.56,31.8
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,86,08-16-2019,19:00:00,220,6.00,27.0,0.01,1007.99,1007.08,24.4,69.20,5.6,30.56,30.8
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,79,08-16-2019,19:00:00,000,12.00,29.1,0.00,1007.54,1006.86,25.1,0.00,0.0,31.89,35.6
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,97,08-16-2019,19:00:00,200,10.00,25.5,0.30,1009.09,1008.29,24.9,1.20,5.6,31.52,33.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,82,08-16-2019,19:00:00,200,9.00,27.0,0.01,1007.55,1006.91,23.6,0.01,3.7,29.21,33.7
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,87,08-16-2019,19:00:00,210,10.00,26.6,0.00,1008.27,1007.86,24.3,0.00,14.8,30.34,32.8
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,88,08-16-2019,19:00:00,000,6.00,26.0,0.00,1010.19,1005.96,23.8,0.00,0.0,29.50,33.8
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,93,08-16-2019,19:00:00,000,8.00,25.2,8.30,1009.50,1007.88,24.0,15.10,0.0,29.89,31.4
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,92,08-16-2019,19:00:00,000,8.00,25.0,3.50,1010.02,1006.51,23.5,4.70,0.0,29.00,30.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,86,08-16-2019,19:00:00,000,10.00,28.0,0.00,1009.70,1008.35,25.4,2.50,0.0,32.52,31.5
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,96,08-16-2019,19:00:00,000,8.00,26.0,7.10,1008.39,1007.50,25.3,27.80,0.0,32.20,28.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,99,08-16-2019,19:00:00,000,10.00,24.0,54.70,1009.46,1005.86,23.8,69.00,0.0,29.56,28.5
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,92,08-16-2019,19:00:00,000,8.00,27.0,0.40,1008.95,1008.52,25.6,23.50,0.0,32.77,30.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,92,08-16-2019,19:00:00,250,9.00,27.9,0.50,1008.31,1007.32,26.5,2.90,5.6,34.60,29.9
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,86,08-16-2019,19:00:00,250,10.00,27.4,1.20,1009.68,1008.86,24.8,33.80,13.0,31.33,28.2
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,91,08-16-2019,19:00:00,170,10.00,26.3,0.10,1009.86,1008.04,24.7,70.40,5.6,31.13,28.2
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,73,08-16-2019,19:00:00,230,10.00,27.2,0.00,1009.24,1008.49,21.8,0.01,7.4,26.16,33.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,80,08-16-2019,19:00:00,240,10.00,26.6,0.01,1009.46,1005.45,22.8,2.60,11.1,27.69,32.5
48570,SATUN,สตูล,สตูล,6.65000,100.08333,89,08-16-2019,19:00:00,000,10.00,25.7,0.00,1010.03,1009.34,23.8,14.90,0.0,29.48,30.4
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,80,08-16-2019,19:00:00,000,10.00,27.0,0.00,1009.05,1007.94,23.3,10.80,0.0,28.67,32.8
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,91,08-16-2019,19:00:00,000,10.00,25.8,0.00,1009.76,1006.82,24.2,3.70,0.0,30.19,32.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,78,08-16-2019,19:00:00,000,8.00,28.2,0.00,1008.58,1007.89,24.0,0.00,0.0,29.85,34.2
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,70,08-16-2019,19:00:00,000,9.00,28.7,0.00,1009.30,1005.19,22.7,0.00,0.0,27.54,35.1
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,84,08-16-2019,19:00:00,340,6.00,27.5,4.40,1008.92,1008.33,24.6,4.40,9.3,30.97,33.3
