WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindDirection,AirTemperature,RelativeHumidity,VaporPressure,StationPressure,Rainfall,WindSpeed,LandVisibility,Rainfall24Hr,MeanSeaLevelPressure
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.2,09-11-2019,01:00:00,000,24.9,96,30.13,973.70,0.00,0.0,6.00,1.00,1009.43
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.4,09-11-2019,01:00:00,000,23.7,98,28.77,979.05,4.50,0.0,5.00,4.50,1009.08
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,23.1,09-11-2019,01:00:00,000,25.3,88,28.23,1002.76,0.00,0.0,8.00,0.00,1010.13
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,24.9,09-11-2019,01:00:00,000,25.5,97,31.52,989.61,3.80,0.0,2.00,5.60,1009.64
48353,LOEI,เลย,เลย,17.45000,101.73333,23.1,09-11-2019,01:00:00,000,25.0,89,28.22,980.52,1.30,0.0,5.00,1.30,1009.39
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,23.6,09-11-2019,01:00:00,000,24.3,96,29.05,989.56,13.90,0.0,8.00,56.90,1009.95
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,22.8,09-11-2019,01:00:00,000,23.5,96,27.66,989.21,30.30,0.0,7.00,41.60,1011.27
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,23.3,09-11-2019,01:00:00,300,24.0,96,28.53,991.25,4.60,5.6,6.00,7.20,1011.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,23.0,09-11-2019,01:00:00,270,24.3,92,28.02,993.91,9.00,1.9,5.00,10.60,1010.86
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,22.7,09-11-2019,01:00:00,040,23.6,95,27.58,993.57,6.10,3.7,5.00,6.90,1011.24
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.6,09-11-2019,01:00:00,000,25.0,97,30.85,983.08,4.70,0.0,8.00,10.30,1009.07
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.1,09-11-2019,01:00:00,160,25.3,99,31.96,1004.61,0.70,5.6,10.00,15.50,1010.45
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.9,09-11-2019,01:00:00,000,25.2,98,31.49,1003.89,2.00,0.0,7.00,14.00,1010.14
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.5,09-11-2019,01:00:00,000,25.0,92,29.00,993.88,0.20,0.0,8.00,13.70,1010.48
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.3,09-11-2019,01:00:00,000,24.0,96,28.53,986.87,0.00,0.0,10.00,17.90,1009.46
48376,TAK,ตาก,ตาก,16.87833,99.14333,21.4,09-11-2019,01:00:00,260,27.0,72,25.55,996.17,0.00,7.4,10.00,0.00,1010.61
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,22.8,09-11-2019,01:00:00,000,26.5,80,27.77,992.94,0.00,0.0,7.00,0.00,1009.38
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.2,09-11-2019,01:00:00,130,25.2,94,30.15,1005.26,0.00,3.7,10.00,1.50,1010.54
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,23.8,09-11-2019,01:00:00,000,25.0,93,29.52,995.27,2.80,0.0,8.00,9.60,1008.58
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.8,09-11-2019,01:00:00,000,25.5,96,31.25,1000.75,0.20,0.0,10.00,11.40,1010.15
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.4,09-11-2019,01:00:00,230,23.6,99,28.85,988.42,10.60,9.3,4.00,10.60,1010.42
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.4,09-11-2019,01:00:00,200,25.6,93,30.63,993.31,0.00,3.7,10.00,7.70,1009.26
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,23.3,09-11-2019,01:00:00,000,24.0,96,28.53,990.85,6.60,0.0,6.00,6.60,1009.98
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.6,09-11-2019,01:00:00,000,22.8,93,25.76,957.97,0.00,0.0,5.00,11.50,1009.82
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,24.8,09-11-2019,01:00:00,090,25.5,96,31.25,1005.96,0.00,5.6,4.00,3.10,1009.95
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,19.4,09-11-2019,01:00:00,260,20.0,96,22.46,915.37,0.00,7.4,4.00,1.30,1011.33
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,24.2,09-11-2019,01:00:00,200,25.9,90,30.11,994.51,0.00,7.4,6.00,1.90,1010.61
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,22.4,09-11-2019,01:00:00,190,27.3,75,27.11,1005.86,0.00,3.7,10.00,0.00,1009.90
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,23.8,09-11-2019,01:00:00,000,25.0,93,29.52,1000.35,0.00,0.0,4.00,21.60,1011.14
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,21.9,09-11-2019,01:00:00,210,26.8,74,26.23,1008.88,0.00,7.4,9.00,1.90,1010.81
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,23.9,09-11-2019,01:00:00,000,24.2,98,29.66,989.48,2.20,0.0,7.00,16.00,1010.61
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,23.1,09-11-2019,01:00:00,240,24.3,93,28.28,993.02,7.50,11.1,6.00,17.20,1010.90
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.4,09-11-2019,01:00:00,000,24.8,97,30.48,994.29,3.00,0.0,7.00,5.40,1010.63
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,23.9,09-11-2019,01:00:00,000,25.1,93,29.70,997.62,1.00,0.0,10.00,4.50,1011.81
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.4,09-11-2019,01:00:00,000,24.7,98,30.56,997.29,1.20,0.0,6.00,7.80,1012.31
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,23.3,09-11-2019,01:00:00,160,25.4,88,28.67,996.80,0.30,3.7,6.00,8.50,1011.61
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,23.4,09-11-2019,01:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",27.2,80,28.78,1007.27,0.00,0.0,10.00,0.00,1010.29
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.0,09-11-2019,01:00:00,000,25.2,93,29.89,1002.64,0.50,0.0,7.00,36.60,1010.67
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,24.3,09-11-2019,01:00:00,160,25.9,91,30.38,1010.08,0.00,7.4,7.00,0.50,1011.20
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.8,09-11-2019,01:00:00,000,25.5,96,31.25,996.71,0.00,0.0,5.00,35.50,1011.53
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,{'@attributes': {'Unit': 'celcius'}},09-11-2019,01:00:00,320,{'@attributes': {'Unit': 'celcius'}},{'@attributes': {'Unit': '%'}},{'@attributes': {'Unit': 'mb'}},876.68,0.40,5.6,{'@attributes': {'Unit': 'km'}},49.60,{'@attributes': {'Unit': 'hPa'}}
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.5,09-11-2019,01:00:00,000,25.5,94,30.71,1005.01,2.20,0.0,10.00,6.60,1010.94
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.9,09-11-2019,01:00:00,230,25.9,94,31.46,1010.70,0.01,3.7,8.00,29.40,1011.50
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.5,09-11-2019,01:00:00,230,28.6,83,32.59,1010.63,0.00,3.7,8.00,0.00,1011.08
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.8,09-11-2019,01:00:00,000,24.5,96,29.41,1000.83,1.30,0.0,3.00,6.10,1012.28
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,22.9,09-11-2019,01:00:00,180,27.2,78,27.98,1010.11,0.00,9.3,10.00,0.00,1011.12
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,24.1,09-11-2019,01:00:00,140,25.8,90,29.93,1009.19,0.01,3.7,7.00,0.01,1011.03
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,22.1,09-11-2019,01:00:00,000,26.4,77,26.56,1010.34,0.00,0.0,4.00,0.00,1011.11
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.3,09-11-2019,01:00:00,270,27.8,82,30.45,1010.25,0.01,5.6,10.00,0.01,1010.96
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,24.2,09-11-2019,01:00:00,000,25.4,93,30.25,1010.63,0.20,0.0,7.00,33.30,1011.34
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.4,09-11-2019,01:00:00,000,26.3,84,28.72,989.71,0.00,0.0,10.00,0.10,1011.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.8,09-11-2019,01:00:00,000,25.4,97,31.33,994.63,0.50,0.0,6.00,0.80,1011.51
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.1,09-11-2019,01:00:00,180,25.3,93,30.07,995.59,0.60,3.7,5.00,1.80,1012.19
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,21.6,09-11-2019,01:00:00,000,26.0,77,25.87,989.23,0.00,0.0,10.00,0.00,1011.25
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,21.8,09-11-2019,01:00:00,210,24.7,84,26.18,967.62,0.00,11.1,10.00,12.60,1011.36
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,24.1,09-11-2019,01:00:00,190,25.4,92,29.99,990.54,0.20,3.7,7.00,0.30,1011.29
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.4,09-11-2019,01:00:00,210,24.4,100,30.54,991.94,0.20,3.7,7.00,7.40,1013.06
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,23.2,09-11-2019,01:00:00,300,27.9,76,28.47,1010.86,0.00,3.7,10.00,0.10,1011.30
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,23.8,09-11-2019,01:00:00,000,24.5,96,29.41,1010.08,0.00,0.0,6.00,18.10,1011.52
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.3,09-11-2019,01:00:00,000,24.7,97,30.30,1006.71,0.00,0.0,7.00,3.10,1011.71
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,21.8,09-11-2019,01:00:00,230,27.0,73,26.06,1007.84,0.00,5.6,10.00,0.00,1011.14
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,23.6,09-11-2019,01:00:00,000,25.8,88,29.13,1010.41,0.00,0.0,10.00,0.80,1011.52
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.4,09-11-2019,01:00:00,280,28.3,80,30.59,1010.95,0.01,3.7,10.00,0.01,1011.25
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.3,09-11-2019,01:00:00,000,26.5,88,30.43,1010.85,0.00,0.0,10.00,1.50,1011.34
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,24.4,09-11-2019,01:00:00,220,26.7,87,30.53,1010.11,0.00,5.6,10.00,6.20,1011.53
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.9,09-11-2019,01:00:00,000,25.2,98,31.49,1005.35,0.00,0.0,10.00,4.80,1013.46
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.4,09-11-2019,01:00:00,000,28.0,86,32.52,1010.85,0.00,0.0,10.00,0.00,1011.13
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.7,09-11-2019,01:00:00,000,28.3,81,31.14,1007.82,0.00,0.0,10.00,0.00,1010.96
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,23.6,09-11-2019,01:00:00,210,28.0,77,29.19,1004.46,0.00,5.6,10.00,0.00,1011.41
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.9,09-11-2019,01:00:00,000,25.8,95,31.55,1005.97,0.00,0.0,10.00,3.90,1011.62
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,23.3,09-11-2019,01:00:00,000,26.1,85,28.62,1010.73,0.00,0.0,10.00,2.40,1012.01
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,23.3,09-11-2019,01:00:00,000,27.0,80,28.67,1010.91,0.00,0.0,11.00,4.10,1011.34
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,22.4,09-11-2019,01:00:00,000,24.3,89,27.01,999.72,0.00,0.0,10.00,0.00,1012.15
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,22.4,09-11-2019,01:00:00,240,27.3,75,27.11,1010.95,0.00,3.7,10.00,0.00,1011.66
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,20.9,09-11-2019,01:00:00,240,28.9,62,24.76,1006.50,0.00,7.4,10.00,0.00,1008.93
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.7,09-11-2019,01:00:00,000,28.5,85,32.96,1011.58,0.00,0.0,10.00,0.00,1012.10
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,25.2,09-11-2019,01:00:00,000,27.9,85,32.03,1006.25,0.00,0.0,8.00,0.00,1011.41
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.6,09-11-2019,01:00:00,000,26.9,93,32.86,1011.34,0.40,0.0,7.00,0.60,1011.75
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.3,09-11-2019,01:00:00,000,26.0,96,32.20,1009.31,0.00,0.0,8.00,8.90,1012.10
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.1,09-11-2019,01:00:00,000,26.9,80,28.23,1010.42,0.00,0.0,10.00,0.00,1011.21
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.1,09-11-2019,01:00:00,100,25.0,95,30.05,1011.89,0.00,3.7,6.00,91.70,1012.36
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,23.9,09-11-2019,01:00:00,000,25.7,90,29.74,1011.48,0.00,0.0,7.00,1.00,1012.17
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.6,09-11-2019,01:00:00,000,26.5,84,29.08,1010.00,0.00,0.0,7.00,0.00,1011.54
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.9,09-11-2019,01:00:00,000,25.8,89,29.66,1012.02,0.00,0.0,10.00,1.10,1012.95
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.5,09-11-2019,01:00:00,000,26.1,91,30.76,1011.83,0.10,0.0,10.00,0.10,1012.53
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.3,09-11-2019,01:00:00,000,25.0,96,30.32,1011.75,0.00,0.0,7.00,1.60,1012.55
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,23.7,09-11-2019,01:00:00,000,24.7,94,29.25,1011.41,0.00,0.0,10.00,0.60,1012.05
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,23.6,09-11-2019,01:00:00,000,24.2,97,29.13,1011.67,0.00,0.0,10.00,30.80,1012.08
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.7,09-11-2019,01:00:00,000,24.7,94,29.25,1010.26,0.00,0.0,5.00,0.00,1014.53
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.7,09-11-2019,01:00:00,000,24.0,98,29.30,1010.60,0.00,0.0,6.00,0.00,1012.23
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,22.0,09-11-2019,01:00:00,000,23.5,91,26.42,1008.80,0.00,0.0,10.00,20.50,1012.33
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,23.9,09-11-2019,01:00:00,000,24.2,98,29.66,1011.31,0.00,0.0,7.00,4.20,1012.69
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.1,09-11-2019,01:00:00,000,25.8,90,29.93,1011.53,0.00,0.0,10.00,0.00,1012.42
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.2,09-11-2019,01:00:00,000,25.4,93,30.25,1008.82,0.00,0.0,10.00,0.00,1012.42
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,25.0,09-11-2019,01:00:00,000,27.0,89,31.66,1011.16,0.00,0.0,10.00,0.00,1011.60
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.8,09-11-2019,01:00:00,000,28.5,80,31.26,1010.61,0.00,0.0,10.00,0.00,1011.60
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,23.8,09-11-2019,01:00:00,100,25.6,90,29.56,1010.92,0.00,5.6,10.00,0.00,1011.75
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,23.8,09-11-2019,01:00:00,000,25.0,93,29.52,1010.97,0.00,0.0,10.00,0.00,1012.80
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,24.3,09-11-2019,01:00:00,230,25.5,93,30.44,1011.78,0.00,3.7,7.00,34.60,1012.54
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.9,09-11-2019,01:00:00,270,24.9,94,29.61,1009.02,0.00,9.3,7.00,0.00,1013.07
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.1,09-11-2019,01:00:00,000,25.7,91,30.01,1012.32,0.00,0.0,10.00,0.00,1013.01
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.9,09-11-2019,01:00:00,000,24.8,95,29.69,1012.24,0.00,0.0,10.00,0.00,1013.37
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.0,09-11-2019,01:00:00,000,25.0,94,29.79,1010.08,0.00,0.0,10.00,0.00,1013.03
