WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall,LandVisibility,StationPressure,WindSpeed,RelativeHumidity,VaporPressure,DewPoint,AirTemperature,MeanSeaLevelPressure,Rainfall24Hr
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,270,08-29-2019,16:00:00,0.00,14.00,980.24,5.6,74,35.40,26.9,32.0,999.66,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,320,08-29-2019,16:00:00,0.00,15.00,971.86,5.6,63,31.02,24.7,32.6,999.76,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,300,08-29-2019,16:00:00,0.00,13.00,980.75,3.7,73,33.06,25.7,31.2,1000.50,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,000,08-29-2019,16:00:00,1.20,8.00,978.19,0.0,91,34.23,26.3,28.0,999.67,1.20
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,000,08-29-2019,16:00:00,2.20,12.00,979.06,0.0,95,35.14,26.8,27.6,998.33,2.20
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,270,08-29-2019,16:00:00,6.80,10.00,981.86,1.9,93,33.06,25.7,27.0,998.45,7.30
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,120,08-29-2019,16:00:00,7.90,7.00,981.28,3.7,95,33.30,25.8,26.7,998.55,8.90
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,08-29-2019,16:00:00,0.00,12.00,973.61,0.0,62,28.99,23.5,31.6,998.77,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,280,08-29-2019,16:00:00,0.00,10.00,994.99,3.7,70,36.48,27.4,33.7,1000.62,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,300,08-29-2019,16:00:00,0.00,10.00,994.69,5.6,70,35.64,27.0,33.2,1000.71,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,08-29-2019,16:00:00,0.00,10.00,984.94,0.0,61,31.67,25.0,33.6,1000.93,0.60
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,230,08-29-2019,16:00:00,0.00,10.00,979.30,3.7,64,28.92,23.5,31.0,1001.20,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,260,08-29-2019,16:00:00,0.00,10.00,987.69,11.1,58,30.20,24.2,33.6,1001.69,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,08-29-2019,16:00:00,0.00,7.00,984.43,0.0,58,31.17,24.7,34.2,1000.32,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,270,08-29-2019,16:00:00,0.00,10.00,996.06,5.6,67,33.66,26.0,33.0,1001.16,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,08-29-2019,16:00:00,0.00,12.00,986.70,0.0,67,32.23,25.3,32.2,999.57,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,320,08-29-2019,16:00:00,0.00,12.00,992.53,7.4,54,29.96,24.1,34.6,1001.57,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,340,08-29-2019,16:00:00,0.00,10.00,979.33,1.9,76,33.26,25.8,30.6,1000.62,2.60
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,000,08-29-2019,16:00:00,0.00,10.00,984.19,0.0,88,33.37,25.9,28.0,1001.54,76.90
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,180,08-29-2019,16:00:00,3.90,10.00,983.35,3.7,96,31.25,24.8,25.5,999.14,3.90
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,000,08-29-2019,16:00:00,2.90,10.00,981.15,0.0,92,36.22,27.3,28.8,999.79,4.20
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,08-29-2019,16:00:00,1.00,10.00,954.67,0.0,69,26.10,21.8,27.9,1005.45,1.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,260,08-29-2019,16:00:00,0.00,9.00,997.08,5.6,69,32.99,25.7,32.0,1000.95,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,250,08-29-2019,16:00:00,0.00,8.00,909.13,7.4,78,24.86,21.0,25.1,1002.74,0.10
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,08-29-2019,16:00:00,0.10,8.00,985.25,0.0,92,34.19,26.3,27.7,1001.11,44.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,08-29-2019,16:00:00,0.00,10.00,997.83,0.0,64,33.17,25.8,33.6,1001.75,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,08-29-2019,16:00:00,0.00,8.00,991.87,0.0,78,33.59,26.0,30.2,1002.39,12.80
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,000,08-29-2019,16:00:00,0.00,12.00,1000.35,0.0,72,31.51,24.9,30.6,1002.25,83.30
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,250,08-29-2019,16:00:00,0.00,10.00,986.81,7.4,72,30.50,24.4,30.1,1007.46,1.40
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,000,08-29-2019,16:00:00,0.01,10.00,983.06,0.0,87,32.20,25.3,27.7,1000.56,25.10
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,000,08-29-2019,16:00:00,0.10,9.00,984.37,0.0,87,32.00,25.2,27.6,1000.39,13.20
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,330,08-29-2019,16:00:00,0.20,10.00,986.24,3.7,87,30.34,24.3,26.6,1000.20,36.20
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,08-29-2019,16:00:00,0.20,6.00,986.58,0.0,95,32.32,25.3,26.2,1001.36,60.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,310,08-29-2019,16:00:00,0.20,8.00,986.10,11.1,90,32.93,25.7,27.5,1000.65,13.60
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",08-29-2019,16:00:00,0.00,10.00,998.93,0.0,66,29.88,24.0,31.2,1001.89,0.80
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,08-29-2019,16:00:00,0.00,10.00,993.67,0.0,77,33.42,25.9,30.4,1001.49,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,340,08-29-2019,16:00:00,0.00,8.00,1000.96,3.7,70,32.86,25.6,31.8,1002.04,2.10
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,08-29-2019,16:00:00,0.50,6.00,986.51,0.0,92,32.77,25.6,27.0,1001.11,30.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,000,08-29-2019,16:00:00,0.80,.05,868.80,0.0,98,24.38,20.7,21.0,1002.56,1.20
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,000,08-29-2019,16:00:00,0.01,10.00,995.88,0.0,82,35.37,26.9,30.2,1001.67,75.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,230,08-29-2019,16:00:00,0.20,8.00,1001.14,1.9,59,29.62,23.9,32.9,1001.92,7.60
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,230,08-29-2019,16:00:00,0.01,10.00,1001.69,14.8,74,31.56,24.9,30.2,1002.13,11.90
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,08-29-2019,16:00:00,0.00,8.00,992.92,0.0,67,28.75,23.4,30.2,1004.07,15.80
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,240,08-29-2019,16:00:00,0.00,12.00,1000.89,3.7,64,31.11,24.7,32.5,1001.88,2.10
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,000,08-29-2019,16:00:00,0.00,8.00,1000.45,0.0,70,31.80,25.1,31.3,1002.24,2.40
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,08-29-2019,16:00:00,0.20,9.00,1001.28,0.0,65,30.00,24.1,31.4,1002.03,0.90
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,200,08-29-2019,16:00:00,0.01,10.00,1001.31,9.3,72,29.49,23.8,29.3,1002.00,0.01
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,280,08-29-2019,16:00:00,0.00,7.00,1001.07,5.6,72,32.76,25.6,31.2,1001.76,33.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,280,08-29-2019,16:00:00,0.01,10.00,980.15,9.3,75,30.80,24.5,29.4,1001.01,6.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,300,08-29-2019,16:00:00,0.01,9.00,984.40,3.7,88,33.08,25.7,28.0,1000.96,14.60
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,270,08-29-2019,16:00:00,0.20,6.00,990.13,5.6,88,33.37,25.9,28.0,1006.50,13.50
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,08-29-2019,16:00:00,0.01,10.00,979.76,0.0,74,29.93,24.1,29.1,1001.35,3.60
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,250,08-29-2019,16:00:00,0.00,10.00,959.16,11.1,83,29.48,23.8,27.0,1002.18,11.50
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,260,08-29-2019,16:00:00,0.80,8.00,980.02,9.3,78,31.13,24.7,29.0,1000.31,41.20
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,310,08-29-2019,16:00:00,0.20,7.00,981.77,3.7,95,34.73,26.6,27.4,1002.46,16.80
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,320,08-29-2019,16:00:00,0.00,10.00,1002.21,7.4,62,28.91,23.5,31.7,1002.63,13.20
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,08-29-2019,16:00:00,0.00,8.00,1000.37,0.0,82,33.79,26.1,29.6,1001.77,13.10
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,08-29-2019,16:00:00,0.00,8.00,996.76,0.0,87,34.03,26.2,28.6,1001.64,6.50
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,270,08-29-2019,16:00:00,0.00,12.00,999.30,14.8,54,27.79,22.8,33.4,1002.51,0.01
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,260,08-29-2019,16:00:00,0.01,5.00,1000.84,11.1,60,29.99,24.1,32.8,1001.92,0.01
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,290,08-29-2019,16:00:00,0.00,10.00,1001.83,11.1,58,28.93,23.5,32.7,1002.12,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,270,08-29-2019,16:00:00,0.00,10.00,1001.60,9.3,56,28.00,23.0,32.8,1002.27,0.60
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,270,08-29-2019,16:00:00,0.00,10.00,1001.71,9.3,64,29.63,23.9,31.5,1002.19,1.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,280,08-29-2019,16:00:00,0.00,10.00,1000.73,20.4,60,29.38,23.7,32.5,1002.10,0.80
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,210,08-29-2019,16:00:00,0.00,12.00,1001.09,18.5,87,36.30,27.3,29.8,1002.74,5.90
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,230,08-29-2019,16:00:00,3.40,10.00,995.99,7.4,75,31.40,24.9,29.7,1003.90,15.40
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,08-29-2019,16:00:00,0.00,10.00,1002.52,0.0,68,29.30,23.7,30.2,1002.80,8.60
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,08-29-2019,16:00:00,0.00,10.00,999.69,0.0,75,31.72,25.0,30.0,1002.78,21.30
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,240,08-29-2019,16:00:00,0.00,12.00,996.45,9.3,72,31.31,24.8,30.5,1003.28,0.40
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,260,08-29-2019,16:00:00,0.20,7.00,995.98,7.4,82,31.90,25.1,28.4,1001.52,6.30
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,270,08-29-2019,16:00:00,0.00,10.00,994.77,13.0,66,30.81,24.5,31.8,1003.91,5.20
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,270,08-29-2019,16:00:00,0.01,8.00,1003.21,33.3,71,29.33,23.7,29.5,1004.45,16.70
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,300,08-29-2019,16:00:00,2.00,8.00,1002.66,14.8,80,31.86,25.1,28.8,1003.09,2.90
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,08-29-2019,16:00:00,0.00,8.00,991.65,0.0,66,26.97,22.3,29.4,1003.78,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,280,08-29-2019,16:00:00,0.00,10.00,1002.58,18.5,61,28.63,23.3,31.7,1003.28,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,240,08-29-2019,16:00:00,0.00,10.00,1002.32,13.0,63,28.37,23.2,31.0,1004.72,0.01
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,260,08-29-2019,16:00:00,0.00,10.00,1002.73,22.2,74,29.74,23.9,29.0,1003.25,0.90
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,220,08-29-2019,16:00:00,0.00,11.00,997.81,3.7,67,28.17,23.1,29.9,1002.90,0.01
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,08-29-2019,16:00:00,3.50,5.00,1002.90,0.0,92,31.99,25.2,26.6,1003.31,12.60
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,08-29-2019,16:00:00,30.30,8.00,1000.55,0.0,96,31.25,24.8,25.5,1003.32,44.90
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,250,08-29-2019,16:00:00,0.40,8.00,1003.73,16.7,85,29.35,23.7,26.5,1004.52,2.50
48501,TRAD,ตราด,ตราด,11.76667,102.88333,300,08-29-2019,16:00:00,15.70,3.00,1003.30,18.5,98,33.04,25.7,26.0,1003.76,39.70
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,280,08-29-2019,16:00:00,0.70,7.00,1005.19,7.4,91,28.03,23.0,24.6,1005.88,11.10
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,320,08-29-2019,16:00:00,0.80,8.00,1004.38,7.4,82,28.01,23.0,26.2,1005.91,27.80
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,210,08-29-2019,16:00:00,0.40,10.00,1005.77,3.7,88,31.38,24.8,27.0,1006.69,45.20
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,270,08-29-2019,16:00:00,0.20,10.00,1005.04,9.3,80,29.52,23.8,27.6,1005.72,0.50
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,260,08-29-2019,16:00:00,0.01,10.00,1005.48,3.7,84,32.67,25.5,28.5,1006.27,0.50
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,08-29-2019,16:00:00,4.30,9.00,1005.09,0.0,89,30.59,24.4,26.3,1005.72,6.70
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,270,08-29-2019,16:00:00,5.40,10.00,1005.68,7.4,93,31.96,25.1,26.3,1006.08,8.20
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,270,08-29-2019,16:00:00,3.70,5.00,1004.17,1.9,88,28.85,23.4,25.5,1008.40,3.80
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,08-29-2019,16:00:00,5.00,8.00,1004.98,0.0,97,29.13,23.6,24.2,1006.61,7.80
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,08-29-2019,16:00:00,9.00,8.00,1003.83,0.0,93,30.07,24.1,25.3,1007.33,18.30
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,000,08-29-2019,16:00:00,7.40,6.00,1005.02,0.0,95,30.79,24.5,25.4,1006.38,17.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,270,08-29-2019,16:00:00,0.00,10.00,1005.87,20.4,79,31.29,24.8,28.8,1006.75,14.70
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,08-29-2019,16:00:00,8.70,10.00,1002.91,0.0,98,32.76,25.6,26.0,1006.47,50.90
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,250,08-29-2019,16:00:00,0.00,10.00,1006.21,9.3,73,30.08,24.1,29.6,1006.64,12.80
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,260,08-29-2019,16:00:00,0.00,8.00,1005.44,20.4,75,30.72,24.5,29.5,1006.42,8.60
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,280,08-29-2019,16:00:00,0.00,10.00,1005.86,24.1,76,30.88,24.6,29.3,1006.67,0.60
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,210,08-29-2019,16:00:00,13.00,8.00,1005.23,7.4,95,29.51,23.8,24.7,1007.05,25.10
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,260,08-29-2019,16:00:00,0.01,11.00,1005.80,11.1,65,27.07,22.4,29.6,1006.55,1.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,210,08-29-2019,16:00:00,2.00,10.00,1002.70,9.3,91,30.38,24.3,25.9,1006.71,16.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,08-29-2019,16:00:00,0.10,10.00,1006.70,0.0,84,30.97,24.6,27.5,1007.38,9.60
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,230,08-29-2019,16:00:00,0.40,10.00,1005.81,5.6,79,29.36,23.7,27.8,1006.92,6.60
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,000,08-29-2019,16:00:00,6.80,10.00,1004.24,0.0,89,30.13,24.2,26.2,1007.17,15.60
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,000,08-29-2019,16:00:00,7.20,8.00,1005.41,0.0,100,28.94,23.5,23.5,1006.10,11.20
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,000,08-29-2019,16:00:00,0.00,9.00,1002.69,0.0,80,29.15,23.6,27.4,1006.80,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,010,08-29-2019,16:00:00,0.00,10.00,1005.70,13.0,63,28.96,23.5,31.3,1006.28,0.00
