WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,LandVisibility,DewPoint,StationPressure,AirTemperature,Rainfall24Hr,VaporPressure,Rainfall,WindDirection,WindSpeed,RelativeHumidity
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1004.91,07-23-2019,04:00:00,10.00,25.1,998.76,28.0,0.00,31.95,0.00,000,0.0,85
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1006.23,07-23-2019,04:00:00,8.00,23.1,989.75,26.0,0.00,28.18,0.00,000,0.0,84
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1005.29,07-23-2019,04:00:00,10.00,24.0,982.91,25.5,3.80,29.91,0.00,000,0.0,92
48376,TAK,ตาก,ตาก,16.87833,99.14333,1006.48,07-23-2019,04:00:00,8.00,24.3,992.15,28.0,0.01,30.28,0.00,000,0.0,80
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1005.88,07-23-2019,04:00:00,10.00,22.8,989.57,27.8,0.00,27.75,0.00,000,0.0,74
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1005.74,07-23-2019,04:00:00,10.00,26.4,1000.53,27.8,0.00,34.40,0.00,000,0.0,92
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1004.65,07-23-2019,04:00:00,10.00,24.1,991.49,27.1,0.40,29.93,0.00,000,0.0,84
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1006.15,07-23-2019,04:00:00,10.00,25.1,996.84,27.2,0.01,31.77,0.00,000,0.0,88
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1005.93,07-23-2019,04:00:00,8.00,24.2,984.26,26.8,0.00,30.18,0.00,000,0.0,86
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1006.37,07-23-2019,04:00:00,10.00,25.2,988.84,26.1,0.00,32.12,0.00,000,0.0,95
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1005.80,07-23-2019,04:00:00,10.00,23.5,989.88,25.0,10.10,29.00,0.00,000,0.0,92
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1004.95,07-23-2019,04:00:00,8.00,25.0,986.08,26.6,0.01,31.71,0.01,180,3.7,91
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1008.13,07-23-2019,04:00:00,6.00,22.0,956.49,23.5,0.00,26.42,0.00,000,0.0,91
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1005.77,07-23-2019,04:00:00,6.00,26.8,1001.83,28.2,0.01,35.23,0.00,000,0.0,92
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1007.13,07-23-2019,04:00:00,3.00,21.1,912.15,21.9,1.30,25.06,0.00,220,7.4,95
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1005.86,07-23-2019,04:00:00,5.00,24.0,989.84,26.0,0.00,29.76,0.00,000,0.0,89
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1006.03,07-23-2019,04:00:00,9.00,26.5,1002.02,28.2,0.01,34.65,0.01,040,1.9,91
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1007.22,07-23-2019,04:00:00,7.00,25.5,996.58,27.8,0.00,32.68,0.00,000,0.0,88
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1006.50,07-23-2019,04:00:00,8.00,25.7,1004.58,28.0,0.30,33.08,0.00,180,5.6,88
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1006.23,07-23-2019,04:00:00,10.00,23.7,985.51,28.9,0.00,29.27,0.00,200,9.3,74
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1005.84,07-23-2019,04:00:00,10.00,23.8,988.09,25.0,0.00,29.52,0.00,000,0.0,93
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1005.78,07-23-2019,04:00:00,10.00,25.1,989.56,25.5,0.20,31.79,0.01,000,0.0,97
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1006.71,07-23-2019,04:00:00,10.00,23.3,992.55,24.2,16.60,28.62,0.00,000,0.0,95
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1007.62,07-23-2019,04:00:00,8.00,23.6,992.64,24.2,9.00,29.13,0.00,000,0.0,97
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1006.70,07-23-2019,04:00:00,6.00,23.7,991.92,24.6,1.80,29.33,0.00,000,0.0,95
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1006.00,07-23-2019,04:00:00,7.00,26.2,1002.99,28.2,0.30,34.07,0.30,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,89
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1005.78,07-23-2019,04:00:00,7.00,26.0,997.88,28.5,0.01,33.53,0.00,000,0.0,86
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1006.91,07-23-2019,04:00:00,6.00,26.3,1005.81,29.0,0.00,34.28,0.00,150,3.7,86
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1006.07,07-23-2019,04:00:00,8.00,23.5,991.30,25.0,4.00,29.00,0.00,000,0.0,92
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1006.74,07-23-2019,04:00:00,.10,20.2,872.16,20.4,0.20,23.72,0.00,180,7.4,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1006.32,07-23-2019,04:00:00,10.00,25.9,1000.48,28.9,0.00,33.49,0.00,220,3.7,84
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1006.66,07-23-2019,04:00:00,8.00,27.0,1005.87,29.4,0.00,35.73,0.00,230,5.6,87
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1006.31,07-23-2019,04:00:00,10.00,25.4,1005.86,28.9,0.00,32.34,0.00,240,13.0,81
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1008.01,07-23-2019,04:00:00,5.00,24.9,996.66,26.2,0.20,31.49,0.00,000,0.0,93
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1007.17,07-23-2019,04:00:00,10.00,25.1,1006.16,28.0,0.00,31.95,0.00,000,0.0,85
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1006.70,07-23-2019,04:00:00,7.00,25.8,1004.89,28.5,0.00,33.24,0.00,000,0.0,85
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1006.56,07-23-2019,04:00:00,6.00,25.8,1005.80,27.5,0.00,33.21,0.00,000,0.0,90
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1007.02,07-23-2019,04:00:00,10.00,26.0,1006.32,28.5,0.00,33.53,0.00,240,7.4,86
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1006.74,07-23-2019,04:00:00,7.00,25.9,1006.04,28.4,0.00,33.33,0.00,000,0.0,86
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1006.33,07-23-2019,04:00:00,10.00,25.3,985.29,28.4,0.01,32.19,0.00,000,0.0,83
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1006.78,07-23-2019,04:00:00,6.00,23.3,989.95,24.8,51.30,28.64,0.00,000,0.0,92
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1007.11,07-23-2019,04:00:00,6.00,24.4,990.56,24.8,28.80,30.48,0.00,000,0.0,97
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1006.24,07-23-2019,04:00:00,10.00,24.3,984.44,27.5,0.00,30.42,0.00,000,0.0,83
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1006.82,07-23-2019,04:00:00,10.00,21.8,963.59,27.0,0.00,26.06,0.00,210,7.4,73
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1006.49,07-23-2019,04:00:00,10.00,23.7,985.82,25.2,3.40,29.36,0.00,000,0.0,92
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1007.66,07-23-2019,04:00:00,7.00,24.3,986.73,25.6,1.40,30.36,0.00,180,13.0,93
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1006.89,07-23-2019,04:00:00,10.00,24.2,1006.46,28.5,0.00,30.15,0.00,280,7.4,78
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1006.92,07-23-2019,04:00:00,6.00,25.6,1005.50,27.0,0.00,32.77,0.00,000,0.0,92
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1007.02,07-23-2019,04:00:00,7.00,25.2,1002.07,26.1,0.00,32.12,0.00,000,0.0,95
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1006.63,07-23-2019,04:00:00,10.00,23.1,1003.35,28.5,0.00,28.24,0.00,000,0.0,73
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1006.57,07-23-2019,04:00:00,10.00,24.0,1005.46,27.3,0.00,29.77,0.00,250,3.7,82
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1006.72,07-23-2019,04:00:00,10.00,25.2,1006.42,29.5,0.00,32.13,0.00,180,3.7,78
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1007.70,07-23-2019,04:00:00,10.00,26.4,1007.22,28.5,0.00,34.40,0.00,000,0.0,88
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.60,07-23-2019,04:00:00,10.00,24.1,1005.21,29.6,0.00,30.08,0.00,250,13.0,73
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1008.94,07-23-2019,04:00:00,10.00,25.1,1000.91,26.5,0.00,31.79,0.00,000,0.0,92
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.79,07-23-2019,04:00:00,10.00,26.9,1006.50,29.0,0.00,35.46,0.00,000,0.0,89
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1006.54,07-23-2019,04:00:00,10.00,25.3,1003.44,29.3,0.00,32.30,0.00,000,0.0,79
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1006.70,07-23-2019,04:00:00,10.00,26.1,999.79,28.5,0.00,33.82,0.00,250,11.1,87
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1006.87,07-23-2019,04:00:00,7.00,25.6,1001.27,27.0,0.20,32.77,0.20,320,3.7,92
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1008.02,07-23-2019,04:00:00,10.00,24.5,1006.75,26.2,0.00,30.67,0.00,000,0.0,90
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1007.06,07-23-2019,04:00:00,11.00,23.7,1006.63,27.8,0.00,29.36,0.00,300,11.1,79
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1007.82,07-23-2019,04:00:00,8.00,23.5,995.47,25.0,0.00,29.00,0.00,000,0.0,92
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1007.38,07-23-2019,04:00:00,10.00,24.4,1006.67,28.0,0.00,30.56,0.00,000,0.0,81
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1007.56,07-23-2019,04:00:00,10.00,25.3,1005.14,28.1,0.01,32.15,0.00,180,11.1,85
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1007.40,07-23-2019,04:00:00,10.00,26.6,1006.88,29.7,0.00,34.88,0.00,220,9.3,84
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1007.14,07-23-2019,04:00:00,10.00,25.5,1002.02,29.0,0.00,32.55,0.00,200,1.9,81
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1007.34,07-23-2019,04:00:00,7.00,25.6,1006.93,27.0,0.00,32.77,0.00,000,0.0,92
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1008.23,07-23-2019,04:00:00,8.00,25.9,1005.45,26.3,1.00,33.35,0.00,000,0.0,98
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1008.74,07-23-2019,04:00:00,10.00,23.5,1007.95,26.7,0.00,28.92,0.00,000,0.0,83
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.52,07-23-2019,04:00:00,7.00,23.8,1007.06,24.5,10.60,29.41,0.00,100,7.4,96
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1008.19,07-23-2019,04:00:00,8.00,23.7,1007.51,25.5,0.00,29.38,0.00,000,0.0,90
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1008.31,07-23-2019,04:00:00,8.00,23.7,1006.77,24.6,0.00,29.33,0.00,000,0.0,95
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.34,07-23-2019,04:00:00,10.00,23.5,1007.41,25.0,0.00,29.00,0.00,000,0.0,92
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.48,07-23-2019,04:00:00,10.00,25.0,1007.79,27.0,0.00,31.66,0.00,000,0.0,89
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.63,07-23-2019,04:00:00,7.00,22.7,1007.83,23.6,0.00,27.58,0.00,000,0.0,95
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.94,07-23-2019,04:00:00,10.00,24.5,1007.30,25.5,0.00,30.71,0.00,000,0.0,94
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.50,07-23-2019,04:00:00,10.00,24.9,1008.09,25.6,0.00,31.44,0.00,000,0.0,96
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1010.03,07-23-2019,04:00:00,6.00,24.3,1005.78,25.3,0.00,30.34,0.00,000,0.0,94
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1007.81,07-23-2019,04:00:00,5.00,23.8,1006.19,24.1,0.00,29.48,0.00,000,0.0,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1008.72,07-23-2019,04:00:00,7.00,24.5,1005.22,25.5,0.00,30.71,0.00,000,0.0,94
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.46,07-23-2019,04:00:00,8.00,23.8,1007.09,24.5,0.00,29.41,0.00,000,0.0,96
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.28,07-23-2019,04:00:00,10.00,24.0,1007.39,25.0,0.00,29.79,0.00,000,0.0,94
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.67,07-23-2019,04:00:00,10.00,22.5,1005.06,23.8,0.00,27.17,0.00,000,0.0,92
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1007.97,07-23-2019,04:00:00,10.00,24.2,1007.53,25.9,0.00,30.11,0.00,000,0.0,90
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.31,07-23-2019,04:00:00,10.00,23.5,1007.31,25.0,0.00,29.00,0.00,000,0.0,92
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.41,07-23-2019,04:00:00,10.00,25.0,1007.59,25.6,0.00,31.71,0.00,270,9.3,97
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.45,07-23-2019,04:00:00,8.00,23.7,1006.62,24.3,7.60,29.31,0.00,000,0.0,97
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.18,07-23-2019,04:00:00,10.00,22.9,1007.43,25.1,0.00,27.88,0.00,240,5.6,88
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1008.64,07-23-2019,04:00:00,8.00,22.9,1004.59,23.4,2.40,28.00,0.00,000,0.0,97
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.87,07-23-2019,04:00:00,10.00,23.8,1009.18,24.5,0.00,29.41,0.00,000,0.0,96
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.40,07-23-2019,04:00:00,10.00,23.4,1007.28,24.0,5.00,28.78,0.00,000,0.0,97
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.73,07-23-2019,04:00:00,10.00,23.3,1005.78,24.2,0.01,28.62,0.00,000,0.0,95
