WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,StationPressure,MinimumTemperature,MeanSeaLevelPressure,WindSpeed,Rainfall,DewPoint,Rainfall24Hr,VaporPressure,WindDirection,AirTemperature,RelativeHumidity
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,9.00,08-09-2019,07:00:00,996.42,25.2,1002.18,7.4,0.30,25.6,0.30,32.77,300,27.0,92
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,8.00,08-09-2019,07:00:00,996.80,26.4,1002.98,0.0,0.50,25.8,0.50,33.19,000,26.5,96
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10.00,08-09-2019,07:00:00,986.24,25.8,1002.64,0.0,0.00,24.4,0.00,30.59,000,26.3,89
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,8.00,08-09-2019,07:00:00,980.69,23.6,1003.14,0.0,0.00,22.8,1.30,27.76,000,24.0,93
48376,TAK,ตาก,ตาก,16.87833,99.14333,10.00,08-09-2019,07:00:00,988.92,25.6,1003.26,9.3,1.40,22.7,1.40,27.52,270,26.8,78
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,8.00,08-09-2019,07:00:00,986.70,27.8,1002.96,0.0,0.00,24.3,0.00,30.28,000,28.0,80
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,{'@attributes': {'Unit': 'km'}},08-09-2019,07:00:00,{'@attributes': {'unit': 'hPa'}},{'@attributes': {'Unit': 'celcius'}},{'@attributes': {'Unit': 'hPa'}},0.0,0.00,{'@attributes': {'Unit': 'celcius'}},0.00,{'@attributes': {'Unit': 'mb'}},"{'0': '   ', '@attributes': {'Unit': 'degree'}}",{'@attributes': {'Unit': 'celcius'}},{'@attributes': {'Unit': '%'}}
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10.00,08-09-2019,07:00:00,987.87,25.7,1001.02,0.0,0.00,24.1,0.00,29.97,000,26.4,87
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,12.00,08-09-2019,07:00:00,993.03,26.3,1002.32,0.0,0.00,25.2,0.01,32.10,000,26.8,91
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10.00,08-09-2019,07:00:00,979.89,26.0,1001.48,3.7,0.00,23.5,0.00,29.00,220,26.6,83
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10.00,08-09-2019,07:00:00,984.00,25.5,1001.46,0.0,0.00,23.8,0.00,29.50,000,26.0,88
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,08-09-2019,07:00:00,984.92,26.7,1000.60,3.7,0.00,24.6,0.00,30.84,240,28.0,82
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,9.00,08-09-2019,07:00:00,981.47,26.2,1000.22,3.7,0.00,23.2,0.30,28.41,280,27.0,80
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,7.00,08-09-2019,07:00:00,953.41,20.0,1005.01,0.0,5.20,21.9,25.50,26.25,000,22.8,95
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,6.00,08-09-2019,07:00:00,998.24,26.0,1002.18,3.7,0.00,24.9,0.00,31.55,080,26.8,90
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,2.00,08-09-2019,07:00:00,909.81,20.6,1004.85,7.4,0.10,20.4,5.60,23.92,280,21.0,96
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,8.00,08-09-2019,07:00:00,985.39,26.0,1001.26,0.0,0.00,25.2,0.00,31.97,000,27.3,88
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,9.00,08-09-2019,07:00:00,998.27,26.2,1002.29,5.6,0.00,25.3,0.01,32.26,180,26.6,93
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,8.00,08-09-2019,07:00:00,993.34,24.7,1004.06,0.0,0.00,24.3,0.00,30.32,000,25.0,96
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,9.00,08-09-2019,07:00:00,1001.23,25.0,1003.16,3.7,0.00,24.1,8.60,30.09,180,25.6,92
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,08-09-2019,07:00:00,981.24,25.0,1002.05,0.0,0.00,23.0,0.00,28.01,000,26.2,82
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,08-09-2019,07:00:00,983.73,25.9,1001.33,0.0,0.00,23.7,7.30,29.35,000,26.5,85
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,08-09-2019,07:00:00,984.79,26.4,1000.85,5.6,0.00,24.1,14.00,30.02,260,27.0,84
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,08-09-2019,07:00:00,988.41,26.5,1002.36,3.7,0.00,24.0,0.00,29.77,180,27.3,82
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,9.00,08-09-2019,07:00:00,987.83,25.2,1002.63,3.7,0.00,24.4,4.10,30.59,180,26.3,89
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,8.00,08-09-2019,07:00:00,987.69,26.3,1002.26,7.4,0.00,24.8,0.00,31.25,250,27.5,85
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,08-09-2019,07:00:00,999.40,24.2,1002.41,0.0,3.00,24.8,3.70,31.30,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",26.1,93
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10.00,08-09-2019,07:00:00,994.73,25.6,1002.66,0.0,0.00,24.0,0.00,29.78,000,26.3,87
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,6.00,08-09-2019,07:00:00,1002.63,24.6,1003.74,3.7,2.80,24.2,5.80,30.25,180,25.4,93
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,08-09-2019,07:00:00,987.90,25.5,1002.52,0.0,0.00,24.1,0.00,30.02,000,27.0,84
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,.10,08-09-2019,07:00:00,870.15,18.4,1004.99,11.1,0.20,19.0,13.40,22.01,280,19.2,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,08-09-2019,07:00:00,997.34,24.9,1003.23,5.6,0.00,23.8,0.40,29.56,190,25.6,90
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,7.00,08-09-2019,07:00:00,1002.97,25.5,1003.78,0.0,1.80,24.8,3.70,31.22,000,26.2,92
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,7.00,08-09-2019,07:00:00,1003.40,26.6,1003.84,0.0,0.30,25.0,1.80,31.74,000,26.9,90
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,4.00,08-09-2019,07:00:00,994.34,24.0,1005.72,0.0,0.00,23.5,20.10,28.97,000,24.4,95
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10.00,08-09-2019,07:00:00,1002.63,25.2,1003.64,0.0,0.00,24.1,0.70,30.03,000,26.0,89
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.00,08-09-2019,07:00:00,1001.69,24.7,1003.52,3.7,0.00,24.3,10.30,30.34,140,25.3,94
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,8.00,08-09-2019,07:00:00,1002.83,24.4,1003.60,0.0,0.00,24.1,2.90,30.05,000,25.0,95
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,9.00,08-09-2019,07:00:00,1003.46,25.5,1004.17,9.3,1.60,24.3,2.20,30.30,190,26.0,90
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,08-09-2019,07:00:00,1003.05,25.5,1003.75,0.0,0.30,24.7,0.80,31.03,000,26.1,92
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10.00,08-09-2019,07:00:00,981.63,26.3,1002.67,7.4,0.00,22.5,0.01,27.19,280,27.2,75
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,8.00,08-09-2019,07:00:00,985.57,25.8,1002.20,0.0,0.00,23.3,0.00,28.59,000,27.1,80
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,8.00,08-09-2019,07:00:00,986.39,25.5,1002.75,0.0,0.00,23.6,0.00,29.21,000,27.0,82
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,08-09-2019,07:00:00,980.84,26.3,1002.59,0.0,0.00,22.5,0.01,27.27,000,27.1,76
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,12.00,08-09-2019,07:00:00,960.18,23.5,1003.61,14.8,0.00,22.2,14.70,26.76,260,24.6,87
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,08-09-2019,07:00:00,981.62,26.5,1002.07,5.6,0.00,22.6,0.00,27.36,260,27.0,77
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,8.00,08-09-2019,07:00:00,982.65,26.3,1003.40,9.3,0.00,23.9,0.00,29.64,250,26.8,84
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,08-09-2019,07:00:00,1003.99,25.6,1004.43,0.0,0.00,25.4,1.60,32.43,000,26.4,94
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,8.00,08-09-2019,07:00:00,1001.77,25.4,1003.18,0.0,0.00,24.2,0.40,30.17,000,25.5,93
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,7.00,08-09-2019,07:00:00,999.18,26.0,1004.11,0.0,0.00,24.5,0.00,30.67,000,26.2,90
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,12.00,08-09-2019,07:00:00,1000.70,23.5,1003.99,0.0,0.00,24.0,3.40,29.82,000,25.6,91
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,08-09-2019,07:00:00,1002.65,24.6,1003.76,0.0,0.00,24.4,2.50,30.58,000,25.0,97
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,8.00,08-09-2019,07:00:00,1004.27,26.0,1004.57,0.0,0.10,24.7,0.40,31.16,000,26.6,90
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,8.00,08-09-2019,07:00:00,1003.09,26.5,1003.78,0.0,0.30,24.7,0.30,31.02,000,27.1,87
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,08-09-2019,07:00:00,1003.55,26.0,1004.04,0.0,0.00,24.5,0.30,30.67,000,26.2,90
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,08-09-2019,07:00:00,1002.47,25.9,1003.87,11.1,0.60,24.6,1.20,30.89,210,26.6,89
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10.00,08-09-2019,07:00:00,1002.52,27.3,1004.19,11.1,0.00,25.1,0.00,31.95,230,28.0,85
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,08-09-2019,07:00:00,998.62,25.0,1006.67,0.0,0.00,24.9,0.00,31.49,000,25.2,98
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,8.00,08-09-2019,07:00:00,1003.83,26.5,1004.12,0.0,0.60,25.7,3.00,33.02,000,26.7,94
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,08-09-2019,07:00:00,1000.99,26.5,1004.10,0.0,0.00,24.6,0.00,30.84,000,28.0,82
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,08-09-2019,07:00:00,997.38,26.7,1004.28,5.6,0.00,24.4,0.00,30.64,240,27.9,82
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,8.00,08-09-2019,07:00:00,997.54,26.3,1003.11,13.0,0.00,24.4,0.00,30.50,310,27.4,84
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,10.00,08-09-2019,07:00:00,996.06,26.0,1005.36,9.3,0.80,24.5,0.80,30.83,270,27.0,87
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,12.00,08-09-2019,07:00:00,1003.48,24.5,1004.75,0.0,0.00,24.9,2.90,31.58,000,25.1,99
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,08-09-2019,07:00:00,1003.92,25.3,1004.35,0.0,0.10,25.0,7.50,31.60,000,26.4,92
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,8.00,08-09-2019,07:00:00,992.47,24.0,1004.80,0.0,0.00,23.8,1.00,29.41,000,24.5,96
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,08-09-2019,07:00:00,1003.81,26.0,1004.52,0.0,0.00,25.7,1.20,33.10,000,26.6,95
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,08-09-2019,07:00:00,1003.21,26.6,1005.64,0.0,0.30,25.0,0.30,31.69,000,27.3,87
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10.00,08-09-2019,07:00:00,1003.95,28.0,1004.47,9.3,0.01,25.1,0.40,31.95,300,28.0,85
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,12.00,08-09-2019,07:00:00,999.27,26.3,1004.42,3.7,1.90,25.2,2.00,32.07,260,26.5,93
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.00,08-09-2019,07:00:00,1003.79,26.2,1004.20,0.0,0.00,25.8,1.30,33.22,000,26.8,94
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,08-09-2019,07:00:00,1001.74,25.5,1004.51,0.0,3.40,25.8,5.40,33.19,000,26.5,96
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,08-09-2019,07:00:00,1004.42,25.2,1005.21,0.0,1.20,23.4,7.80,28.70,000,26.0,85
48501,TRAD,ตราด,ตราด,11.76667,102.88333,6.00,08-09-2019,07:00:00,1003.96,25.1,1004.42,9.3,10.50,25.3,54.30,32.20,280,26.0,96
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.00,08-09-2019,07:00:00,1005.39,25.0,1006.08,0.0,1.90,24.2,11.90,30.15,000,25.2,94
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,8.00,08-09-2019,07:00:00,1004.78,24.6,1006.31,0.0,21.00,24.2,30.80,30.15,000,25.2,94
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,7.00,08-09-2019,07:00:00,1006.02,26.2,1006.94,3.7,6.90,25.6,14.60,32.86,220,26.9,93
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,08-09-2019,07:00:00,1005.70,26.4,1006.38,14.8,0.00,24.1,0.20,30.04,200,28.3,78
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,9.00,08-09-2019,07:00:00,1006.05,25.5,1006.85,0.0,0.00,24.9,0.01,31.46,000,25.9,94
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,9.00,08-09-2019,07:00:00,1005.19,27.2,1005.82,0.0,0.00,23.5,0.00,28.92,000,28.0,77
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,08-09-2019,07:00:00,1005.98,27.1,1006.38,11.1,0.00,24.6,0.01,30.84,270,28.0,82
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,5.00,08-09-2019,07:00:00,1005.07,27.5,1009.27,9.3,0.00,23.9,0.00,29.74,230,28.0,79
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,6.00,08-09-2019,07:00:00,1006.35,22.6,1007.98,0.0,0.00,23.8,0.00,29.41,000,24.5,96
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,5.00,08-09-2019,07:00:00,1004.14,25.3,1007.64,0.0,0.00,25.1,0.00,31.82,000,25.8,96
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,9.00,08-09-2019,07:00:00,1005.13,27.3,1006.48,0.0,0.00,25.2,0.00,31.97,000,27.3,88
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,08-09-2019,07:00:00,1006.37,26.5,1007.25,11.1,0.00,25.6,0.00,32.79,240,28.7,83
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,08-09-2019,07:00:00,1003.06,24.5,1006.62,0.0,0.00,24.5,1.00,30.72,000,26.8,87
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,08-09-2019,07:00:00,1006.67,29.2,1007.10,9.3,0.00,24.4,0.00,30.63,280,29.6,74
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,08-09-2019,07:00:00,1005.83,27.4,1006.81,9.3,0.00,25.2,0.00,31.97,300,29.7,77
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,08-09-2019,07:00:00,1006.74,25.5,1007.55,27.8,0.40,25.4,0.40,32.42,270,29.5,79
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10.00,08-09-2019,07:00:00,1005.60,25.5,1007.42,9.3,0.00,23.2,0.00,28.51,160,25.6,87
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,08-09-2019,07:00:00,1006.49,26.1,1007.24,5.6,0.00,21.5,0.00,25.71,180,26.5,74
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,08-09-2019,07:00:00,1003.89,23.8,1007.93,7.4,5.20,22.4,5.20,27.08,120,23.9,91
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,08-09-2019,07:00:00,1007.77,23.5,1008.46,0.0,21.40,23.0,26.80,28.01,000,24.0,94
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,08-09-2019,07:00:00,1006.53,24.3,1007.66,7.4,0.20,22.8,0.20,27.70,150,25.0,88
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,08-09-2019,07:00:00,1005.06,22.9,1008.02,0.0,3.90,23.3,3.90,28.52,000,23.7,97
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,6.00,08-09-2019,07:00:00,1006.98,25.8,1007.67,18.5,0.01,24.8,0.01,31.22,230,26.2,92
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,5.00,08-09-2019,07:00:00,1004.39,25.3,1008.52,0.0,0.00,22.5,0.00,27.25,000,26.5,79
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,9.00,08-09-2019,07:00:00,1005.42,.0,1006.01,0.0,0.00,22.6,0.00,27.40,000,26.0,82
