WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,DewPoint,Rainfall24Hr,LandVisibility,VaporPressure,RelativeHumidity,Rainfall,MinimumTemperature,WindSpeed,StationPressure,WindDirection,MeanSeaLevelPressure
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.7,08-24-2019,07:00:00,24.1,28.30,8.00,30.03,97,3.60,24.3,0.0,993.78,000,1007.93
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.3,08-24-2019,07:00:00,23.9,22.20,7.00,29.57,97,3.90,23.6,3.7,993.37,160,1008.35
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.2,08-24-2019,07:00:00,24.9,27.30,6.00,31.49,98,0.40,23.5,0.0,993.28,000,1008.06
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.8,08-24-2019,07:00:00,24.2,7.10,10.00,30.19,91,0.00,24.4,0.0,1004.13,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1007.16
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,26.3,08-24-2019,07:00:00,24.7,9.40,10.00,31.13,91,0.00,25.5,0.0,999.59,000,1007.56
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,27.0,08-24-2019,07:00:00,25.0,0.00,7.00,31.66,89,0.00,26.3,3.7,1006.61,180,1007.72
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,25.0,08-24-2019,07:00:00,23.5,42.50,8.00,29.00,92,31.60,24.5,0.0,993.05,000,1007.85
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.3,08-24-2019,07:00:00,19.1,15.80,.05,22.15,99,0.00,18.4,5.6,874.21,260,1009.63
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.8,08-24-2019,07:00:00,24.6,4.00,10.00,31.00,93,0.00,24.8,0.0,1002.00,000,1007.91
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,27.1,08-24-2019,07:00:00,24.1,0.10,8.00,29.93,84,0.00,26.6,7.4,1006.96,230,1007.76
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,28.7,08-24-2019,07:00:00,24.1,0.00,10.00,29.98,76,0.00,28.2,13.0,1007.32,240,1007.77
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.0,08-24-2019,07:00:00,23.3,11.80,4.00,28.53,96,0.00,23.8,0.0,997.54,000,1008.98
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,27.1,08-24-2019,07:00:00,24.1,0.00,10.00,29.93,84,0.00,26.3,0.0,1006.89,000,1007.90
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.0,08-24-2019,07:00:00,23.8,1.60,7.00,29.50,88,0.00,25.9,3.7,1005.89,170,1007.72
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,26.4,08-24-2019,07:00:00,23.6,0.00,8.00,29.17,85,0.00,25.8,0.0,1007.01,000,1007.78
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,27.5,08-24-2019,07:00:00,23.7,0.01,10.00,29.33,80,0.00,26.6,5.6,1007.52,230,1008.22
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,26.7,08-24-2019,07:00:00,25.7,3.50,7.00,33.02,94,0.20,26.1,0.0,1008.51,000,1009.21
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,26.5,08-24-2019,07:00:00,24.3,1.00,10.00,30.43,88,0.00,25.8,0.0,986.19,000,1007.38
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,25.5,08-24-2019,07:00:00,25.1,8.90,7.00,31.79,97,0.00,24.0,0.0,990.74,000,1007.55
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,25.3,08-24-2019,07:00:00,24.6,13.80,8.00,30.87,96,0.10,24.0,5.6,991.54,230,1008.08
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,26.0,08-24-2019,07:00:00,23.8,12.00,10.00,29.50,88,0.00,25.7,0.0,985.16,000,1007.08
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.4,08-24-2019,07:00:00,21.8,1.00,10.00,26.11,81,0.00,24.5,14.8,964.62,250,1008.13
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,25.8,08-24-2019,07:00:00,24.2,16.10,6.00,30.19,91,0.00,25.3,0.0,986.58,000,1007.23
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.0,08-24-2019,07:00:00,25.0,4.00,5.00,31.66,100,0.01,24.8,3.7,988.36,250,1009.36
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,27.7,08-24-2019,07:00:00,24.1,2.20,10.00,29.98,81,0.00,27.2,7.4,1007.43,230,1007.86
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.5,08-24-2019,07:00:00,24.9,30.90,6.00,31.52,97,0.00,25.0,0.0,1006.63,000,1008.06
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.9,08-24-2019,07:00:00,25.3,16.60,7.00,32.29,97,1.10,25.4,0.0,1003.75,000,1008.71
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,26.5,08-24-2019,07:00:00,23.6,0.00,12.00,29.08,84,0.00,24.6,0.0,1004.60,000,1007.90
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,26.0,08-24-2019,07:00:00,24.6,0.00,10.00,30.84,92,0.00,25.2,0.0,1006.68,000,1007.79
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,27.9,08-24-2019,07:00:00,24.0,0.00,10.00,29.82,79,0.00,27.4,0.0,1007.49,000,1007.79
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,27.5,08-24-2019,07:00:00,24.0,0.01,10.00,29.88,81,0.00,27.3,0.0,1007.07,000,1007.76
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,27.5,08-24-2019,07:00:00,23.6,0.00,10.00,29.06,79,0.00,27.4,0.0,1007.14,000,1007.63
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,27.5,08-24-2019,07:00:00,23.1,0.01,10.00,28.26,77,0.00,27.2,11.1,1006.72,230,1008.13
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,29.0,08-24-2019,07:00:00,26.2,0.00,10.00,33.99,85,0.00,28.6,22.2,1006.25,210,1007.92
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,25.0,08-24-2019,07:00:00,24.7,3.60,10.00,31.12,98,0.00,24.7,0.0,1002.01,000,1010.09
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,27.0,08-24-2019,07:00:00,24.8,5.60,10.00,31.38,88,0.00,25.5,0.0,1007.76,000,1008.04
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,28.5,08-24-2019,07:00:00,24.2,0.00,10.00,30.15,78,0.00,28.0,0.0,1004.77,000,1007.89
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.0,08-24-2019,07:00:00,23.6,0.00,10.00,29.19,77,0.00,27.0,11.1,1001.72,240,1008.65
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.8,08-24-2019,07:00:00,24.9,24.10,7.00,31.55,95,1.70,25.0,0.0,1002.80,000,1008.42
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,28.7,08-24-2019,07:00:00,24.2,0.00,10.00,30.26,77,0.00,28.2,9.3,998.85,220,1008.12
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.7,08-24-2019,07:00:00,24.7,0.01,12.00,31.08,94,0.00,25.1,0.0,1007.90,000,1009.17
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,27.4,08-24-2019,07:00:00,23.6,0.00,11.00,29.15,80,0.00,26.5,5.6,1007.73,210,1008.16
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,25.2,08-24-2019,07:00:00,23.4,0.00,10.00,28.83,90,0.00,24.7,0.0,995.81,000,1008.16
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,26.7,08-24-2019,07:00:00,23.5,0.00,10.00,28.92,83,0.00,26.4,7.4,1007.50,220,1008.21
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,27.4,08-24-2019,07:00:00,24.7,1.30,10.00,31.05,85,0.00,26.2,3.7,1006.64,190,1009.07
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,28.6,08-24-2019,07:00:00,24.4,0.60,10.00,30.62,78,0.00,27.8,9.3,1008.10,230,1008.62
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,26.7,08-24-2019,07:00:00,24.5,0.40,10.00,30.81,88,0.00,26.2,0.0,1003.34,000,1008.51
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,26.8,08-24-2019,07:00:00,25.7,7.10,7.00,32.94,94,0.00,26.1,0.0,1008.27,000,1008.69
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.5,08-24-2019,07:00:00,24.8,11.50,8.00,31.25,96,0.20,25.0,0.0,1005.87,000,1008.66
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.0,08-24-2019,07:00:00,23.1,0.10,8.00,28.18,84,0.10,25.5,0.0,1008.61,000,1009.41
48501,TRAD,ตราด,ตราด,11.76667,102.88333,26.2,08-24-2019,07:00:00,24.5,59.80,5.00,30.67,90,5.50,24.5,5.6,1008.16,350,1008.62
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,25.7,08-24-2019,07:00:00,22.4,0.00,7.00,27.13,82,0.00,25.1,3.7,1009.84,270,1010.53
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,25.2,08-24-2019,07:00:00,22.5,1.60,8.00,27.28,85,0.00,25.0,3.7,1009.04,250,1010.58
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.5,08-24-2019,07:00:00,21.4,45.40,7.00,25.43,88,20.70,23.2,5.6,1010.76,200,1011.69
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,27.2,08-24-2019,07:00:00,24.8,0.20,12.00,31.22,87,0.20,26.4,0.0,1009.83,000,1010.52
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,25.0,08-24-2019,07:00:00,24.6,1.50,9.00,30.85,97,0.00,24.6,0.0,1010.56,000,1011.36
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.4,08-24-2019,07:00:00,24.2,0.00,10.00,30.25,93,0.00,24.7,0.0,1009.09,000,1009.73
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.4,08-24-2019,07:00:00,24.1,0.00,10.00,29.99,92,0.00,24.7,0.0,1010.30,000,1010.71
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,25.5,08-24-2019,07:00:00,23.7,0.20,5.00,29.38,90,0.20,24.4,0.0,1008.48,000,1012.73
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.6,08-24-2019,07:00:00,24.3,8.50,4.00,30.38,98,0.00,23.8,0.0,1009.63,000,1011.26
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.3,08-24-2019,07:00:00,23.9,1.90,8.00,29.57,97,0.00,24.0,0.0,1007.77,000,1011.29
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,25.4,08-24-2019,07:00:00,23.9,0.00,9.00,29.72,92,0.00,25.0,0.0,1009.37,000,1010.74
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.0,08-24-2019,07:00:00,24.6,19.30,10.00,30.85,97,0.40,24.3,0.0,1010.01,000,1010.91
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.8,08-24-2019,07:00:00,23.6,17.60,10.00,29.16,93,0.40,23.4,0.0,1007.16,000,1010.76
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,26.5,08-24-2019,07:00:00,24.2,6.80,10.00,30.16,87,0.00,26.0,0.0,1010.24,000,1010.68
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,27.0,08-24-2019,07:00:00,23.5,39.60,10.00,28.94,81,0.60,23.5,0.0,1009.64,000,1010.64
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,27.7,08-24-2019,07:00:00,24.2,0.00,10.00,30.26,81,0.00,24.6,0.0,1010.00,000,1010.82
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.7,08-24-2019,07:00:00,24.4,1.50,6.00,30.56,98,0.20,24.3,0.0,1009.41,000,1011.25
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,26.4,08-24-2019,07:00:00,23.8,0.00,12.00,29.43,86,0.00,25.9,5.6,1010.19,280,1010.95
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.4,08-24-2019,07:00:00,23.7,1.60,10.00,29.23,96,0.00,22.9,0.0,1007.16,000,1011.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,25.5,08-24-2019,07:00:00,24.5,0.00,10.00,30.71,94,0.00,24.3,0.0,1011.78,000,1012.48
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.7,08-24-2019,07:00:00,24.0,0.00,10.00,29.77,96,0.00,21.0,0.0,1009.71,000,1010.83
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.2,08-24-2019,07:00:00,23.8,0.01,10.00,29.39,97,0.00,22.8,0.0,1008.04,000,1011.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.7,08-24-2019,07:00:00,24.1,3.10,9.00,30.03,97,0.00,24.3,0.0,1010.15,000,1010.84
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,24.1,08-24-2019,07:00:00,23.7,6.00,5.00,29.22,97,0.00,23.8,0.0,1008.40,000,1012.58
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,24.5,08-24-2019,07:00:00,23.0,0.00,8.00,28.11,91,0.00,.0,5.6,1010.41,240,1011.00
