WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,DewPoint,Rainfall24Hr,WindSpeed,VaporPressure,LandVisibility,Rainfall,StationPressure,WindDirection,MeanSeaLevelPressure,AirTemperature
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,96,08-29-2019,04:00:00,24.8,3.60,0.0,31.25,6.00,2.00,969.61,000,1005.12,25.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,97,08-29-2019,04:00:00,24.1,0.00,0.0,30.03,10.00,0.00,974.35,000,1004.14,24.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,92,08-29-2019,04:00:00,25.1,40.20,0.0,31.79,9.00,0.00,996.64,000,1003.94,26.5
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,95,08-29-2019,04:00:00,26.1,0.00,3.7,33.91,10.00,0.00,984.33,270,1004.16,27.0
48353,LOEI,เลย,เลย,17.45000,101.73333,96,08-29-2019,04:00:00,24.3,0.00,3.7,30.32,12.00,0.00,976.46,340,1005.21,25.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,92,08-29-2019,04:00:00,25.1,0.00,7.4,31.79,12.00,0.00,984.02,290,1004.15,26.5
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,92,08-29-2019,04:00:00,24.6,0.40,0.0,30.84,10.00,0.00,982.22,000,1003.94,26.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,92,08-29-2019,04:00:00,25.6,0.00,0.0,32.77,10.00,0.00,983.86,000,1003.26,27.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,95,08-29-2019,04:00:00,25.3,0.00,0.0,32.32,10.00,0.00,987.17,000,1003.90,26.2
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,95,08-29-2019,04:00:00,25.5,0.00,0.0,32.71,10.00,0.00,986.76,000,1004.14,26.4
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,97,08-29-2019,04:00:00,25.8,0.00,0.0,33.27,9.00,0.00,978.30,000,1004.03,26.4
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,91,08-29-2019,04:00:00,25.0,0.00,0.0,31.71,10.00,0.00,999.37,000,1005.15,26.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,93,08-29-2019,04:00:00,25.2,0.40,0.0,32.07,10.00,0.00,998.47,000,1004.66,26.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,92,08-29-2019,04:00:00,24.6,0.60,0.0,30.84,8.00,0.00,987.93,000,1004.38,26.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,92,08-29-2019,04:00:00,23.4,1.90,0.0,28.72,10.00,0.00,982.00,000,1004.43,24.7
48376,TAK,ตาก,ตาก,16.87833,99.14333,75,08-29-2019,04:00:00,22.5,0.00,11.1,27.19,7.00,0.00,990.51,280,1004.86,27.2
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,86,08-29-2019,04:00:00,24.4,0.00,0.0,30.56,7.00,0.00,988.10,000,1004.43,27.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,92,08-29-2019,04:00:00,25.8,0.00,0.0,33.17,10.00,0.00,999.47,000,1004.68,27.2
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,96,08-29-2019,04:00:00,24.8,0.00,0.0,31.25,10.00,0.00,990.27,000,1003.49,25.5
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,86,08-29-2019,04:00:00,23.8,0.00,0.0,29.52,10.00,0.00,994.81,000,1004.13,26.3
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,98,08-29-2019,04:00:00,24.7,2.00,3.7,31.12,9.00,0.00,982.36,280,1004.12,25.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,84,08-29-2019,04:00:00,23.1,5.40,0.0,28.18,7.00,0.00,985.67,000,1003.16,26.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,92,08-29-2019,04:00:00,24.9,1.60,0.0,31.41,10.00,0.00,986.91,000,1002.71,26.3
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,94,08-29-2019,04:00:00,25.2,0.30,0.0,32.04,8.00,0.00,984.30,000,1003.16,26.2
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,95,08-29-2019,04:00:00,22.6,0.00,0.0,27.41,6.00,0.00,955.87,000,1007.48,23.5
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,89,08-29-2019,04:00:00,24.9,0.00,3.7,31.46,6.00,0.00,1000.13,270,1004.08,26.9
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,97,08-29-2019,04:00:00,20.5,0.50,5.6,24.15,.50,0.10,911.09,260,1006.26,21.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,98,08-29-2019,04:00:00,26.7,0.00,0.0,35.06,6.00,0.00,987.69,000,1003.62,27.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,90,08-29-2019,04:00:00,24.7,0.00,0.0,31.05,10.00,0.00,1000.57,000,1004.60,26.4
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,96,08-29-2019,04:00:00,24.5,10.80,0.0,30.69,7.00,10.80,994.69,000,1005.41,25.2
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,97,08-29-2019,04:00:00,24.7,50.60,5.6,31.04,5.00,0.00,1002.90,120,1004.84,25.1
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,89,08-29-2019,04:00:00,23.9,0.00,0.0,29.58,10.00,0.00,983.50,000,1004.38,25.9
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,89,08-29-2019,04:00:00,24.4,0.00,9.3,30.51,10.00,0.00,985.64,340,1003.27,26.4
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,96,08-29-2019,04:00:00,26.1,0.70,0.0,33.79,8.00,0.50,987.32,000,1003.44,26.8
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,91,08-29-2019,04:00:00,24.7,0.00,0.0,31.13,10.00,0.00,989.65,000,1003.67,26.3
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,97,08-29-2019,04:00:00,25.1,0.20,0.0,31.90,8.00,0.00,988.97,000,1003.82,25.7
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,96,08-29-2019,04:00:00,24.8,0.00,0.0,31.25,6.00,0.00,990.33,000,1005.05,25.5
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,95,08-29-2019,04:00:00,25.2,0.80,0.0,32.12,10.00,0.00,1001.63,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1004.65,26.1
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,90,08-29-2019,04:00:00,24.3,0.00,0.0,30.30,7.00,0.00,996.12,000,1004.08,26.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,92,08-29-2019,04:00:00,24.2,1.20,0.0,30.28,7.00,1.20,1003.95,000,1005.06,25.7
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,89,08-29-2019,04:00:00,24.1,6.20,0.0,30.03,8.00,2.90,991.38,000,1006.10,26.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,99,08-29-2019,04:00:00,19.3,0.90,5.6,22.42,.05,0.00,871.00,290,1005.83,19.5
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,99,08-29-2019,04:00:00,25.2,74.80,0.0,32.15,8.00,18.60,998.93,000,1004.83,25.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,96,08-29-2019,04:00:00,25.3,7.40,3.7,32.20,8.00,0.00,1006.41,240,1007.22,26.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,97,08-29-2019,04:00:00,23.8,17.00,0.0,29.49,4.00,0.00,995.38,000,1006.78,24.4
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,92,08-29-2019,04:00:00,25.0,2.10,0.0,31.60,10.00,0.00,1003.65,000,1004.66,26.4
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,94,08-29-2019,04:00:00,24.5,2.00,0.0,30.71,7.00,2.00,1002.81,000,1004.64,25.5
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,86,08-29-2019,04:00:00,23.4,0.70,0.0,28.78,7.00,0.00,1003.83,000,1004.60,25.9
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,82,08-29-2019,04:00:00,22.9,0.00,5.6,27.93,10.00,0.00,1004.49,200,1005.19,26.3
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,90,08-29-2019,04:00:00,25.1,33.00,0.0,31.82,7.00,0.00,1003.67,000,1004.37,26.8
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,94,08-29-2019,04:00:00,24.3,5.10,1.9,30.34,8.00,0.10,984.55,330,1005.80,25.3
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,98,08-29-2019,04:00:00,24.8,11.70,0.0,31.31,6.00,5.20,987.56,000,1004.34,25.1
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,96,08-29-2019,04:00:00,24.8,10.00,3.7,31.25,5.00,7.80,988.48,230,1004.96,25.5
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,96,08-29-2019,04:00:00,24.8,3.60,0.0,31.25,10.00,2.00,982.87,000,1004.79,25.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,96,08-29-2019,04:00:00,23.3,8.20,3.7,28.53,8.00,8.20,961.71,060,1005.29,24.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,99,08-29-2019,04:00:00,24.7,39.40,0.0,31.20,7.00,0.00,983.44,000,1004.08,24.9
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,100,08-29-2019,04:00:00,24.3,15.40,7.4,30.36,7.00,0.20,984.65,220,1005.63,24.3
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,92,08-29-2019,04:00:00,24.4,13.50,3.7,30.65,10.00,0.00,1005.65,330,1006.09,25.9
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,97,08-29-2019,04:00:00,24.4,13.10,0.0,30.48,6.00,0.00,1003.45,000,1004.88,24.8
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,97,08-29-2019,04:00:00,24.0,6.50,0.0,29.75,7.00,2.00,1000.32,000,1005.29,24.4
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,77,08-29-2019,04:00:00,22.6,0.01,0.0,27.36,10.00,0.00,1002.09,000,1005.38,27.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,85,08-29-2019,04:00:00,23.4,0.01,0.0,28.70,10.00,0.00,1003.90,000,1005.01,26.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,83,08-29-2019,04:00:00,23.8,0.00,3.7,29.48,10.00,0.00,1004.93,130,1005.23,27.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,89,08-29-2019,04:00:00,24.4,1.00,0.0,30.51,10.00,0.00,1005.63,000,1006.12,26.4
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,80,08-29-2019,04:00:00,23.2,0.80,11.1,28.41,10.00,0.00,1003.62,250,1005.03,27.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,97,08-29-2019,04:00:00,24.1,11.40,0.0,29.93,.50,10.50,998.63,000,1006.69,24.5
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,93,08-29-2019,04:00:00,24.9,8.30,0.0,31.49,8.00,4.80,1004.84,000,1005.12,26.2
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,91,08-29-2019,04:00:00,23.8,20.60,0.0,29.46,8.00,1.70,1002.26,000,1005.41,25.4
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,92,08-29-2019,04:00:00,25.1,0.40,0.0,31.79,10.00,0.40,998.67,000,1005.61,26.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,95,08-29-2019,04:00:00,23.7,4.30,9.3,29.33,7.00,4.10,999.28,270,1004.92,24.6
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,92,08-29-2019,04:00:00,24.0,21.70,0.0,29.80,10.00,0.00,1005.67,000,1006.94,25.3
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,85,08-29-2019,04:00:00,23.7,1.60,0.0,29.35,11.00,0.00,1004.68,000,1005.11,26.5
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,92,08-29-2019,04:00:00,23.5,0.00,0.0,29.00,8.00,0.00,993.74,000,1006.06,25.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,81,08-29-2019,04:00:00,23.3,0.00,0.0,28.57,10.00,0.00,1005.11,000,1005.83,26.8
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,78,08-29-2019,04:00:00,23.7,0.01,3.7,29.28,10.00,0.01,1003.32,270,1005.75,27.9
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,86,08-29-2019,04:00:00,23.7,0.00,7.4,29.33,10.00,0.00,1005.14,020,1005.66,26.2
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,88,08-29-2019,04:00:00,24.8,0.00,0.0,31.38,7.00,0.00,1000.33,000,1005.47,27.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,86,08-29-2019,04:00:00,24.2,9.00,11.1,30.18,7.00,0.00,1005.16,200,1005.58,26.8
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,98,08-29-2019,04:00:00,25.7,10.20,0.0,33.04,8.00,10.20,1002.76,000,1005.53,26.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,85,08-29-2019,04:00:00,23.2,1.80,0.0,28.34,10.00,0.00,1006.52,000,1007.31,25.8
48501,TRAD,ตราด,ตราด,11.76667,102.88333,92,08-29-2019,04:00:00,25.6,3.60,3.7,32.77,6.00,3.00,1004.85,290,1005.31,27.0
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,85,08-29-2019,04:00:00,23.6,0.80,3.7,29.17,8.00,0.00,1005.95,280,1006.63,26.4
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,81,08-29-2019,04:00:00,24.1,1.20,7.4,30.07,8.00,0.00,1005.67,270,1007.19,27.6
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,89,08-29-2019,04:00:00,24.2,6.00,0.0,30.13,10.00,0.00,1006.79,000,1007.71,26.2
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,81,08-29-2019,04:00:00,23.2,0.00,5.6,28.39,10.00,0.00,1006.35,270,1007.04,26.7
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,98,08-29-2019,04:00:00,23.2,0.20,0.0,28.42,7.00,0.00,1006.85,000,1007.66,23.5
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,93,08-29-2019,04:00:00,23.6,4.90,5.6,29.16,10.00,0.00,1006.56,100,1007.20,24.8
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,97,08-29-2019,04:00:00,23.2,9.70,11.1,28.43,10.00,0.00,1008.54,230,1008.95,23.8
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,94,08-29-2019,04:00:00,24.7,0.10,0.0,31.08,5.00,0.00,1004.93,000,1009.17,25.7
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,98,08-29-2019,04:00:00,23.2,8.20,0.0,28.42,10.00,0.00,1006.56,000,1008.19,23.5
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,97,08-29-2019,04:00:00,23.4,15.50,0.0,28.69,6.00,0.00,1004.99,000,1008.51,23.8
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,93,08-29-2019,04:00:00,23.1,10.80,0.0,28.28,7.00,0.00,1006.35,000,1007.72,24.3
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,99,08-29-2019,04:00:00,24.4,29.80,0.0,30.65,10.00,0.00,1006.81,000,1007.70,24.6
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,98,08-29-2019,04:00:00,23.4,20.80,0.0,28.77,10.00,0.00,1004.55,000,1008.15,23.7
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,95,08-29-2019,04:00:00,24.6,15.00,0.0,30.98,10.00,7.60,1007.65,000,1008.09,25.5
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,88,08-29-2019,04:00:00,25.7,8.60,18.5,33.08,10.00,0.00,1006.18,250,1007.17,28.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,92,08-29-2019,04:00:00,25.9,3.00,27.8,33.38,10.00,0.00,1007.18,280,1007.99,27.3
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,96,08-29-2019,04:00:00,23.8,3.60,0.0,29.41,10.00,0.00,1006.11,000,1007.94,24.5
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,85,08-29-2019,04:00:00,23.7,0.00,0.0,29.35,10.00,0.00,1006.87,000,1007.62,26.5
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,92,08-29-2019,04:00:00,24.3,0.80,9.3,30.46,10.00,0.00,1003.91,240,1007.92,25.8
48570,SATUN,สตูล,สตูล,6.65000,100.08333,94,08-29-2019,04:00:00,24.1,7.00,0.0,29.97,10.00,0.00,1007.42,000,1008.11,25.1
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,92,08-29-2019,04:00:00,24.6,0.00,0.0,30.84,10.00,0.00,1006.78,000,1007.90,26.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,92,08-29-2019,04:00:00,24.3,0.01,0.0,30.46,10.00,0.00,1005.13,000,1008.06,25.8
