WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,MeanSeaLevelPressure,WindDirection,VaporPressure,Rainfall,WindSpeed,RelativeHumidity,Rainfall24Hr,LandVisibility,StationPressure,AirTemperature
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.1,09-09-2019,01:00:00,1008.82,000,30.03,0.00,0.0,89,0.00,7.00,998.10,26.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,24.4,09-09-2019,01:00:00,1008.21,240,30.63,0.00,7.4,93,8.70,8.00,1006.27,25.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,23.4,09-09-2019,01:00:00,1007.04,220,28.86,0.00,5.6,81,0.00,10.00,986.19,27.1
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.0,09-09-2019,01:00:00,1005.65,230,31.67,0.00,7.4,84,0.00,10.00,988.07,28.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.9,09-09-2019,01:00:00,1005.50,240,31.54,0.00,5.6,81,0.00,10.00,989.44,28.5
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.6,09-09-2019,01:00:00,1006.68,190,30.97,2.10,3.7,84,2.10,10.00,992.68,27.5
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.3,09-09-2019,01:00:00,1007.59,000,30.43,0.00,0.0,88,0.00,9.00,992.73,26.5
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.7,09-09-2019,01:00:00,1006.90,240,32.93,0.00,7.4,90,0.00,8.00,992.25,27.5
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,23.1,09-09-2019,01:00:00,1007.26,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",28.23,0.00,0.0,80,0.60,10.00,1004.24,26.9
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.6,09-09-2019,01:00:00,1007.47,000,31.00,0.00,0.0,88,0.00,7.00,999.51,26.8
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,24.8,09-09-2019,01:00:00,1008.41,220,31.36,0.00,13.0,84,0.00,6.00,1007.30,27.7
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,22.3,09-09-2019,01:00:00,1007.26,000,26.84,0.00,0.0,75,0.00,8.00,992.57,27.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.5,09-09-2019,01:00:00,1010.48,280,21.33,0.01,9.3,99,40.60,.10,874.69,18.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.0,09-09-2019,01:00:00,1007.86,000,31.71,0.00,0.0,91,0.00,10.00,1001.97,26.6
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,23.3,09-09-2019,01:00:00,1008.70,240,28.63,0.00,11.1,77,0.00,8.00,1007.90,27.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,24.3,09-09-2019,01:00:00,1008.74,000,30.37,0.00,0.0,86,35.30,10.00,1008.29,26.9
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.3,09-09-2019,01:00:00,1010.35,000,30.32,0.50,0.0,96,12.30,3.00,998.94,25.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,23.8,09-09-2019,01:00:00,1008.26,000,29.48,0.00,0.0,83,0.00,10.00,1007.25,27.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,24.1,09-09-2019,01:00:00,1008.32,000,30.07,0.00,0.0,86,0.50,7.00,1006.50,26.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,22.8,09-09-2019,01:00:00,1008.10,000,27.80,0.00,0.0,78,0.00,6.00,1007.34,27.1
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,23.1,09-09-2019,01:00:00,1009.04,200,28.26,0.00,7.4,85,10.80,10.00,1008.33,25.9
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.1,09-09-2019,01:00:00,1008.75,000,31.94,0.10,0.0,90,1.30,7.00,1008.04,27.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.5,09-09-2019,01:00:00,1007.53,260,28.94,0.00,7.4,81,0.00,10.00,986.37,27.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.5,09-09-2019,01:00:00,1007.23,240,30.75,0.00,3.7,86,0.00,6.00,990.52,27.1
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.5,09-09-2019,01:00:00,1007.76,230,30.72,0.00,7.4,87,0.00,5.00,991.31,26.8
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,23.6,09-09-2019,01:00:00,1007.72,000,29.08,0.00,0.0,84,0.00,10.00,985.81,26.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.7,09-09-2019,01:00:00,1008.59,240,27.62,0.00,11.1,87,5.00,10.00,965.02,25.1
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,24.0,09-09-2019,01:00:00,1007.36,210,29.86,0.00,5.6,88,0.00,10.00,986.74,26.2
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.5,09-09-2019,01:00:00,1008.60,220,32.59,0.00,11.1,96,0.00,9.00,987.69,26.2
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,23.9,09-09-2019,01:00:00,1009.17,340,29.70,0.00,1.9,86,1.80,10.00,1008.73,26.4
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.5,09-09-2019,01:00:00,1007.94,000,30.71,0.20,0.0,94,3.70,6.00,1006.51,25.5
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.5,09-09-2019,01:00:00,1009.18,000,30.67,0.00,0.0,90,0.00,7.00,1004.22,26.2
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,23.0,09-09-2019,01:00:00,1009.15,000,28.14,0.00,0.0,79,0.00,10.00,1005.85,27.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.1,09-09-2019,01:00:00,1009.14,230,30.01,0.00,3.7,91,0.20,10.00,1008.02,25.7
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.0,09-09-2019,01:00:00,1009.11,200,29.89,0.00,3.7,86,28.00,10.00,1008.81,26.5
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.0,09-09-2019,01:00:00,1009.09,000,29.89,0.00,0.0,86,15.40,10.00,1008.59,26.5
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,22.6,09-09-2019,01:00:00,1008.91,260,27.39,0.00,16.7,74,0.01,10.00,1007.50,27.6
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,23.8,09-09-2019,01:00:00,1010.80,000,29.41,0.00,0.0,96,0.00,10.00,1002.70,24.5
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,23.4,09-09-2019,01:00:00,1008.92,000,28.81,0.00,0.0,65,11.60,6.00,1008.64,30.8
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.8,09-09-2019,01:00:00,1008.82,000,31.25,0.00,0.0,96,8.60,10.00,1005.67,25.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,23.9,09-09-2019,01:00:00,1008.82,240,29.74,0.00,7.4,79,0.00,10.00,1001.89,28.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.8,09-09-2019,01:00:00,1009.04,000,31.38,0.00,0.0,88,0.00,10.00,1003.43,27.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,23.8,09-09-2019,01:00:00,1010.32,000,29.50,0.01,0.0,88,1.20,8.00,1009.05,26.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,24.1,09-09-2019,01:00:00,1009.17,330,30.02,0.00,3.7,84,0.00,11.00,1008.73,27.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.1,09-09-2019,01:00:00,1008.59,000,28.28,0.00,0.0,93,0.40,10.00,996.21,24.3
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,24.0,09-09-2019,01:00:00,1009.64,000,29.78,0.00,0.0,87,7.20,10.00,1008.93,26.3
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,23.8,09-09-2019,01:00:00,1009.58,230,29.43,0.00,5.6,75,0.00,10.00,1007.16,28.7
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,24.9,09-09-2019,01:00:00,1009.22,220,31.54,0.00,7.4,81,0.01,10.00,1008.70,28.5
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.7,09-09-2019,01:00:00,1008.75,000,31.11,0.00,0.0,87,0.00,8.00,1003.58,27.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.4,09-09-2019,01:00:00,1009.68,000,32.45,0.00,0.0,89,0.50,7.00,1009.26,27.4
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.3,09-09-2019,01:00:00,1010.04,000,32.20,0.00,0.0,96,0.60,8.00,1007.25,26.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.1,09-09-2019,01:00:00,1010.08,000,28.18,0.00,0.0,84,0.00,10.00,1009.29,26.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.3,09-09-2019,01:00:00,1009.82,000,32.32,2.00,0.0,95,66.30,6.00,1009.36,26.2
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,23.4,09-09-2019,01:00:00,1010.30,000,28.85,0.00,0.0,88,0.10,8.00,1009.61,25.5
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.4,09-09-2019,01:00:00,1010.56,000,28.83,0.00,0.0,90,0.20,8.00,1009.02,25.2
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.2,09-09-2019,01:00:00,1011.14,000,28.36,0.00,0.0,94,63.00,10.00,1010.21,24.2
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.4,09-09-2019,01:00:00,1010.97,000,32.45,1.00,0.0,98,26.20,10.00,1010.28,25.7
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.4,09-09-2019,01:00:00,1011.15,210,30.58,0.30,1.9,97,30.30,7.00,1010.34,25.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.6,09-09-2019,01:00:00,1010.64,200,30.90,0.00,5.6,94,0.00,10.00,1010.00,25.6
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,23.8,09-09-2019,01:00:00,1010.36,000,29.39,0.00,0.0,97,12.40,10.00,1009.95,24.2
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.3,09-09-2019,01:00:00,1012.76,000,30.32,0.20,0.0,96,21.10,6.00,1008.50,25.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.4,09-09-2019,01:00:00,1009.88,000,30.60,0.00,0.0,95,0.00,10.00,1008.26,25.3
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.5,09-09-2019,01:00:00,1011.44,000,30.77,0.00,0.0,97,38.70,6.00,1007.93,25.1
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.6,09-09-2019,01:00:00,1011.05,240,30.97,0.00,7.4,89,0.01,10.00,1009.68,26.5
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,23.3,09-09-2019,01:00:00,1011.44,000,28.53,4.80,0.0,96,45.20,8.00,1010.54,24.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.6,09-09-2019,01:00:00,1011.28,000,29.16,0.00,0.0,93,0.00,10.00,1007.68,24.8
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,25.1,09-09-2019,01:00:00,1010.79,000,31.79,0.00,0.0,92,6.00,10.00,1010.36,26.5
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.3,09-09-2019,01:00:00,1010.64,000,30.43,0.00,0.0,88,1.60,10.00,1009.64,26.5
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,23.3,09-09-2019,01:00:00,1011.25,090,28.62,31.00,7.4,95,35.20,8.00,1010.42,24.2
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,23.2,09-09-2019,01:00:00,1011.38,000,28.36,16.40,0.0,94,16.40,6.00,1009.54,24.2
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.5,09-09-2019,01:00:00,1010.95,230,28.98,0.00,5.6,85,0.00,7.00,1010.19,26.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.9,09-09-2019,01:00:00,1011.09,000,29.69,0.00,0.0,95,7.40,5.00,1007.05,24.8
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.0,09-09-2019,01:00:00,1010.84,000,29.82,0.00,0.0,91,0.00,8.00,1010.15,25.6
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.1,09-09-2019,01:00:00,1010.83,000,30.05,0.00,0.0,95,6.40,10.00,1009.70,25.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.9,09-09-2019,01:00:00,1011.36,000,31.55,0.00,0.0,95,0.30,10.00,1008.42,25.8
