WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,MaximumTemperature,WindSpeed,LandVisibility,WindDirection,AirTemperature,DewPoint,VaporPressure,StationPressure,Rainfall,MeanSeaLevelPressure,Rainfall24Hr
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,84,08-25-2019,19:00:00,33.2,3.7,11.00,130,28.6,25.6,32.88,977.30,0.00,1002.81,24.50
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,85,08-25-2019,19:00:00,33.9,0.0,10.00,000,28.0,25.1,31.95,997.94,0.00,1003.69,1.80
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,94,08-25-2019,19:00:00,33.4,0.0,8.00,000,26.7,25.7,33.02,997.65,5.80,1003.83,8.50
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,82,08-25-2019,19:00:00,31.7,0.0,10.00,000,27.8,24.5,30.72,988.15,0.00,1004.50,7.80
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,84,08-25-2019,19:00:00,32.0,3.7,10.00,210,26.1,23.2,28.36,981.83,0.00,1004.15,2.10
48376,TAK,ตาก,ตาก,16.87833,99.14333,68,08-25-2019,19:00:00,33.5,11.1,8.00,260,29.2,22.6,27.40,990.54,0.00,1004.79,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,71,08-25-2019,19:00:00,33.5,0.0,7.00,000,29.0,23.2,28.37,987.70,0.00,1003.92,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,79,08-25-2019,19:00:00,33.3,0.0,10.00,000,30.0,25.9,33.46,998.61,0.00,1003.77,1.10
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,85,08-25-2019,19:00:00,31.5,0.0,12.00,000,28.0,25.1,31.95,989.39,0.00,1002.48,3.80
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,90,08-25-2019,19:00:00,32.9,3.7,10.00,230,27.7,25.9,33.33,994.67,0.40,1003.94,3.40
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,90,08-25-2019,19:00:00,32.6,0.0,8.00,000,27.9,26.1,33.74,981.83,0.10,1003.37,9.60
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,75,08-25-2019,19:00:00,33.0,13.0,8.00,240,28.4,23.5,28.86,987.06,0.00,1004.43,11.90
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,97,08-25-2019,19:00:00,29.4,0.0,10.00,000,25.6,25.0,31.71,988.02,0.20,1003.87,19.60
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,87,08-25-2019,19:00:00,32.2,0.0,8.00,000,28.1,25.7,33.00,983.65,0.00,1002.38,3.10
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,86,08-25-2019,19:00:00,30.8,0.0,9.00,000,25.0,22.5,27.19,954.01,0.70,1005.26,2.20
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,77,08-25-2019,19:00:00,33.0,0.0,10.00,000,30.9,26.3,34.19,999.43,0.00,1003.33,16.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,95,08-25-2019,19:00:00,26.0,13.0,.50,210,21.5,20.7,24.44,910.86,0.10,1005.84,5.70
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,96,08-25-2019,19:00:00,32.2,0.0,7.00,000,27.2,26.5,34.60,987.80,1.80,1003.72,9.90
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,93,08-25-2019,19:00:00,34.3,3.7,5.00,200,26.4,25.1,31.88,1000.84,3.80,1004.88,8.10
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,89,08-25-2019,19:00:00,33.5,0.0,8.00,000,26.0,24.0,29.76,995.23,0.00,1005.93,12.90
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,84,08-25-2019,19:00:00,33.2,7.4,9.00,210,27.6,24.6,30.89,1003.36,0.00,1005.28,2.80
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,68,08-25-2019,19:00:00,33.3,0.0,12.00,000,30.0,23.5,28.91,984.59,0.00,1005.20,7.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,84,08-25-2019,19:00:00,31.1,9.3,10.00,210,26.5,23.6,29.08,986.02,0.30,1003.65,34.60
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,84,08-25-2019,19:00:00,30.9,7.4,10.00,210,27.0,24.1,30.02,987.59,0.00,1003.70,36.10
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,89,08-25-2019,19:00:00,30.2,7.4,10.00,130,27.8,25.8,33.25,990.49,0.00,1004.45,20.70
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,92,08-25-2019,19:00:00,30.7,3.7,10.00,190,27.2,25.8,33.17,990.27,0.00,1005.05,13.60
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,92,08-25-2019,19:00:00,31.3,0.0,8.00,000,29.0,27.6,36.96,990.56,0.00,1005.10,43.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,94,08-25-2019,19:00:00,33.4,0.0,7.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",26.4,25.4,32.43,1001.98,11.60,1004.99,13.60
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,76,08-25-2019,19:00:00,32.7,7.4,10.00,160,29.7,25.0,31.68,995.94,0.00,1003.79,150.40
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,77,08-25-2019,19:00:00,35.0,9.3,7.00,230,28.2,23.9,29.57,1004.94,0.00,1006.05,1.20
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,89,08-25-2019,19:00:00,29.9,3.7,9.00,080,29.5,27.6,36.85,989.42,0.00,1003.94,38.40
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,100,08-25-2019,19:00:00,22.4,5.6,.05,270,20.8,20.8,24.54,871.61,8.80,1005.90,31.80
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,84,08-25-2019,19:00:00,33.6,7.4,8.00,230,27.9,24.9,31.47,999.13,3.00,1004.98,32.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,92,08-25-2019,19:00:00,35.2,11.1,7.00,250,26.8,25.4,32.38,1004.36,10.20,1005.16,10.20
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,78,08-25-2019,19:00:00,32.4,22.2,10.00,210,30.0,25.8,33.17,1004.63,0.00,1005.08,0.40
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,90,08-25-2019,19:00:00,30.2,0.0,4.00,000,26.0,24.3,30.30,995.32,1.30,1006.66,12.80
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,76,08-25-2019,19:00:00,35.5,3.7,10.00,240,29.0,24.3,30.29,1004.45,0.10,1005.45,2.40
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,85,08-25-2019,19:00:00,34.5,3.7,8.00,090,27.9,25.2,32.03,1003.10,0.01,1004.91,1.90
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,77,08-25-2019,19:00:00,33.8,3.7,8.00,230,28.4,24.1,29.96,1004.49,0.00,1005.25,0.50
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,76,08-25-2019,19:00:00,32.6,14.8,10.00,220,29.4,24.7,31.08,1005.02,0.00,1005.71,0.01
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,78,08-25-2019,19:00:00,33.2,0.0,7.00,000,30.0,25.8,33.17,1004.12,0.00,1004.82,10.90
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,61,08-25-2019,19:00:00,34.9,5.6,10.00,250,31.5,23.1,28.23,983.31,0.00,1004.09,0.90
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,89,08-25-2019,19:00:00,33.4,11.1,4.00,230,26.3,24.4,30.59,989.11,4.00,1005.85,54.40
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,88,08-25-2019,19:00:00,33.5,11.1,2.00,230,26.0,23.8,29.50,989.12,22.20,1005.58,79.20
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,76,08-25-2019,19:00:00,34.3,0.0,10.00,000,29.0,24.4,30.57,982.60,0.01,1004.26,0.20
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,73,08-25-2019,19:00:00,30.5,3.7,12.00,220,28.0,22.7,27.59,961.67,0.00,1004.67,0.60
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,90,08-25-2019,19:00:00,34.3,3.7,9.00,270,26.7,25.0,31.63,983.93,1.40,1004.46,5.20
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,86,08-25-2019,19:00:00,33.4,20.4,10.00,190,27.3,24.7,31.14,984.86,0.00,1005.63,4.60
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,65,08-25-2019,19:00:00,32.1,14.8,10.00,260,29.4,22.2,26.70,1005.55,0.00,1005.98,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,87,08-25-2019,19:00:00,33.0,0.0,8.00,000,28.8,26.4,34.45,1003.25,0.00,1004.65,4.20
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,90,08-25-2019,19:00:00,32.1,0.0,8.00,000,27.8,26.0,33.53,1000.38,0.00,1005.29,37.70
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,69,08-25-2019,19:00:00,34.5,5.6,12.00,220,29.3,23.0,28.12,1002.03,0.00,1005.29,0.01
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,76,08-25-2019,19:00:00,34.3,3.7,10.00,280,28.6,24.0,29.79,1004.25,0.70,1005.35,0.70
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,74,08-25-2019,19:00:00,33.3,7.4,10.00,220,30.3,25.0,31.76,1004.78,0.00,1005.08,0.01
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,75,08-25-2019,19:00:00,33.2,7.4,10.00,220,30.3,25.3,32.34,1004.68,0.00,1005.36,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,73,08-25-2019,19:00:00,33.5,0.0,10.00,000,30.0,24.6,30.87,1005.34,0.00,1005.83,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,88,08-25-2019,19:00:00,33.4,11.1,9.00,210,27.2,25.1,31.77,1004.10,6.60,1005.51,6.60
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,83,08-25-2019,19:00:00,30.3,20.4,12.00,250,30.1,26.9,35.45,1003.99,0.00,1005.65,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,76,08-25-2019,19:00:00,33.5,0.0,10.00,000,28.8,24.0,29.90,999.09,0.00,1007.04,2.30
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,73,08-25-2019,19:00:00,34.0,0.0,10.00,000,30.0,24.6,30.87,1005.21,0.00,1005.49,0.60
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,77,08-25-2019,19:00:00,31.8,9.3,10.00,270,29.7,25.2,31.97,1001.84,0.00,1004.94,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,78,08-25-2019,19:00:00,30.6,13.0,10.00,210,28.9,24.8,31.21,999.39,0.00,1006.28,0.20
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,84,08-25-2019,19:00:00,33.6,7.4,8.00,300,27.6,24.7,31.16,1000.83,0.00,1006.41,7.40
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,78,08-25-2019,19:00:00,34.8,24.1,10.00,240,28.9,24.8,31.21,997.80,0.00,1007.06,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,70,08-25-2019,19:00:00,33.6,7.4,10.00,240,28.5,22.5,27.18,1005.36,0.00,1006.61,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,74,08-25-2019,19:00:00,33.2,16.7,11.00,220,28.4,23.3,28.59,1005.72,0.00,1006.15,0.01
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,80,08-25-2019,19:00:00,30.3,0.0,8.00,000,26.0,22.3,26.88,994.38,0.01,1006.67,2.30
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,82,08-25-2019,19:00:00,31.5,5.6,10.00,250,27.1,23.8,29.39,1005.78,0.00,1006.49,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,72,08-25-2019,19:00:00,34.2,18.5,10.00,230,29.2,23.7,29.30,1003.97,0.00,1006.38,3.50
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,78,08-25-2019,19:00:00,31.0,16.7,8.00,280,29.0,24.7,31.13,1006.07,0.00,1006.58,0.40
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,78,08-25-2019,19:00:00,34.5,0.0,12.00,000,28.4,24.2,30.23,1001.62,0.00,1006.75,1.80
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,87,08-25-2019,19:00:00,31.8,5.6,7.00,210,27.5,25.2,32.08,1006.67,0.40,1007.08,48.80
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,90,08-25-2019,19:00:00,31.0,0.0,8.00,000,27.2,25.5,32.61,1004.57,0.00,1007.34,11.20
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,77,08-25-2019,19:00:00,30.2,0.0,10.00,000,26.7,22.2,26.82,1006.65,0.20,1007.44,1.40
48501,TRAD,ตราด,ตราด,11.76667,102.88333,94,08-25-2019,19:00:00,29.5,5.6,6.00,210,26.9,25.8,33.14,1006.94,0.40,1007.40,20.20
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,75,08-25-2019,19:00:00,27.7,0.0,10.00,000,26.2,21.4,25.45,1007.36,0.00,1008.04,6.50
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,75,08-25-2019,19:00:00,28.4,3.7,7.00,280,26.0,21.2,25.11,1007.71,0.00,1009.24,8.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,85,08-25-2019,19:00:00,27.2,5.6,10.00,190,26.1,23.5,28.88,1008.44,0.00,1009.36,71.60
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,75,08-25-2019,19:00:00,34.0,7.4,12.00,270,26.8,22.0,26.48,1007.83,0.00,1008.52,4.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,84,08-25-2019,19:00:00,30.0,0.0,10.00,000,26.0,23.1,28.18,1008.40,0.00,1009.21,0.80
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,70,08-25-2019,19:00:00,31.0,5.6,10.00,090,27.5,21.5,25.65,1007.37,0.00,1008.00,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,75,08-25-2019,19:00:00,30.7,11.1,10.00,220,26.9,22.0,26.40,1008.16,0.01,1008.57,0.01
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,70,08-25-2019,19:00:00,30.9,0.0,5.00,000,27.0,21.0,24.79,1006.37,0.00,1010.60,0.10
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,90,08-25-2019,19:00:00,28.6,0.0,10.00,000,25.8,24.1,29.93,1008.47,0.00,1010.09,8.60
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,92,08-25-2019,19:00:00,28.2,0.0,8.00,000,25.8,24.3,30.46,1006.05,0.00,1009.54,5.80
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,83,08-25-2019,19:00:00,28.3,0.0,7.00,000,26.8,23.6,29.10,1007.66,0.00,1009.02,9.70
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,90,08-25-2019,19:00:00,28.0,0.0,10.00,000,26.2,24.5,30.67,1007.98,0.00,1008.87,15.50
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,89,08-25-2019,19:00:00,29.0,0.0,10.00,000,26.1,24.1,29.95,1005.86,0.00,1009.44,14.40
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,74,08-25-2019,19:00:00,30.0,0.0,10.00,000,28.0,22.9,27.85,1008.95,0.00,1009.38,17.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,68,08-25-2019,19:00:00,30.4,3.7,10.00,310,28.9,22.4,27.11,1007.60,0.00,1008.59,10.60
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,82,08-25-2019,19:00:00,28.7,0.0,10.00,000,26.2,23.0,28.01,1008.55,0.00,1009.37,17.20
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,92,08-25-2019,19:00:00,26.7,0.0,10.00,000,26.0,24.6,30.84,1007.59,0.00,1009.41,57.80
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,78,08-25-2019,19:00:00,29.3,11.1,10.00,180,26.9,22.8,27.70,1008.72,0.00,1009.48,2.20
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,89,08-25-2019,19:00:00,27.2,5.6,10.00,230,25.4,23.5,28.93,1005.75,0.00,1009.78,2.40
48570,SATUN,สตูล,สตูล,6.65000,100.08333,92,08-25-2019,19:00:00,27.0,0.0,10.00,000,25.3,24.0,29.80,1008.71,0.00,1009.40,87.20
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,86,08-25-2019,19:00:00,28.8,0.0,10.00,000,26.4,23.9,29.70,1008.27,0.00,1009.39,8.60
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,90,08-25-2019,19:00:00,28.0,0.0,10.00,000,26.2,24.5,30.67,1006.75,0.00,1009.68,10.40
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,86,08-25-2019,19:00:00,29.5,0.0,10.00,000,26.6,24.1,30.07,1008.60,0.00,1009.29,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,84,08-25-2019,19:00:00,31.0,0.0,7.00,000,25.4,22.6,27.38,1005.78,0.00,1009.93,1.20
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,75,08-25-2019,19:00:00,33.2,0.0,9.00,000,26.5,21.7,25.96,1008.36,0.00,1008.95,0.90
