WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,LandVisibility,StationPressure,VaporPressure,MeanSeaLevelPressure,Rainfall,Rainfall24Hr,AirTemperature,RelativeHumidity,DewPoint,WindSpeed
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,020,09-28-2019,22:00:00,10.00,997.80,28.35,1014.05,0.00,0.00,27.4,78,23.2,5.6
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,000,09-28-2019,22:00:00,10.00,999.18,26.44,1013.27,0.00,0.00,27.8,71,22.0,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,350,09-28-2019,22:00:00,10.00,998.78,26.75,1013.70,0.00,0.00,27.1,75,22.2,3.7
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,030,09-28-2019,22:00:00,10.00,998.86,32.68,1013.59,0.00,0.00,27.8,88,25.5,3.7
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",09-28-2019,22:00:00,10.00,1010.24,30.51,1013.27,0.00,0.00,28.4,79,24.4,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,09-28-2019,22:00:00,8.00,1005.70,30.72,1013.69,0.00,0.00,27.8,82,24.5,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,030,09-28-2019,22:00:00,7.00,1012.29,29.21,1013.41,0.00,0.00,27.0,82,23.6,5.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,09-28-2019,22:00:00,8.00,999.01,27.52,1013.80,0.00,0.00,26.8,78,22.7,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,000,09-28-2019,22:00:00,8.00,879.72,16.55,1015.80,0.00,0.00,19.7,72,14.5,0.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,000,09-28-2019,22:00:00,8.00,1008.24,29.17,1014.17,0.00,0.00,26.4,85,23.6,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,360,09-28-2019,22:00:00,8.00,1012.63,26.44,1013.43,0.00,0.00,29.4,65,22.0,7.4
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,000,09-28-2019,22:00:00,8.00,1012.32,31.13,1012.77,0.00,0.00,29.0,78,24.7,0.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,09-28-2019,22:00:00,6.00,1003.29,28.75,1014.74,0.00,0.00,25.3,89,23.4,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,000,09-28-2019,22:00:00,6.00,1012.71,29.16,1013.73,0.00,0.00,28.7,74,23.6,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,000,09-28-2019,22:00:00,9.00,1011.99,24.49,1013.82,0.00,0.00,28.6,63,20.8,0.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,09-28-2019,22:00:00,5.00,1012.81,27.54,1013.58,0.00,0.00,27.1,77,22.7,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,040,09-28-2019,22:00:00,9.00,1012.70,28.56,1013.41,0.00,0.00,30.1,67,23.3,3.7
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,000,09-28-2019,22:00:00,7.00,1012.07,27.07,1012.77,0.00,0.00,29.6,65,22.4,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,000,09-28-2019,22:00:00,8.00,992.96,28.08,1014.23,0.00,0.00,27.4,77,23.0,0.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,09-28-2019,22:00:00,8.00,996.96,29.39,1013.78,0.00,0.00,27.1,82,23.8,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,000,09-28-2019,22:00:00,8.00,997.01,29.76,1013.60,0.00,0.00,26.0,89,24.0,0.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,09-28-2019,22:00:00,10.00,991.52,27.77,1013.55,0.00,0.00,26.5,80,22.8,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,060,09-28-2019,22:00:00,8.00,970.84,22.41,1015.15,0.00,0.00,22.0,85,19.3,7.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,000,09-28-2019,22:00:00,8.00,992.95,29.66,1013.73,0.00,0.00,25.8,89,23.9,0.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,000,09-28-2019,22:00:00,8.00,994.18,29.92,1015.36,0.00,0.00,24.2,99,24.0,0.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",09-28-2019,22:00:00,10.00,1012.79,29.71,1013.22,0.00,0.00,29.7,71,23.9,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,09-28-2019,22:00:00,8.00,1011.43,29.65,1012.85,0.00,0.00,28.1,78,23.9,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,000,09-28-2019,22:00:00,6.00,1010.67,27.97,1013.97,0.00,0.00,28.5,72,22.9,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,09-28-2019,22:00:00,8.00,1012.48,33.19,1013.59,0.00,0.00,26.5,96,25.8,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,290,09-28-2019,22:00:00,10.00,1012.93,30.46,1013.22,0.00,0.00,30.5,70,24.3,3.7
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,000,09-28-2019,22:00:00,10.00,1012.71,29.89,1013.19,0.00,0.00,30.5,68,24.0,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,320,09-28-2019,22:00:00,9.00,1012.01,24.74,1013.42,0.00,0.00,30.5,57,20.9,7.4
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,000,09-28-2019,22:00:00,10.00,1006.56,31.94,1014.62,0.00,0.00,27.0,90,25.1,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,080,09-28-2019,22:00:00,10.00,1012.53,30.70,1012.81,0.00,0.00,30.2,72,24.5,7.4
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,09-28-2019,22:00:00,10.00,1009.58,30.67,1012.72,0.00,0.00,28.2,80,24.5,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,000,09-28-2019,22:00:00,6.00,1006.23,31.54,1013.18,0.00,0.00,28.5,81,24.9,0.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,000,09-28-2019,22:00:00,10.00,1007.94,33.00,1013.54,0.00,0.00,28.8,83,25.7,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,350,09-28-2019,22:00:00,5.00,1012.41,29.85,1013.67,0.00,0.00,28.2,78,24.0,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,000,09-28-2019,22:00:00,11.00,1012.86,33.33,1013.29,0.00,3.20,29.8,79,25.9,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,260,09-28-2019,22:00:00,8.00,1001.50,27.53,1013.93,0.00,1.00,24.9,87,22.7,5.6
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,000,09-28-2019,22:00:00,7.00,1012.54,28.62,1013.25,0.00,0.00,28.7,73,23.3,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,360,09-28-2019,22:00:00,5.00,1010.99,31.25,1013.44,0.00,0.00,27.5,85,24.8,5.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,000,09-28-2019,22:00:00,8.00,1012.73,32.71,1013.24,0.00,0.00,28.8,83,25.5,0.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,010,09-28-2019,22:00:00,8.00,1007.89,30.40,1013.06,0.00,0.00,28.2,80,24.3,5.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,09-28-2019,22:00:00,7.00,1013.04,30.39,1013.45,0.00,0.00,27.2,84,24.3,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,09-28-2019,22:00:00,8.00,1010.64,32.04,1013.44,0.00,34.20,26.2,94,25.2,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,000,09-28-2019,22:00:00,10.00,1012.68,30.75,1013.47,0.00,0.00,29.8,73,24.5,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,070,09-28-2019,22:00:00,6.00,1012.66,29.66,1013.12,0.00,19.00,25.8,89,23.9,3.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,000,09-28-2019,22:00:00,7.00,1012.94,28.79,1013.63,0.00,3.10,24.3,95,23.4,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,000,09-28-2019,22:00:00,7.00,1012.64,29.00,1014.19,0.00,2.40,25.0,92,23.5,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,010,09-28-2019,22:00:00,10.00,1012.87,27.09,1013.80,0.01,5.00,24.2,90,22.4,3.7
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,000,09-28-2019,22:00:00,10.00,1012.79,31.31,1013.49,0.00,5.10,25.1,98,24.8,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,280,09-28-2019,22:00:00,7.00,1013.34,29.41,1014.15,0.00,9.90,24.5,96,23.8,3.7
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,360,09-28-2019,22:00:00,10.00,1012.59,28.86,1013.23,0.00,39.50,23.9,97,23.5,3.7
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,09-28-2019,22:00:00,10.00,1013.40,28.45,1013.81,0.00,22.90,24.4,93,23.2,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,09-28-2019,22:00:00,4.00,1011.24,27.66,1015.53,0.00,28.00,23.5,96,22.8,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,09-28-2019,22:00:00,10.00,1011.78,30.32,1013.41,0.00,1.20,25.0,96,24.3,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,000,09-28-2019,22:00:00,10.00,1011.29,29.69,1012.66,0.00,3.10,24.8,95,23.9,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,09-28-2019,22:00:00,10.00,1012.23,29.92,1013.13,0.00,27.40,24.2,99,24.0,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,09-28-2019,22:00:00,10.00,1009.46,29.26,1013.06,0.00,1.50,25.0,92,23.7,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,09-28-2019,22:00:00,10.00,1013.10,30.02,1013.53,0.00,4.20,27.0,84,24.1,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,070,09-28-2019,22:00:00,10.00,1011.47,30.32,1012.48,0.00,8.90,25.0,96,24.3,3.7
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,040,09-28-2019,22:00:00,10.00,1012.12,26.99,1012.94,0.00,0.40,26.5,78,22.3,5.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,09-28-2019,22:00:00,10.00,1011.07,27.73,1012.90,0.00,0.70,25.6,85,22.8,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,000,09-28-2019,22:00:00,10.00,1012.55,30.81,1013.30,0.00,6.90,26.7,88,24.5,0.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,310,09-28-2019,22:00:00,10.00,1009.25,30.57,1013.28,0.00,1.20,26.0,91,24.4,7.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,09-28-2019,22:00:00,10.00,1013.11,30.71,1013.80,0.00,20.50,25.5,94,24.5,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,000,09-28-2019,22:00:00,10.00,1011.77,29.46,1012.90,0.00,0.60,25.4,91,23.8,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,000,09-28-2019,22:00:00,10.00,1010.16,30.46,1013.10,0.00,1.20,25.8,92,24.3,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,000,09-28-2019,22:00:00,8.00,1012.28,31.76,1012.97,0.00,0.00,26.2,93,25.0,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,000,09-28-2019,22:00:00,7.00,1009.38,30.96,1013.56,0.00,1.50,25.2,97,24.6,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,000,09-28-2019,22:00:00,10.00,1012.30,31.00,1012.89,0.00,1.00,25.8,93,24.6,0.0
