WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,RelativeHumidity,WindDirection,MeanSeaLevelPressure,WindSpeed,DewPoint,Rainfall24Hr,AirTemperature,MaximumTemperature,Rainfall,LandVisibility,VaporPressure,StationPressure
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-12-2019,19:00:00,78,000,1008.77,0.0,25.8,3.10,30.0,32.4,0.00,10.00,33.17,1004.85
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-12-2019,19:00:00,86,230,1010.94,5.6,19.1,0.60,21.5,24.8,0.00,6.00,22.13,915.47
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-12-2019,19:00:00,83,000,1007.88,0.0,26.1,0.20,29.3,33.1,0.00,10.00,33.74,992.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-12-2019,19:00:00,73,000,1009.47,0.0,24.4,0.01,29.8,33.0,0.00,12.00,30.47,1005.47
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-12-2019,19:00:00,74,000,1010.23,0.0,23.9,1.80,29.1,33.0,0.00,8.00,29.65,999.59
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-12-2019,19:00:00,71,000,1009.73,0.0,24.3,0.20,30.0,33.0,0.00,9.00,30.31,1007.81
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-12-2019,19:00:00,65,000,1008.66,0.0,22.7,0.01,30.0,34.1,0.01,8.00,27.55,987.98
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-12-2019,19:00:00,82,000,1007.69,0.0,26.5,32.90,29.9,32.4,0.00,10.00,34.72,990.18
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-12-2019,19:00:00,75,000,1007.53,0.0,25.1,25.20,30.1,32.2,0.00,10.00,31.93,991.53
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-12-2019,19:00:00,74,000,1008.03,0.0,24.4,0.01,29.4,32.4,0.00,10.00,30.52,994.09
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-12-2019,19:00:00,83,000,1008.63,0.0,25.1,0.00,28.2,33.0,0.00,10.00,31.79,993.84
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-12-2019,19:00:00,85,000,1009.30,0.0,26.7,0.00,29.5,33.0,0.00,8.00,35.05,994.72
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-12-2019,19:00:00,67,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1009.20,0.0,23.2,0.00,30.0,33.7,0.00,10.00,28.37,1006.20
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-12-2019,19:00:00,74,000,1009.20,0.0,23.9,0.70,29.1,33.3,0.00,10.00,29.65,1001.28
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-12-2019,19:00:00,80,000,1010.22,0.0,26.2,23.00,30.0,32.7,0.00,8.00,34.05,1009.12
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-12-2019,19:00:00,78,070,1011.44,3.7,25.7,0.00,30.1,32.0,0.00,9.00,33.08,996.84
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-12-2019,19:00:00,94,260,1011.44,3.7,18.7,7.20,19.7,27.8,0.00,7.00,21.60,875.94
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-12-2019,19:00:00,75,000,1009.35,0.0,24.5,19.90,29.4,33.9,0.00,10.00,30.80,1003.50
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-12-2019,19:00:00,60,270,1008.93,9.3,23.3,0.00,32.0,35.0,0.00,8.00,28.66,1008.14
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-12-2019,19:00:00,70,210,1009.26,9.3,24.2,0.00,30.2,32.0,0.00,10.00,30.14,1008.81
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-12-2019,19:00:00,82,000,1010.84,0.0,23.4,0.00,26.8,32.5,0.00,8.00,28.84,999.49
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-12-2019,19:00:00,74,000,1009.33,0.0,24.9,0.00,30.0,34.8,0.00,12.00,31.44,1008.32
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-12-2019,19:00:00,71,000,1009.31,0.0,24.7,8.50,30.7,33.1,0.00,10.00,31.15,1007.51
