WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,MeanSeaLevelPressure,LandVisibility,StationPressure,AirTemperature,VaporPressure,WindDirection,RelativeHumidity,DewPoint,Rainfall24Hr,Rainfall
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,09-13-2019,10:00:00,1010.49,10.00,977.19,29.5,29.88,000,72,24.0,1.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,09-13-2019,10:00:00,1010.44,15.00,992.03,29.0,31.13,000,78,24.7,1.80,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,09-13-2019,10:00:00,1010.34,10.00,987.66,29.3,30.88,000,76,24.6,0.00,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,09-13-2019,10:00:00,1010.31,12.00,980.69,30.0,27.82,000,66,22.8,0.00,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,09-13-2019,10:00:00,1010.48,8.00,975.15,28.7,30.54,000,78,24.4,3.80,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,09-13-2019,10:00:00,1009.40,15.00,979.85,28.7,31.94,000,81,25.1,0.00,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,09-13-2019,10:00:00,1010.49,12.00,1003.25,30.6,30.38,000,69,24.3,0.00,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,7.4,09-13-2019,10:00:00,1009.51,15.00,989.80,30.5,32.75,010,75,25.6,12.80,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,3.7,09-13-2019,10:00:00,1009.75,15.00,981.30,29.6,29.24,350,71,23.7,0.00,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,7.4,09-13-2019,10:00:00,1009.50,15.00,989.54,30.7,31.15,270,71,24.7,3.40,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,3.7,09-13-2019,10:00:00,1009.80,15.00,988.25,30.0,30.31,120,71,24.3,0.00,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,3.7,09-13-2019,10:00:00,1009.51,15.00,990.21,30.6,31.51,100,72,24.9,0.00,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1.9,09-13-2019,10:00:00,1010.14,12.00,993.55,30.5,28.50,060,65,23.2,0.01,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,3.7,09-13-2019,10:00:00,1010.23,12.00,993.01,31.1,31.68,090,70,25.0,24.10,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,5.6,09-13-2019,10:00:00,1008.84,12.00,983.27,29.8,30.47,310,73,24.4,0.60,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,5.6,09-13-2019,10:00:00,1010.59,12.00,1004.87,32.0,32.10,260,68,25.2,0.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,09-13-2019,10:00:00,1010.43,12.00,1004.30,31.2,31.31,000,69,24.8,0.00,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,09-13-2019,10:00:00,1011.34,12.00,995.01,30.3,30.06,000,70,24.1,0.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,09-13-2019,10:00:00,1011.30,10.00,988.81,25.9,28.00,000,84,22.9,0.20,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,16.7,09-13-2019,10:00:00,1011.63,10.00,997.33,30.2,26.85,260,63,22.3,0.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,09-13-2019,10:00:00,1010.69,12.00,994.47,31.0,28.92,000,64,23.5,0.00,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,11.1,09-13-2019,10:00:00,1010.66,10.00,1005.48,30.9,26.81,240,60,22.2,0.00,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,09-13-2019,10:00:00,1008.66,12.00,995.60,30.7,30.58,000,69,24.4,0.00,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,7.4,09-13-2019,10:00:00,1010.67,15.00,1001.45,31.5,28.23,010,61,23.1,0.00,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,3.7,09-13-2019,10:00:00,1009.89,12.00,988.26,28.6,31.46,200,80,24.9,0.20,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,11.1,09-13-2019,10:00:00,1009.38,12.00,991.95,29.0,31.13,300,78,24.7,3.70,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,3.7,09-13-2019,10:00:00,1009.28,12.00,993.54,29.5,30.72,070,75,24.5,35.80,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,09-13-2019,10:00:00,1009.13,10.00,990.29,28.3,33.41,000,87,25.9,0.80,0.01
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,09-13-2019,10:00:00,1013.95,11.00,962.45,26.1,25.53,000,76,21.4,0.00,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,14.8,09-13-2019,10:00:00,1010.27,8.00,1006.35,31.0,28.09,300,63,23.0,0.00,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,11.1,09-13-2019,10:00:00,1013.19,.50,917.36,21.0,23.69,260,95,20.2,1.00,0.30
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,7.4,09-13-2019,10:00:00,1009.43,10.00,993.48,28.3,32.27,280,84,25.3,13.30,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,3.7,09-13-2019,10:00:00,1010.83,10.00,1006.82,30.0,30.31,240,71,24.3,0.00,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,3.7,09-13-2019,10:00:00,1011.55,9.00,1000.94,30.0,28.37,330,67,23.2,0.00,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,09-13-2019,10:00:00,1010.99,10.00,1009.08,31.2,29.32,000,65,23.7,0.00,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,5.6,09-13-2019,10:00:00,1009.91,10.00,989.20,30.1,28.83,240,68,23.4,0.01,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,7.4,09-13-2019,10:00:00,1009.22,10.00,991.58,28.0,31.95,340,85,25.1,8.90,4.70
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,7.4,09-13-2019,10:00:00,1009.07,10.00,992.94,28.3,33.12,250,86,25.8,10.50,5.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,3.7,09-13-2019,10:00:00,1009.59,10.00,995.59,28.4,30.23,290,78,24.2,79.30,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,09-13-2019,10:00:00,1010.04,12.00,995.29,29.5,30.72,000,75,24.5,26.20,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.0,09-13-2019,10:00:00,1010.60,9.00,995.93,28.0,31.95,000,85,25.1,17.20,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,09-13-2019,10:00:00,1010.59,10.00,1007.60,31.2,28.76,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",63,23.4,0.00,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,11.1,09-13-2019,10:00:00,1010.18,10.00,1002.30,30.4,30.26,240,70,24.2,0.00,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.0,09-13-2019,10:00:00,1010.99,9.00,1009.88,30.0,30.03,000,71,24.1,0.00,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,09-13-2019,10:00:00,1010.16,8.00,995.48,28.0,33.37,000,88,25.9,42.50,4.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1.9,09-13-2019,10:00:00,1011.90,8.00,876.64,20.4,19.08,020,80,16.8,0.00,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,09-13-2019,10:00:00,1010.69,9.00,1004.84,29.7,33.41,000,80,25.9,0.00,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,7.4,09-13-2019,10:00:00,1010.96,8.00,1010.16,31.3,27.85,270,61,22.9,0.00,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,11.1,09-13-2019,10:00:00,1010.80,10.00,1010.36,32.0,28.66,230,60,23.3,0.00,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,09-13-2019,10:00:00,1013.10,7.00,1001.79,28.8,28.54,000,72,23.3,0.30,0.30
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,09-13-2019,10:00:00,1011.10,12.00,1010.11,32.0,30.65,000,64,24.5,0.00,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.4,09-13-2019,10:00:00,1011.07,8.00,1009.26,30.6,30.66,330,70,24.5,0.00,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,09-13-2019,10:00:00,1011.01,9.00,1010.26,31.8,26.07,000,55,21.8,0.00,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,16.7,09-13-2019,10:00:00,1011.01,10.00,1010.31,30.8,26.89,300,61,22.3,0.00,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,3.7,09-13-2019,10:00:00,1011.86,10.00,1011.17,30.6,29.81,300,68,24.0,0.00,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,9.3,09-13-2019,10:00:00,1010.00,10.00,988.97,29.6,29.52,290,71,23.8,0.00,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,5.6,09-13-2019,10:00:00,1010.16,10.00,993.42,27.5,32.93,230,90,25.7,8.10,1.20
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,3.7,09-13-2019,10:00:00,1010.46,8.00,994.00,27.5,32.36,270,88,25.4,9.70,1.30
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,09-13-2019,10:00:00,1010.16,10.00,988.38,29.0,28.91,000,72,23.5,0.00,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,14.8,09-13-2019,10:00:00,1010.78,14.00,967.53,28.1,28.30,270,74,23.1,0.00,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,9.3,09-13-2019,10:00:00,1010.09,12.00,989.59,28.8,28.54,270,72,23.3,0.00,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,5.6,09-13-2019,10:00:00,1011.60,8.00,990.69,27.1,33.82,310,94,26.1,1.40,1.20
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,27.8,09-13-2019,10:00:00,1011.33,10.00,1010.90,31.2,27.93,330,61,22.9,2.40,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,09-13-2019,10:00:00,1010.46,11.00,1009.05,29.8,33.33,000,79,25.9,0.00,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,09-13-2019,10:00:00,1010.33,8.00,1005.42,29.2,30.13,000,74,24.2,0.00,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,9.3,09-13-2019,10:00:00,1011.23,12.00,1007.99,33.0,27.00,270,54,22.4,0.00,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,7.4,09-13-2019,10:00:00,1011.32,10.00,1010.22,30.5,29.61,280,68,23.9,0.00,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,14.8,09-13-2019,10:00:00,1011.01,10.00,1010.71,31.6,27.60,310,59,22.7,0.00,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,5.6,09-13-2019,10:00:00,1010.77,10.00,1010.09,32.0,29.22,280,61,23.7,0.00,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,5.6,09-13-2019,10:00:00,1010.41,10.00,1009.93,32.2,30.77,240,64,24.5,0.00,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,22.2,09-13-2019,10:00:00,1011.01,10.00,1009.61,30.7,27.79,300,63,22.8,0.00,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,14.8,09-13-2019,10:00:00,1011.80,10.00,1010.12,29.2,35.00,270,86,26.7,0.00,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,7.4,09-13-2019,10:00:00,1012.18,12.00,1004.22,30.2,28.20,310,66,23.1,0.00,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,14.8,09-13-2019,10:00:00,1010.99,10.00,1010.71,30.0,28.37,300,67,23.2,0.00,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,9.3,09-13-2019,10:00:00,1010.95,10.00,1007.84,30.0,28.37,300,67,23.2,0.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,9.3,09-13-2019,10:00:00,1011.21,12.00,1004.31,30.0,27.82,300,66,22.8,3.50,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,9.3,09-13-2019,10:00:00,1010.38,8.00,1004.82,30.2,29.30,280,68,23.7,0.00,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,13.0,09-13-2019,10:00:00,1012.22,12.00,1002.99,31.2,27.93,320,61,22.9,0.00,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,14.8,09-13-2019,10:00:00,1011.89,14.00,1010.63,30.3,28.12,320,65,23.0,0.50,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,7.4,09-13-2019,10:00:00,1011.25,8.00,1010.82,31.0,28.09,330,63,23.0,1.20,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,3.7,09-13-2019,10:00:00,1011.87,10.00,999.64,29.2,27.40,040,68,22.6,0.00,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,11.1,09-13-2019,10:00:00,1011.39,10.00,1010.68,30.7,27.52,290,62,22.7,0.00,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,7.4,09-13-2019,10:00:00,1011.93,10.00,1009.51,30.0,33.17,010,78,25.8,0.00,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,9.3,09-13-2019,10:00:00,1011.25,10.00,1010.74,30.8,27.71,360,62,22.8,0.00,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,11.1,09-13-2019,10:00:00,1011.10,12.00,1006.00,31.2,24.69,330,54,20.9,0.00,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,09-13-2019,10:00:00,1011.22,10.00,1010.81,29.8,30.75,000,73,24.5,0.00,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,7.4,09-13-2019,10:00:00,1011.38,8.00,1008.64,31.5,36.12,300,78,27.2,0.00,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,09-13-2019,10:00:00,1010.69,10.00,1009.90,29.6,27.88,000,67,22.9,0.00,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.6,09-13-2019,10:00:00,1011.13,8.00,1010.68,29.0,33.99,330,85,26.2,17.40,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,11.1,09-13-2019,10:00:00,1013.36,10.00,1012.67,28.2,29.30,280,77,23.7,0.00,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,3.7,09-13-2019,10:00:00,1013.38,9.00,1011.86,28.6,27.09,280,69,22.4,0.00,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1.9,09-13-2019,10:00:00,1014.53,10.00,1013.60,26.0,29.50,080,88,23.8,1.10,1.10
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,09-13-2019,10:00:00,1013.29,10.00,1012.60,30.8,32.51,000,73,25.4,0.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,3.7,09-13-2019,10:00:00,1013.73,9.00,1012.93,29.0,31.98,250,80,25.2,0.60,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,09-13-2019,10:00:00,1012.59,10.00,1011.96,30.2,31.56,000,74,24.9,5.10,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,09-13-2019,10:00:00,1013.09,10.00,1012.69,30.8,31.35,000,71,24.8,0.30,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,5.6,09-13-2019,10:00:00,1016.09,10.00,1011.88,29.5,27.42,280,67,22.6,0.00,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,09-13-2019,10:00:00,1014.41,12.00,1012.81,29.8,31.89,000,76,25.1,0.00,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,09-13-2019,10:00:00,1013.35,10.00,1009.88,29.1,30.21,000,75,24.2,43.00,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,3.7,09-13-2019,10:00:00,1013.20,10.00,1011.85,30.0,28.37,310,67,23.2,3.30,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,9.3,09-13-2019,10:00:00,1013.50,10.00,1012.62,29.7,31.12,330,75,24.7,0.00,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,5.6,09-13-2019,10:00:00,1013.77,10.00,1010.23,30.4,28.86,060,66,23.5,0.00,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,9.3,09-13-2019,10:00:00,1013.39,10.00,1012.96,30.2,30.14,310,70,24.2,0.80,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,9.3,09-13-2019,10:00:00,1013.21,10.00,1012.22,31.0,30.90,270,69,24.6,0.00,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,9.3,09-13-2019,10:00:00,1013.76,10.00,1012.94,29.9,33.83,300,80,26.1,0.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,9.3,09-13-2019,10:00:00,1013.57,10.00,1011.77,31.4,31.14,230,68,24.7,0.00,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,14.8,09-13-2019,10:00:00,1013.30,8.00,1012.56,31.2,29.88,260,66,24.0,0.00,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,7.4,09-13-2019,10:00:00,1013.43,10.00,1009.47,31.3,30.65,990,67,24.5,0.60,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,09-13-2019,10:00:00,1013.95,8.00,1013.27,28.8,33.28,000,84,25.8,1.40,1.40
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,09-13-2019,10:00:00,1013.00,10.00,1011.90,31.0,30.05,000,67,24.1,30.60,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,11.1,09-13-2019,10:00:00,1013.40,12.00,1010.50,30.6,33.55,260,76,26.0,1.50,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,5.6,09-13-2019,10:00:00,1013.00,7.00,1012.31,30.6,34.14,250,78,26.3,3.30,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,9.3,09-13-2019,10:00:00,1013.65,7.00,1009.54,30.2,31.56,180,74,24.9,1.30,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,5.6,09-13-2019,10:00:00,1012.52,10.00,1011.94,31.0,29.48,280,66,23.8,0.00,0.00
