WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,DewPoint,Rainfall24Hr,WindSpeed,LandVisibility,WindDirection,MeanSeaLevelPressure,Rainfall,RelativeHumidity,VaporPressure
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,981.81,08-08-2019,04:00:00,27.4,23.9,0.00,5.6,11.00,190,1001.56,0.00,81,29.69
48353,LOEI,เลย,เลย,17.45000,101.73333,973.91,08-08-2019,04:00:00,27.5,20.7,0.00,7.4,13.00,290,1002.35,0.00,66,24.38
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,981.86,08-08-2019,04:00:00,26.6,23.8,0.00,7.4,12.00,260,1001.94,0.00,85,29.54
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,980.26,08-08-2019,04:00:00,27.0,22.4,0.00,0.0,10.00,000,1001.86,0.00,76,27.10
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,981.81,08-08-2019,04:00:00,27.5,22.3,0.00,0.0,10.00,000,1001.13,0.00,73,26.95
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,985.02,08-08-2019,04:00:00,27.6,25.3,0.00,0.0,11.00,000,1001.64,0.00,87,32.28
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,976.31,08-08-2019,04:00:00,25.3,23.7,0.00,0.0,10.00,000,1002.09,0.00,91,29.28
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,997.99,08-08-2019,04:00:00,25.0,25.0,1.80,0.0,10.00,000,1003.80,0.10,100,31.66
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,997.75,08-08-2019,04:00:00,24.8,24.6,1.90,0.0,10.00,000,1003.96,0.30,99,31.02
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,988.02,08-08-2019,04:00:00,26.0,23.1,2.20,0.0,8.00,000,1004.46,0.00,84,28.18
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,981.67,08-08-2019,04:00:00,23.8,23.2,25.60,0.0,10.00,000,1004.16,1.50,97,28.43
48376,TAK,ตาก,ตาก,16.87833,99.14333,990.12,08-08-2019,04:00:00,24.8,23.8,18.80,0.0,6.00,000,1004.57,0.60,94,29.42
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,987.24,08-08-2019,04:00:00,24.0,23.4,8.10,0.0,6.00,000,1003.73,0.00,97,28.78
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,999.03,08-08-2019,04:00:00,25.4,24.5,2.10,0.0,8.00,000,1004.27,0.20,95,30.79
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,989.31,08-08-2019,04:00:00,26.5,24.3,0.00,0.0,10.00,000,1002.47,0.00,88,30.43
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,994.91,08-08-2019,04:00:00,25.3,24.9,7.20,0.0,10.00,000,1004.26,0.80,97,31.41
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,980.68,08-08-2019,04:00:00,27.0,22.1,0.00,7.4,9.00,270,1002.26,0.00,75,26.58
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,986.17,08-08-2019,04:00:00,26.5,22.8,0.00,3.7,10.00,200,1003.64,0.00,80,27.77
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,985.42,08-08-2019,04:00:00,27.4,23.5,0.00,0.0,10.00,000,1001.14,0.00,79,28.88
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,954.03,08-08-2019,04:00:00,22.5,21.7,30.30,0.0,4.00,000,1005.72,21.70,95,26.01
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1000.12,08-08-2019,04:00:00,26.0,24.6,3.90,0.0,5.00,000,1004.08,1.00,92,30.84
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,910.05,08-08-2019,04:00:00,20.8,20.5,11.90,14.8,.10,190,1005.18,1.20,98,24.08
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,986.18,08-08-2019,04:00:00,26.7,23.8,3.30,0.0,7.00,000,1002.10,0.00,84,29.45
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1000.81,08-08-2019,04:00:00,25.8,25.6,1.30,0.0,6.00,000,1004.85,0.40,99,32.92
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,994.99,08-08-2019,04:00:00,25.1,24.2,1.00,0.0,7.00,000,1005.72,0.40,95,30.23
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1003.26,08-08-2019,04:00:00,25.5,24.8,1.70,0.0,9.00,000,1005.20,0.01,96,31.25
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,981.98,08-08-2019,04:00:00,27.1,22.5,0.00,7.4,10.00,240,1002.75,0.00,76,27.27
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,984.09,08-08-2019,04:00:00,27.5,22.9,0.00,0.0,10.00,000,1001.63,0.00,76,28.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,985.61,08-08-2019,04:00:00,28.0,23.0,0.00,0.0,10.00,000,1001.62,0.00,74,28.12
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,988.45,08-08-2019,04:00:00,27.0,24.0,0.01,0.0,10.00,000,1002.42,0.00,83,29.75
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,987.40,08-08-2019,04:00:00,25.8,24.6,0.00,0.0,7.00,000,1002.22,0.00,93,31.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,988.82,08-08-2019,04:00:00,26.3,24.4,2.50,5.6,6.00,230,1003.47,0.00,89,30.59
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1001.51,08-08-2019,04:00:00,25.8,24.9,2.40,0.0,8.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1004.53,0.10,95,31.55
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,995.70,08-08-2019,04:00:00,26.5,24.3,0.01,0.0,7.00,000,1003.63,0.01,88,30.43
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1004.15,08-08-2019,04:00:00,25.7,24.7,0.90,7.4,8.00,220,1005.26,0.70,94,31.08
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,991.60,08-08-2019,04:00:00,26.2,23.0,0.00,0.0,8.00,000,1006.31,0.00,82,28.01
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,870.93,08-08-2019,04:00:00,18.6,18.4,1.40,7.4,.05,270,1006.18,0.00,99,21.19
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,998.51,08-08-2019,04:00:00,26.4,25.3,0.00,0.0,10.00,000,1004.38,0.00,93,32.15
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1005.09,08-08-2019,04:00:00,26.5,23.6,2.00,7.4,7.00,240,1005.90,1.40,84,29.08
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1004.22,08-08-2019,04:00:00,27.0,24.7,0.10,7.4,6.00,230,1004.67,0.10,87,31.11
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,995.17,08-08-2019,04:00:00,24.8,24.2,13.40,0.0,3.00,000,1006.55,4.00,97,30.22
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1004.19,08-08-2019,04:00:00,26.1,24.5,0.70,0.0,10.00,000,1005.20,0.00,91,30.76
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1003.31,08-08-2019,04:00:00,25.8,24.9,2.00,0.0,7.00,000,1005.14,0.80,95,31.55
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1004.12,08-08-2019,04:00:00,26.0,23.8,0.40,0.0,7.00,000,1004.88,0.20,88,29.50
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1004.29,08-08-2019,04:00:00,25.3,24.1,0.60,5.6,9.00,240,1005.00,0.60,93,30.07
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1003.78,08-08-2019,04:00:00,26.9,24.7,0.50,0.0,7.00,000,1004.48,0.01,88,31.19
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,982.08,08-08-2019,04:00:00,27.4,23.3,0.00,7.4,10.00,270,1003.13,0.00,78,28.61
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,986.16,08-08-2019,04:00:00,27.6,22.9,0.00,3.7,6.00,230,1002.77,0.00,76,27.92
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,987.90,08-08-2019,04:00:00,27.3,22.4,0.00,3.7,6.00,270,1004.27,0.00,75,27.11
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,981.85,08-08-2019,04:00:00,27.4,21.4,0.00,9.3,10.00,260,1003.60,0.00,70,25.48
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,961.04,08-08-2019,04:00:00,24.8,21.6,0.20,18.5,12.00,230,1004.48,0.00,83,25.85
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,982.77,08-08-2019,04:00:00,27.3,21.9,0.01,5.6,10.00,240,1003.23,0.00,73,26.33
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,983.53,08-08-2019,04:00:00,26.8,23.4,0.00,9.3,7.00,240,1004.30,0.00,82,28.84
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1004.65,08-08-2019,04:00:00,26.5,24.8,0.50,3.7,9.00,280,1005.09,0.20,90,31.24
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1003.19,08-08-2019,04:00:00,25.6,24.1,0.40,0.0,6.00,000,1004.61,0.01,92,30.09
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,999.64,08-08-2019,04:00:00,26.0,24.8,0.30,0.0,7.00,000,1004.58,0.00,93,31.38
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1001.82,08-08-2019,04:00:00,26.0,24.1,2.60,0.0,10.00,000,1005.11,0.30,89,30.03
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1003.79,08-08-2019,04:00:00,25.4,24.8,2.00,0.0,5.00,000,1004.90,0.10,97,31.33
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1004.46,08-08-2019,04:00:00,26.1,24.5,2.70,0.0,8.00,000,1004.76,2.30,91,30.76
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1005.10,08-08-2019,04:00:00,27.5,26.8,0.00,0.0,10.00,000,1005.59,0.00,96,35.23
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1003.53,08-08-2019,04:00:00,26.1,24.7,2.00,11.1,9.00,250,1004.94,1.60,92,31.03
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,998.33,08-08-2019,04:00:00,25.3,24.6,0.50,0.0,10.00,000,1006.38,0.00,96,30.87
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1004.50,08-08-2019,04:00:00,28.0,25.6,0.70,5.6,10.00,270,1004.78,0.00,87,32.80
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1001.74,08-08-2019,04:00:00,28.2,25.4,0.00,5.6,10.00,270,1004.85,0.00,85,32.35
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,998.16,08-08-2019,04:00:00,28.0,24.6,1.20,5.6,10.00,270,1005.06,0.00,82,30.84
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,999.15,08-08-2019,04:00:00,26.0,24.6,2.00,0.0,6.00,000,1004.75,2.00,92,30.84
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1004.69,08-08-2019,04:00:00,25.4,24.8,2.40,0.0,6.00,000,1005.96,2.40,97,31.33
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1004.58,08-08-2019,04:00:00,26.4,24.7,0.50,0.0,11.00,000,1005.01,0.00,90,31.05
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,993.40,08-08-2019,04:00:00,24.7,23.8,3.30,0.0,8.00,000,1005.73,0.30,95,29.51
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1004.60,08-08-2019,04:00:00,26.0,25.6,1.70,0.0,10.00,000,1005.32,1.10,98,32.76
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1002.87,08-08-2019,04:00:00,28.5,23.6,0.70,5.6,10.00,270,1005.29,0.00,75,29.05
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1005.01,08-08-2019,04:00:00,28.7,24.8,2.50,7.4,8.00,300,1005.53,0.00,80,31.38
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,999.88,08-08-2019,04:00:00,26.7,24.4,1.50,0.0,7.00,000,1005.03,0.00,87,30.53
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1004.67,08-08-2019,04:00:00,26.3,25.3,3.60,0.0,7.00,000,1005.08,0.60,94,32.23
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1002.73,08-08-2019,04:00:00,25.6,24.7,16.80,0.0,8.00,000,1005.51,9.20,95,31.17
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1005.02,08-08-2019,04:00:00,24.5,23.0,5.40,0.0,10.00,000,1005.82,0.10,91,28.11
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1004.23,08-08-2019,04:00:00,25.5,23.3,57.70,5.6,5.00,320,1004.69,19.20,88,28.59
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1005.69,08-08-2019,04:00:00,25.3,24.9,20.50,0.0,7.00,000,1006.38,0.20,97,31.41
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1004.87,08-08-2019,04:00:00,26.0,25.1,1.60,0.0,6.00,000,1006.41,0.00,95,31.93
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1006.32,08-08-2019,04:00:00,27.6,25.2,1.00,0.0,10.00,000,1007.23,0.00,87,32.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1006.25,08-08-2019,04:00:00,27.5,24.9,0.01,0.0,10.00,000,1006.94,0.01,86,31.52
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1006.09,08-08-2019,04:00:00,25.2,24.2,0.00,0.0,7.00,000,1006.89,0.00,94,30.15
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1005.99,08-08-2019,04:00:00,28.0,22.9,0.00,7.4,10.00,330,1006.62,0.00,74,27.85
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1006.50,08-08-2019,04:00:00,26.2,22.2,0.01,0.0,10.00,000,1006.91,0.00,79,26.72
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1004.61,08-08-2019,04:00:00,26.8,25.9,0.01,3.7,5.00,230,1008.83,0.01,95,33.50
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1004.78,08-08-2019,04:00:00,25.0,24.3,0.00,0.0,7.00,000,1006.40,0.00,96,30.32
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1004.36,08-08-2019,04:00:00,25.0,24.3,0.00,0.0,6.00,000,1007.86,0.00,96,30.32
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1005.51,08-08-2019,04:00:00,26.2,24.5,0.00,0.0,8.00,000,1006.87,0.00,90,30.67
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1006.56,08-08-2019,04:00:00,26.5,25.1,0.00,0.0,10.00,000,1007.45,0.00,92,31.79
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1003.99,08-08-2019,04:00:00,26.0,24.6,0.00,0.0,10.00,000,1007.56,0.00,92,30.84
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1006.96,08-08-2019,04:00:00,27.5,24.2,0.00,0.0,10.00,000,1007.40,0.00,82,30.15
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1005.23,08-08-2019,04:00:00,28.2,26.1,0.00,0.0,10.00,000,1006.22,0.00,88,33.78
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1006.78,08-08-2019,04:00:00,29.0,25.3,0.00,16.7,10.00,250,1007.59,0.00,81,32.26
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1005.77,08-08-2019,04:00:00,26.1,24.8,0.00,0.0,10.00,000,1007.59,0.00,93,31.30
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1006.72,08-08-2019,04:00:00,27.3,23.5,0.00,3.7,10.00,230,1007.47,0.00,80,28.96
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1003.88,08-08-2019,04:00:00,24.8,23.6,0.00,0.0,10.00,000,1007.90,0.00,93,29.16
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1006.95,08-08-2019,04:00:00,25.4,23.8,0.00,0.0,10.00,000,1007.64,0.00,91,29.46
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1006.61,08-08-2019,04:00:00,25.6,23.2,0.00,0.0,10.00,000,1007.73,0.00,87,28.51
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1004.91,08-08-2019,04:00:00,25.0,23.8,0.00,0.0,10.00,000,1007.85,0.00,93,29.52
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1005.72,08-08-2019,04:00:00,26.0,23.8,0.00,0.0,8.00,000,1006.31,0.00,88,29.50
