WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,Rainfall24Hr,DewPoint,Rainfall,AirTemperature,LandVisibility,VaporPressure,MeanSeaLevelPressure,StationPressure,WindDirection,RelativeHumidity
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,16.7,08-14-2019,01:00:00,0.20,24.9,0.00,24.9,8.00,31.47,1010.26,989.24,210,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,3.7,08-14-2019,01:00:00,5.60,24.9,0.00,27.8,10.00,31.56,1010.01,1009.58,310,84
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,08-14-2019,01:00:00,8.80,26.1,2.00,26.5,6.00,33.75,1009.25,1007.83,000,98
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,08-14-2019,01:00:00,0.80,25.8,0.00,26.2,7.00,33.15,1009.90,1004.94,000,98
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.0,08-14-2019,01:00:00,1.20,24.4,0.00,27.0,10.00,30.56,1009.94,1006.64,000,86
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,08-14-2019,01:00:00,0.20,25.5,0.20,27.5,5.00,32.64,1009.60,1008.49,000,89
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.0,08-14-2019,01:00:00,0.10,25.8,0.10,28.2,10.00,33.20,1009.58,1009.28,000,87
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,08-14-2019,01:00:00,0.00,25.4,0.00,27.4,10.00,32.45,1009.66,1009.17,000,89
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,11.1,08-14-2019,01:00:00,0.20,25.5,0.20,27.2,10.00,32.61,1010.03,1008.62,230,90
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,08-14-2019,01:00:00,0.90,25.4,0.00,26.3,10.00,32.51,1010.92,1002.87,000,95
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,3.7,08-14-2019,01:00:00,0.00,26.3,0.00,28.7,10.00,34.24,1009.20,1008.92,230,87
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,5.6,08-14-2019,01:00:00,0.00,24.4,0.00,29.0,10.00,30.57,1009.24,1006.12,300,76
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.0,08-14-2019,01:00:00,0.00,25.3,0.00,28.4,10.00,32.19,1010.07,1003.14,000,83
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,08-14-2019,01:00:00,0.50,25.8,0.50,26.8,8.00,33.22,1009.98,1004.36,000,94
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,11.1,08-14-2019,01:00:00,0.00,25.1,0.00,26.0,14.00,31.93,1010.70,1009.43,270,95
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.0,08-14-2019,01:00:00,9.10,24.8,0.00,27.0,11.00,31.38,1009.99,1009.56,000,88
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,08-14-2019,01:00:00,0.70,23.5,0.00,25.0,8.00,29.00,1010.99,998.61,000,92
