WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,VaporPressure,WindSpeed,MeanSeaLevelPressure,RelativeHumidity,WindDirection,AirTemperature,Rainfall24Hr,LandVisibility,Rainfall
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1000.37,07-13-2019,01:00:00,22.5,27.30,0.0,1007.63,68,000,29.0,0.00,9.00,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,986.08,07-13-2019,01:00:00,26.5,34.52,7.4,1005.71,79,240,30.5,0.00,11.00,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,978.16,07-13-2019,01:00:00,23.2,28.37,3.7,1006.57,71,020,29.0,0.00,12.00,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,986.18,07-13-2019,01:00:00,25.3,32.30,0.0,1006.17,79,000,29.3,0.00,12.00,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,985.51,07-13-2019,01:00:00,26.6,34.73,0.0,1007.14,91,000,28.1,0.00,10.00,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,986.53,07-13-2019,01:00:00,24.9,31.54,7.4,1005.89,81,170,28.5,0.00,10.00,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,990.33,07-13-2019,01:00:00,25.0,31.63,0.0,1007.75,90,000,26.7,0.00,10.00,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,980.75,07-13-2019,01:00:00,26.4,34.33,0.0,1006.30,84,000,29.3,0.00,10.00,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1002.19,07-13-2019,01:00:00,23.2,28.45,5.6,1007.95,71,270,28.9,0.00,10.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1001.31,07-13-2019,01:00:00,23.2,28.37,0.0,1007.46,71,000,29.0,0.00,10.00,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,991.40,07-13-2019,01:00:00,22.7,27.63,0.0,1007.76,71,000,28.6,0.00,8.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,986.98,07-13-2019,01:00:00,23.6,29.16,0.0,1009.51,93,000,24.8,3.80,8.00,2.40
48376,TAK,ตาก,ตาก,16.87833,99.14333,995.32,07-13-2019,01:00:00,21.3,25.26,13.0,1009.67,65,260,28.6,0.00,8.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,991.84,07-13-2019,01:00:00,21.6,25.76,11.1,1008.19,68,240,28.0,0.00,7.00,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1003.20,07-13-2019,01:00:00,23.2,28.37,0.0,1008.40,71,000,29.0,0.00,10.00,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,993.42,07-13-2019,01:00:00,25.1,31.95,0.0,1006.57,85,000,28.0,10.40,10.00,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,999.24,07-13-2019,01:00:00,23.4,28.70,9.3,1008.53,73,320,28.6,0.00,10.00,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,985.39,07-13-2019,01:00:00,22.8,27.67,5.6,1006.91,68,260,29.2,0.00,10.00,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,987.65,07-13-2019,01:00:00,24.4,30.56,0.0,1005.06,81,000,28.0,0.00,12.00,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,990.60,07-13-2019,01:00:00,24.0,29.90,5.6,1006.33,76,200,28.8,0.00,10.00,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,987.17,07-13-2019,01:00:00,24.6,30.87,0.0,1005.85,73,000,30.0,0.00,10.00,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,958.66,07-13-2019,01:00:00,22.3,26.92,0.0,1010.37,91,000,23.8,0.70,5.00,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1003.93,07-13-2019,01:00:00,24.4,30.48,0.0,1007.88,80,000,28.1,0.00,8.00,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,914.99,07-13-2019,01:00:00,20.3,23.77,20.4,1010.61,96,230,20.9,1.20,.10,0.30
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,990.66,07-13-2019,01:00:00,24.6,30.93,5.6,1006.54,78,180,28.9,0.00,8.00,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1004.15,07-13-2019,01:00:00,25.6,32.77,0.0,1008.19,92,000,27.0,16.70,8.00,8.50
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,999.06,07-13-2019,01:00:00,24.8,31.27,0.0,1009.77,89,000,26.8,0.00,6.00,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1007.33,07-13-2019,01:00:00,24.9,31.54,0.0,1009.26,81,000,28.5,0.00,8.00,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,986.82,07-13-2019,01:00:00,22.9,27.96,7.4,1007.52,68,230,29.5,0.00,10.00,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,989.22,07-13-2019,01:00:00,24.9,31.46,3.7,1006.78,80,200,28.6,0.10,10.00,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,990.60,07-13-2019,01:00:00,24.9,31.53,7.4,1006.64,78,210,29.2,0.20,10.00,0.20
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,993.79,07-13-2019,01:00:00,23.3,28.61,7.4,1007.71,69,220,29.7,0.00,10.00,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,993.67,07-13-2019,01:00:00,24.8,31.36,0.0,1008.48,84,000,27.7,0.00,8.00,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,994.30,07-13-2019,01:00:00,23.0,28.10,13.0,1008.90,70,240,29.0,0.00,7.00,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1005.38,07-13-2019,01:00:00,25.4,32.46,0.0,1008.38,81,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",29.1,0.00,10.00,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1001.02,07-13-2019,01:00:00,25.0,31.65,14.8,1009.01,94,220,26.0,7.50,5.00,7.50
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1007.90,07-13-2019,01:00:00,24.6,30.88,0.0,1009.00,76,000,29.3,0.00,9.00,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,993.28,07-13-2019,01:00:00,24.0,29.85,0.0,1007.87,74,000,29.2,0.00,10.00,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,874.68,07-13-2019,01:00:00,19.9,23.20,9.3,1009.73,98,190,20.2,0.00,.05,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1003.16,07-13-2019,01:00:00,25.1,31.87,5.6,1009.08,98,210,25.4,24.80,8.00,24.80
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1008.55,07-13-2019,01:00:00,26.2,33.99,5.6,1009.35,85,180,29.0,0.00,8.00,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1009.04,07-13-2019,01:00:00,26.5,34.55,14.8,1009.48,81,230,30.1,0.00,10.00,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1000.19,07-13-2019,01:00:00,24.5,30.71,5.6,1011.60,94,010,25.5,8.00,3.00,7.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1008.18,07-13-2019,01:00:00,24.1,30.01,3.7,1009.18,75,180,29.0,0.00,10.00,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1007.64,07-13-2019,01:00:00,24.3,30.37,7.4,1009.47,81,170,27.9,0.00,7.00,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1008.28,07-13-2019,01:00:00,22.3,26.95,0.0,1009.04,67,000,29.1,0.00,4.00,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1008.89,07-13-2019,01:00:00,23.5,28.88,27.8,1009.60,96,270,24.2,1.50,1.00,1.50
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1008.97,07-13-2019,01:00:00,24.8,31.28,0.0,1009.67,76,000,29.5,0.00,7.00,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,987.38,07-13-2019,01:00:00,23.8,29.46,7.4,1008.42,74,250,29.0,0.01,10.00,0.01
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,991.63,07-13-2019,01:00:00,22.9,27.85,0.0,1008.31,74,000,28.0,0.00,7.00,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,992.44,07-13-2019,01:00:00,22.4,27.06,0.0,1008.85,72,000,28.0,0.00,7.00,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,986.71,07-13-2019,01:00:00,22.6,27.44,0.0,1008.49,71,000,28.5,0.00,10.00,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,966.09,07-13-2019,01:00:00,22.5,27.19,0.0,1009.40,75,000,27.2,0.00,10.00,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,987.41,07-13-2019,01:00:00,22.9,27.85,5.6,1007.92,74,230,28.0,0.00,10.00,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,988.77,07-13-2019,01:00:00,24.1,30.07,13.0,1009.53,77,220,28.6,0.00,8.00,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1009.01,07-13-2019,01:00:00,23.9,29.60,7.4,1009.44,76,320,28.5,0.00,10.00,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1008.31,07-13-2019,01:00:00,24.2,30.18,0.0,1009.74,86,000,26.8,0.00,6.00,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1004.64,07-13-2019,01:00:00,24.8,31.22,0.0,1009.59,87,000,27.2,0.00,7.00,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1006.34,07-13-2019,01:00:00,23.0,28.04,7.4,1009.62,68,250,29.4,0.00,10.00,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1008.58,07-13-2019,01:00:00,24.8,31.22,3.7,1009.69,87,190,27.2,0.00,10.00,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1009.30,07-13-2019,01:00:00,23.3,28.59,0.0,1009.60,88,000,25.5,30.20,2.00,30.20
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1009.30,07-13-2019,01:00:00,27.0,35.71,0.0,1009.79,91,000,28.7,4.50,10.00,4.50
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1008.17,07-13-2019,01:00:00,25.9,33.37,14.8,1009.57,85,230,28.7,12.40,10.00,12.40
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1002.96,07-13-2019,01:00:00,24.3,30.43,0.0,1011.01,88,000,26.5,0.00,10.00,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1008.83,07-13-2019,01:00:00,25.2,31.98,0.0,1009.12,80,000,29.0,0.00,10.00,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1005.24,07-13-2019,01:00:00,26.2,33.92,9.3,1008.35,81,300,29.8,0.00,10.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1002.97,07-13-2019,01:00:00,26.2,33.99,0.0,1009.89,85,000,29.0,0.00,10.00,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1004.48,07-13-2019,01:00:00,23.4,28.69,0.0,1010.09,79,000,27.3,0.00,7.00,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1009.04,07-13-2019,01:00:00,25.2,32.04,0.0,1010.31,94,000,26.2,7.30,10.00,5.90
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1009.11,07-13-2019,01:00:00,22.3,26.98,0.0,1009.54,71,000,28.1,0.00,11.00,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,997.65,07-13-2019,01:00:00,22.3,26.95,0.0,1010.01,84,000,25.3,0.00,10.00,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1009.19,07-13-2019,01:00:00,22.7,27.50,0.0,1009.90,72,000,28.1,0.00,10.00,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1007.58,07-13-2019,01:00:00,25.7,32.96,11.1,1010.01,81,200,29.2,0.00,10.00,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1009.56,07-13-2019,01:00:00,25.6,32.75,18.5,1010.08,78,230,29.8,0.00,10.00,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1009.77,07-13-2019,01:00:00,25.1,31.92,0.0,1010.18,86,000,27.7,1.30,7.00,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1007.65,07-13-2019,01:00:00,25.1,31.96,0.0,1010.43,93,000,26.3,0.50,8.00,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.46,07-13-2019,01:00:00,22.3,26.95,0.0,1010.25,73,000,27.5,0.00,10.00,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1009.68,07-13-2019,01:00:00,25.3,32.28,3.7,1010.14,87,080,27.6,0.00,7.00,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.65,07-13-2019,01:00:00,23.5,28.92,0.0,1011.34,83,000,26.7,0.00,8.00,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1008.94,07-13-2019,01:00:00,24.6,30.97,0.0,1010.47,89,000,26.5,0.00,8.00,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.98,07-13-2019,01:00:00,23.8,29.50,0.0,1011.91,88,000,26.0,0.00,10.00,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.45,07-13-2019,01:00:00,24.1,30.03,0.0,1011.14,89,000,26.0,12.00,10.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1011.25,07-13-2019,01:00:00,22.9,28.00,0.0,1012.06,97,000,23.4,6.30,7.00,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.44,07-13-2019,01:00:00,23.2,28.43,3.7,1011.09,97,210,23.8,0.30,10.00,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1011.04,07-13-2019,01:00:00,23.6,29.13,0.0,1011.45,97,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",24.2,44.90,10.00,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1009.25,07-13-2019,01:00:00,22.8,27.66,0.0,1013.54,96,000,23.5,37.50,4.00,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1010.03,07-13-2019,01:00:00,22.9,28.00,0.0,1011.67,97,000,23.4,0.20,6.00,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1008.10,07-13-2019,01:00:00,23.2,28.36,0.0,1011.62,94,000,24.2,0.10,10.00,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.16,07-13-2019,01:00:00,23.7,29.30,0.0,1011.54,98,000,24.0,0.50,8.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.59,07-13-2019,01:00:00,25.1,31.79,0.0,1011.48,92,000,26.5,0.10,10.00,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.16,07-13-2019,01:00:00,23.9,29.59,0.0,1011.76,96,000,24.6,0.00,10.00,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.70,07-13-2019,01:00:00,24.6,30.85,0.0,1011.13,77,000,29.0,0.00,10.00,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.11,07-13-2019,01:00:00,25.1,31.91,0.0,1011.11,91,000,26.7,0.00,9.00,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.85,07-13-2019,01:00:00,23.7,29.33,5.6,1011.68,95,090,24.6,0.01,10.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.78,07-13-2019,01:00:00,23.4,28.77,0.0,1011.62,98,000,23.7,9.50,.80,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1011.00,07-13-2019,01:00:00,23.2,28.38,0.0,1011.76,91,000,24.8,0.00,10.00,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1007.70,07-13-2019,01:00:00,22.5,27.33,0.0,1011.76,96,000,23.3,1.40,9.00,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.70,07-13-2019,01:00:00,22.4,27.08,0.0,1011.39,91,000,23.9,6.50,10.00,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.77,07-13-2019,01:00:00,23.3,28.53,0.0,1011.73,96,000,24.0,19.50,10.00,0.00
