WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,AirTemperature,WindSpeed,StationPressure,DewPoint,MaximumTemperature,Rainfall,WindDirection,MeanSeaLevelPressure,Rainfall24Hr,RelativeHumidity,LandVisibility
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,26.67,07-17-2019,19:00:00,32.4,14.8,1000.80,22.1,36.5,0.00,220,1001.55,0.00,55,8.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,29.86,07-17-2019,19:00:00,30.2,11.1,1001.63,24.0,33.2,0.00,200,1002.32,0.00,70,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,34.02,07-17-2019,19:00:00,32.2,3.7,1001.57,26.2,36.4,0.00,230,1002.26,0.00,71,10.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,29.58,07-17-2019,19:00:00,32.6,7.4,980.49,23.9,37.8,0.00,230,1001.14,0.00,60,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,32.52,07-17-2019,19:00:00,31.5,0.0,985.31,25.4,34.4,0.00,000,1001.69,0.00,70,9.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,32.76,07-17-2019,19:00:00,31.2,3.7,986.31,25.6,35.1,0.00,170,1002.44,0.00,72,7.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,27.84,07-17-2019,19:00:00,33.0,0.0,979.73,22.9,36.7,0.00,000,1001.03,0.00,55,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,28.04,07-17-2019,19:00:00,29.4,3.7,959.21,23.0,33.2,0.00,240,1001.89,0.00,68,12.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,25.44,07-17-2019,19:00:00,32.9,7.4,981.12,21.4,36.7,0.00,230,1001.16,0.00,51,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,34.00,07-17-2019,19:00:00,29.7,5.6,982.45,26.2,35.2,0.00,130,1003.00,0.00,82,9.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,32.34,07-17-2019,19:00:00,31.0,11.1,1002.42,25.4,33.0,0.00,190,1002.85,0.80,72,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,32.63,07-17-2019,19:00:00,31.0,0.0,1000.77,25.5,34.6,0.00,000,1002.16,0.00,73,10.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,29.28,07-17-2019,19:00:00,27.9,0.0,998.67,23.7,35.1,0.00,000,1003.57,0.00,78,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,27.49,07-17-2019,19:00:00,31.4,9.3,999.17,22.6,36.5,0.00,250,1002.40,0.00,60,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,28.99,07-17-2019,19:00:00,31.6,3.7,1001.22,23.5,36.2,0.00,210,1002.30,0.00,62,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,31.06,07-17-2019,19:00:00,30.8,7.4,1002.28,24.7,34.0,0.00,220,1002.57,0.00,70,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,29.36,07-17-2019,19:00:00,29.8,3.7,1001.61,23.7,33.8,0.00,200,1002.29,0.00,70,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.76,07-17-2019,19:00:00,31.0,0.0,1002.41,25.0,35.4,0.00,000,1002.89,0.00,71,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,30.05,07-17-2019,19:00:00,31.0,11.1,1001.01,24.1,33.9,0.00,190,1002.39,0.00,67,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,32.26,07-17-2019,19:00:00,30.4,20.4,1001.16,25.3,31.2,0.00,200,1002.81,0.00,74,12.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,30.22,07-17-2019,19:00:00,30.1,3.7,996.32,24.2,35.5,0.00,230,1004.22,0.00,71,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,32.18,07-17-2019,19:00:00,31.2,0.0,1002.12,25.3,34.5,0.00,000,1002.40,0.00,71,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,31.15,07-17-2019,19:00:00,30.0,0.0,999.80,24.7,32.0,0.00,000,1002.89,0.00,73,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,30.31,07-17-2019,19:00:00,30.0,5.6,996.37,24.3,32.0,0.00,240,1003.21,0.00,71,12.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,34.93,07-17-2019,19:00:00,30.0,0.0,997.54,26.7,36.0,2.10,000,1003.07,2.10,82,7.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,29.65,07-17-2019,19:00:00,30.8,18.5,997.63,23.9,34.0,0.00,210,1006.83,0.00,67,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,27.80,07-17-2019,19:00:00,29.7,11.1,1002.41,22.8,34.2,0.00,270,1003.66,0.10,67,12.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,26.89,07-17-2019,19:00:00,30.8,13.0,1002.37,22.3,34.8,0.00,250,1002.80,0.01,61,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,27.77,07-17-2019,19:00:00,28.1,0.0,991.60,22.8,33.5,0.00,000,1003.78,0.00,73,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,29.05,07-17-2019,19:00:00,29.5,3.7,1002.82,23.6,34.8,0.00,240,1003.53,0.60,70,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,28.75,07-17-2019,19:00:00,30.2,11.1,1001.69,23.4,34.5,0.00,220,1004.09,0.00,67,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,33.75,07-17-2019,19:00:00,30.0,14.8,1003.04,26.1,32.3,0.00,200,1003.56,0.00,80,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,30.59,07-17-2019,19:00:00,30.0,3.7,998.29,24.4,34.2,0.00,200,1003.37,0.00,72,11.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,31.52,07-17-2019,19:00:00,29.9,0.0,1003.45,24.9,33.0,0.00,000,1003.86,3.70,75,8.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,31.98,07-17-2019,19:00:00,29.0,0.0,1001.42,25.2,32.1,0.00,000,1004.17,0.00,80,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,27.14,07-17-2019,19:00:00,27.9,11.1,1004.23,22.4,32.6,0.00,300,1005.01,0.90,72,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,32.52,07-17-2019,19:00:00,28.0,5.6,1004.26,25.4,29.5,0.50,250,1004.71,71.70,86,6.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,27.29,07-17-2019,19:00:00,25.5,3.7,1004.69,22.5,31.3,2.50,200,1005.38,4.80,84,7.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,25.78,07-17-2019,19:00:00,25.8,0.0,1003.55,21.6,31.5,0.20,000,1005.08,3.40,78,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,29.16,07-17-2019,19:00:00,24.8,0.0,1005.62,23.6,30.0,3.80,000,1006.55,69.00,93,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,31.25,07-17-2019,19:00:00,25.5,0.0,1005.78,24.8,34.0,9.00,000,1006.47,22.00,96,8.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,29.91,07-17-2019,19:00:00,25.5,1.9,1005.75,24.0,34.4,1.60,190,1006.55,1.60,92,9.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,28.67,07-17-2019,19:00:00,27.0,7.4,1005.20,23.3,34.6,0.00,320,1005.83,7.00,80,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,29.77,07-17-2019,19:00:00,27.3,11.1,1005.73,24.0,33.8,0.00,270,1006.13,0.20,82,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,30.32,07-17-2019,19:00:00,25.0,3.7,1004.24,24.3,33.0,5.30,210,1008.49,6.30,96,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,30.48,07-17-2019,19:00:00,24.8,0.0,1005.12,24.4,32.1,1.20,000,1006.74,9.40,97,8.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,30.05,07-17-2019,19:00:00,25.0,0.0,1003.78,24.1,32.5,0.80,000,1007.28,1.30,95,7.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,30.70,07-17-2019,19:00:00,28.5,0.0,1004.49,24.5,33.4,0.00,000,1005.83,0.70,79,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,29.62,07-17-2019,19:00:00,25.2,0.0,1005.27,23.9,32.3,9.10,000,1006.16,13.30,92,9.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,27.49,07-17-2019,19:00:00,23.1,5.6,1003.54,22.6,30.1,10.30,060,1007.15,18.10,97,8.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,29.00,07-17-2019,19:00:00,25.0,0.0,1005.87,23.5,31.5,14.20,000,1006.30,32.00,92,8.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,28.59,07-17-2019,19:00:00,25.5,9.3,1005.73,23.3,32.1,5.00,300,1006.73,30.10,88,8.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.92,07-17-2019,19:00:00,24.1,9.3,1005.89,21.7,30.2,2.40,270,1006.71,19.00,86,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,33.09,07-17-2019,19:00:00,27.3,0.0,1004.56,25.7,31.3,0.00,000,1006.37,30.80,91,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,27.30,07-17-2019,19:00:00,30.3,7.4,1005.24,22.5,34.1,0.00,220,1005.98,0.20,63,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,28.29,07-17-2019,19:00:00,29.1,0.0,1002.00,23.1,32.7,0.00,000,1005.97,1.40,70,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,31.41,07-17-2019,19:00:00,29.0,0.0,1006.14,24.9,32.0,0.00,000,1006.82,33.80,78,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,28.91,07-17-2019,19:00:00,30.0,9.3,1005.24,23.5,33.4,0.00,230,1006.35,0.60,68,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,29.88,07-17-2019,19:00:00,29.5,3.7,1002.96,24.0,33.2,0.00,250,1005.85,0.01,72,10.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,29.48,07-17-2019,19:00:00,31.0,5.6,1004.20,23.8,34.5,0.00,260,1004.88,0.00,66,10.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,29.96,07-17-2019,19:00:00,29.4,0.0,1001.67,24.1,34.3,0.00,000,1005.75,0.00,73,9.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,27.15,07-17-2019,19:00:00,29.5,0.0,1005.55,22.4,33.0,0.00,000,1006.13,0.00,66,10.00
