WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindSpeed,WindDirection,StationPressure,DewPoint,Rainfall24Hr,Rainfall,VaporPressure,LandVisibility,AirTemperature,MeanSeaLevelPressure,RelativeHumidity
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-04-2019,04:00:00,3.7,330,983.94,24.8,62.20,0.70,31.33,10.00,25.4,1000.66,97
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-04-2019,04:00:00,9.3,270,983.38,24.3,76.20,0.50,30.32,10.00,25.0,1000.78,96
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-04-2019,04:00:00,0.0,000,976.99,24.7,3.00,0.20,31.20,8.00,24.9,1002.82,99
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-04-2019,04:00:00,0.0,000,999.14,23.8,0.00,0.00,29.52,10.00,26.3,1004.93,86
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-04-2019,04:00:00,0.0,000,998.85,24.6,0.20,0.00,30.97,10.00,26.5,1005.04,89
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-04-2019,04:00:00,0.0,000,988.98,23.5,0.40,0.00,28.89,8.00,24.5,1005.53,94
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-04-2019,04:00:00,0.0,000,982.40,22.6,10.20,0.90,27.41,10.00,23.5,1004.92,95
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-04-2019,04:00:00,7.4,240,990.88,22.0,0.00,0.00,26.47,7.00,26.5,1005.26,77
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-04-2019,04:00:00,0.0,000,988.19,22.1,0.90,0.00,26.63,8.00,26.0,1004.59,79
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-04-2019,04:00:00,0.0,000,999.55,25.0,0.20,0.00,31.65,10.00,26.0,1004.78,94
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-04-2019,04:00:00,0.0,000,989.84,24.3,3.60,0.00,30.32,10.00,25.0,1003.07,96
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-04-2019,04:00:00,0.0,000,994.99,24.0,0.20,0.00,29.91,10.00,25.5,1004.34,92
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-04-2019,04:00:00,0.0,000,981.32,23.5,16.70,0.00,28.86,7.00,23.9,1003.14,97
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-04-2019,04:00:00,5.6,220,985.00,24.4,33.30,13.70,30.56,7.00,24.7,1002.56,98
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-04-2019,04:00:00,5.6,270,984.53,24.4,53.20,1.00,30.48,10.00,24.8,1000.37,97
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-04-2019,04:00:00,0.0,000,982.78,24.3,15.00,0.00,30.40,8.00,24.9,1001.69,97
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-04-2019,04:00:00,0.0,000,956.81,21.1,13.70,0.00,25.05,6.00,22.2,1008.70,94
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-04-2019,04:00:00,0.0,000,1000.45,24.7,0.10,0.00,31.11,6.00,26.0,1004.41,93
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-04-2019,04:00:00,18.5,230,910.97,19.9,4.50,2.20,23.28,.20,20.1,1006.43,99
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-04-2019,04:00:00,0.0,000,986.43,24.7,73.10,16.10,31.20,5.00,24.9,1002.45,99
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-04-2019,04:00:00,0.0,000,1000.73,24.2,0.20,0.00,30.15,10.00,25.2,1004.78,94
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-04-2019,04:00:00,0.0,000,994.75,24.5,1.00,0.00,30.69,6.00,25.2,1005.47,96
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-04-2019,04:00:00,0.0,000,1004.01,23.8,1.60,0.00,29.41,8.00,24.5,1005.96,96
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-04-2019,04:00:00,5.6,240,982.90,22.8,9.00,0.00,27.69,10.00,24.4,1003.87,91
