WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,AirTemperature,Rainfall,StationPressure,RelativeHumidity,DewPoint,WindSpeed,VaporPressure,WindDirection,LandVisibility,Rainfall24Hr
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1008.71,07-12-2019,22:00:00,30.0,0.00,992.42,67,23.2,0.0,28.37,000,8.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1010.19,07-12-2019,22:00:00,26.5,0.20,987.77,84,23.6,5.6,29.08,260,8.00,1.40
48376,TAK,ตาก,ตาก,16.87833,99.14333,1010.33,07-12-2019,22:00:00,29.0,0.00,996.00,70,22.9,13.0,27.83,280,8.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1009.59,07-12-2019,22:00:00,29.5,0.00,993.30,70,23.4,9.3,28.78,240,7.00,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1008.67,07-12-2019,22:00:00,30.5,0.00,1003.50,67,23.6,3.7,29.06,220,10.00,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1006.97,07-12-2019,22:00:00,28.0,0.00,993.82,85,25.1,0.0,31.95,000,10.00,10.40
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1009.04,07-12-2019,22:00:00,30.1,0.00,999.79,64,22.5,5.6,27.20,300,10.00,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1007.01,07-12-2019,22:00:00,31.1,0.00,985.62,65,23.8,7.4,29.40,280,10.00,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1007.05,07-12-2019,22:00:00,29.5,0.00,989.69,73,24.2,14.8,30.16,220,12.00,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1006.89,07-12-2019,22:00:00,29.0,0.00,991.17,82,25.6,5.6,32.83,190,10.00,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1005.99,07-12-2019,22:00:00,31.8,0.00,987.43,63,23.8,5.6,29.39,200,10.00,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1010.80,07-12-2019,22:00:00,25.8,0.00,959.40,78,21.6,0.0,25.78,000,6.00,0.70
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1008.25,07-12-2019,22:00:00,30.1,0.00,1004.32,71,24.2,3.7,30.22,250,8.00,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1011.34,07-12-2019,22:00:00,22.0,0.00,915.99,94,20.9,22.2,24.74,230,5.00,0.90
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1007.21,07-12-2019,22:00:00,29.5,0.00,991.35,70,23.6,14.8,29.05,200,8.00,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1008.57,07-12-2019,22:00:00,28.6,8.20,1004.55,91,27.1,0.0,35.79,000,7.00,8.20
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1009.73,07-12-2019,22:00:00,27.5,0.00,999.05,84,24.6,0.0,30.97,000,6.00,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1008.99,07-12-2019,22:00:00,31.0,0.00,1007.08,70,24.9,5.6,31.47,300,8.00,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1007.51,07-12-2019,22:00:00,30.7,0.00,986.89,64,23.1,5.6,28.34,240,10.00,0.00
