WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindSpeed,LandVisibility,Rainfall24Hr,AirTemperature,VaporPressure,Rainfall,RelativeHumidity,StationPressure,DewPoint,WindDirection
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1016.48,09-26-2019,01:00:00,0.0,10.00,0.00,23.1,25.27,0.00,89,998.69,21.3,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1014.81,09-26-2019,01:00:00,0.0,8.00,0.00,23.6,25.11,0.00,86,988.56,21.2,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1013.86,09-26-2019,01:00:00,0.0,10.00,0.00,26.2,31.49,0.00,93,1008.02,24.9,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1013.86,09-26-2019,01:00:00,0.0,7.00,0.00,26.0,30.84,0.00,92,1007.60,24.6,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1016.03,09-26-2019,01:00:00,0.0,10.00,0.00,24.7,25.43,0.00,82,999.32,21.4,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1014.17,09-26-2019,01:00:00,0.0,10.00,0.00,24.5,28.11,0.00,91,991.51,23.0,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,1016.41,09-26-2019,01:00:00,0.0,6.00,0.00,25.2,30.15,0.00,94,1001.80,24.2,000
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1015.83,09-26-2019,01:00:00,0.0,7.00,0.00,24.5,29.41,0.00,96,999.17,23.8,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1014.62,09-26-2019,01:00:00,0.0,8.00,0.00,26.8,31.27,0.00,89,1009.35,24.8,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1014.13,09-26-2019,01:00:00,0.0,10.00,0.00,24.4,26.93,0.00,88,1000.73,22.3,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1015.21,09-26-2019,01:00:00,0.0,8.00,0.00,26.3,29.25,0.00,86,1005.79,23.7,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1015.50,09-26-2019,01:00:00,3.7,8.00,0.00,25.8,27.30,0.00,82,993.55,22.5,080
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1014.72,09-26-2019,01:00:00,0.0,10.00,0.00,26.0,29.50,0.00,88,997.03,23.8,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1014.13,09-26-2019,01:00:00,0.0,10.00,0.00,26.3,24.12,0.00,71,998.15,20.5,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1014.73,09-26-2019,01:00:00,0.0,6.00,0.00,25.0,29.00,0.00,92,995.58,23.5,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1017.85,09-26-2019,01:00:00,0.0,6.00,0.00,21.2,22.83,0.00,91,965.31,19.6,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1014.72,09-26-2019,01:00:00,0.0,4.00,0.00,27.7,34.19,0.00,92,1010.74,26.3,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1017.57,09-26-2019,01:00:00,0.0,2.00,0.00,18.6,20.77,0.00,97,920.58,18.1,000
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1015.32,09-26-2019,01:00:00,5.6,8.00,0.00,24.9,26.01,0.00,83,999.09,21.7,060
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1015.10,09-26-2019,01:00:00,0.0,7.00,0.00,26.5,32.07,0.00,93,1011.02,25.2,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1015.48,09-26-2019,01:00:00,0.0,6.00,0.00,25.2,28.83,0.00,90,1004.65,23.4,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1014.94,09-26-2019,01:00:00,0.0,8.00,0.00,26.5,30.43,0.00,88,1013.00,24.3,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1015.01,09-26-2019,01:00:00,0.0,10.00,0.00,26.0,26.37,0.00,78,993.92,22.0,000
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1014.88,09-26-2019,01:00:00,13.0,10.00,0.00,24.8,25.35,0.00,81,996.95,21.3,040
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1014.92,09-26-2019,01:00:00,0.0,10.00,0.00,24.9,25.76,0.00,82,998.53,21.6,000
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1014.14,09-26-2019,01:00:00,5.6,10.00,0.00,25.2,26.27,0.00,82,999.93,21.9,040
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1014.66,09-26-2019,01:00:00,0.0,8.00,0.00,25.5,26.02,0.00,80,999.64,21.7,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1014.66,09-26-2019,01:00:00,7.4,10.00,0.00,25.4,28.67,0.00,88,999.80,23.3,050
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1014.81,09-26-2019,01:00:00,0.0,7.00,0.00,27.0,31.94,0.00,90,1011.77,25.1,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1014.94,09-26-2019,01:00:00,0.0,7.00,0.00,25.8,29.39,0.00,89,1006.90,23.8,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1014.91,09-26-2019,01:00:00,0.0,8.00,0.00,25.8,29.13,0.00,88,1013.78,23.6,000
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1013.60,09-26-2019,01:00:00,3.7,8.00,0.00,27.0,30.02,0.00,84,998.82,24.1,080
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1015.91,09-26-2019,01:00:00,0.0,8.00,0.00,19.0,20.23,0.00,92,879.52,17.7,000
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1014.80,09-26-2019,01:00:00,0.0,8.00,0.00,24.8,27.61,0.00,88,1008.84,22.7,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1013.99,09-26-2019,01:00:00,3.7,8.00,0.01,26.5,29.35,0.00,85,1013.19,23.7,360
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1013.04,09-26-2019,01:00:00,11.1,8.00,0.00,28.4,28.86,0.00,75,1012.59,23.5,120
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1015.59,09-26-2019,01:00:00,0.0,4.00,0.00,23.6,26.83,0.00,92,1004.07,22.2,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1014.61,09-26-2019,01:00:00,0.0,6.00,0.00,26.9,29.56,0.00,83,1013.59,23.8,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1014.61,09-26-2019,01:00:00,0.0,7.00,0.00,26.0,27.92,0.00,83,1012.76,22.9,000
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1014.42,09-26-2019,01:00:00,0.0,4.00,0.00,25.4,28.67,0.00,88,1013.64,23.3,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1013.64,09-26-2019,01:00:00,3.7,8.00,0.00,28.0,30.56,0.00,81,1012.93,24.4,060
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1013.46,09-26-2019,01:00:00,0.0,7.00,0.00,27.5,28.26,0.00,77,1012.75,23.1,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1015.10,09-26-2019,01:00:00,3.7,7.00,0.00,26.1,28.10,0.00,83,993.72,23.0,060
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1014.71,09-26-2019,01:00:00,0.0,6.00,0.00,25.1,27.11,0.00,85,997.76,22.4,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1015.18,09-26-2019,01:00:00,9.3,7.00,0.00,25.0,28.22,0.00,89,998.51,23.1,010
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1015.02,09-26-2019,01:00:00,0.0,6.00,0.00,25.7,27.90,0.00,85,992.89,22.9,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1014.76,09-26-2019,01:00:00,0.0,8.00,0.00,24.2,24.62,0.00,82,970.79,20.8,000
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1014.18,09-26-2019,01:00:00,3.7,10.00,0.00,25.5,28.59,0.00,88,993.37,23.3,360
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1016.41,09-26-2019,01:00:00,7.4,6.00,0.00,23.8,27.92,0.00,95,995.18,22.9,030
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1013.98,09-26-2019,01:00:00,5.6,9.00,0.00,27.3,31.14,0.00,86,1013.54,24.7,350
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1013.35,09-26-2019,01:00:00,0.0,6.00,0.00,26.3,30.05,0.00,88,1011.92,24.1,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1013.51,09-26-2019,01:00:00,0.0,7.00,0.00,25.4,30.52,0.00,94,1008.52,24.4,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1014.50,09-26-2019,01:00:00,0.0,6.00,0.00,26.4,28.11,0.00,82,1011.18,23.0,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1014.08,09-26-2019,01:00:00,0.0,101.00,0.00,25.5,30.44,0.00,93,1012.96,24.3,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1013.37,09-26-2019,01:00:00,0.0,10.00,0.00,28.7,30.54,0.00,78,1013.07,24.4,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1013.46,09-26-2019,01:00:00,0.0,10.00,0.00,28.2,29.57,0.00,77,1012.96,23.9,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1013.74,09-26-2019,01:00:00,9.3,10.00,0.00,27.0,29.21,0.00,82,1012.32,23.6,030
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1015.44,09-26-2019,01:00:00,0.0,10.00,0.00,24.5,29.41,0.00,96,1007.30,23.8,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1013.34,09-26-2019,01:00:00,9.3,10.00,0.00,28.0,31.11,0.00,82,1013.06,24.7,030
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1013.09,09-26-2019,01:00:00,9.3,10.00,0.00,28.0,29.74,0.00,79,1009.95,23.9,220
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1012.91,09-26-2019,01:00:00,9.3,10.00,0.00,28.5,28.78,0.00,74,1005.97,23.4,060
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1015.21,09-26-2019,01:00:00,0.0,8.00,0.00,26.3,31.13,0.00,91,1009.56,24.7,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1014.18,09-26-2019,01:00:00,0.0,7.00,2.30,25.9,32.01,0.00,96,1012.90,25.2,000
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1013.47,09-26-2019,01:00:00,3.7,11.00,0.40,27.5,30.97,0.00,84,1013.03,24.6,330
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1013.67,09-26-2019,01:00:00,0.0,6.00,2.50,25.0,28.22,0.00,89,1001.25,23.1,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1013.24,09-26-2019,01:00:00,0.0,7.00,0.00,28.1,28.57,0.00,75,1012.52,23.3,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1013.27,09-26-2019,01:00:00,7.4,5.00,0.00,26.0,29.50,0.00,88,1010.82,23.8,010
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1012.90,09-26-2019,01:00:00,0.0,10.00,0.00,26.5,29.08,0.00,84,1012.38,23.6,000
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1012.99,09-26-2019,01:00:00,0.0,7.00,0.00,27.6,31.44,0.00,85,1007.82,24.9,000
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1013.02,09-26-2019,01:00:00,0.0,7.00,0.00,26.4,29.17,0.00,85,1012.60,23.6,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1012.77,09-26-2019,01:00:00,7.4,10.00,0.00,25.4,29.99,0.00,92,1009.97,24.1,180
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1012.01,09-26-2019,01:00:00,0.0,10.00,0.00,29.0,29.46,0.00,74,1011.22,23.8,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1012.16,09-26-2019,01:00:00,0.0,6.00,0.00,27.2,31.22,0.00,87,1011.70,24.8,000
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1013.27,09-26-2019,01:00:00,0.0,5.00,5.90,25.5,31.25,0.00,96,1012.58,24.8,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1013.14,09-26-2019,01:00:00,0.0,8.00,1.20,25.8,31.00,0.00,93,1011.59,24.6,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1013.18,09-26-2019,01:00:00,0.0,10.00,1.00,25.5,28.85,0.00,88,1012.25,23.4,000
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1013.54,09-26-2019,01:00:00,0.0,10.00,0.00,27.4,33.86,0.00,93,1012.85,26.1,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1013.44,09-26-2019,01:00:00,0.0,5.00,23.60,24.5,29.67,0.00,97,1012.63,23.9,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1012.86,09-26-2019,01:00:00,0.0,7.00,19.10,25.5,31.25,0.00,96,1012.22,24.8,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1012.74,09-26-2019,01:00:00,0.0,8.00,39.50,26.0,32.20,0.00,96,1012.33,25.3,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1015.47,09-26-2019,01:00:00,0.0,5.00,7.50,24.6,29.33,0.00,95,1011.19,23.7,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1012.82,09-26-2019,01:00:00,0.0,6.00,1.60,24.6,30.38,0.00,98,1011.19,24.3,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1012.85,09-26-2019,01:00:00,0.0,10.00,2.60,24.5,29.41,0.00,96,1009.32,23.8,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1012.90,09-26-2019,01:00:00,0.0,7.00,34.10,27.3,32.25,0.00,89,1011.54,25.3,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1012.62,09-26-2019,01:00:00,0.0,10.00,0.00,25.8,29.93,0.00,90,1011.73,24.1,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1013.01,09-26-2019,01:00:00,0.0,10.00,2.80,25.2,29.62,0.00,92,1009.41,23.9,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1012.43,09-26-2019,01:00:00,0.0,10.00,0.80,27.8,31.56,0.00,84,1012.00,24.9,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1012.00,09-26-2019,01:00:00,0.0,9.00,0.01,26.4,30.51,0.00,89,1011.01,24.4,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1012.54,09-26-2019,01:00:00,7.4,8.00,0.00,27.3,28.69,0.00,79,1011.72,23.4,060
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1014.05,09-26-2019,01:00:00,7.4,10.00,4.50,25.7,31.08,1.50,94,1012.21,24.7,030
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1012.77,09-26-2019,01:00:00,5.6,10.00,1.40,28.3,30.59,0.00,80,1012.02,24.4,070
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1012.81,09-26-2019,01:00:00,0.0,10.00,0.01,25.9,30.65,0.00,92,1008.78,24.4,000
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1012.76,09-26-2019,01:00:00,7.4,10.00,0.00,27.7,29.71,0.00,80,1012.08,23.9,070
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1012.89,09-26-2019,01:00:00,7.4,10.00,0.00,28.0,30.01,0.00,79,1011.77,24.1,080
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1012.49,09-26-2019,01:00:00,0.0,10.00,0.00,27.0,32.77,0.00,92,1009.55,25.6,000
