WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,DewPoint,VaporPressure,WindDirection,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,StationPressure,WindSpeed,Rainfall,LandVisibility
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,87,07-21-2019,22:00:00,25.1,31.80,000,1006.72,27.5,1.00,990.01,0.0,0.00,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,89,07-21-2019,22:00:00,24.6,30.97,000,1007.19,26.5,0.00,989.76,0.0,0.00,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,86,07-21-2019,22:00:00,23.7,29.33,000,1006.99,26.2,0.80,981.16,0.0,0.00,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,97,07-21-2019,22:00:00,25.9,33.47,110,1007.06,26.5,6.90,1001.26,5.6,0.00,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,93,07-21-2019,22:00:00,24.8,31.38,000,1007.24,26.0,0.40,1001.03,0.0,0.20,8.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,66,07-21-2019,22:00:00,21.5,25.69,000,1008.15,28.4,0.00,991.77,0.0,0.00,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,87,07-21-2019,22:00:00,24.5,30.72,000,1007.16,26.8,2.40,984.82,0.0,0.00,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,80,07-21-2019,22:00:00,24.3,30.40,280,1008.21,28.2,30.30,993.87,5.6,0.00,10.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,76,07-21-2019,22:00:00,23.9,29.60,000,1007.43,28.5,1.30,991.12,0.0,0.01,8.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,95,07-21-2019,22:00:00,24.1,30.05,000,1007.88,25.0,9.50,1002.62,0.0,0.10,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,72,07-21-2019,22:00:00,24.3,30.39,000,1006.01,29.9,0.00,992.96,0.0,0.00,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,94,07-21-2019,22:00:00,26.2,33.95,000,1007.50,27.3,6.70,998.18,0.0,0.20,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,83,07-21-2019,22:00:00,25.4,32.39,290,1007.11,28.5,2.30,985.53,3.7,0.00,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,92,07-21-2019,22:00:00,24.0,29.91,000,1007.70,25.5,25.00,990.10,0.0,0.00,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,80,07-21-2019,22:00:00,24.9,31.46,000,1006.39,28.6,0.00,990.65,0.0,0.00,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,82,07-21-2019,22:00:00,24.5,30.72,180,1006.59,27.8,4.00,987.77,5.6,0.20,8.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,90,07-21-2019,22:00:00,22.6,27.43,000,1009.89,24.4,5.70,958.31,0.0,3.50,6.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,93,07-21-2019,22:00:00,25.3,32.26,050,1007.44,26.6,10.30,1003.47,7.4,1.30,5.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,98,07-21-2019,22:00:00,21.9,26.25,200,1008.48,22.2,13.90,913.46,5.6,0.30,.10
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,92,07-21-2019,22:00:00,25.4,32.38,240,1008.13,26.8,2.00,992.12,11.1,0.80,5.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,85,07-21-2019,22:00:00,25.9,33.45,000,1007.57,28.6,0.00,1003.55,0.0,0.00,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,68,07-21-2019,22:00:00,22.9,27.96,000,1008.32,29.5,0.00,997.73,0.0,0.00,8.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,74,07-21-2019,22:00:00,23.9,29.74,190,1008.10,29.0,0.00,1006.18,5.6,0.00,9.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,63,07-21-2019,22:00:00,23.1,28.17,000,1006.68,30.9,0.00,986.10,0.0,0.00,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,93,07-21-2019,22:00:00,23.6,29.16,200,1007.96,24.8,9.50,990.15,13.0,9.50,5.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,97,07-21-2019,22:00:00,24.9,31.41,290,1008.25,25.3,7.20,991.98,7.4,7.20,6.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,78,07-21-2019,22:00:00,24.6,30.93,000,1006.60,28.9,0.00,992.66,0.0,0.00,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,79,07-21-2019,22:00:00,24.3,30.31,000,1007.20,28.3,0.00,992.44,0.0,0.00,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,93,07-21-2019,22:00:00,24.4,30.63,300,1009.43,25.6,10.90,994.65,14.8,10.90,3.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,54,07-21-2019,22:00:00,21.7,26.01,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1007.32,32.2,0.00,1004.35,0.0,0.00,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,67,07-21-2019,22:00:00,24.1,30.05,000,1007.01,31.0,0.00,999.16,0.0,0.00,8.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,77,07-21-2019,22:00:00,23.5,28.92,160,1008.01,28.0,0.00,1006.90,5.6,0.00,9.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,90,07-21-2019,22:00:00,26.1,33.74,090,1006.57,27.9,4.90,991.94,3.7,4.90,7.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,98,07-21-2019,22:00:00,19.7,22.91,200,1008.37,20.0,1.60,873.41,9.3,0.20,.05
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,69,07-21-2019,22:00:00,24.8,31.39,190,1007.33,31.1,0.00,1001.53,3.7,0.00,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,91,07-21-2019,22:00:00,25.7,33.09,170,1008.14,27.3,8.60,1007.34,3.7,0.10,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,78,07-21-2019,22:00:00,24.2,30.23,230,1007.98,28.4,0.00,1007.53,11.1,0.00,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,88,07-21-2019,22:00:00,25.4,32.36,000,1008.98,27.5,0.00,997.68,0.0,0.00,6.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,85,07-21-2019,22:00:00,25.5,32.63,000,1008.14,28.2,6.90,1007.13,0.0,0.10,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,76,07-21-2019,22:00:00,23.8,29.41,190,1008.10,28.4,0.00,1006.28,5.6,0.00,8.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,61,07-21-2019,22:00:00,21.2,25.22,000,1008.07,29.6,0.40,1007.31,0.0,0.00,5.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,85,07-21-2019,22:00:00,24.8,31.25,210,1008.13,27.5,0.01,1007.42,9.3,0.00,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,78,07-21-2019,22:00:00,24.2,30.15,000,1007.84,28.5,0.00,1007.14,0.0,0.00,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,73,07-21-2019,22:00:00,25.4,32.42,000,1007.25,30.9,0.00,986.36,0.0,0.00,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,80,07-21-2019,22:00:00,23.7,29.33,000,1007.88,27.5,0.10,991.18,0.0,0.10,7.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,85,07-21-2019,22:00:00,24.7,31.05,000,1008.75,27.4,0.50,992.32,0.0,0.50,8.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,72,07-21-2019,22:00:00,24.4,30.59,000,1007.51,30.0,0.00,985.86,0.0,0.00,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,76,07-21-2019,22:00:00,22.5,27.27,240,1007.93,27.1,0.00,964.67,14.8,0.00,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,68,07-21-2019,22:00:00,22.9,27.96,210,1007.34,29.5,0.00,986.94,3.7,0.00,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,100,07-21-2019,22:00:00,24.9,31.47,060,1009.24,24.9,6.00,988.23,5.6,3.20,7.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,77,07-21-2019,22:00:00,23.9,29.57,260,1008.02,28.2,6.70,1007.59,3.7,0.20,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,83,07-21-2019,22:00:00,25.5,32.59,000,1007.58,28.6,0.00,1006.17,0.0,0.00,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,85,07-21-2019,22:00:00,25.1,31.95,000,1008.24,28.0,0.00,1003.32,0.0,0.00,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,74,07-21-2019,22:00:00,23.4,28.78,000,1008.28,28.5,3.70,1005.00,0.0,0.00,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,81,07-21-2019,22:00:00,24.3,30.37,000,1008.35,27.9,0.00,1007.24,0.0,0.00,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,76,07-21-2019,22:00:00,23.9,29.60,200,1008.47,28.5,0.01,1008.17,5.6,0.00,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,75,07-21-2019,22:00:00,23.2,28.49,000,1008.21,28.2,0.00,1007.73,0.0,0.00,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,66,07-21-2019,22:00:00,22.2,26.68,210,1008.30,29.1,0.20,1006.90,16.7,0.01,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,83,07-21-2019,22:00:00,23.9,29.66,230,1009.81,27.1,0.00,1001.79,3.7,0.00,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,96,07-21-2019,22:00:00,26.3,34.19,000,1008.32,27.0,3.20,1008.04,0.0,3.20,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,85,07-21-2019,22:00:00,24.8,31.25,000,1008.26,27.5,0.00,1005.13,0.0,0.00,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,69,07-21-2019,22:00:00,23.1,28.31,250,1007.96,29.4,0.00,1001.07,5.6,0.00,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,81,07-21-2019,22:00:00,24.9,31.54,000,1008.07,28.5,0.00,1002.50,0.0,0.00,8.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,91,07-21-2019,22:00:00,24.4,30.57,000,1009.09,26.0,5.00,1007.82,0.0,0.01,8.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,88,07-21-2019,22:00:00,25.6,32.76,360,1008.29,27.7,8.30,1007.86,3.7,0.20,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,92,07-21-2019,22:00:00,23.5,29.00,000,1008.46,25.0,2.40,996.11,0.0,0.00,10.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,76,07-21-2019,22:00:00,24.1,29.98,000,1008.48,28.7,0.60,1007.77,0.0,0.00,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,74,07-21-2019,22:00:00,24.6,30.83,180,1008.75,29.7,0.00,1006.33,11.1,0.00,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,80,07-21-2019,22:00:00,25.9,33.41,220,1008.48,29.7,0.01,1007.96,7.4,0.00,12.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,78,07-21-2019,22:00:00,24.2,30.23,000,1008.25,28.4,0.00,1003.11,0.0,0.00,11.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,92,07-21-2019,22:00:00,26.6,34.81,000,1008.70,28.0,67.50,1008.28,0.0,0.60,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,92,07-21-2019,22:00:00,26.1,33.78,000,1009.16,27.5,50.10,1006.39,0.0,0.00,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,75,07-21-2019,22:00:00,23.2,28.39,000,1008.89,28.0,0.00,1008.10,0.0,0.00,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,93,07-21-2019,22:00:00,25.0,31.76,000,1009.12,26.2,37.50,1008.66,0.0,0.00,7.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,79,07-21-2019,22:00:00,24.2,30.20,000,1008.95,28.1,0.00,1008.27,0.0,0.00,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,77,07-21-2019,22:00:00,23.6,29.19,000,1009.09,28.0,0.00,1007.57,0.0,0.00,10.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,82,07-21-2019,22:00:00,24.5,30.72,200,1009.41,27.8,7.80,1008.50,3.7,0.00,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,87,07-21-2019,22:00:00,25.6,32.80,000,1009.19,28.0,0.00,1008.50,0.0,0.00,12.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,88,07-21-2019,22:00:00,24.3,30.43,000,1009.59,26.5,0.00,1008.79,0.0,0.00,8.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,85,07-21-2019,22:00:00,25.8,33.24,000,1008.45,28.5,0.00,1007.82,0.0,0.00,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,86,07-21-2019,22:00:00,24.9,31.52,000,1008.87,27.5,0.00,1008.47,0.0,0.00,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,75,07-21-2019,22:00:00,23.2,28.49,220,1011.23,28.2,0.00,1007.02,5.6,0.00,5.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,92,07-21-2019,22:00:00,25.1,31.79,000,1009.24,26.5,0.20,1007.62,0.0,0.00,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,92,07-21-2019,22:00:00,25.3,32.18,000,1009.43,26.7,0.00,1005.95,0.0,0.00,8.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,88,07-21-2019,22:00:00,24.8,31.38,000,1009.06,27.0,0.00,1007.70,0.0,0.00,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,74,07-21-2019,22:00:00,23.4,28.78,210,1009.08,28.5,27.30,1008.20,14.8,0.00,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,93,07-21-2019,22:00:00,24.7,31.11,000,1009.02,26.0,0.00,1005.44,0.0,0.00,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,78,07-21-2019,22:00:00,24.2,30.15,000,1009.12,28.5,0.00,1008.69,0.0,0.00,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,76,07-21-2019,22:00:00,24.1,30.10,220,1008.83,28.9,5.50,1007.84,11.1,0.00,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,81,07-21-2019,22:00:00,25.5,32.55,260,1009.37,29.0,0.00,1008.56,11.1,0.00,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,92,07-21-2019,22:00:00,25.1,31.79,000,1009.37,26.5,0.00,1007.55,0.0,0.00,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,80,07-21-2019,22:00:00,23.8,29.52,160,1009.11,27.6,0.30,1008.36,1.9,0.00,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,92,07-21-2019,22:00:00,24.9,31.41,000,1009.11,26.3,0.20,1005.09,0.0,0.20,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,89,07-21-2019,22:00:00,25.0,31.66,000,1009.33,27.0,0.00,1008.64,0.0,0.00,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,97,07-21-2019,22:00:00,24.3,30.40,000,1009.92,24.9,4.00,1008.79,0.0,0.00,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,85,07-21-2019,22:00:00,25.1,31.84,000,1009.16,27.8,0.00,1006.25,0.0,0.00,10.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,84,07-21-2019,22:00:00,23.5,28.90,000,1009.56,26.4,0.00,1008.87,0.0,0.00,8.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,89,07-21-2019,22:00:00,24.6,30.97,000,1009.82,26.5,0.00,1005.68,0.0,0.00,7.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,81,07-21-2019,22:00:00,24.9,31.54,000,1009.00,28.5,0.00,1008.42,0.0,0.00,10.00
