WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,AirTemperature,VaporPressure,Rainfall,RelativeHumidity,DewPoint,MeanSeaLevelPressure,StationPressure,WindSpeed,Rainfall24Hr,LandVisibility
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,08-24-2019,10:00:00,27.1,31.58,0.00,88,24.9,1008.79,981.29,0.0,49.40,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,08-24-2019,10:00:00,28.0,29.19,0.00,77,23.6,1008.26,974.87,0.0,18.40,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,000,08-24-2019,10:00:00,27.2,31.22,0.01,87,24.8,1008.26,989.78,0.0,34.90,8.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,08-24-2019,10:00:00,28.1,29.93,0.00,79,24.1,1007.95,985.24,0.0,0.00,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,08-24-2019,10:00:00,26.6,30.34,0.00,87,24.3,1008.40,978.50,0.0,5.00,10.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,08-24-2019,10:00:00,27.5,30.97,0.40,84,24.6,1008.41,973.02,0.0,17.00,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,08-24-2019,10:00:00,28.0,31.95,0.00,85,25.1,1006.95,977.40,0.0,29.50,15.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,08-24-2019,10:00:00,27.0,31.38,0.00,88,24.8,1008.40,1001.09,0.0,11.80,8.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,250,08-24-2019,10:00:00,27.5,30.97,2.40,84,24.6,1006.98,987.13,3.7,131.00,10.00
48353,LOEI,เลย,เลย,17.45000,101.73333,340,08-24-2019,10:00:00,28.4,29.41,0.00,76,23.8,1007.14,978.65,5.6,29.20,15.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,240,08-24-2019,10:00:00,27.2,30.39,0.60,84,24.3,1007.31,987.16,5.6,22.10,15.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,310,08-24-2019,10:00:00,27.0,30.56,0.00,86,24.4,1007.25,985.53,7.4,36.60,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,320,08-24-2019,10:00:00,27.0,31.38,0.00,88,24.8,1006.85,987.38,11.1,41.40,15.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,08-24-2019,10:00:00,26.7,30.26,0.00,86,24.2,1007.16,990.40,0.0,6.50,12.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,08-24-2019,10:00:00,25.5,28.59,0.00,88,23.3,1007.76,990.26,0.0,49.20,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,08-24-2019,10:00:00,26.3,30.59,1.50,89,24.4,1007.40,981.58,0.0,16.00,12.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,08-24-2019,10:00:00,29.0,34.58,0.00,86,26.5,1007.89,1002.13,0.0,4.20,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,08-24-2019,10:00:00,28.8,34.15,0.00,86,26.3,1007.92,1001.77,0.0,3.10,12.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,08-24-2019,10:00:00,27.0,31.38,0.50,88,24.8,1008.58,992.12,0.0,12.70,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,000,08-24-2019,10:00:00,26.2,30.67,2.00,90,24.5,1007.59,985.20,0.0,8.90,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,260,08-24-2019,10:00:00,30.0,28.91,0.00,68,23.5,1008.45,994.19,13.0,0.00,8.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,08-24-2019,10:00:00,30.7,31.15,0.00,71,24.7,1007.77,991.57,0.0,0.00,7.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,100,08-24-2019,10:00:00,28.3,31.42,0.01,82,24.9,1008.29,1003.08,3.7,39.50,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,08-24-2019,10:00:00,27.4,32.45,0.20,89,25.4,1006.77,993.59,0.0,1.00,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,220,08-24-2019,10:00:00,28.4,31.62,0.00,82,25.0,1008.54,999.25,5.6,4.40,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,210,08-24-2019,10:00:00,25.9,31.19,3.40,93,24.7,1007.92,986.14,3.7,8.10,7.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,000,08-24-2019,10:00:00,26.5,31.79,13.20,92,25.1,1008.13,990.59,0.0,16.00,8.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,200,08-24-2019,10:00:00,24.2,29.66,63.00,98,23.9,1005.61,989.65,18.5,116.10,5.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,150,08-24-2019,10:00:00,26.0,32.20,5.30,96,25.3,1007.10,988.15,3.7,12.20,5.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,08-24-2019,10:00:00,25.2,28.83,0.00,90,23.4,1011.03,959.53,0.0,17.70,11.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,100,08-24-2019,10:00:00,27.5,32.36,0.01,88,25.4,1007.89,1003.94,5.6,0.50,7.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,220,08-24-2019,10:00:00,21.7,25.22,0.50,97,21.2,1008.99,913.78,11.1,14.90,.30
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,08-24-2019,10:00:00,25.3,31.68,7.20,98,25.0,1008.20,992.11,0.0,22.00,5.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,08-24-2019,10:00:00,28.4,32.19,0.00,83,25.3,1008.25,1004.23,0.0,11.30,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,08-24-2019,10:00:00,28.5,30.70,0.00,79,24.5,1009.16,998.52,0.0,1.30,9.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,210,08-24-2019,10:00:00,28.8,32.14,0.00,81,25.2,1008.92,1007.00,3.7,13.10,9.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,240,08-24-2019,10:00:00,27.3,29.23,0.01,81,23.7,1008.03,987.17,9.3,1.00,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,000,08-24-2019,10:00:00,25.4,31.33,3.00,97,24.8,1008.06,990.29,0.0,7.30,8.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,220,08-24-2019,10:00:00,25.5,31.52,5.00,97,24.9,1007.74,991.49,5.6,10.10,8.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,000,08-24-2019,10:00:00,25.3,31.41,4.60,97,24.9,1008.75,994.62,0.0,32.00,9.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,08-24-2019,10:00:00,25.1,30.77,5.10,97,24.5,1008.98,994.03,0.0,25.90,6.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,220,08-24-2019,10:00:00,26.6,33.67,0.60,97,26.0,1008.48,993.77,7.4,27.90,6.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",08-24-2019,10:00:00,29.3,31.45,0.00,77,24.9,1007.78,1004.79,0.0,7.10,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,08-24-2019,10:00:00,28.4,30.78,0.00,80,24.5,1008.21,1000.29,0.0,8.90,2.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,210,08-24-2019,10:00:00,30.2,30.42,0.00,71,24.3,1008.51,1007.41,13.0,0.00,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,08-24-2019,10:00:00,26.2,29.33,2.30,86,23.7,1008.61,993.86,0.0,44.80,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,290,08-24-2019,10:00:00,20.7,23.93,0.00,98,20.4,1009.52,874.70,5.6,15.80,.10
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,000,08-24-2019,10:00:00,29.8,31.89,0.00,76,25.1,1008.44,1002.61,0.0,3.40,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,230,08-24-2019,10:00:00,32.0,30.65,0.00,64,24.5,1008.88,1008.08,5.6,0.10,9.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,230,08-24-2019,10:00:00,30.5,31.31,0.00,72,24.8,1008.94,1008.50,14.8,0.00,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,08-24-2019,10:00:00,27.3,31.41,0.00,87,24.9,1009.90,998.58,0.0,11.80,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,260,08-24-2019,10:00:00,31.3,28.68,0.00,63,23.3,1008.77,1007.77,3.7,0.00,12.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,160,08-24-2019,10:00:00,30.4,28.31,0.00,65,23.1,1008.66,1006.86,9.3,1.60,10.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,08-24-2019,10:00:00,31.3,27.30,0.00,60,22.5,1008.65,1007.89,0.0,0.00,9.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,250,08-24-2019,10:00:00,30.3,29.22,0.00,68,23.7,1009.09,1008.39,11.1,0.01,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,000,08-24-2019,10:00:00,29.7,32.54,0.20,78,25.5,1008.76,1008.06,0.0,3.70,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,290,08-24-2019,10:00:00,30.7,27.25,0.00,62,22.5,1007.94,987.02,11.1,1.00,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,08-24-2019,10:00:00,27.0,32.77,0.01,92,25.6,1008.55,991.81,0.0,8.90,8.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,180,08-24-2019,10:00:00,26.7,32.18,0.20,92,25.3,1008.99,992.52,3.7,14.00,9.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,08-24-2019,10:00:00,29.5,29.33,0.00,71,23.7,1008.02,986.32,0.0,12.00,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,240,08-24-2019,10:00:00,27.8,26.70,0.00,71,22.2,1008.28,965.10,18.5,1.00,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,000,08-24-2019,10:00:00,28.6,31.46,0.00,80,24.9,1008.18,987.71,0.0,16.10,8.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,230,08-24-2019,10:00:00,25.9,33.40,0.80,100,25.9,1010.24,989.28,1.9,4.80,6.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,220,08-24-2019,10:00:00,30.6,29.81,0.00,68,24.0,1009.15,1008.72,3.7,2.20,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,08-24-2019,10:00:00,29.0,33.99,0.00,85,26.2,1009.05,1007.64,0.0,30.90,10.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,08-24-2019,10:00:00,29.0,33.99,0.00,85,26.2,1009.01,1004.10,0.0,16.60,8.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,310,08-24-2019,10:00:00,30.8,28.81,0.00,65,23.4,1009.14,1005.88,3.7,0.00,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,08-24-2019,10:00:00,30.2,30.42,0.00,71,24.3,1009.33,1008.23,0.0,0.00,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,220,08-24-2019,10:00:00,30.8,29.37,0.00,66,23.7,1008.99,1008.69,3.7,0.00,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,230,08-24-2019,10:00:00,30.7,31.15,0.00,71,24.7,1009.07,1008.39,5.6,0.00,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,120,08-24-2019,10:00:00,30.6,32.67,0.00,74,25.5,1009.31,1008.82,5.6,0.00,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,250,08-24-2019,10:00:00,30.5,28.78,0.00,66,23.4,1009.05,1007.66,13.0,0.01,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,220,08-24-2019,10:00:00,29.3,34.62,0.00,85,26.5,1008.92,1007.25,18.5,0.00,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,210,08-24-2019,10:00:00,29.3,31.16,0.00,76,24.7,1010.44,1002.47,5.6,3.60,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,08-24-2019,10:00:00,30.6,30.38,0.00,69,24.3,1008.84,1008.56,0.0,5.60,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,230,08-24-2019,10:00:00,31.3,32.10,0.00,70,25.2,1008.95,1005.85,5.6,0.00,12.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,210,08-24-2019,10:00:00,29.7,30.83,0.00,74,24.6,1009.31,1002.41,5.6,0.20,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,000,08-24-2019,10:00:00,28.6,32.30,0.00,83,25.3,1008.92,1003.34,0.0,24.10,7.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,000,08-24-2019,10:00:00,30.7,29.45,0.00,67,23.8,1008.98,999.76,0.0,0.00,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,000,08-24-2019,10:00:00,30.2,31.27,0.00,73,24.8,1009.59,1008.34,0.0,0.01,14.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,160,08-24-2019,10:00:00,30.5,31.31,0.00,72,24.8,1009.02,1008.59,3.7,0.00,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,08-24-2019,10:00:00,29.5,29.33,0.00,71,23.7,1009.19,997.01,0.0,0.00,10.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,240,08-24-2019,10:00:00,30.4,30.26,0.00,70,24.2,1009.00,1008.29,7.4,0.00,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,210,08-24-2019,10:00:00,31.3,30.65,0.00,67,24.5,1009.38,1006.97,11.1,1.30,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,260,08-24-2019,10:00:00,29.7,31.12,0.00,75,24.7,1009.33,1008.82,16.7,0.60,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,250,08-24-2019,10:00:00,31.0,30.05,0.00,67,24.1,1008.99,1003.89,5.6,0.40,12.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,240,08-24-2019,10:00:00,29.3,32.30,0.00,79,25.3,1009.30,1008.89,11.1,7.10,8.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,210,08-24-2019,10:00:00,28.8,33.28,0.00,84,25.8,1009.49,1006.73,11.1,11.50,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,240,08-24-2019,10:00:00,30.0,27.55,0.20,65,22.7,1010.31,1009.53,7.4,0.30,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,240,08-24-2019,10:00:00,27.5,33.78,1.80,92,26.1,1009.81,1009.35,5.6,61.60,6.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,250,08-24-2019,10:00:00,27.3,27.90,0.00,77,22.9,1010.76,1010.07,9.3,0.00,7.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,240,08-24-2019,10:00:00,25.6,29.03,1.00,88,23.5,1010.65,1009.11,13.0,2.60,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,000,08-24-2019,10:00:00,26.0,28.18,7.20,84,23.1,1012.15,1011.23,0.0,52.60,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,270,08-24-2019,10:00:00,30.3,28.39,0.00,66,23.2,1011.14,1010.46,7.4,0.20,13.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,290,08-24-2019,10:00:00,29.0,30.29,0.00,76,24.3,1011.56,1010.76,3.7,1.50,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,08-24-2019,10:00:00,30.0,30.31,0.00,71,24.3,1010.44,1009.81,0.0,0.00,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,310,08-24-2019,10:00:00,31.2,31.02,0.00,68,24.7,1010.59,1010.19,11.1,0.00,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,230,08-24-2019,10:00:00,30.0,27.01,0.00,64,22.4,1012.99,1008.80,7.4,0.20,8.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,08-24-2019,10:00:00,29.5,27.96,0.00,68,22.9,1011.76,1010.16,0.0,8.50,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,230,08-24-2019,10:00:00,29.8,31.03,0.00,74,24.7,1011.86,1008.40,3.7,1.90,12.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,280,08-24-2019,10:00:00,30.8,29.65,0.00,67,23.9,1010.85,1009.51,14.8,0.00,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,08-24-2019,10:00:00,28.8,32.14,0.00,81,25.2,1011.51,1010.62,0.0,2.90,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,08-24-2019,10:00:00,28.9,29.00,0.00,73,23.5,1011.27,1007.72,0.0,17.60,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,260,08-24-2019,10:00:00,30.0,30.87,0.00,73,24.6,1011.19,1010.76,9.3,6.80,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,000,08-24-2019,10:00:00,30.0,31.72,0.00,75,25.0,1010.67,1009.68,0.0,19.60,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,000,08-24-2019,10:00:00,26.1,30.48,13.40,90,24.4,1011.62,1010.79,0.0,13.40,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,08-24-2019,10:00:00,28.5,32.39,0.00,83,25.4,1011.61,1009.80,0.0,1.50,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,230,08-24-2019,10:00:00,30.3,30.06,0.00,70,24.1,1011.33,1010.59,5.6,0.00,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,200,08-24-2019,10:00:00,29.1,30.21,0.00,75,24.2,1011.93,1007.94,7.4,1.60,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,08-24-2019,10:00:00,29.8,30.75,0.00,73,24.5,1012.74,1012.06,0.0,0.00,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,000,08-24-2019,10:00:00,30.2,29.58,0.00,69,23.9,1011.30,1010.19,0.0,0.00,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,240,08-24-2019,10:00:00,30.0,32.01,0.00,75,25.2,1011.76,1008.86,5.6,0.01,11.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,230,08-24-2019,10:00:00,30.8,31.06,0.00,70,24.7,1013.05,1012.36,5.6,3.10,10.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,000,08-24-2019,10:00:00,30.0,31.72,0.00,75,25.0,1011.71,1007.61,0.0,6.00,10.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,000,08-24-2019,10:00:00,28.0,29.19,0.00,77,23.6,1012.05,1011.46,0.0,0.00,10.00
