WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,VaporPressure,StationPressure,WindDirection,DewPoint,Rainfall,MeanSeaLevelPressure,AirTemperature,WindSpeed,LandVisibility,RelativeHumidity
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,28.60,09-02-2019,10:00:00,32.36,1000.55,000,25.4,0.00,1007.85,27.5,0.0,7.00,88
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-02-2019,10:00:00,32.47,986.40,250,25.4,0.00,1006.17,28.4,5.6,14.00,84
48353,LOEI,เลย,เลย,17.45000,101.73333,3.80,09-02-2019,10:00:00,28.18,978.39,000,23.1,0.00,1007.10,26.0,0.0,12.00,84
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,46.70,09-02-2019,10:00:00,29.48,986.46,240,23.8,0.70,1006.70,25.7,11.1,15.00,89
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,30.10,09-02-2019,10:00:00,29.79,985.36,000,24.0,25.00,1007.21,25.0,0.0,4.00,94
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.10,09-02-2019,10:00:00,29.93,986.47,000,24.1,25.10,1006.08,24.5,0.0,7.00,97
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,7.50,09-02-2019,10:00:00,29.91,988.83,000,24.0,5.40,1005.63,25.5,0.0,7.00,92
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,15.50,09-02-2019,10:00:00,31.08,988.42,000,24.7,14.30,1005.87,25.7,0.0,7.00,94
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,37.30,09-02-2019,10:00:00,30.90,980.34,190,24.6,0.40,1006.19,25.6,3.7,10.00,94
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,8.00,09-02-2019,10:00:00,33.99,1002.00,000,26.2,0.00,1007.75,29.0,0.0,10.00,85
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1.20,09-02-2019,10:00:00,33.53,1001.53,000,26.0,0.00,1007.70,28.5,0.0,10.00,86
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.50,09-02-2019,10:00:00,30.03,991.72,000,24.1,0.50,1008.23,26.0,0.0,10.00,89
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,11.40,09-02-2019,10:00:00,28.67,984.93,240,23.3,0.30,1007.25,27.0,11.1,10.00,80
48376,TAK,ตาก,ตาก,16.87833,99.14333,3.60,09-02-2019,10:00:00,30.95,993.93,260,24.6,0.00,1008.27,28.2,9.3,7.00,81
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,5.20,09-02-2019,10:00:00,30.84,991.61,000,24.6,0.00,1007.96,28.0,0.0,7.00,82
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,14.50,09-02-2019,10:00:00,30.84,1002.80,200,24.6,0.00,1008.02,28.0,5.6,10.00,82
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-02-2019,10:00:00,31.16,993.32,200,24.7,0.00,1006.52,26.6,3.7,10.00,90
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,21.80,09-02-2019,10:00:00,31.77,998.33,060,25.1,0.00,1007.60,28.9,3.7,12.00,80
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,168.80,09-02-2019,10:00:00,30.92,985.51,280,24.6,2.60,1007.27,25.9,11.1,8.00,93
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,57.20,09-02-2019,10:00:00,30.02,989.48,240,24.1,4.70,1006.97,27.0,13.0,10.00,84
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,19.80,09-02-2019,10:00:00,31.25,989.10,000,24.8,9.80,1004.97,25.5,0.0,7.00,96
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,92.50,09-02-2019,10:00:00,31.79,987.29,180,25.1,2.70,1006.19,26.5,1.9,8.00,92
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.60,09-02-2019,10:00:00,27.19,956.49,000,22.5,2.60,1007.86,25.0,0.0,10.00,86
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,41.90,09-02-2019,10:00:00,32.07,1003.69,120,25.2,0.00,1007.63,28.2,3.7,8.00,84
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,17.50,09-02-2019,10:00:00,23.92,913.19,200,20.4,2.40,1008.58,21.0,11.1,.70,96
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,83.60,09-02-2019,10:00:00,31.63,990.67,300,25.0,4.30,1006.72,25.7,5.6,7.00,96
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,20.30,09-02-2019,10:00:00,33.50,1003.72,000,25.9,0.30,1007.76,27.5,0.0,10.00,91
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,12.10,09-02-2019,10:00:00,31.79,998.59,000,25.1,0.30,1009.31,26.5,0.0,9.00,92
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,14.50,09-02-2019,10:00:00,30.97,1006.61,190,24.6,0.00,1008.54,27.5,5.6,10.00,84
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,6.40,09-02-2019,10:00:00,29.70,987.25,250,23.9,3.60,1008.27,25.1,3.7,6.00,93
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,111.10,09-02-2019,10:00:00,30.32,989.00,280,24.3,8.40,1006.78,25.0,9.3,8.00,96
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,155.10,09-02-2019,10:00:00,31.49,989.98,300,24.9,8.80,1006.22,25.2,11.1,8.00,98
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,66.30,09-02-2019,10:00:00,29.59,991.80,280,23.9,27.40,1005.93,24.6,11.1,7.00,96
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,83.20,09-02-2019,10:00:00,29.39,991.75,000,23.8,28.20,1006.71,24.2,0.0,8.00,97
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,24.70,09-02-2019,10:00:00,31.49,992.09,270,24.9,5.40,1006.84,25.2,11.1,6.00,98
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,6.70,09-02-2019,10:00:00,31.05,1004.54,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",24.7,0.00,1007.56,27.4,0.0,10.00,85
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,5.60,09-02-2019,10:00:00,30.91,1000.19,000,24.6,0.00,1008.15,26.9,0.0,10.00,87
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-02-2019,10:00:00,30.15,1006.92,220,24.2,0.00,1008.02,28.5,13.0,8.00,78
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,35.60,09-02-2019,10:00:00,28.87,993.32,000,23.5,0.00,1008.08,25.8,0.0,8.00,87
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,21.40,09-02-2019,10:00:00,22.09,874.24,280,19.1,1.60,1009.76,19.1,11.1,.05,100
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1.20,09-02-2019,10:00:00,32.21,1002.68,180,25.3,0.00,1008.57,27.0,11.1,8.00,90
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.10,09-02-2019,10:00:00,27.93,1007.75,240,22.9,0.00,1008.54,30.2,7.4,9.00,65
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.01,09-02-2019,10:00:00,32.46,1007.91,230,25.4,0.00,1008.35,30.5,7.4,10.00,74
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,19.80,09-02-2019,10:00:00,28.84,998.49,000,23.4,0.00,1009.83,26.8,0.0,6.00,82
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,4.00,09-02-2019,10:00:00,29.02,1007.56,000,23.5,0.00,1008.56,29.2,0.0,10.00,72
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,2.20,09-02-2019,10:00:00,30.15,1006.77,000,24.2,0.01,1008.59,28.5,0.0,7.00,78
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.01,09-02-2019,10:00:00,27.09,1007.42,270,22.4,0.00,1008.18,29.9,7.4,9.00,64
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.80,09-02-2019,10:00:00,28.09,1007.70,260,23.0,0.00,1008.40,30.0,11.1,10.00,66
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.90,09-02-2019,10:00:00,32.10,1007.82,300,25.2,0.30,1008.52,28.5,3.7,7.00,83
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,3.50,09-02-2019,10:00:00,31.17,987.51,000,24.7,2.60,1008.79,25.6,0.0,7.00,95
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,17.80,09-02-2019,10:00:00,30.34,991.04,260,24.3,3.40,1007.86,25.3,7.4,7.00,94
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,17.10,09-02-2019,10:00:00,30.44,991.73,230,24.3,3.20,1008.27,25.5,5.6,4.00,93
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1.00,09-02-2019,10:00:00,27.99,986.76,000,22.9,0.80,1008.75,25.6,0.0,4.00,85
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,11.60,09-02-2019,10:00:00,28.01,965.37,250,23.0,1.00,1009.12,24.0,22.2,2.00,94
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,3.60,09-02-2019,10:00:00,29.87,987.91,270,24.0,2.00,1008.64,24.9,5.6,3.00,95
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,17.80,09-02-2019,10:00:00,31.47,988.32,270,24.9,3.00,1009.33,24.9,11.1,3.00,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.01,09-02-2019,10:00:00,28.45,1008.02,300,23.2,0.00,1008.45,29.9,9.3,10.00,67
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.01,09-02-2019,10:00:00,32.45,1006.90,000,25.4,0.00,1008.31,27.4,0.0,10.00,89
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,5.90,09-02-2019,10:00:00,32.49,1003.44,000,25.4,0.00,1008.38,27.0,0.0,8.00,91
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.10,09-02-2019,10:00:00,29.19,1005.49,310,23.6,0.01,1008.78,28.0,3.7,10.00,77
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,2.10,09-02-2019,10:00:00,28.91,1007.55,280,23.5,0.00,1008.65,29.0,7.4,10.00,72
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,2.20,09-02-2019,10:00:00,28.50,1008.19,310,23.2,0.00,1008.49,30.5,7.4,10.00,65
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.50,09-02-2019,10:00:00,30.41,1008.60,130,24.3,0.00,1009.28,30.9,3.7,10.00,68
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,11.50,09-02-2019,10:00:00,30.13,1008.07,120,24.2,0.00,1008.55,30.9,5.6,10.00,67
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,7.40,09-02-2019,10:00:00,30.22,1007.24,270,24.2,0.00,1008.63,30.1,16.7,10.00,71
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,09-02-2019,10:00:00,35.40,1006.90,250,26.9,0.00,1008.57,29.8,16.7,10.00,84
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,2.70,09-02-2019,10:00:00,31.95,1002.23,000,25.1,0.00,1010.23,28.0,0.0,10.00,85
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-02-2019,10:00:00,29.89,1008.20,000,24.0,0.00,1008.48,30.5,0.0,10.00,68
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-02-2019,10:00:00,30.31,1005.19,250,24.3,0.00,1008.29,30.0,5.6,10.00,71
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.80,09-02-2019,10:00:00,30.72,1002.06,240,24.5,0.00,1008.96,29.5,11.1,12.00,75
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1.60,09-02-2019,10:00:00,31.11,1003.41,220,24.7,0.01,1009.02,27.0,3.7,9.00,87
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,09-02-2019,10:00:00,28.91,1000.19,290,23.5,0.00,1009.44,30.0,22.2,10.00,68
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.10,09-02-2019,10:00:00,30.15,1007.89,000,24.2,0.10,1009.15,28.5,0.0,14.00,78
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,09-02-2019,10:00:00,27.63,1008.15,300,22.7,0.00,1008.58,28.6,18.5,11.00,71
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.20,09-02-2019,10:00:00,26.95,996.95,230,22.3,0.01,1009.21,27.5,3.7,10.00,73
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-02-2019,10:00:00,30.13,1008.33,300,24.2,0.00,1009.04,29.2,3.7,10.00,74
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,2.20,09-02-2019,10:00:00,29.33,1007.82,270,23.7,0.00,1010.24,29.5,11.1,8.00,71
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.10,09-02-2019,10:00:00,29.19,1008.52,260,23.6,0.00,1009.04,29.0,18.5,10.00,73
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,2.50,09-02-2019,10:00:00,30.82,1003.72,240,24.5,0.00,1008.85,28.7,5.6,10.00,78
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,11.10,09-02-2019,10:00:00,31.69,1008.74,220,25.0,0.01,1009.15,29.0,5.6,8.00,79
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,21.20,09-02-2019,10:00:00,32.52,1006.90,000,25.4,3.80,1009.67,28.0,0.0,8.00,86
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1.30,09-02-2019,10:00:00,26.82,1009.49,000,22.2,0.00,1010.28,26.7,0.0,10.00,77
48501,TRAD,ตราด,ตราด,11.76667,102.88333,36.60,09-02-2019,10:00:00,32.20,1009.13,310,25.3,0.00,1009.59,27.7,7.4,8.00,87
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.10,09-02-2019,10:00:00,27.27,1011.30,290,22.5,2.00,1011.99,24.6,5.6,7.00,88
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,11.40,09-02-2019,10:00:00,27.75,1010.04,270,22.8,0.00,1011.57,27.8,3.7,8.00,74
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,85.30,09-02-2019,10:00:00,31.64,1011.57,000,25.0,0.00,1012.49,27.7,0.0,10.00,85
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.01,09-02-2019,10:00:00,29.46,1010.45,290,23.8,0.01,1011.13,29.0,5.6,10.00,74
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.20,09-02-2019,10:00:00,32.12,1010.81,260,25.2,0.00,1011.60,27.8,3.7,10.00,86
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,09-02-2019,10:00:00,29.61,1010.36,000,23.9,0.00,1010.99,30.5,0.0,10.00,68
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,09-02-2019,10:00:00,30.73,1010.23,000,24.5,0.00,1010.63,31.2,0.0,10.00,68
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.20,09-02-2019,10:00:00,28.24,1008.73,230,23.1,0.01,1012.95,28.5,9.3,5.00,73
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,4.80,09-02-2019,10:00:00,27.39,1009.69,000,22.6,0.00,1011.29,30.2,0.0,10.00,64
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,2.60,09-02-2019,10:00:00,29.41,1007.78,060,23.8,0.00,1011.24,29.4,5.6,10.00,72
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-02-2019,10:00:00,29.05,1009.57,280,23.6,0.00,1010.92,29.5,1.9,10.00,70
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,7.50,09-02-2019,10:00:00,31.13,1010.64,000,24.7,0.00,1011.52,29.0,0.0,10.00,78
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.60,09-02-2019,10:00:00,29.82,1007.69,000,24.0,0.00,1011.24,28.9,0.0,10.00,75
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1.00,09-02-2019,10:00:00,29.89,1010.63,000,24.0,0.00,1011.06,30.5,0.0,10.00,68
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,4.40,09-02-2019,10:00:00,33.74,1008.83,320,26.1,0.00,1009.82,29.3,3.7,10.00,83
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1.40,09-02-2019,10:00:00,33.37,1010.66,300,25.9,0.00,1011.47,28.0,7.4,10.00,88
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,3.00,09-02-2019,10:00:00,30.42,1009.69,300,24.3,0.00,1011.50,28.5,5.6,12.00,78
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,2.00,09-02-2019,10:00:00,28.56,1010.08,280,23.3,0.00,1010.82,30.1,3.7,10.00,67
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,4.20,09-02-2019,10:00:00,29.16,1007.07,990,23.6,0.00,1011.04,29.7,3.7,10.00,70
48570,SATUN,สตูล,สตูล,6.65000,100.08333,37.50,09-02-2019,10:00:00,30.34,1010.00,000,24.3,0.00,1010.69,28.6,0.0,10.00,78
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,14.40,09-02-2019,10:00:00,29.48,1009.53,230,23.8,0.00,1010.64,31.0,5.6,10.00,66
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,7.50,09-02-2019,10:00:00,32.46,1007.84,280,25.4,0.00,1010.74,29.8,7.4,10.00,77
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.30,09-02-2019,10:00:00,30.33,1009.96,210,24.3,0.00,1010.64,31.0,5.6,8.00,68
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,09-02-2019,10:00:00,28.08,1007.11,220,23.0,0.00,1011.25,27.4,5.6,5.00,77
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,09-02-2019,10:00:00,26.99,1009.83,320,22.3,0.00,1010.42,29.7,5.6,10.00,65
