WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,LandVisibility,DewPoint,AirTemperature,MeanSeaLevelPressure,WindDirection,Rainfall24Hr,Rainfall,RelativeHumidity,WindSpeed,VaporPressure
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,987.97,07-29-2019,13:00:00,15.00,23.1,33.5,1006.04,250,0.00,0.00,55,5.6,28.27
48331,NAN,น่าน,น่าน,18.77972,100.77778,983.05,07-29-2019,13:00:00,10.00,23.0,34.5,1005.24,000,0.00,0.00,51,0.0,28.02
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,975.65,07-29-2019,13:00:00,12.00,22.3,33.5,1004.78,000,0.00,0.00,52,0.0,26.87
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,971.50,07-29-2019,13:00:00,8.00,22.9,33.0,1006.19,000,1.20,0.00,55,0.0,27.84
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,974.95,07-29-2019,13:00:00,17.00,23.1,36.0,1003.66,140,0.00,0.00,48,7.4,28.22
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,999.45,07-29-2019,13:00:00,10.00,23.0,34.5,1006.57,000,0.01,0.00,51,0.0,28.02
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,985.05,07-29-2019,13:00:00,18.00,27.1,35.3,1004.35,240,0.00,0.00,63,11.1,35.79
48353,LOEI,เลย,เลย,17.45000,101.73333,976.93,07-29-2019,13:00:00,7.00,20.8,35.6,1004.69,340,1.70,0.00,42,11.1,24.58
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,985.51,07-29-2019,13:00:00,15.00,23.1,34.5,1005.14,290,0.00,0.00,52,3.7,28.30
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,983.97,07-29-2019,13:00:00,12.00,25.1,32.2,1005.28,070,0.40,0.00,66,3.7,31.94
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,985.81,07-29-2019,13:00:00,15.00,25.4,32.2,1004.91,080,0.00,0.00,68,3.7,32.53
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,989.88,07-29-2019,13:00:00,12.00,24.9,30.3,1006.42,130,0.00,0.00,73,9.3,31.48
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,989.47,07-29-2019,13:00:00,10.00,23.2,30.5,1006.66,140,0.00,0.00,65,3.7,28.50
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,978.72,07-29-2019,13:00:00,13.00,23.3,35.6,1003.69,120,0.60,0.00,49,5.6,28.55
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1001.44,07-29-2019,13:00:00,10.00,23.4,35.4,1007.07,000,0.00,0.00,50,0.0,28.72
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1000.31,07-29-2019,13:00:00,12.00,23.7,34.7,1006.34,000,0.00,0.00,53,0.0,29.29
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,990.41,07-29-2019,13:00:00,10.00,22.9,35.0,1006.41,000,0.00,0.00,50,0.0,27.89
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,985.69,07-29-2019,13:00:00,10.00,22.8,28.7,1007.90,210,0.30,0.00,71,7.4,27.81
48376,TAK,ตาก,ตาก,16.87833,99.14333,993.95,07-29-2019,13:00:00,10.00,21.7,32.0,1008.12,260,1.00,0.00,54,18.5,25.91
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,991.09,07-29-2019,13:00:00,7.00,22.4,33.0,1007.15,120,0.00,0.00,54,11.1,27.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1002.21,07-29-2019,13:00:00,10.00,21.8,34.0,1007.32,250,0.00,0.00,49,7.4,26.18
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,992.26,07-29-2019,13:00:00,12.00,24.5,35.4,1005.07,000,0.00,0.00,54,0.0,30.78
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,998.37,07-29-2019,13:00:00,14.00,21.9,34.9,1007.46,240,0.00,0.00,47,9.3,26.27
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,983.62,07-29-2019,13:00:00,10.00,22.2,35.0,1004.70,210,0.00,0.00,48,9.3,26.75
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,986.97,07-29-2019,13:00:00,12.00,22.0,34.8,1003.98,200,1.50,0.00,47,5.6,26.36
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,989.60,07-29-2019,13:00:00,12.00,24.5,31.3,1005.18,220,0.00,0.00,67,5.6,30.65
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,985.53,07-29-2019,13:00:00,10.00,24.3,36.0,1003.81,190,0.00,0.00,51,5.6,30.29
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,956.96,07-29-2019,13:00:00,10.00,21.1,26.7,1008.06,000,2.30,2.30,72,0.0,25.04
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1003.31,07-29-2019,13:00:00,15.00,23.5,33.1,1007.19,000,0.00,0.00,57,0.0,28.88
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,914.44,07-29-2019,13:00:00,6.00,20.5,24.3,1008.86,240,0.01,0.00,79,9.3,24.05
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,989.60,07-29-2019,13:00:00,10.00,25.7,32.8,1005.26,000,0.00,0.00,66,0.0,32.92
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1003.35,07-29-2019,13:00:00,12.00,24.5,35.5,1007.28,000,1.70,0.00,53,0.0,30.70
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,997.49,07-29-2019,13:00:00,10.00,22.0,35.3,1007.88,320,0.00,0.00,46,7.4,26.51
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1005.78,07-29-2019,13:00:00,12.00,21.6,35.5,1007.66,180,0.20,0.00,45,3.7,25.78
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,985.56,07-29-2019,13:00:00,12.00,20.5,35.9,1005.80,260,0.00,0.00,41,5.6,24.06
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,987.33,07-29-2019,13:00:00,10.00,23.5,33.3,1004.59,000,0.00,0.00,57,0.0,29.01
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,989.19,07-29-2019,13:00:00,10.00,24.5,34.0,1004.95,240,0.00,0.00,58,16.7,30.75
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,992.83,07-29-2019,13:00:00,10.00,24.2,32.6,1006.60,240,1.20,0.00,61,9.3,30.16
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,992.79,07-29-2019,13:00:00,10.00,25.0,31.0,1007.43,000,1.60,0.00,71,0.0,31.76
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,992.86,07-29-2019,13:00:00,10.00,25.2,32.4,1007.28,330,0.00,0.00,66,11.1,32.07
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1004.01,07-29-2019,13:00:00,10.00,21.5,35.4,1006.95,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",8.90,0.00,45,0.0,25.58
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,999.36,07-29-2019,13:00:00,10.00,23.4,33.2,1007.15,180,0.10,0.00,57,7.4,28.80
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1007.02,07-29-2019,13:00:00,10.00,23.8,34.1,1008.10,220,0.00,0.00,55,11.1,29.50
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,990.81,07-29-2019,13:00:00,9.00,25.4,30.2,1005.31,090,0.00,0.00,76,3.7,32.42
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,874.37,07-29-2019,13:00:00,8.00,21.8,24.4,1007.38,280,34.00,0.00,86,5.6,26.17
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1001.49,07-29-2019,13:00:00,10.00,25.4,32.4,1007.27,080,0.00,0.00,67,3.7,32.36
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1007.96,07-29-2019,13:00:00,10.00,22.7,35.0,1008.75,270,0.00,0.00,49,18.5,27.61
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1007.63,07-29-2019,13:00:00,10.00,24.4,32.8,1008.07,230,0.00,0.00,61,22.2,30.57
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,999.93,07-29-2019,13:00:00,4.00,24.3,25.9,1011.32,000,2.40,2.00,91,0.0,30.38
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1007.01,07-29-2019,13:00:00,12.00,22.9,34.2,1008.00,300,0.00,0.00,52,13.0,27.98
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1006.09,07-29-2019,13:00:00,10.00,22.5,35.4,1007.87,260,0.01,0.00,47,7.4,27.28
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1007.44,07-29-2019,13:00:00,10.00,20.3,34.5,1008.19,280,0.00,0.00,44,18.5,23.85
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1007.09,07-29-2019,13:00:00,10.00,22.4,33.5,1007.78,270,0.00,0.00,52,14.8,27.15
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1007.18,07-29-2019,13:00:00,12.00,24.7,34.2,1007.87,250,17.00,0.00,58,3.7,31.17
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,985.54,07-29-2019,13:00:00,12.00,23.3,36.3,1006.04,250,0.00,0.00,47,7.4,28.56
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,990.12,07-29-2019,13:00:00,11.00,24.3,33.4,1006.48,250,11.40,0.00,59,7.4,30.37
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,991.05,07-29-2019,13:00:00,14.00,24.4,33.2,1007.15,240,23.30,0.00,60,13.0,30.53
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,984.82,07-29-2019,13:00:00,10.00,21.4,34.5,1006.13,280,0.00,0.00,47,9.3,25.49
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,964.74,07-29-2019,13:00:00,15.00,20.8,31.0,1007.43,240,0.00,0.00,55,18.5,24.60
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,985.84,07-29-2019,13:00:00,12.00,22.5,35.5,1005.82,120,0.01,0.00,47,16.7,27.19
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,987.44,07-29-2019,13:00:00,10.00,26.1,33.5,1007.84,230,23.20,0.00,65,14.8,33.86
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1008.13,07-29-2019,13:00:00,10.00,24.0,31.3,1008.55,160,0.01,0.00,65,11.1,29.80
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1006.33,07-29-2019,13:00:00,11.00,24.5,33.0,1007.72,000,12.00,0.00,61,0.0,30.69
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1003.12,07-29-2019,13:00:00,9.00,24.5,33.2,1007.96,240,0.00,0.00,61,3.7,30.82
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1005.84,07-29-2019,13:00:00,12.00,22.5,32.8,1009.08,250,0.00,0.00,55,13.0,27.16
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1007.47,07-29-2019,13:00:00,10.00,23.3,34.8,1008.55,290,0.00,0.00,51,7.4,28.63
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1008.02,07-29-2019,13:00:00,10.00,23.6,34.5,1008.31,220,0.00,0.00,53,13.0,29.17
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1007.48,07-29-2019,13:00:00,10.00,23.2,34.0,1008.15,230,0.00,0.00,53,5.6,28.43
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1007.94,07-29-2019,13:00:00,10.00,22.1,33.5,1008.42,240,0.00,0.00,51,7.4,26.59
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.92,07-29-2019,13:00:00,10.00,23.7,33.6,1008.30,260,0.00,0.00,56,25.9,29.33
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1007.44,07-29-2019,13:00:00,12.00,24.4,30.8,1009.10,250,0.00,0.00,69,9.3,30.49
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1001.70,07-29-2019,13:00:00,10.00,22.6,33.5,1009.55,230,0.00,0.00,53,7.4,27.43
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1008.08,07-29-2019,13:00:00,12.00,25.3,33.0,1008.36,330,0.00,0.00,64,5.6,32.16
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1005.63,07-29-2019,13:00:00,12.00,22.8,32.0,1008.71,270,0.00,0.00,59,5.6,27.82
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1002.15,07-29-2019,13:00:00,12.00,22.7,32.0,1008.99,000,0.00,0.00,58,0.0,27.55
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1002.10,07-29-2019,13:00:00,7.00,24.4,33.2,1007.59,300,0.00,0.00,60,13.0,30.53
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1000.38,07-29-2019,13:00:00,12.00,23.8,36.2,1009.43,300,0.00,0.00,49,7.4,29.53
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1008.22,07-29-2019,13:00:00,15.00,23.0,32.8,1009.46,270,1.90,0.00,56,22.2,28.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1008.04,07-29-2019,13:00:00,11.00,22.9,34.7,1008.46,330,0.00,0.00,50,20.4,27.85
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,997.35,07-29-2019,13:00:00,12.00,21.2,31.6,1009.45,280,0.00,0.00,54,11.1,25.16
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1008.42,07-29-2019,13:00:00,10.00,23.2,34.0,1009.12,240,0.00,0.00,53,20.4,28.43
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1006.69,07-29-2019,13:00:00,10.00,22.0,34.1,1009.08,270,0.00,0.00,49,14.8,26.37
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1008.64,07-29-2019,13:00:00,10.00,25.0,30.8,1009.16,240,7.50,0.00,71,14.8,31.64
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1003.17,07-29-2019,13:00:00,12.00,21.6,33.2,1008.23,250,0.00,0.00,51,1.9,25.73
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1008.39,07-29-2019,13:00:00,10.00,26.5,31.0,1008.80,190,9.90,0.01,77,5.6,34.71
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1006.21,07-29-2019,13:00:00,8.00,25.6,30.5,1008.95,210,11.60,0.00,75,7.4,32.75
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.20,07-29-2019,13:00:00,10.00,21.4,33.5,1009.97,300,0.00,0.00,49,11.1,25.49
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1008.96,07-29-2019,13:00:00,7.00,25.2,28.5,1009.41,210,34.00,0.01,83,1.9,32.10
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1008.72,07-29-2019,13:00:00,10.00,23.1,33.2,1009.39,240,0.00,0.00,56,7.4,28.24
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1008.00,07-29-2019,13:00:00,9.00,23.6,32.2,1009.50,270,0.00,0.00,60,7.4,29.06
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1009.92,07-29-2019,13:00:00,10.00,23.1,31.1,1010.83,230,15.60,0.00,63,13.0,28.29
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1009.05,07-29-2019,13:00:00,10.00,25.0,32.5,1009.72,240,1.20,0.00,65,5.6,31.69
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1009.00,07-29-2019,13:00:00,10.00,23.7,34.6,1009.78,260,0.00,0.00,53,9.3,29.38
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1008.37,07-29-2019,13:00:00,12.00,20.5,34.2,1008.99,000,0.00,0.00,45,0.0,24.10
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.88,07-29-2019,13:00:00,12.00,25.0,35.5,1009.27,330,0.00,0.00,55,22.2,31.60
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1007.47,07-29-2019,13:00:00,7.00,23.6,33.2,1011.62,230,0.00,0.00,57,13.0,29.09
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1007.80,07-29-2019,13:00:00,10.00,23.0,32.8,1009.38,250,4.20,0.00,56,7.4,28.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1006.70,07-29-2019,13:00:00,10.00,24.7,32.5,1010.12,100,12.00,0.00,64,3.7,31.11
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.07,07-29-2019,13:00:00,10.00,21.5,33.7,1009.39,290,0.00,0.00,49,13.0,25.60
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.39,07-29-2019,13:00:00,10.00,24.7,31.5,1011.27,240,0.00,0.00,67,5.6,31.06
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1006.90,07-29-2019,13:00:00,10.00,22.6,31.9,1010.41,300,7.10,0.00,58,11.1,27.35
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.05,07-29-2019,13:00:00,10.00,23.3,33.0,1010.48,290,0.00,0.00,57,11.1,28.68
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.40,07-29-2019,13:00:00,10.00,24.1,32.0,1010.38,280,0.00,0.00,63,16.7,30.08
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.12,07-29-2019,13:00:00,10.00,24.4,30.7,1010.93,290,0.00,0.00,69,24.1,30.58
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.40,07-29-2019,13:00:00,12.00,22.1,33.5,1010.18,230,0.00,0.00,51,9.3,26.59
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.76,07-29-2019,13:00:00,10.00,21.5,33.9,1009.49,230,0.00,0.00,49,7.4,25.71
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1006.09,07-29-2019,13:00:00,10.00,20.8,32.9,1010.02,250,0.00,0.00,49,20.4,24.63
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.69,07-29-2019,13:00:00,10.00,20.6,32.7,1010.36,270,0.00,0.00,49,11.1,24.26
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.93,07-29-2019,13:00:00,11.00,21.8,33.0,1010.03,000,0.00,0.00,52,0.0,26.17
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1007.28,07-29-2019,13:00:00,11.00,21.8,34.0,1010.14,260,0.00,0.00,49,14.8,26.18
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1008.23,07-29-2019,13:00:00,12.00,24.0,32.9,1008.91,190,0.00,0.00,60,5.6,29.91
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1005.94,07-29-2019,13:00:00,10.00,22.9,33.9,1009.98,000,0.00,0.00,53,0.0,27.94
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1009.28,07-29-2019,13:00:00,10.00,21.1,31.5,1009.86,000,0.00,0.00,54,0.0,24.98
