WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,MeanSeaLevelPressure,WindSpeed,VaporPressure,RelativeHumidity,Rainfall24Hr,LandVisibility,DewPoint,AirTemperature,WindDirection
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,08-16-2019,22:00:00,1001.59,1005.58,5.6,32.42,79,0.00,9.00,25.4,29.5,190
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,3.80,08-16-2019,22:00:00,996.78,1007.45,0.0,32.21,90,3.80,8.00,25.3,27.0,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.80,08-16-2019,22:00:00,1004.68,1006.60,0.0,32.36,88,0.80,7.00,25.4,27.5,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-16-2019,22:00:00,985.51,1006.21,0.0,30.49,76,0.00,10.00,24.4,29.1,000
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,08-16-2019,22:00:00,987.96,1005.65,3.7,29.50,88,0.00,10.00,23.8,26.0,200
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,08-16-2019,22:00:00,989.58,1005.75,14.8,29.52,86,0.01,10.00,23.8,26.3,180
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,08-16-2019,22:00:00,993.31,1007.35,5.6,29.21,82,10.20,10.00,23.6,27.0,190
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,08-16-2019,22:00:00,993.52,1008.37,0.0,30.10,85,0.60,10.00,24.1,26.9,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,08-16-2019,22:00:00,993.35,1007.99,0.0,32.03,85,0.00,7.00,25.2,27.9,000
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,08-16-2019,22:00:00,1002.30,1005.30,0.0,32.30,83,0.00,10.00,25.3,28.6,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,08-16-2019,22:00:00,998.11,1006.03,0.0,30.56,81,0.00,7.00,24.4,28.0,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,08-16-2019,22:00:00,1003.35,1004.46,7.4,32.21,90,3.80,7.00,25.3,27.0,130
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,08-16-2019,22:00:00,992.82,1007.49,0.0,31.25,85,0.20,8.00,24.8,27.5,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.40,08-16-2019,22:00:00,873.58,1008.13,9.3,24.46,99,56.80,.05,20.7,20.9,170
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,08-16-2019,22:00:00,1000.92,1006.81,3.7,29.78,87,0.00,10.00,24.0,26.3,250
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,6.60,08-16-2019,22:00:00,1006.24,1007.04,9.3,35.87,92,25.60,7.00,27.1,28.5,180
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,08-16-2019,22:00:00,1005.90,1006.34,9.3,32.75,78,0.00,10.00,25.6,29.8,210
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,08-16-2019,22:00:00,997.03,1008.40,0.0,31.17,95,18.00,5.00,24.7,25.6,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,08-16-2019,22:00:00,1005.89,1006.89,7.4,34.87,87,0.00,10.00,26.6,29.0,210
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,08-16-2019,22:00:00,1005.10,1006.91,3.7,32.80,87,0.00,8.00,25.6,28.0,160
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,08-16-2019,22:00:00,1006.06,1006.82,0.0,33.00,87,2.00,7.00,25.7,28.1,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,08-16-2019,22:00:00,1006.41,1007.10,18.5,30.40,75,0.00,10.00,24.3,29.2,180
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,08-16-2019,22:00:00,1006.47,1007.17,0.0,31.25,77,0.20,7.00,24.8,29.2,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,08-16-2019,22:00:00,985.79,1006.77,7.4,30.80,75,0.00,10.00,24.5,29.4,210
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,08-16-2019,22:00:00,990.50,1007.18,11.1,31.08,84,0.00,7.00,24.7,27.7,180
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,08-16-2019,22:00:00,990.67,1007.05,7.4,31.11,82,0.00,6.00,24.7,28.0,180
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,08-16-2019,22:00:00,984.99,1006.73,0.0,28.33,73,0.00,10.00,23.1,28.4,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,08-16-2019,22:00:00,963.99,1007.52,0.0,30.23,95,6.80,8.00,24.2,25.1,000
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-16-2019,22:00:00,986.20,1006.69,7.4,29.19,77,0.00,10.00,23.6,28.0,230
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,08-16-2019,22:00:00,987.33,1008.13,9.3,32.28,87,0.00,8.00,25.3,27.6,170
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,08-16-2019,22:00:00,1006.84,1007.27,11.1,32.79,80,0.01,10.00,25.6,29.4,240
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,08-16-2019,22:00:00,1005.73,1007.14,0.0,32.84,89,0.00,6.00,25.6,27.6,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,08-16-2019,22:00:00,1002.30,1007.23,0.0,32.49,91,15.20,7.00,25.4,27.0,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,08-16-2019,22:00:00,1003.83,1007.09,0.0,29.27,69,0.00,11.00,23.7,29.9,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,08-16-2019,22:00:00,1005.92,1007.02,0.0,33.53,86,0.00,10.00,26.0,28.5,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,08-16-2019,22:00:00,1006.97,1007.27,7.4,35.48,85,0.00,10.00,26.9,29.7,210
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-16-2019,22:00:00,1007.31,1007.80,0.0,35.86,87,0.00,10.00,27.1,29.6,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,08-16-2019,22:00:00,1005.47,1006.86,16.7,34.29,82,0.60,10.00,26.3,29.7,190
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,08-16-2019,22:00:00,1000.84,1008.86,7.4,31.49,87,0.60,10.00,24.9,27.2,180
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,08-16-2019,22:00:00,1007.05,1007.33,0.0,35.46,89,0.00,10.00,26.9,29.0,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-16-2019,22:00:00,1004.48,1007.59,5.6,33.99,85,0.00,10.00,26.2,29.0,250
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-16-2019,22:00:00,1000.67,1007.57,14.8,33.99,85,0.00,10.00,26.2,29.0,270
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-16-2019,22:00:00,1002.12,1007.69,11.1,31.29,79,0.00,8.00,24.8,28.8,220
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,08-16-2019,22:00:00,1006.52,1007.78,0.0,33.34,94,3.30,10.00,25.9,27.0,000
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,08-16-2019,22:00:00,1007.41,1007.84,5.6,31.14,81,12.20,11.00,24.7,28.3,240
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,08-16-2019,22:00:00,996.22,1008.51,0.0,29.64,84,0.00,8.00,23.9,26.8,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-16-2019,22:00:00,1007.37,1008.08,9.3,28.86,75,1.00,10.00,23.5,28.4,200
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-16-2019,22:00:00,1005.67,1008.08,18.5,33.58,81,0.00,10.00,26.0,29.5,200
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-16-2019,22:00:00,1007.58,1008.10,27.8,35.30,87,0.00,10.00,26.8,29.2,250
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-16-2019,22:00:00,1002.85,1007.97,9.3,32.83,82,0.00,9.00,25.6,29.0,200
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,08-16-2019,22:00:00,1008.24,1008.65,7.4,32.88,84,1.20,7.00,25.6,28.6,220
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,08-16-2019,22:00:00,1006.47,1009.23,0.0,32.96,85,0.00,8.00,25.7,28.5,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,08-16-2019,22:00:00,1008.51,1009.30,7.4,28.63,77,0.00,10.00,23.3,27.7,270
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.20,08-16-2019,22:00:00,1008.88,1009.34,0.0,34.64,94,19.10,6.00,26.5,27.5,000
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,3.00,08-16-2019,22:00:00,1009.43,1010.11,0.0,32.45,98,10.80,7.00,25.4,25.7,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1.60,08-16-2019,22:00:00,1007.52,1009.06,0.0,29.91,92,5.40,7.00,24.0,25.5,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,31.30,08-16-2019,22:00:00,1009.56,1010.49,3.7,29.74,90,89.30,7.00,23.9,25.7,250
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-16-2019,22:00:00,1009.54,1010.23,9.3,30.53,82,0.00,10.00,24.4,27.7,270
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,08-16-2019,22:00:00,1009.76,1010.57,1.9,29.59,96,0.70,10.00,23.9,24.6,180
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.01,08-16-2019,22:00:00,1008.72,1009.36,9.3,27.55,84,0.01,10.00,22.7,25.5,360
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-16-2019,22:00:00,1008.91,1009.32,0.0,29.74,90,0.00,10.00,23.9,25.7,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-16-2019,22:00:00,1008.07,1012.31,9.3,32.54,93,0.00,5.00,25.5,26.6,230
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.01,08-16-2019,22:00:00,1009.22,1010.84,0.0,29.77,96,9.70,10.00,24.0,24.7,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-16-2019,22:00:00,1007.58,1011.10,0.0,28.53,96,4.40,10.00,23.3,24.0,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-16-2019,22:00:00,1009.05,1010.41,0.0,30.71,94,2.50,10.00,24.5,25.5,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1.00,08-16-2019,22:00:00,1009.47,1010.36,0.0,32.59,96,28.80,10.00,25.5,26.2,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-16-2019,22:00:00,1006.85,1010.46,0.0,29.30,98,68.80,10.00,23.7,24.0,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.20,08-16-2019,22:00:00,1010.27,1010.71,0.0,30.84,92,21.40,10.00,24.6,26.0,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,2.40,08-16-2019,22:00:00,1008.85,1009.84,9.3,30.12,84,5.30,10.00,24.2,27.2,270
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-16-2019,22:00:00,1009.73,1010.55,20.4,33.13,90,32.60,10.00,25.8,27.6,240
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,08-16-2019,22:00:00,1008.93,1010.76,0.0,31.41,97,70.10,10.00,24.9,25.3,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-16-2019,22:00:00,1010.06,1010.82,5.6,28.80,85,0.01,10.00,23.4,26.2,160
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-16-2019,22:00:00,1006.59,1010.63,9.3,28.21,91,2.60,10.00,23.1,24.7,120
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-16-2019,22:00:00,1010.36,1011.05,0.0,29.19,90,14.90,10.00,23.6,25.4,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-16-2019,22:00:00,1009.43,1010.55,0.0,29.15,86,10.80,10.00,23.6,26.1,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-16-2019,22:00:00,1007.94,1010.89,0.0,30.07,93,3.70,10.00,24.1,25.3,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,08-16-2019,22:00:00,1009.72,1010.42,0.0,30.43,88,0.00,8.00,24.3,26.5,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,08-16-2019,22:00:00,1007.42,1011.56,0.0,28.76,81,0.00,8.00,23.4,26.9,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.20,08-16-2019,22:00:00,1008.69,1009.28,5.6,29.03,88,4.60,7.00,23.5,25.6,270
