WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,DewPoint,WindSpeed,VaporPressure,RelativeHumidity,Rainfall,StationPressure,AirTemperature,Rainfall24Hr,LandVisibility
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1003.68,08-30-2019,01:00:00,000,22.3,0.0,26.84,75,0.00,1003.25,27.0,6.30,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1004.30,08-30-2019,01:00:00,000,22.6,0.0,27.37,86,0.00,992.00,25.1,0.00,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1004.11,08-30-2019,01:00:00,000,22.6,0.0,27.36,77,0.00,1003.40,27.0,0.00,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1004.68,08-30-2019,01:00:00,240,23.0,7.4,28.08,71,0.01,1002.26,28.7,0.01,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1004.10,08-30-2019,01:00:00,290,23.8,14.8,29.43,75,0.01,1003.59,28.7,0.90,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1003.93,08-30-2019,01:00:00,220,23.1,3.7,28.26,77,0.00,998.80,27.5,0.01,9.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1003.71,08-30-2019,01:00:00,000,25.4,0.0,32.48,97,0.01,1003.30,26.0,8.50,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1004.25,08-30-2019,01:00:00,000,24.8,0.0,31.25,96,0.00,1001.48,25.5,50.90,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1005.08,08-30-2019,01:00:00,270,23.3,9.3,28.67,80,0.00,1004.29,27.0,2.80,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1004.15,08-30-2019,01:00:00,240,24.3,11.1,30.43,88,13.50,1003.70,26.5,77.80,5.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1005.94,08-30-2019,01:00:00,200,23.8,3.7,29.41,96,0.00,1005.25,24.5,13.60,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1006.09,08-30-2019,01:00:00,000,21.6,0.0,25.84,86,0.00,1004.55,24.2,31.40,7.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1007.20,08-30-2019,01:00:00,200,23.5,7.4,29.00,92,2.00,1006.28,25.0,53.30,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1006.55,08-30-2019,01:00:00,270,22.8,9.3,27.69,80,0.00,1005.87,26.6,0.50,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1007.17,08-30-2019,01:00:00,000,23.3,0.0,28.60,98,0.00,1006.37,23.6,6.40,8.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1006.88,08-30-2019,01:00:00,000,24.1,0.0,30.02,98,0.01,1006.24,24.4,9.90,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1006.91,08-30-2019,01:00:00,000,23.6,0.0,29.13,97,0.00,1006.50,24.2,7.00,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1009.03,08-30-2019,01:00:00,230,22.8,3.7,27.78,90,0.00,1004.78,24.6,5.20,5.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.22,08-30-2019,01:00:00,000,23.1,0.0,28.25,98,6.30,1006.59,23.4,16.60,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1008.61,08-30-2019,01:00:00,000,23.2,0.0,28.43,97,0.00,1005.09,23.8,22.40,8.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1007.46,08-30-2019,01:00:00,000,24.2,0.0,30.20,98,0.00,1006.09,24.5,8.00,6.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.61,08-30-2019,01:00:00,300,23.1,7.4,28.26,96,27.00,1007.72,23.7,62.00,8.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.04,08-30-2019,01:00:00,330,23.6,11.1,29.04,97,6.20,1004.45,24.0,46.10,8.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1007.80,08-30-2019,01:00:00,000,24.1,0.0,30.05,88,1.80,1007.36,26.3,9.40,8.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.45,08-30-2019,01:00:00,270,25.1,18.5,31.80,87,11.80,1006.46,27.5,12.00,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1007.99,08-30-2019,01:00:00,280,25.6,33.3,32.75,85,0.00,1007.18,28.4,0.00,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1007.81,08-30-2019,01:00:00,000,24.1,0.0,30.03,97,0.00,1005.98,24.7,25.30,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1007.92,08-30-2019,01:00:00,200,23.1,1.9,28.25,86,0.00,1007.17,25.6,1.00,11.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1008.08,08-30-2019,01:00:00,230,23.7,9.3,29.22,97,0.00,1004.04,24.1,22.60,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.37,08-30-2019,01:00:00,000,23.6,0.0,29.07,94,0.00,1007.68,24.6,12.20,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.87,08-30-2019,01:00:00,000,23.2,0.0,28.36,94,0.00,1007.75,24.2,8.40,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.44,08-30-2019,01:00:00,000,23.8,0.0,29.41,96,0.00,1005.49,24.5,16.90,10.00
