WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,DewPoint,WindDirection,LandVisibility,VaporPressure,Rainfall,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,MaximumTemperature,RelativeHumidity
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,30.7,08-03-2019,19:00:00,998.92,23.9,000,12.00,29.73,0.00,0.0,0.30,1002.89,34.6,67
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,30.7,08-03-2019,19:00:00,993.44,20.6,260,8.00,24.32,0.00,7.4,0.20,1003.95,34.1,55
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,30.5,08-03-2019,19:00:00,1001.52,22.6,200,10.00,27.41,0.00,3.7,0.00,1003.42,35.6,63
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,29.1,08-03-2019,19:00:00,981.16,21.8,230,10.00,26.16,0.00,7.4,2.20,1001.77,31.7,65
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,29.8,08-03-2019,19:00:00,983.30,19.4,240,10.00,22.50,0.00,14.8,0.40,1000.69,32.2,54
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,30.5,08-03-2019,19:00:00,984.23,19.3,250,10.00,22.43,0.00,11.1,0.40,1000.09,33.0,51
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,29.4,08-03-2019,19:00:00,987.58,23.1,220,10.00,28.31,0.00,3.7,8.40,1001.42,31.7,69
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,28.4,08-03-2019,19:00:00,987.65,23.5,000,10.00,28.86,0.00,0.0,6.90,1002.34,31.6,75
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,29.6,08-03-2019,19:00:00,987.71,23.2,260,8.00,28.42,0.00,3.7,3.00,1002.19,31.2,69
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,31.8,08-03-2019,19:00:00,999.83,20.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,23.42,0.00,0.0,0.01,1002.79,35.2,50
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,29.5,08-03-2019,19:00:00,994.48,22.9,000,10.00,27.96,0.00,0.0,0.30,1002.33,32.7,68
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,29.5,08-03-2019,19:00:00,1002.99,22.1,220,7.00,26.62,0.00,16.7,0.00,1004.09,32.6,65
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,29.0,08-03-2019,19:00:00,989.58,23.2,000,8.00,28.37,0.00,0.0,0.10,1004.13,31.8,71
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.3,08-03-2019,19:00:00,871.03,18.8,260,3.00,21.71,0.00,7.4,0.00,1005.96,21.1,97
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,31.0,08-03-2019,19:00:00,996.79,22.8,000,10.00,27.82,0.00,0.0,0.00,1002.57,33.7,62
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,30.1,08-03-2019,19:00:00,1004.09,21.5,230,8.00,25.60,0.00,11.1,0.00,1004.88,33.6,60
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,29.1,08-03-2019,19:00:00,1004.57,21.8,230,10.00,26.16,0.00,25.9,0.00,1005.01,32.2,65
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,27.0,08-03-2019,19:00:00,994.54,22.6,300,6.00,27.36,0.70,13.0,10.50,1005.83,29.5,77
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,29.3,08-03-2019,19:00:00,1003.41,22.7,190,10.00,27.59,0.00,3.7,0.50,1004.41,32.2,68
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,31.0,08-03-2019,19:00:00,1001.88,22.0,000,10.00,26.46,0.00,0.0,0.00,1003.67,33.0,59
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,29.0,08-03-2019,19:00:00,1003.71,20.7,220,7.00,24.42,0.01,3.7,0.01,1004.47,31.8,61
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,29.1,08-03-2019,19:00:00,1004.69,22.2,250,10.00,26.68,0.00,11.1,0.00,1005.39,32.3,66
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,29.7,08-03-2019,19:00:00,1003.33,24.4,240,10.00,30.55,0.00,7.4,0.00,1004.02,34.0,73
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,30.2,08-03-2019,19:00:00,981.51,22.6,270,10.00,27.39,0.00,9.3,0.30,1002.34,34.2,64
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,30.4,08-03-2019,19:00:00,985.54,19.9,240,8.00,23.27,0.00,11.1,0.10,1001.98,33.5,54
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,29.7,08-03-2019,19:00:00,986.13,20.7,210,8.00,24.36,0.00,7.4,0.01,1002.33,33.5,58
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,30.1,08-03-2019,19:00:00,981.20,20.5,260,10.00,24.03,0.00,22.2,0.01,1002.74,33.3,56
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,27.1,08-03-2019,19:00:00,960.60,20.1,240,10.00,23.46,0.00,25.9,0.00,1003.68,31.7,65
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,29.8,08-03-2019,19:00:00,982.34,21.1,230,10.00,25.06,0.00,11.1,0.20,1002.62,33.5,60
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,28.7,08-03-2019,19:00:00,982.73,22.2,240,9.00,26.75,0.00,7.4,2.60,1003.35,31.9,68
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,28.3,08-03-2019,19:00:00,1005.16,20.2,270,10.00,23.73,0.00,7.4,0.10,1005.59,31.1,62
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,28.6,08-03-2019,19:00:00,1002.46,23.0,000,8.00,28.16,0.00,0.0,0.00,1003.86,32.8,72
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,29.0,08-03-2019,19:00:00,998.95,23.8,240,8.00,29.46,0.00,3.7,0.00,1003.84,32.4,74
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,28.7,08-03-2019,19:00:00,1001.46,21.7,270,12.00,25.96,0.00,7.4,0.40,1004.73,31.7,66
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,28.5,08-03-2019,19:00:00,1003.97,21.8,280,10.00,26.13,0.00,3.7,0.01,1005.07,33.5,67
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.7,08-03-2019,19:00:00,1005.19,22.8,340,10.00,27.80,0.00,3.7,0.01,1005.49,32.3,67
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,29.8,08-03-2019,19:00:00,1005.18,22.8,270,10.00,27.71,0.00,9.3,0.00,1005.86,33.4,66
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,30.0,08-03-2019,19:00:00,1004.83,22.4,270,10.00,27.01,0.00,1.9,0.00,1005.31,33.1,64
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,30.2,08-03-2019,19:00:00,1004.41,21.6,280,10.00,25.78,0.00,25.9,0.00,1005.80,32.4,60
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,29.5,08-03-2019,19:00:00,1003.67,22.9,260,10.00,27.96,0.00,25.9,0.00,1005.33,32.1,68
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,28.5,08-03-2019,19:00:00,998.56,21.5,270,10.00,25.61,0.00,5.6,0.00,1006.52,32.8,66
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,29.4,08-03-2019,19:00:00,1005.16,23.8,240,10.00,29.41,0.00,9.3,0.00,1005.45,32.3,72
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,29.0,08-03-2019,19:00:00,1002.21,21.6,270,10.00,25.71,0.00,9.3,0.00,1005.32,30.3,64
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.5,08-03-2019,19:00:00,998.86,22.5,260,10.00,27.18,0.00,18.5,0.00,1005.76,31.1,70
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,30.0,08-03-2019,19:00:00,998.37,23.0,210,7.00,28.09,0.00,7.4,0.00,1003.90,33.2,66
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,28.2,08-03-2019,19:00:00,997.36,21.1,280,10.00,25.08,0.00,31.5,0.00,1006.63,32.2,66
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,26.6,08-03-2019,19:00:00,1004.82,21.3,000,10.00,25.37,0.00,0.0,0.60,1006.08,30.4,73
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,27.0,08-03-2019,19:00:00,1005.43,20.1,220,11.00,23.55,0.00,9.3,4.00,1005.86,31.6,66
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.0,08-03-2019,19:00:00,993.59,22.5,000,10.00,27.25,0.10,0.0,16.00,1005.95,28.8,91
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,26.0,08-03-2019,19:00:00,1005.24,23.1,000,10.00,28.18,0.01,0.0,9.80,1005.96,29.8,84
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,29.0,08-03-2019,19:00:00,1004.35,21.6,270,10.00,25.71,0.00,14.8,0.00,1006.76,32.3,64
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.0,08-03-2019,19:00:00,1005.70,24.1,250,10.00,30.01,0.00,16.7,0.00,1006.22,31.1,75
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.5,08-03-2019,19:00:00,1001.12,21.0,230,10.00,24.83,0.00,11.1,0.00,1006.25,31.9,64
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,28.6,08-03-2019,19:00:00,1005.73,23.7,000,8.00,29.24,0.00,0.0,7.70,1006.14,31.5,75
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,27.3,08-03-2019,19:00:00,1003.54,25.2,000,8.00,31.97,0.00,0.0,14.60,1006.30,30.3,88
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,24.3,08-03-2019,19:00:00,1007.58,21.3,000,10.00,25.27,6.50,0.0,14.50,1008.38,28.5,83
48501,TRAD,ตราด,ตราด,11.76667,102.88333,27.9,08-03-2019,19:00:00,1005.82,24.0,260,7.00,29.82,0.00,9.3,5.20,1006.28,30.2,79
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,28.0,08-03-2019,19:00:00,1007.09,23.6,250,8.00,29.19,0.00,3.7,30.60,1007.77,29.8,77
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,28.5,08-03-2019,19:00:00,1006.12,23.2,270,8.00,28.51,0.00,3.7,33.00,1007.64,30.6,73
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,28.5,08-03-2019,19:00:00,1007.85,24.2,210,10.00,30.15,0.00,3.7,28.20,1008.77,30.6,78
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,29.2,08-03-2019,19:00:00,1007.28,25.1,000,10.00,31.81,0.00,0.0,3.70,1007.96,31.3,79
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,28.5,08-03-2019,19:00:00,1008.17,25.7,240,10.00,32.96,1.20,5.6,2.60,1008.96,32.0,85
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,30.0,08-03-2019,19:00:00,1006.71,22.2,230,10.00,26.74,0.00,5.6,0.00,1007.34,33.7,63
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,29.7,08-03-2019,19:00:00,1007.60,23.6,000,10.00,29.16,0.00,0.0,0.00,1008.00,35.3,70
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,25.7,08-03-2019,19:00:00,1005.60,24.5,000,6.00,30.81,9.80,0.0,9.80,1009.84,31.1,93
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,26.5,08-03-2019,19:00:00,1008.30,23.6,000,10.00,29.08,0.00,0.0,2.00,1009.92,33.0,84
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,29.0,08-03-2019,19:00:00,1005.07,25.5,000,8.00,32.55,0.00,0.0,0.00,1008.52,33.0,81
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,30.5,08-03-2019,19:00:00,1007.02,23.2,000,10.00,28.50,0.00,0.0,0.00,1008.36,34.5,65
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,29.3,08-03-2019,19:00:00,1008.43,24.6,240,10.00,30.88,0.00,13.0,0.00,1009.32,32.0,76
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,28.6,08-03-2019,19:00:00,1004.90,24.1,000,10.00,30.07,0.00,0.0,0.00,1008.44,32.0,77
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.3,08-03-2019,19:00:00,1008.48,24.7,000,10.00,31.19,0.00,0.0,0.00,1008.91,33.5,72
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,30.0,08-03-2019,19:00:00,1007.27,25.2,270,10.00,32.01,0.00,3.7,0.00,1008.26,32.6,75
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,28.3,08-03-2019,19:00:00,1007.94,23.7,190,10.00,29.22,0.00,9.3,0.00,1008.76,31.0,76
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,28.6,08-03-2019,19:00:00,1007.16,24.3,000,10.00,30.34,0.00,0.0,0.00,1008.97,34.0,78
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,30.2,08-03-2019,19:00:00,1007.94,23.4,200,10.00,28.75,0.00,7.4,0.00,1008.69,34.9,67
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,29.0,08-03-2019,19:00:00,1005.03,23.5,230,10.00,28.91,0.00,7.4,0.00,1009.01,34.7,72
48570,SATUN,สตูล,สตูล,6.65000,100.08333,28.5,08-03-2019,19:00:00,1009.75,24.9,000,10.00,31.54,0.00,0.0,0.00,1010.43,32.7,81
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,30.1,08-03-2019,19:00:00,1007.49,23.7,000,10.00,29.39,0.00,0.0,0.00,1008.59,34.3,69
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,29.4,08-03-2019,19:00:00,1006.26,25.4,000,10.00,32.50,0.00,0.0,0.00,1009.16,33.9,79
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,30.0,08-03-2019,19:00:00,1007.54,25.2,000,10.00,32.01,0.00,0.0,0.00,1008.22,34.6,75
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,29.8,08-03-2019,19:00:00,1004.75,23.9,000,7.00,29.63,0.00,0.0,0.00,1008.84,34.6,71
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,29.5,08-03-2019,19:00:00,1008.46,24.0,000,10.00,29.88,0.00,0.0,0.00,1009.05,35.7,72
