WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,MeanSeaLevelPressure,LandVisibility,WindSpeed,Rainfall,VaporPressure,Rainfall24Hr,WindDirection,AirTemperature,DewPoint,RelativeHumidity
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,999.47,07-09-2019,13:00:00,1007.27,10.00,0.0,0.00,29.99,26.60,000,32.8,24.1,60
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1007.30,07-09-2019,13:00:00,1008.39,9.00,22.2,0.00,28.93,0.00,240,32.7,23.5,58
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,992.29,07-09-2019,13:00:00,1006.63,10.00,0.0,0.00,27.41,0.00,000,34.2,22.6,51
48417,NAKORNNAYOK,นครนายก,นครนายก,{'@attributes': {'Unit': 'decimal degree'}},{'@attributes': {'Unit': 'decimal degree'}},873.82,07-09-2019,13:00:00,1007.88,7.00,7.4,0.00,24.50,4.00,250,22.0,20.8,93
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1001.59,07-09-2019,13:00:00,1007.31,10.00,5.6,0.00,32.21,0.00,300,35.5,25.3,56
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1007.74,07-09-2019,13:00:00,1008.52,8.00,14.8,0.00,33.06,0.00,280,34.1,25.7,62
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1007.87,07-09-2019,13:00:00,1008.31,10.00,18.5,0.00,31.64,0.00,230,31.5,25.0,68
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,998.65,07-09-2019,13:00:00,1009.94,4.00,0.0,3.20,30.40,14.00,000,28.2,24.3,80
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1007.38,07-09-2019,13:00:00,1008.37,12.00,11.1,0.00,27.20,0.00,220,34.8,22.5,49
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1006.25,07-09-2019,13:00:00,1008.04,10.00,9.3,0.00,29.13,0.00,180,33.5,23.6,56
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1007.34,07-09-2019,13:00:00,1008.09,9.00,11.1,0.00,26.26,0.00,230,33.9,21.9,50
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1008.05,07-09-2019,13:00:00,1008.74,10.00,20.4,0.00,31.40,6.00,230,32.5,24.9,64
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1007.57,07-09-2019,13:00:00,1008.26,7.00,9.3,0.00,30.76,12.80,240,34.7,24.5,56
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,986.43,07-09-2019,13:00:00,1007.07,10.00,11.1,0.00,28.88,0.00,290,34.5,23.5,53
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,990.55,07-09-2019,13:00:00,1006.87,12.00,9.3,0.00,27.61,0.30,230,34.3,22.7,51
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,991.49,07-09-2019,13:00:00,1007.53,10.00,9.3,0.00,27.45,0.00,210,34.5,22.6,50
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,985.74,07-09-2019,13:00:00,1007.07,10.00,14.8,0.00,25.49,0.00,270,34.5,21.4,47
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,965.20,07-09-2019,13:00:00,1007.92,14.00,14.8,0.00,28.65,0.00,250,31.0,23.3,64
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,986.74,07-09-2019,13:00:00,1006.80,10.00,14.8,0.00,28.88,0.00,220,34.5,23.5,53
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,988.14,07-09-2019,13:00:00,1008.48,10.00,9.3,0.00,29.46,0.01,240,34.5,23.8,54
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1008.10,07-09-2019,13:00:00,1008.53,10.00,14.8,0.00,30.36,0.00,170,32.0,24.3,64
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1006.91,07-09-2019,13:00:00,1008.30,11.00,5.6,0.00,34.43,22.00,230,32.8,26.4,69
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1003.49,07-09-2019,13:00:00,1008.33,9.00,0.0,0.00,31.87,0.80,000,33.0,25.1,63
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1005.04,07-09-2019,13:00:00,1008.25,12.00,9.3,0.00,28.76,0.00,280,35.0,23.4,51
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1007.49,07-09-2019,13:00:00,1008.58,10.00,7.4,0.00,28.43,0.00,290,34.0,23.2,53
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1008.28,07-09-2019,13:00:00,1008.57,10.00,11.1,0.00,31.11,0.00,220,32.5,24.7,64
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1007.65,07-09-2019,13:00:00,1008.33,8.00,0.0,5.40,33.17,5.40,000,30.0,25.8,78
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1007.57,07-09-2019,13:00:00,1008.06,10.00,3.7,6.20,34.70,6.20,240,29.2,26.5,86
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1007.17,07-09-2019,13:00:00,1008.55,10.00,22.2,0.00,28.48,0.00,280,32.9,23.2,57
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1007.42,07-09-2019,13:00:00,1009.08,10.00,20.4,0.00,30.34,0.00,210,30.3,24.3,70
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1002.73,07-09-2019,13:00:00,1010.61,15.00,14.8,0.00,29.13,0.00,270,32.8,23.6,59
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1008.22,07-09-2019,13:00:00,1008.50,12.00,5.6,0.00,30.20,0.00,210,33.6,24.2,58
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1005.78,07-09-2019,13:00:00,1008.87,12.00,5.6,0.00,31.93,0.00,260,31.5,25.1,69
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1002.25,07-09-2019,13:00:00,1009.10,12.00,5.6,0.00,30.57,0.00,270,31.4,24.4,67
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1002.75,07-09-2019,13:00:00,1008.23,7.00,7.4,0.00,31.59,0.00,260,33.7,25.0,60
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,999.35,07-09-2019,13:00:00,1008.53,10.00,11.1,0.00,31.77,0.00,250,31.7,25.0,68
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1008.58,07-09-2019,13:00:00,1009.82,15.00,11.1,0.00,29.62,0.00,260,33.6,23.9,57
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1008.34,07-09-2019,13:00:00,1008.76,11.00,7.4,0.00,33.09,0.00,150,34.8,25.7,60
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,996.54,07-09-2019,13:00:00,1008.52,10.00,11.1,0.00,28.18,0.00,230,34.3,23.1,52
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1008.16,07-09-2019,13:00:00,1008.86,10.00,9.3,0.00,33.88,6.10,130,32.0,26.1,71
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1007.16,07-09-2019,13:00:00,1009.55,10.00,18.5,0.00,30.00,0.00,180,34.2,24.1,56
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1010.00,07-09-2019,13:00:00,1010.52,12.00,7.4,0.00,33.40,0.00,230,31.5,25.9,72
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1003.72,07-09-2019,13:00:00,1008.80,14.00,5.6,0.00,30.77,0.00,160,32.2,24.5,64
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1008.99,07-09-2019,13:00:00,1009.40,10.00,5.6,0.70,31.84,0.70,200,30.9,25.1,71
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1006.68,07-09-2019,13:00:00,1009.43,8.00,0.0,0.30,32.84,0.50,000,30.4,25.6,76
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1008.65,07-09-2019,13:00:00,1009.41,12.00,0.0,0.00,24.87,0.00,000,36.6,21.0,41
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1009.28,07-09-2019,13:00:00,1009.73,10.00,7.4,0.00,33.99,2.60,280,32.6,26.2,69
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1009.06,07-09-2019,13:00:00,1009.73,12.00,9.3,0.00,27.26,0.00,340,33.7,22.5,52
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1008.37,07-09-2019,13:00:00,1009.86,10.00,3.7,0.00,28.72,0.20,270,34.0,23.4,54
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.02,07-09-2019,13:00:00,1010.93,10.00,11.1,0.00,31.35,0.00,250,32.2,24.8,65
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1009.64,07-09-2019,13:00:00,1010.31,12.00,5.6,0.00,27.52,0.00,270,35.1,22.7,49
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1009.27,07-09-2019,13:00:00,1010.05,10.00,11.1,0.00,27.61,4.60,170,35.0,22.7,49
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1009.03,07-09-2019,13:00:00,1009.64,10.00,5.6,0.00,38.61,0.00,210,36.2,28.4,64
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1009.00,07-09-2019,13:00:00,1009.39,10.00,11.1,0.00,28.35,0.00,220,36.2,23.2,47
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1007.77,07-09-2019,13:00:00,1011.89,10.00,13.0,0.00,22.35,0.00,240,34.7,19.3,40
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1007.68,07-09-2019,13:00:00,1009.25,12.00,9.3,0.00,25.51,0.00,200,33.8,21.4,49
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1006.56,07-09-2019,13:00:00,1009.96,12.00,5.6,0.00,29.29,0.00,200,34.7,23.7,53
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.35,07-09-2019,13:00:00,1009.68,8.00,13.0,0.00,25.90,2.80,180,33.0,21.7,51
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.06,07-09-2019,13:00:00,1010.93,13.00,5.6,0.00,30.32,0.00,240,31.7,24.3,65
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1007.51,07-09-2019,13:00:00,1011.02,10.00,9.3,0.00,29.58,0.00,250,32.6,23.9,60
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.10,07-09-2019,13:00:00,1010.52,10.00,0.0,0.00,30.28,0.00,000,33.5,24.2,59
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.77,07-09-2019,13:00:00,1010.75,10.00,0.0,0.00,29.66,0.00,000,32.5,23.9,61
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.10,07-09-2019,13:00:00,1010.90,10.00,11.1,0.00,31.50,0.00,190,33.8,24.9,60
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.76,07-09-2019,13:00:00,1010.54,10.00,18.5,0.00,27.43,0.00,210,33.5,22.6,53
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.74,07-09-2019,13:00:00,1009.47,12.00,11.1,0.00,26.60,8.80,260,34.5,22.1,49
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1006.17,07-09-2019,13:00:00,1010.09,10.00,18.5,0.00,27.23,0.01,230,33.4,22.5,53
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.99,07-09-2019,13:00:00,1010.67,10.00,9.3,0.00,30.39,21.70,190,29.9,24.3,72
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.99,07-09-2019,13:00:00,1010.08,12.00,9.3,0.00,27.87,5.80,270,33.3,22.9,54
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1007.48,07-09-2019,13:00:00,1010.34,12.00,13.0,0.00,30.67,6.40,260,34.1,24.5,57
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1009.04,07-09-2019,13:00:00,1009.72,11.00,5.6,0.00,30.57,30.70,210,33.5,24.4,59
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1006.08,07-09-2019,13:00:00,1010.13,10.00,7.4,0.00,31.54,51.40,210,33.4,24.9,61
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1009.56,07-09-2019,13:00:00,1010.14,12.00,9.3,0.00,26.45,0.00,050,33.0,22.0,53
