WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,StationPressure,MeanSeaLevelPressure,VaporPressure,AirTemperature,Rainfall,Rainfall24Hr,LandVisibility,WindDirection,WindSpeed,RelativeHumidity
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.2,10-06-2019,22:00:00,985.22,1011.19,28.34,25.8,0.00,2.50,10.00,000,0.0,85
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,26.1,10-06-2019,22:00:00,1005.60,1011.39,33.86,28.1,0.00,0.00,10.00,000,0.0,89
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,26.0,10-06-2019,22:00:00,1005.41,1011.61,33.66,28.0,0.00,0.00,7.00,000,0.0,89
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,21.4,10-06-2019,22:00:00,996.14,1012.67,25.55,27.0,0.00,3.80,10.00,000,0.0,72
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.6,10-06-2019,22:00:00,988.27,1010.78,29.11,25.5,0.00,0.00,10.00,000,0.0,89
48376,TAK,ตาก,ตาก,16.87833,99.14333,24.5,10-06-2019,22:00:00,997.92,1012.39,30.72,26.8,0.00,0.00,6.00,000,0.0,87
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.1,10-06-2019,22:00:00,995.72,1012.29,28.22,25.0,0.00,0.00,8.00,000,0.0,89
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.0,10-06-2019,22:00:00,1006.49,1011.73,31.72,27.6,0.00,0.00,7.00,000,0.0,86
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,23.1,10-06-2019,22:00:00,997.57,1010.83,28.29,26.5,0.00,0.00,10.00,000,0.0,82
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.7,10-06-2019,22:00:00,1002.25,1011.65,31.11,26.0,0.00,8.50,10.00,000,0.0,93
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,22.6,10-06-2019,22:00:00,990.75,1012.56,27.44,26.9,0.00,4.00,10.00,000,0.0,77
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,23.7,10-06-2019,22:00:00,995.10,1012.74,29.25,26.3,0.00,7.50,7.00,000,0.0,86
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,22.3,10-06-2019,22:00:00,996.10,1011.98,26.95,27.5,0.00,0.00,10.00,030,5.6,73
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.5,10-06-2019,22:00:00,992.32,1011.37,30.81,25.7,0.00,7.00,7.00,000,0.0,93
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.5,10-06-2019,22:00:00,961.83,1013.81,25.68,23.2,0.00,0.00,7.00,000,0.0,90
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.3,10-06-2019,22:00:00,1007.42,1011.38,34.23,28.0,0.00,0.01,8.00,000,0.0,91
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,19.8,10-06-2019,22:00:00,917.54,1013.63,23.12,20.3,0.00,1.70,7.00,000,0.0,97
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.2,10-06-2019,22:00:00,996.63,1012.69,32.05,27.2,0.00,19.40,8.00,000,0.0,89
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.2,10-06-2019,22:00:00,1007.72,1011.77,32.13,27.1,0.00,0.00,7.00,000,0.0,90
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,23.2,10-06-2019,22:00:00,1002.34,1013.12,28.42,25.7,0.00,0.00,7.00,000,0.0,86
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,22.5,10-06-2019,22:00:00,1010.51,1012.45,27.23,26.2,0.00,0.00,9.00,180,3.7,80
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,22.9,10-06-2019,22:00:00,991.38,1012.34,27.98,27.2,0.00,0.00,10.00,000,0.0,78
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.1,10-06-2019,22:00:00,994.20,1011.97,31.79,26.5,0.00,8.00,10.00,000,0.0,92
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,25.4,10-06-2019,22:00:00,995.54,1011.75,32.36,27.5,0.00,6.30,10.00,200,5.6,88
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,23.2,10-06-2019,22:00:00,997.86,1012.02,28.34,25.8,0.00,0.00,10.00,000,0.0,85
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,23.0,10-06-2019,22:00:00,997.62,1012.65,28.11,24.5,0.00,0.00,8.00,000,0.0,91
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,24.2,10-06-2019,22:00:00,997.92,1012.74,30.17,25.5,0.00,0.00,7.00,000,0.0,93
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,24.0,10-06-2019,22:00:00,1008.53,1011.55,29.77,27.3,0.00,1.00,8.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,82
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,22.3,10-06-2019,22:00:00,1003.70,1011.68,26.93,27.2,0.00,0.00,8.00,000,0.0,75
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,24.2,10-06-2019,22:00:00,1010.70,1011.82,30.28,25.7,0.00,0.60,8.00,000,0.0,92
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.7,10-06-2019,22:00:00,997.86,1012.69,31.08,25.7,0.00,14.50,8.00,000,0.0,94
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.3,10-06-2019,22:00:00,877.38,1013.24,20.97,19.4,0.00,3.20,6.00,050,5.6,93
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.2,10-06-2019,22:00:00,1006.10,1012.03,30.24,26.4,0.00,0.00,10.00,000,0.0,88
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.3,10-06-2019,22:00:00,1011.14,1011.94,30.43,26.5,0.00,0.00,6.00,000,0.0,88
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,24.3,10-06-2019,22:00:00,1011.55,1012.00,30.30,26.0,0.00,6.10,7.00,000,0.0,90
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.0,10-06-2019,22:00:00,1000.76,1012.18,29.91,25.5,0.00,0.60,5.00,000,0.0,92
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,23.8,10-06-2019,22:00:00,1011.26,1012.28,29.52,26.3,0.10,0.10,7.00,000,0.0,86
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,23.4,10-06-2019,22:00:00,1010.29,1012.14,28.74,25.0,0.00,5.20,8.00,080,3.7,91
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,23.8,10-06-2019,22:00:00,1011.23,1011.99,29.48,27.0,0.00,0.00,8.00,000,0.0,83
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,23.9,10-06-2019,22:00:00,1010.83,1011.54,29.64,25.5,0.00,13.40,9.00,030,5.6,91
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,23.9,10-06-2019,22:00:00,1010.61,1011.32,29.62,26.5,0.00,4.30,8.00,000,0.0,86
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,22.6,10-06-2019,22:00:00,991.17,1012.58,27.45,25.0,0.00,0.00,7.00,000,0.0,87
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,23.0,10-06-2019,22:00:00,995.54,1012.48,28.11,24.5,5.30,5.60,6.00,000,0.0,91
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,23.0,10-06-2019,22:00:00,995.96,1012.62,28.11,24.5,11.40,11.40,6.00,000,0.0,91
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,22.1,10-06-2019,22:00:00,990.43,1012.57,26.60,24.8,0.00,21.50,10.00,000,0.0,85
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,20.9,10-06-2019,22:00:00,968.54,1012.51,24.71,23.5,0.00,0.01,8.00,060,9.3,85
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.4,10-06-2019,22:00:00,991.58,1012.36,28.75,25.3,0.00,11.40,10.00,330,5.6,89
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,22.7,10-06-2019,22:00:00,992.71,1013.97,27.57,22.7,22.60,28.60,8.00,220,9.3,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,24.1,10-06-2019,22:00:00,1011.08,1011.52,30.07,27.6,0.00,0.30,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,81
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.2,10-06-2019,22:00:00,1010.20,1011.64,30.17,25.5,0.00,0.00,8.00,000,0.0,93
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.2,10-06-2019,22:00:00,1006.73,1011.72,30.22,24.8,0.00,12.50,7.00,000,0.0,97
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,23.8,10-06-2019,22:00:00,1008.49,1011.81,29.43,26.4,0.00,0.00,10.00,300,3.7,86
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.2,10-06-2019,22:00:00,1010.55,1011.66,30.20,27.1,0.00,0.00,10.00,000,0.0,84
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.3,10-06-2019,22:00:00,1011.16,1011.47,30.36,25.6,0.90,11.70,8.00,000,0.0,93
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.4,10-06-2019,22:00:00,1010.72,1011.21,30.58,25.0,0.00,16.40,10.00,000,0.0,97
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,23.6,10-06-2019,22:00:00,1010.32,1011.74,29.08,26.5,0.00,15.00,10.00,090,1.9,84
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,23.7,10-06-2019,22:00:00,1005.12,1013.25,29.30,24.0,0.00,47.50,10.00,000,0.0,98
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,24.7,10-06-2019,22:00:00,1010.85,1011.14,31.08,25.7,0.00,5.50,6.00,000,0.0,94
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.4,10-06-2019,22:00:00,1008.01,1011.16,30.59,26.3,0.00,0.20,10.00,000,0.0,89
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,24.0,10-06-2019,22:00:00,1004.39,1011.40,29.82,25.6,0.00,29.60,10.00,000,0.0,91
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.2,10-06-2019,22:00:00,1006.68,1012.33,30.19,25.8,0.00,4.60,8.00,000,0.0,91
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.7,10-06-2019,22:00:00,1011.10,1012.38,31.17,25.6,0.00,0.30,6.00,000,0.0,95
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,25.3,10-06-2019,22:00:00,1010.82,1011.25,32.22,28.7,0.00,6.60,11.00,080,3.7,82
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.9,10-06-2019,22:00:00,999.83,1012.25,29.59,24.6,0.00,16.80,8.00,000,0.0,96
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,24.7,10-06-2019,22:00:00,1010.71,1011.43,31.14,27.3,0.00,11.80,8.00,000,0.0,86
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.1,10-06-2019,22:00:00,1009.45,1011.91,30.09,25.6,0.00,145.60,8.00,350,5.6,92
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,24.6,10-06-2019,22:00:00,1011.08,1011.60,30.84,26.0,0.00,5.70,8.00,000,0.0,92
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.2,10-06-2019,22:00:00,1006.38,1011.59,30.15,25.2,0.00,22.40,6.00,000,0.0,94
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,23.8,10-06-2019,22:00:00,1011.51,1011.92,29.39,25.8,0.00,0.60,7.00,000,0.0,89
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,24.4,10-06-2019,22:00:00,1009.11,1011.92,30.48,24.8,0.00,0.70,8.00,000,0.0,97
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,24.2,10-06-2019,22:00:00,1011.23,1012.03,30.26,26.7,0.00,0.00,10.00,000,0.0,86
48501,TRAD,ตราด,ตราด,11.76667,102.88333,22.2,10-06-2019,22:00:00,1011.63,1012.10,26.81,26.4,0.00,0.20,7.00,080,7.4,78
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.4,10-06-2019,22:00:00,1010.86,1011.55,30.52,25.4,0.00,2.00,7.00,000,0.0,94
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.8,10-06-2019,22:00:00,1009.66,1011.20,29.52,25.0,0.00,1.00,6.00,000,0.0,93
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.5,10-06-2019,22:00:00,1011.01,1011.94,28.92,25.1,0.00,12.60,10.00,000,0.0,91
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.6,10-06-2019,22:00:00,1010.82,1011.51,30.97,26.5,0.00,0.00,10.00,000,0.0,89
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.6,10-06-2019,22:00:00,1010.88,1011.69,29.16,24.8,0.00,0.00,8.00,000,0.0,93
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.3,10-06-2019,22:00:00,1010.58,1011.22,30.34,25.3,0.00,0.00,10.00,000,0.0,94
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.2,10-06-2019,22:00:00,1011.08,1011.49,30.15,25.2,0.00,0.00,10.00,000,0.0,94
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.6,10-06-2019,22:00:00,1009.43,1013.70,29.16,24.8,0.00,0.10,5.00,000,0.0,93
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.8,10-06-2019,22:00:00,1009.99,1011.62,29.52,25.0,0.00,0.00,10.00,000,0.0,93
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.0,10-06-2019,22:00:00,1007.58,1011.09,29.85,24.6,0.00,0.01,7.00,000,0.0,97
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.0,10-06-2019,22:00:00,1009.97,1011.34,29.77,24.7,0.00,0.00,7.00,000,0.0,96
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.5,10-06-2019,22:00:00,1010.00,1010.89,30.67,26.2,0.00,0.10,10.00,000,0.0,90
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.7,10-06-2019,22:00:00,1008.04,1011.65,29.23,24.4,0.00,3.00,10.00,000,0.0,96
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.6,10-06-2019,22:00:00,1010.98,1011.42,30.97,26.5,0.00,8.60,10.00,000,0.0,89
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.6,10-06-2019,22:00:00,1009.67,1010.67,30.89,26.6,0.00,0.20,8.00,000,0.0,89
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,23.8,10-06-2019,22:00:00,1010.66,1011.48,29.48,25.7,0.00,0.40,10.00,090,7.4,89
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.0,10-06-2019,22:00:00,1009.67,1011.50,29.77,24.7,0.00,36.00,10.00,000,0.0,96
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.8,10-06-2019,22:00:00,1010.71,1011.46,29.52,26.3,0.00,0.00,9.00,280,3.7,86
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.6,10-06-2019,22:00:00,1007.81,1011.85,30.93,24.9,0.00,24.60,8.00,210,3.7,98
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.0,10-06-2019,22:00:00,1011.56,1012.25,29.89,25.2,0.00,0.00,10.00,000,0.0,93
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.3,10-06-2019,22:00:00,1010.26,1011.38,30.42,25.2,0.00,14.00,10.00,000,0.0,95
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.8,10-06-2019,22:00:00,1008.92,1011.87,31.22,25.2,0.00,3.60,10.00,000,0.0,97
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,23.8,10-06-2019,22:00:00,1010.35,1011.05,29.52,25.0,0.00,1.70,7.00,000,0.0,93
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,22.4,10-06-2019,22:00:00,1007.80,1011.99,27.16,23.5,0.00,4.00,7.00,260,5.6,94
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,22.8,10-06-2019,22:00:00,1010.66,1011.25,27.70,25.0,0.00,0.00,9.00,240,11.1,88
