WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,LandVisibility,VaporPressure,MeanSeaLevelPressure,WindDirection,AirTemperature,StationPressure,WindSpeed,RelativeHumidity,Rainfall,DewPoint,Rainfall24Hr
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10-09-2019,10:00:00,9.00,30.31,1012.97,000,30.0,1005.69,0.0,71,0.00,24.3,7.70
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10-09-2019,10:00:00,8.00,27.80,1013.93,340,29.7,994.09,3.7,67,0.00,22.8,10.40
48353,LOEI,เลย,เลย,17.45000,101.73333,10-09-2019,10:00:00,15.00,26.34,1014.06,310,29.2,985.46,5.6,65,0.00,21.9,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10-09-2019,10:00:00,15.00,27.74,1013.67,020,30.1,993.58,7.4,65,0.00,22.8,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10-09-2019,10:00:00,12.00,26.44,1014.37,050,30.7,992.77,3.7,60,0.00,22.0,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10-09-2019,10:00:00,14.00,26.13,1013.44,020,30.1,994.04,7.4,61,0.00,21.8,0.01
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10-09-2019,10:00:00,12.00,26.97,1014.10,000,30.7,997.45,0.0,61,0.00,22.3,10.60
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10-09-2019,10:00:00,10.00,27.39,1014.02,090,30.2,996.68,3.7,64,0.00,22.6,7.50
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10-09-2019,10:00:00,12.00,27.39,1013.08,090,30.2,987.44,7.4,64,0.00,22.6,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10-09-2019,10:00:00,8.00,33.70,1013.06,240,31.5,1007.32,3.7,73,0.00,26.0,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10-09-2019,10:00:00,8.00,30.90,1013.02,280,31.0,1006.87,7.4,69,0.00,24.6,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10-09-2019,10:00:00,10.00,27.55,1013.63,000,30.0,997.25,0.0,65,0.00,22.7,0.10
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10-09-2019,10:00:00,10.00,28.37,1013.29,000,29.0,990.99,0.0,71,0.00,23.2,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,10-09-2019,10:00:00,10.00,30.63,1013.96,000,29.6,999.60,0.0,74,0.00,24.4,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10-09-2019,10:00:00,8.00,28.50,1013.38,000,30.5,997.08,0.0,65,0.00,23.2,5.60
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10-09-2019,10:00:00,10.00,29.19,1013.58,000,30.0,1008.37,0.0,69,0.00,23.6,1.90
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10-09-2019,10:00:00,12.00,26.73,1011.47,000,31.0,998.39,0.0,60,0.00,22.2,0.70
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10-09-2019,10:00:00,12.00,30.83,1013.30,000,29.7,1004.00,0.0,74,0.00,24.6,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10-09-2019,10:00:00,10.00,27.68,1013.43,060,30.5,991.86,9.3,63,0.00,22.8,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10-09-2019,10:00:00,10.00,28.91,1013.33,030,30.0,995.89,7.4,68,0.00,23.5,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10-09-2019,10:00:00,12.00,31.31,1012.68,080,30.5,996.95,11.1,72,0.00,24.8,0.10
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10-09-2019,10:00:00,10.00,27.95,1012.37,020,30.5,993.61,7.4,64,0.00,22.9,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10-09-2019,10:00:00,11.00,25.46,1014.52,000,26.8,963.10,0.0,72,0.00,21.4,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10-09-2019,10:00:00,7.00,30.90,1012.73,320,31.7,1008.81,3.7,66,0.00,24.6,0.01
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,10-09-2019,10:00:00,9.00,22.98,1012.87,060,25.9,918.55,7.4,69,0.00,19.7,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10-09-2019,10:00:00,10.00,28.29,1012.68,040,29.1,996.72,9.3,70,0.00,23.1,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10-09-2019,10:00:00,6.00,32.42,1013.47,030,29.5,1009.44,5.6,79,0.00,25.4,30.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10-09-2019,10:00:00,8.00,30.56,1014.60,020,28.0,1003.88,9.3,81,0.00,24.4,30.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10-09-2019,10:00:00,10.00,29.88,1013.92,330,29.5,1012.00,3.7,72,0.00,24.0,0.01
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10-09-2019,10:00:00,10.00,27.35,1013.16,040,30.9,992.44,7.4,61,0.00,22.6,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10-09-2019,10:00:00,10.00,28.64,1012.67,070,30.0,995.08,16.7,68,0.00,23.3,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10-09-2019,10:00:00,10.00,28.78,1012.48,090,30.5,996.42,9.3,66,0.00,23.4,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10-09-2019,10:00:00,10.00,31.15,1012.70,000,30.7,998.76,0.0,71,0.00,24.7,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10-09-2019,10:00:00,10.00,31.64,1013.18,000,31.5,998.48,0.0,68,0.00,25.0,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10-09-2019,10:00:00,10.00,33.17,1013.67,000,30.0,999.05,0.0,78,0.00,25.8,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10-09-2019,10:00:00,10.00,32.17,1013.10,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",29.8,1010.09,0.0,77,0.00,25.3,28.10
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10-09-2019,10:00:00,10.00,30.97,1013.44,000,27.5,1005.45,0.0,84,9.10,24.6,15.30
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,10-09-2019,10:00:00,8.00,32.80,1013.20,030,30.8,1012.10,3.7,74,0.00,25.6,2.60
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,10-09-2019,10:00:00,9.00,32.42,1010.32,110,29.5,995.70,3.7,79,0.00,25.4,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,10-09-2019,10:00:00,8.00,23.46,1012.70,030,22.7,878.29,5.6,85,0.00,20.1,10.60
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10-09-2019,10:00:00,8.00,34.40,1013.31,000,28.5,1007.42,0.0,88,1.40,26.4,6.10
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,10-09-2019,10:00:00,8.00,32.34,1013.60,050,31.0,1012.80,7.4,72,0.00,25.4,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10-09-2019,10:00:00,8.00,32.34,1012.73,150,31.0,1012.28,3.7,72,0.00,25.4,6.40
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,10-09-2019,10:00:00,10.00,31.45,1013.32,000,29.3,1002.03,0.0,77,0.00,24.9,5.30
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10-09-2019,10:00:00,8.00,30.01,1013.28,040,30.7,1012.27,5.6,68,0.00,24.1,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,10-09-2019,10:00:00,7.00,31.84,1013.46,020,30.2,1011.64,3.7,74,0.00,25.1,24.50
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,10-09-2019,10:00:00,9.00,29.27,1013.16,000,31.6,1012.40,0.0,63,0.00,23.7,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10-09-2019,10:00:00,10.00,30.95,1008.78,030,29.9,1008.08,9.3,73,0.00,24.6,0.60
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,10-09-2019,10:00:00,10.00,29.66,1012.65,250,32.5,1011.95,3.7,61,0.00,23.9,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10-09-2019,10:00:00,8.00,31.00,1013.05,050,29.5,991.94,5.6,75,0.00,24.6,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10-09-2019,10:00:00,9.00,30.63,1012.69,000,29.6,996.03,0.0,74,0.00,24.4,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,10-09-2019,10:00:00,12.00,30.32,1013.77,100,29.3,997.35,5.6,74,0.00,24.3,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10-09-2019,10:00:00,8.00,32.46,1013.15,000,29.1,991.31,0.0,81,0.00,25.4,0.01
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10-09-2019,10:00:00,7.00,28.53,1013.22,000,27.5,969.78,0.0,78,0.00,23.3,0.01
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10-09-2019,10:00:00,10.00,31.40,1012.93,020,29.7,992.43,3.7,75,3.10,24.9,3.90
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10-09-2019,10:00:00,9.00,33.25,1015.01,040,29.9,994.23,9.3,79,0.00,25.8,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10-09-2019,10:00:00,10.00,29.68,1013.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",31.1,1012.57,0.0,66,0.00,23.9,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,10-09-2019,10:00:00,11.00,31.72,1012.56,000,30.0,1011.15,0.0,75,0.00,25.0,23.70
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,10-09-2019,10:00:00,8.00,32.88,1012.69,000,28.6,1007.75,0.0,84,0.00,25.6,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10-09-2019,10:00:00,9.00,29.19,1013.02,090,31.7,1009.76,3.7,62,0.00,23.6,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10-09-2019,10:00:00,10.00,30.70,1013.22,000,30.9,1012.12,0.0,69,0.00,24.5,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10-09-2019,10:00:00,10.00,32.34,1013.13,290,31.0,1012.83,11.1,72,0.00,25.4,0.01
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10-09-2019,10:00:00,10.00,30.46,1013.07,290,30.5,1012.39,3.7,70,0.00,24.3,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10-09-2019,10:00:00,8.00,31.52,1013.10,300,29.9,1012.61,3.7,75,0.00,24.9,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10-09-2019,10:00:00,10.00,31.72,1013.37,330,30.0,1011.96,11.1,75,0.00,25.0,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10-09-2019,10:00:00,8.00,31.54,1013.29,000,28.5,1011.61,0.0,81,0.00,24.9,5.80
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10-09-2019,10:00:00,10.00,31.95,1015.05,000,28.0,1007.01,0.0,85,0.00,25.1,2.50
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10-09-2019,10:00:00,4.00,35.23,1012.59,090,30.0,1012.31,5.6,83,0.00,26.8,23.30
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10-09-2019,10:00:00,10.00,33.39,1012.67,250,30.8,1009.56,5.6,75,0.00,25.9,84.50
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10-09-2019,10:00:00,8.00,33.17,1013.00,300,30.0,1006.09,5.6,78,0.00,25.8,10.90
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10-09-2019,10:00:00,10.00,32.13,1013.43,280,29.5,1007.84,5.6,78,0.00,25.2,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,10-09-2019,10:00:00,8.00,34.22,1013.60,000,30.5,1004.34,0.0,78,0.00,26.3,22.10
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10-09-2019,10:00:00,12.00,31.89,1013.53,320,29.1,1012.26,11.1,79,0.00,25.1,19.20
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,10-09-2019,10:00:00,11.00,32.09,1013.03,030,29.9,1012.60,14.8,76,0.00,25.2,14.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10-09-2019,10:00:00,8.00,27.22,1013.19,000,30.4,1000.99,0.0,63,0.00,22.5,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10-09-2019,10:00:00,10.00,32.17,1012.89,030,29.8,1012.17,11.1,77,0.00,25.3,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10-09-2019,10:00:00,9.00,33.40,1012.89,080,31.5,1010.48,7.4,72,0.00,25.9,35.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10-09-2019,10:00:00,8.00,32.79,1012.50,260,30.1,1011.98,7.4,77,0.00,25.6,0.01
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,10-09-2019,10:00:00,12.00,30.13,1012.61,010,30.9,1007.49,3.7,67,0.00,24.2,4.60
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,10-09-2019,10:00:00,10.00,30.08,1012.61,040,32.0,1012.20,5.6,63,0.00,24.1,0.80
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,10-09-2019,10:00:00,8.00,30.90,1012.89,000,31.0,1010.14,0.0,69,0.00,24.6,6.30
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10-09-2019,10:00:00,8.00,31.27,1012.15,040,32.3,1011.38,11.1,65,0.00,24.8,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,10-09-2019,10:00:00,8.00,34.16,1012.57,280,31.3,1012.12,3.7,75,0.00,26.3,6.20
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,10-09-2019,10:00:00,7.00,30.72,1013.49,000,26.8,1012.80,0.0,87,0.00,24.5,7.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,10-09-2019,10:00:00,9.00,31.89,1012.58,000,29.8,1011.06,0.0,76,0.00,25.1,2.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10-09-2019,10:00:00,10.00,29.75,1012.96,000,30.0,1012.05,0.0,70,0.00,24.0,0.40
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10-09-2019,10:00:00,12.00,33.47,1012.53,100,30.7,1011.85,11.1,76,0.00,25.9,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10-09-2019,10:00:00,10.00,33.80,1012.89,350,30.3,1012.10,5.6,78,0.00,26.1,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10-09-2019,10:00:00,12.00,32.34,1012.20,000,31.0,1011.57,0.0,72,0.00,25.4,3.70
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10-09-2019,10:00:00,12.00,33.27,1012.52,000,31.3,1012.12,0.0,73,0.00,25.8,1.40
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,10-09-2019,10:00:00,8.00,31.97,1014.43,000,29.7,1010.23,0.0,77,0.00,25.2,9.60
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10-09-2019,10:00:00,12.00,27.47,1013.04,000,27.5,1011.42,0.0,75,0.00,22.6,0.80
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10-09-2019,10:00:00,12.00,33.41,1012.45,000,29.7,1008.99,0.0,80,0.00,25.9,11.30
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10-09-2019,10:00:00,10.00,31.48,1012.59,150,29.6,1011.24,3.7,76,0.00,24.9,0.60
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10-09-2019,10:00:00,10.00,31.97,1012.29,000,30.4,1011.41,0.0,74,0.00,25.2,5.50
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10-09-2019,10:00:00,10.00,30.08,1012.16,000,29.6,1008.61,0.0,73,0.00,24.1,2.20
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10-09-2019,10:00:00,10.00,30.90,1012.47,030,31.0,1012.04,5.6,69,0.00,24.6,4.80
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10-09-2019,10:00:00,10.00,27.52,1011.52,050,30.7,1010.54,9.3,62,0.00,22.7,13.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10-09-2019,10:00:00,10.00,33.66,1012.43,000,29.4,1011.62,0.0,82,0.00,26.0,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10-09-2019,10:00:00,10.00,30.96,1012.99,000,29.2,1011.18,0.0,76,0.00,24.6,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10-09-2019,10:00:00,12.00,30.59,1012.58,250,28.3,1011.83,5.6,80,0.00,24.4,53.70
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10-09-2019,10:00:00,10.00,29.38,1013.25,990,29.1,1009.26,5.6,73,0.00,23.7,11.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10-09-2019,10:00:00,10.00,30.23,1012.73,000,28.4,1012.04,0.0,78,0.00,24.2,41.50
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10-09-2019,10:00:00,10.00,30.96,1012.45,000,29.2,1011.33,0.0,76,0.00,24.6,19.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10-09-2019,10:00:00,12.00,32.01,1012.58,000,30.0,1009.68,0.0,75,0.00,25.2,12.70
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,10-09-2019,10:00:00,8.00,31.13,1012.12,000,29.0,1011.43,0.0,78,0.00,24.7,36.50
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,10-09-2019,10:00:00,8.00,31.70,1012.90,000,28.3,1008.77,0.0,82,0.00,25.0,24.60
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10-09-2019,10:00:00,10.00,30.31,1011.64,150,30.0,1011.06,13.0,71,0.00,24.3,84.10
