WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,LandVisibility,WindDirection,DewPoint,WindSpeed,MinimumTemperature,Rainfall,StationPressure,VaporPressure,MeanSeaLevelPressure,AirTemperature,RelativeHumidity
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-26-2019,07:00:00,10.00,000,21.0,0.0,22.0,0.00,993.73,24.89,1017.08,22.4,92
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-26-2019,07:00:00,7.00,000,20.0,0.0,20.5,0.00,986.68,23.44,1017.38,21.3,93
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-26-2019,07:00:00,6.00,000,21.0,0.0,21.3,0.00,980.85,24.91,1017.27,21.5,97
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-26-2019,07:00:00,3.00,000,20.7,0.0,20.5,0.00,985.95,24.44,1016.43,21.5,95
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-26-2019,07:00:00,8.00,000,21.8,0.0,24.2,0.00,1007.80,26.09,1015.22,24.5,85
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-26-2019,07:00:00,5.00,010,22.1,3.7,24.5,0.00,996.15,26.62,1016.30,25.7,81
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-26-2019,07:00:00,3.00,000,20.5,0.0,21.4,0.00,987.40,24.03,1016.77,22.0,91
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-26-2019,07:00:00,8.00,000,22.3,0.0,23.3,0.00,995.83,26.92,1016.39,23.8,91
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-26-2019,07:00:00,6.00,000,21.8,0.0,22.0,0.00,994.35,26.09,1016.56,23.0,93
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-26-2019,07:00:00,8.00,000,21.7,0.0,23.0,0.00,995.86,25.93,1015.65,24.7,83
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-26-2019,07:00:00,7.00,000,21.6,0.0,23.2,0.00,999.06,25.84,1016.10,24.2,86
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-26-2019,07:00:00,5.00,000,22.8,0.0,22.6,0.00,998.67,27.76,1016.40,24.0,93
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-26-2019,07:00:00,9.00,000,21.7,0.0,22.5,0.00,988.96,25.92,1015.23,23.5,90
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-26-2019,07:00:00,6.00,000,24.9,0.0,24.0,0.00,1008.74,31.41,1014.60,25.3,97
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-26-2019,07:00:00,6.00,000,23.7,0.0,24.1,0.00,1008.94,29.33,1015.23,24.6,95
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-26-2019,07:00:00,10.00,000,20.5,0.0,22.2,0.00,999.55,24.08,1016.36,22.8,87
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,09-26-2019,07:00:00,8.00,000,21.5,0.0,22.1,0.00,991.12,25.60,1013.89,23.0,91
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-26-2019,07:00:00,6.00,000,23.0,0.0,23.2,0.00,1001.41,28.01,1016.07,24.0,94
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-26-2019,07:00:00,7.00,000,23.3,0.0,23.5,0.00,999.17,28.53,1015.86,24.0,96
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-26-2019,07:00:00,6.00,040,23.2,7.4,24.7,0.00,1009.30,28.48,1014.60,25.0,90
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-26-2019,07:00:00,10.00,000,21.2,0.0,22.7,0.00,1000.91,25.11,1014.38,23.0,89
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-26-2019,07:00:00,6.00,000,23.1,0.0,24.0,0.00,1005.52,28.21,1014.99,24.7,91
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-26-2019,07:00:00,6.00,330,21.6,7.4,24.0,0.00,993.74,25.84,1015.79,24.5,84
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-26-2019,07:00:00,10.00,000,22.8,0.0,24.5,0.00,997.19,27.70,1014.95,25.0,88
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-26-2019,07:00:00,10.00,030,21.2,3.7,23.6,0.00,998.99,25.19,1015.05,25.0,80
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-26-2019,07:00:00,7.00,270,22.2,1.9,22.5,0.00,995.70,26.74,1014.98,23.1,95
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-26-2019,07:00:00,.20,000,19.6,0.0,19.5,0.00,962.94,22.75,1015.52,20.2,96
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-26-2019,07:00:00,3.00,000,24.0,0.0,25.3,0.00,1010.68,29.89,1014.67,26.5,86
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,09-26-2019,07:00:00,6.00,060,19.3,5.6,17.8,0.00,919.60,22.40,1015.70,20.9,91
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-26-2019,07:00:00,10.00,000,21.6,0.0,22.8,0.00,998.99,25.76,1015.25,24.3,85
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-26-2019,07:00:00,2.00,310,25.3,1.9,25.2,0.00,1010.85,32.26,1014.93,25.6,98
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-26-2019,07:00:00,9.00,000,21.8,0.0,23.5,0.00,1005.31,26.06,1016.07,27.0,73
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,09-26-2019,07:00:00,8.00,000,24.3,0.0,25.0,0.00,1013.07,30.38,1015.02,25.9,91
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-26-2019,07:00:00,8.00,000,20.7,0.0,22.6,0.00,994.25,24.45,1015.42,25.0,77
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-26-2019,07:00:00,10.00,060,20.7,14.8,23.0,0.00,997.00,24.45,1014.91,25.0,77
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-26-2019,07:00:00,10.00,050,21.3,9.3,23.7,0.00,998.28,25.35,1014.71,24.2,84
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-26-2019,07:00:00,9.00,020,21.6,3.7,23.5,0.00,1000.59,25.76,1014.85,24.6,83
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-26-2019,07:00:00,9.00,000,21.8,0.0,23.3,0.00,999.98,26.09,1015.05,24.5,85
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-26-2019,07:00:00,10.00,050,22.6,7.4,23.5,0.00,1000.17,27.45,1015.05,25.0,87
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-26-2019,07:00:00,3.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",24.7,0.0,24.1,0.00,1011.90,31.08,1014.96,25.7,94
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-26-2019,07:00:00,10.00,000,22.7,0.0,23.7,0.00,1006.97,27.61,1015.05,24.8,88
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-26-2019,07:00:00,8.00,010,22.2,14.8,23.5,0.00,1013.49,26.78,1014.61,25.2,84
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-26-2019,07:00:00,8.00,090,23.5,7.4,24.8,0.00,1000.29,29.00,1015.19,25.0,92
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,09-26-2019,07:00:00,8.00,090,16.8,11.1,18.0,0.00,879.41,19.15,1015.39,19.8,83
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-26-2019,07:00:00,5.00,000,23.3,0.0,22.6,0.00,1009.41,28.53,1015.40,24.0,96
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.01,09-26-2019,07:00:00,8.00,030,22.7,5.6,25.5,0.00,1013.21,27.66,1014.02,26.0,82
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-26-2019,07:00:00,8.00,120,24.0,3.7,26.3,0.00,1013.49,29.85,1013.93,27.2,83
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,09-26-2019,07:00:00,4.00,000,21.8,0.0,21.7,0.00,1003.48,26.17,1015.05,22.3,97
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-26-2019,07:00:00,8.00,000,23.8,0.0,24.9,0.00,1013.97,29.39,1015.00,25.8,89
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,09-26-2019,07:00:00,7.00,140,21.7,3.7,25.3,0.00,1012.96,25.96,1014.80,26.5,75
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-26-2019,07:00:00,8.00,000,23.0,0.0,23.8,0.00,1013.95,28.15,1014.73,25.4,87
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,09-26-2019,07:00:00,8.00,020,24.0,5.6,25.2,0.00,1013.19,29.89,1013.90,26.5,86
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-26-2019,07:00:00,8.00,080,21.5,7.4,25.6,0.00,1013.11,25.65,1013.82,27.5,70
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-26-2019,07:00:00,8.00,000,21.6,0.0,23.7,0.00,994.45,25.77,1015.92,25.2,80
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,09-26-2019,07:00:00,7.00,040,22.3,3.7,22.4,0.00,998.03,26.84,1015.02,24.5,87
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,09-26-2019,07:00:00,6.00,050,22.0,7.4,22.0,0.00,998.56,26.50,1015.32,23.4,92
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-26-2019,07:00:00,10.00,000,21.8,0.0,22.7,0.00,993.63,26.17,1015.93,23.5,90
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-26-2019,07:00:00,10.00,070,19.5,18.5,22.0,0.00,971.51,22.70,1015.51,24.2,75
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-26-2019,07:00:00,6.00,030,21.7,3.7,22.7,0.00,994.39,26.01,1015.33,24.0,87
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-26-2019,07:00:00,4.00,030,23.2,7.4,22.5,0.00,995.51,28.44,1016.73,24.1,95
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,09-26-2019,07:00:00,8.00,360,23.3,5.6,24.9,0.00,1013.93,28.60,1014.37,25.8,86
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,09-26-2019,07:00:00,8.00,060,22.4,3.7,25.6,0.00,1012.33,27.06,1013.76,26.1,80
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,09-26-2019,07:00:00,7.00,000,23.8,0.0,24.5,0.00,1009.43,29.44,1014.43,25.1,92
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-26-2019,07:00:00,7.00,000,22.8,0.0,22.4,0.00,1011.64,27.70,1014.98,25.0,88
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-26-2019,07:00:00,10.00,000,23.7,0.0,23.8,0.00,1014.25,29.30,1015.37,24.0,98
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,09-26-2019,07:00:00,10.00,050,22.7,9.3,26.4,0.00,1013.71,27.55,1014.01,27.4,76
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,09-26-2019,07:00:00,9.00,360,23.3,3.7,27.0,0.00,1012.99,28.65,1013.68,28.0,76
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-26-2019,07:00:00,10.00,000,24.0,0.0,27.2,0.00,1012.96,29.85,1013.46,27.2,83
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,09-26-2019,07:00:00,8.00,350,22.9,9.3,26.1,0.00,1012.95,27.96,1014.37,26.9,79
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,09-26-2019,07:00:00,8.00,030,23.9,5.6,28.4,0.00,1012.43,29.74,1014.11,29.0,74
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-26-2019,07:00:00,8.00,000,23.8,0.0,23.1,0.00,1008.10,29.41,1016.24,24.5,96
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-26-2019,07:00:00,10.00,000,24.1,0.0,25.7,0.00,1012.57,30.02,1012.85,27.0,84
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-26-2019,07:00:00,10.00,000,24.9,0.0,26.0,0.00,1011.19,31.44,1014.34,27.6,85
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-26-2019,07:00:00,8.00,060,22.8,11.1,26.2,0.00,1006.78,27.77,1013.78,26.5,80
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,09-26-2019,07:00:00,9.00,060,23.1,3.7,24.7,0.00,1009.25,28.25,1014.92,25.6,86
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,09-26-2019,07:00:00,8.00,000,24.1,0.0,26.5,0.00,1006.44,30.02,1015.83,27.0,84
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,2.30,09-26-2019,07:00:00,8.00,270,23.1,7.4,25.4,0.00,1013.45,28.18,1014.72,26.0,84
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,09-26-2019,07:00:00,11.00,350,23.5,5.6,26.0,0.00,1013.72,29.00,1014.16,26.6,83
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-26-2019,07:00:00,2.00,000,23.0,0.0,23.3,0.00,1002.19,28.01,1014.67,24.0,94
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-26-2019,07:00:00,8.00,300,23.2,3.7,27.0,0.00,1013.61,28.37,1014.33,27.7,76
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-26-2019,07:00:00,5.00,360,23.7,5.6,24.5,0.00,1011.63,29.23,1014.09,26.0,87
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-26-2019,07:00:00,10.00,020,23.4,3.7,25.0,0.00,1013.21,28.75,1013.74,25.3,89
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-26-2019,07:00:00,9.00,010,23.1,5.6,25.2,0.00,1008.66,28.18,1013.87,26.0,84
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,09-26-2019,07:00:00,8.00,030,23.5,5.6,25.2,0.00,1013.59,28.94,1014.01,27.0,81
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,09-26-2019,07:00:00,10.00,000,24.0,0.0,25.0,0.00,1011.24,29.91,1014.04,25.5,92
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-26-2019,07:00:00,8.00,030,23.3,5.6,25.0,0.00,1013.89,28.55,1014.69,26.5,83
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,09-26-2019,07:00:00,7.00,060,23.7,1.9,24.2,0.00,1012.85,29.36,1013.32,25.2,92
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,5.90,09-26-2019,07:00:00,5.00,000,24.2,0.0,24.4,0.00,1012.49,30.12,1013.18,24.6,97
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1.20,09-26-2019,07:00:00,7.00,000,23.8,0.0,24.5,0.00,1011.09,29.41,1012.64,24.5,96
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1.00,09-26-2019,07:00:00,9.00,000,22.9,0.0,24.4,0.00,1012.29,27.86,1013.22,24.5,91
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-26-2019,07:00:00,9.00,000,25.5,0.0,25.4,0.00,1012.45,32.71,1013.14,26.4,95
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,18.00,09-26-2019,07:00:00,6.00,000,24.1,0.0,24.0,0.00,1012.67,29.93,1013.48,24.5,97
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,18.50,09-26-2019,07:00:00,4.00,000,24.2,0.0,24.0,11.20,1011.86,30.20,1012.50,24.5,98
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,20.00,09-26-2019,07:00:00,8.00,000,24.0,0.0,24.2,13.00,1012.73,29.77,1013.14,24.7,96
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,7.50,09-26-2019,07:00:00,5.00,000,23.3,0.0,23.5,0.00,1010.96,28.53,1015.24,24.0,96
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.20,09-26-2019,07:00:00,4.00,000,24.6,0.0,23.8,0.00,1011.34,30.93,1012.97,24.9,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-26-2019,07:00:00,8.00,000,23.3,0.0,24.0,0.00,1009.43,28.53,1012.96,24.0,96
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,27.70,09-26-2019,07:00:00,6.00,000,25.0,0.0,25.2,0.00,1011.91,31.77,1013.28,25.2,99
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-26-2019,07:00:00,8.00,000,23.3,0.0,23.3,0.00,1011.28,28.52,1012.18,23.7,97
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,2.80,09-26-2019,07:00:00,5.00,060,24.3,5.6,23.7,0.00,1009.39,30.32,1013.00,25.0,96
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.80,09-26-2019,07:00:00,10.00,000,25.1,0.0,27.0,0.00,1012.31,31.89,1012.74,27.4,87
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.01,09-26-2019,07:00:00,9.00,000,24.6,0.0,23.7,0.00,1011.45,31.00,1012.46,25.8,93
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-26-2019,07:00:00,9.00,000,23.6,0.0,25.5,0.00,1012.07,29.15,1012.89,26.1,86
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,4.50,09-26-2019,07:00:00,5.00,000,24.4,0.0,24.7,0.00,1011.10,30.58,1012.94,25.0,97
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,15.50,09-26-2019,07:00:00,10.00,000,23.5,0.0,23.8,15.50,1012.42,29.00,1013.18,25.0,92
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.20,09-26-2019,07:00:00,6.00,050,24.7,7.4,23.9,0.20,1009.32,31.08,1013.35,25.7,94
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-26-2019,07:00:00,10.00,000,23.4,0.0,25.6,0.00,1012.43,28.80,1013.12,26.2,85
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,6.60,09-26-2019,07:00:00,10.00,000,24.6,0.0,24.7,6.60,1012.37,31.00,1013.49,25.8,93
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-26-2019,07:00:00,8.00,000,24.6,0.0,23.5,0.00,1010.71,30.85,1013.67,25.0,97
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,09-26-2019,07:00:00,9.00,230,24.0,3.7,24.7,0.00,1012.00,29.79,1012.70,25.0,94
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,5.30,09-26-2019,07:00:00,4.00,000,24.0,0.0,24.4,2.00,1009.89,29.85,1014.07,24.6,97
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,9.20,09-26-2019,07:00:00,8.00,000,23.0,0.0,.0,0.00,1012.05,28.11,1012.65,24.5,91
