WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,AirTemperature,WindDirection,Rainfall,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,VaporPressure,StationPressure,DewPoint,LandVisibility
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,08-08-2019,22:00:00,29.1,000,0.00,77,0.00,1003.35,31.05,976.18,24.7,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,08-08-2019,22:00:00,28.5,000,0.00,74,0.01,1003.01,28.78,969.84,23.4,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,3.7,08-08-2019,22:00:00,29.3,300,0.00,80,0.00,1002.97,32.59,984.71,25.5,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,08-08-2019,22:00:00,29.0,000,0.00,85,0.00,1003.00,33.99,980.47,26.2,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,08-08-2019,22:00:00,28.4,000,0.00,80,0.00,1002.45,30.78,972.90,24.5,10.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,08-08-2019,22:00:00,28.5,000,0.00,81,0.00,1003.94,31.54,968.82,24.9,7.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,08-08-2019,22:00:00,28.4,000,0.00,82,0.00,1001.87,31.62,972.51,25.0,12.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,08-08-2019,22:00:00,29.6,000,0.00,74,0.00,1003.15,30.63,995.94,24.4,8.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,5.6,08-08-2019,22:00:00,31.4,250,0.00,78,0.00,1001.17,35.89,981.68,27.1,13.00
48353,LOEI,เลย,เลย,17.45000,101.73333,3.7,08-08-2019,22:00:00,30.1,330,0.00,68,0.00,1002.03,28.83,973.85,23.4,12.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,9.3,08-08-2019,22:00:00,30.7,240,0.00,72,0.00,1001.23,31.72,981.43,25.0,12.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,08-08-2019,22:00:00,29.3,000,0.00,89,0.00,1001.66,36.11,980.23,27.2,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,3.7,08-08-2019,22:00:00,30.5,220,0.00,78,0.00,1001.26,34.22,982.12,26.3,12.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,3.7,08-08-2019,22:00:00,25.6,030,0.40,85,0.40,1003.09,27.99,986.34,22.9,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,08-08-2019,22:00:00,28.5,000,0.01,78,0.01,1002.72,30.42,985.48,24.3,9.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,08-08-2019,22:00:00,29.0,000,0.00,74,0.00,1001.15,29.74,975.71,23.9,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,5.6,08-08-2019,22:00:00,28.7,270,0.00,78,1.10,1003.16,30.82,997.43,24.5,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,08-08-2019,22:00:00,29.0,000,0.00,78,1.30,1002.98,31.13,996.86,24.7,12.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,08-08-2019,22:00:00,29.5,000,0.00,75,0.00,1003.98,30.72,987.73,24.5,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,08-08-2019,22:00:00,25.3,000,0.00,91,8.20,1004.51,29.28,982.13,23.7,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,11.1,08-08-2019,22:00:00,28.3,260,0.00,74,3.80,1005.20,28.41,990.91,23.2,8.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,08-08-2019,22:00:00,28.8,000,0.00,73,1.60,1003.55,28.81,987.33,23.4,8.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.0,08-08-2019,22:00:00,29.8,000,0.00,73,0.80,1004.16,30.47,999.00,24.4,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,08-08-2019,22:00:00,29.1,000,0.00,77,0.00,1002.26,31.05,989.22,24.7,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,08-08-2019,22:00:00,29.2,000,0.00,74,5.00,1004.28,30.13,995.05,24.2,11.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.4,08-08-2019,22:00:00,29.0,240,0.00,74,0.00,1002.06,29.74,980.63,23.9,9.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,11.1,08-08-2019,22:00:00,27.5,220,0.00,81,0.00,1002.67,29.60,985.27,23.9,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.0,08-08-2019,22:00:00,30.5,000,0.00,75,0.00,1001.02,32.75,985.47,25.6,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,08-08-2019,22:00:00,29.0,000,0.00,73,0.30,1001.31,29.19,982.65,23.6,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,08-08-2019,22:00:00,23.8,000,0.00,93,32.10,1007.79,27.42,956.22,22.6,7.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.0,08-08-2019,22:00:00,29.3,000,0.00,84,4.00,1003.87,34.33,999.96,26.4,6.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.0,08-08-2019,22:00:00,21.6,000,0.00,98,8.70,1006.22,25.30,911.24,21.3,.80
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,08-08-2019,22:00:00,28.4,000,0.00,85,0.00,1002.16,32.75,986.33,25.6,8.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1.9,08-08-2019,22:00:00,28.3,270,0.01,86,1.50,1004.39,33.12,1000.38,25.8,9.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,08-08-2019,22:00:00,26.8,000,0.00,87,0.70,1005.70,30.72,995.04,24.5,6.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,5.6,08-08-2019,22:00:00,26.4,190,0.90,88,9.70,1005.15,30.24,1003.22,24.2,7.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,7.4,08-08-2019,22:00:00,29.3,180,0.00,72,0.00,1003.49,29.22,982.86,23.7,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.0,08-08-2019,22:00:00,27.0,000,3.30,90,3.30,1003.21,32.21,985.62,25.3,8.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,7.4,08-08-2019,22:00:00,28.0,350,7.10,85,7.10,1002.96,31.95,986.92,25.1,6.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,9.3,08-08-2019,22:00:00,30.4,200,0.00,71,0.00,1002.71,30.82,988.89,24.5,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,3.7,08-08-2019,22:00:00,29.3,170,0.00,79,1.00,1003.48,32.30,988.81,25.3,9.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,9.3,08-08-2019,22:00:00,29.5,220,0.00,78,0.00,1003.23,32.13,988.74,25.2,10.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,08-08-2019,22:00:00,27.4,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,87,3.10,1004.22,31.61,1001.21,25.0,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,5.6,08-08-2019,22:00:00,27.5,130,0.00,81,0.01,1004.43,29.60,996.51,23.9,8.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,11.1,08-08-2019,22:00:00,27.3,210,0.00,82,0.90,1005.43,29.77,1004.32,24.0,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,08-08-2019,22:00:00,31.0,000,0.00,72,0.00,1003.32,32.34,988.88,25.4,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,9.3,08-08-2019,22:00:00,19.2,280,0.80,98,12.80,1007.29,21.79,872.14,18.9,.10
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,3.7,08-08-2019,22:00:00,27.5,200,0.00,85,0.20,1005.04,31.25,999.19,24.8,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.0,08-08-2019,22:00:00,27.8,000,0.00,82,2.40,1005.85,30.72,1005.05,24.5,9.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,13.0,08-08-2019,22:00:00,28.2,230,0.00,83,0.90,1005.81,31.79,1005.37,25.1,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,08-08-2019,22:00:00,25.0,000,1.60,96,24.90,1007.24,30.32,995.86,24.3,3.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,08-08-2019,22:00:00,27.1,000,0.00,87,0.40,1005.75,31.30,1004.74,24.8,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,5.6,08-08-2019,22:00:00,27.1,210,0.80,84,2.80,1005.64,30.20,1003.82,24.2,8.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,3.7,08-08-2019,22:00:00,26.6,230,0.00,83,1.80,1005.72,29.00,1004.95,23.5,5.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,7.4,08-08-2019,22:00:00,27.1,240,0.00,83,1.00,1006.16,29.66,1005.45,23.9,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,5.6,08-08-2019,22:00:00,28.3,270,0.01,82,1.00,1005.69,31.70,1004.99,25.0,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,14.8,08-08-2019,22:00:00,28.2,280,0.00,74,0.01,1004.50,28.22,983.49,23.1,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,9.3,08-08-2019,22:00:00,29.1,230,0.00,70,0.00,1003.63,28.29,987.09,23.1,8.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,9.3,08-08-2019,22:00:00,29.0,230,0.00,71,0.00,1003.65,28.37,987.38,23.2,7.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,08-08-2019,22:00:00,27.7,000,0.00,79,0.01,1004.54,29.17,982.79,23.6,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,3.7,08-08-2019,22:00:00,24.1,220,1.70,93,14.70,1006.06,27.93,962.45,22.9,6.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,9.3,08-08-2019,22:00:00,28.0,230,0.00,75,0.00,1003.72,28.39,983.30,23.2,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,13.0,08-08-2019,22:00:00,28.7,240,0.00,80,0.00,1004.90,31.38,984.25,24.8,9.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,5.6,08-08-2019,22:00:00,27.0,260,0.00,90,1.00,1006.03,31.94,1005.60,25.1,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,08-08-2019,22:00:00,26.8,000,0.00,88,0.01,1005.23,31.00,1003.82,24.6,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,08-08-2019,22:00:00,27.5,000,0.00,84,0.00,1005.40,30.97,1000.48,24.6,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.0,08-08-2019,22:00:00,27.0,000,0.00,82,3.80,1006.03,29.21,1002.74,23.6,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,08-08-2019,22:00:00,26.8,000,0.00,92,1.40,1006.00,32.38,1004.90,25.4,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,3.7,08-08-2019,22:00:00,28.0,190,0.00,81,2.90,1006.06,30.56,1005.76,24.4,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,7.4,08-08-2019,22:00:00,27.6,270,0.00,81,2.70,1005.66,30.07,1005.17,24.1,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,13.0,08-08-2019,22:00:00,28.0,240,0.00,81,2.60,1006.15,30.56,1004.75,24.4,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,3.7,08-08-2019,22:00:00,27.1,230,0.00,84,0.00,1007.13,29.93,999.13,24.1,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,9.3,08-08-2019,22:00:00,28.5,290,0.00,81,0.00,1006.01,31.54,1005.73,24.9,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,08-08-2019,22:00:00,28.0,000,0.00,81,0.00,1006.02,30.56,1002.90,24.4,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,7.4,08-08-2019,22:00:00,27.5,230,0.00,83,0.00,1006.29,30.42,999.37,24.3,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,5.6,08-08-2019,22:00:00,28.5,270,0.00,78,0.40,1005.33,30.15,999.77,24.2,8.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,7.4,08-08-2019,22:00:00,25.4,240,0.00,96,4.70,1006.85,31.06,1005.59,24.7,8.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,5.6,08-08-2019,22:00:00,26.5,210,0.01,90,7.80,1006.44,31.24,1006.00,24.8,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,08-08-2019,22:00:00,25.1,000,0.20,95,1.80,1006.68,30.23,994.35,24.2,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.0,08-08-2019,22:00:00,26.5,000,0.01,92,2.70,1006.10,31.79,1005.38,25.1,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,5.6,08-08-2019,22:00:00,29.0,270,0.00,73,0.01,1006.65,29.19,1004.23,23.6,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,14.8,08-08-2019,22:00:00,28.7,260,0.00,76,0.30,1006.14,29.98,1005.63,24.1,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.0,08-08-2019,22:00:00,27.8,000,0.00,78,0.30,1006.30,29.09,1001.16,23.6,11.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,08-08-2019,22:00:00,27.1,000,0.00,93,1.60,1006.25,33.26,1005.84,25.8,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,08-08-2019,22:00:00,26.5,000,0.00,92,11.20,1006.50,31.79,1003.73,25.1,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,08-08-2019,22:00:00,25.6,000,0.00,91,5.80,1007.19,29.82,1006.40,24.0,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.6,08-08-2019,22:00:00,26.2,310,11.20,96,64.20,1006.35,32.59,1005.89,25.5,4.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,08-08-2019,22:00:00,26.3,000,3.00,93,10.20,1007.79,31.96,1007.11,25.1,6.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,08-08-2019,22:00:00,25.4,000,0.40,93,7.80,1007.37,30.25,1005.83,24.2,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,5.6,08-08-2019,22:00:00,27.8,200,0.00,86,1.10,1008.08,32.12,1007.16,25.2,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,7.4,08-08-2019,22:00:00,27.8,280,0.20,84,0.20,1007.45,31.28,1006.76,24.8,9.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,08-08-2019,22:00:00,27.0,000,0.00,86,0.00,1008.09,30.56,1007.29,24.4,9.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,5.6,08-08-2019,22:00:00,28.8,180,0.00,71,0.00,1007.11,28.00,1006.48,22.9,8.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,18.5,08-08-2019,22:00:00,29.5,260,0.00,68,0.00,1007.47,28.23,1007.07,23.1,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,08-08-2019,22:00:00,28.2,000,0.00,74,0.01,1009.68,28.22,1005.48,23.1,5.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,08-08-2019,22:00:00,26.4,000,0.00,86,0.00,1009.15,29.43,1007.54,23.8,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,08-08-2019,22:00:00,27.2,000,0.00,88,0.00,1008.33,31.77,1004.86,25.1,6.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,08-08-2019,22:00:00,28.9,000,0.00,76,0.00,1008.04,30.37,1006.69,24.3,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,7.4,08-08-2019,22:00:00,28.7,240,0.00,83,0.00,1007.87,32.79,1006.99,25.6,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,5.6,08-08-2019,22:00:00,27.1,300,0.00,84,0.00,1008.29,29.93,1004.73,24.1,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,3.7,08-08-2019,22:00:00,29.7,290,0.00,77,0.00,1008.52,32.26,1008.08,25.3,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,9.3,08-08-2019,22:00:00,30.0,260,0.00,78,0.00,1007.57,33.17,1006.59,25.8,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.1,08-08-2019,22:00:00,29.5,280,0.00,82,0.00,1008.29,33.87,1007.48,26.1,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,08-08-2019,22:00:00,28.0,000,0.00,86,0.00,1008.40,32.52,1006.59,25.4,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,5.6,08-08-2019,22:00:00,28.7,200,0.00,74,0.00,1008.48,29.16,1007.73,23.6,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,5.6,08-08-2019,22:00:00,27.8,120,0.00,79,0.00,1008.96,29.36,1004.97,23.7,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,08-08-2019,22:00:00,28.1,000,0.00,82,0.00,1008.86,31.31,1008.17,24.8,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,08-08-2019,22:00:00,28.0,000,0.00,77,0.00,1008.94,28.92,1007.82,23.5,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,08-08-2019,22:00:00,27.5,000,0.00,81,0.00,1008.87,29.60,1005.96,23.9,10.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.0,08-08-2019,22:00:00,27.6,000,0.00,84,0.00,1008.88,31.16,1008.19,24.7,7.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.0,08-08-2019,22:00:00,27.5,000,0.00,73,0.00,1009.53,26.95,1005.40,22.3,7.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.0,08-08-2019,22:00:00,29.0,000,0.00,61,0.00,1008.47,24.42,1007.88,20.7,10.00
