WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,Rainfall,LandVisibility,AirTemperature,WindSpeed,StationPressure,RelativeHumidity,WindDirection,MeanSeaLevelPressure,VaporPressure,DewPoint
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,12.90,08-02-2019,01:00:00,0.00,10.00,26.0,11.1,981.93,84,280,1003.63,28.18,23.1
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,2.90,08-02-2019,01:00:00,0.00,10.00,26.2,0.0,983.13,83,000,1002.57,28.28,23.1
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.70,08-02-2019,01:00:00,1.60,7.00,26.0,0.0,986.80,92,000,1003.53,30.84,24.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,3.30,08-02-2019,01:00:00,0.40,9.00,25.6,0.0,985.98,93,000,1003.39,30.36,24.3
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,8.00,08-02-2019,01:00:00,0.00,9.00,25.0,0.0,977.39,91,000,1003.22,28.74,23.4
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1.30,08-02-2019,01:00:00,0.00,10.00,26.0,5.6,999.21,93,210,1005.00,31.38,24.8
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1.10,08-02-2019,01:00:00,0.30,7.00,26.7,0.0,999.00,92,000,1005.18,32.18,25.3
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1.60,08-02-2019,01:00:00,0.00,8.00,25.0,5.6,989.27,92,220,1005.79,29.00,23.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,47.40,08-02-2019,01:00:00,2.50,8.00,23.5,0.0,983.24,93,000,1005.79,26.91,22.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,2.80,08-02-2019,01:00:00,0.00,6.00,26.8,18.5,991.51,71,260,1005.89,24.96,21.1
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.50,08-02-2019,01:00:00,0.00,8.00,27.5,0.0,987.86,71,000,1004.16,25.91,21.7
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,2.40,08-02-2019,01:00:00,0.01,8.00,26.0,0.0,1000.48,94,000,1005.72,31.65,25.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,6.20,08-02-2019,01:00:00,0.00,10.00,24.7,0.0,991.33,94,000,1004.59,29.25,23.7
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,5.00,08-02-2019,01:00:00,0.00,10.00,26.2,0.0,996.21,93,000,1005.55,31.49,24.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.50,08-02-2019,01:00:00,0.00,10.00,26.1,13.0,982.15,81,230,1003.83,27.32,22.5
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,5.00,08-02-2019,01:00:00,0.00,10.00,26.5,14.8,986.21,84,220,1003.68,29.08,23.6
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,58.80,08-02-2019,01:00:00,0.00,10.00,26.7,0.0,986.38,80,000,1002.16,28.13,23.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.30,08-02-2019,01:00:00,0.00,8.00,26.3,7.4,984.26,86,190,1003.11,29.25,23.7
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,29.10,08-02-2019,01:00:00,3.10,5.00,22.5,0.0,955.30,91,000,1007.06,24.80,21.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,7.10,08-02-2019,01:00:00,0.00,5.00,25.0,0.0,1001.51,97,000,1005.49,30.85,24.6
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,31.50,08-02-2019,01:00:00,2.50,.40,19.9,33.3,911.18,97,260,1006.73,22.54,19.4
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,16.00,08-02-2019,01:00:00,0.00,6.00,26.0,7.4,987.94,84,260,1003.92,28.18,23.1
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,2.20,08-02-2019,01:00:00,0.00,10.00,26.1,0.0,1002.10,86,000,1006.14,29.15,23.6
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,8.90,08-02-2019,01:00:00,0.60,7.00,24.0,0.0,996.68,96,000,1007.46,28.53,23.3
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,3.10,08-02-2019,01:00:00,0.00,8.00,25.3,3.7,1004.63,81,180,1006.57,26.19,21.9
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-02-2019,01:00:00,0.00,10.00,24.2,7.4,984.01,85,230,1005.02,25.59,21.5
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,2.20,08-02-2019,01:00:00,0.00,10.00,26.5,20.4,986.05,77,230,1003.69,26.47,22.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1.70,08-02-2019,01:00:00,0.00,10.00,26.7,7.4,987.66,76,250,1003.79,26.57,22.1
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,4.80,08-02-2019,01:00:00,0.01,10.00,26.0,11.1,990.86,82,240,1004.91,27.66,22.7
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,5.50,08-02-2019,01:00:00,0.00,9.00,25.3,0.0,990.52,89,000,1005.41,28.75,23.4
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,4.50,08-02-2019,01:00:00,0.10,5.00,25.5,5.6,991.16,88,230,1005.89,28.59,23.3
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.60,08-02-2019,01:00:00,0.01,8.00,26.4,0.0,1003.51,75,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1006.54,25.79,21.6
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,6.70,08-02-2019,01:00:00,1.40,6.00,24.3,7.4,997.93,91,160,1005.94,27.77,22.8
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.60,08-02-2019,01:00:00,0.60,8.00,25.2,7.4,1006.14,89,190,1007.25,28.57,23.3
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,08-02-2019,01:00:00,0.00,8.00,26.6,0.0,989.91,87,000,1004.58,30.34,24.3
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,14.30,08-02-2019,01:00:00,0.60,.10,17.7,14.8,872.65,99,280,1008.61,20.02,17.5
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.40,08-02-2019,01:00:00,3.20,10.00,24.0,5.6,1000.44,96,210,1006.37,28.53,23.3
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,08-02-2019,01:00:00,0.00,8.00,27.8,7.4,1007.81,67,240,1008.61,24.90,21.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,08-02-2019,01:00:00,0.00,10.00,28.9,9.3,1006.69,74,230,1007.13,29.27,23.7
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,32.00,08-02-2019,01:00:00,2.30,4.00,23.2,0.0,997.82,96,000,1009.29,27.16,22.4
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.50,08-02-2019,01:00:00,0.50,10.00,25.5,0.0,1005.95,82,000,1006.97,26.78,22.2
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1.60,08-02-2019,01:00:00,1.30,7.00,25.0,0.0,1005.28,89,000,1007.11,28.22,23.1
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.01,08-02-2019,01:00:00,0.01,7.00,25.0,0.0,1006.05,80,000,1006.82,25.19,21.2
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.80,08-02-2019,01:00:00,0.20,10.00,27.9,14.8,1007.02,63,280,1007.72,23.80,20.3
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,14.80,08-02-2019,01:00:00,0.00,7.00,26.4,0.0,1006.13,81,000,1006.84,27.85,22.9
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1.00,08-02-2019,01:00:00,0.10,8.00,24.5,11.1,984.40,85,270,1005.70,26.09,21.8
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.20,08-02-2019,01:00:00,0.20,6.00,25.0,0.0,989.18,85,000,1005.99,26.94,22.3
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.30,08-02-2019,01:00:00,0.30,5.00,25.1,5.6,989.96,87,250,1006.48,27.62,22.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.01,08-02-2019,01:00:00,0.00,10.00,26.3,3.7,984.15,73,260,1006.03,24.87,21.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1.60,08-02-2019,01:00:00,1.60,8.00,22.4,0.0,963.05,92,000,1006.93,24.89,21.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.01,08-02-2019,01:00:00,0.00,10.00,27.0,3.7,985.42,66,240,1005.96,23.55,20.1
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.20,08-02-2019,01:00:00,0.20,8.00,24.7,16.7,986.00,90,250,1006.97,27.95,22.9
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.01,08-02-2019,01:00:00,0.00,10.00,27.2,7.4,1007.05,70,320,1007.49,25.39,21.3
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,12.10,08-02-2019,01:00:00,0.00,6.00,24.5,0.0,1005.56,91,000,1006.99,28.11,23.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,9.20,08-02-2019,01:00:00,0.00,6.00,24.2,0.0,1002.08,94,000,1007.06,28.36,23.2
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.01,08-02-2019,01:00:00,0.00,10.00,25.6,9.3,1004.03,84,270,1007.34,27.47,22.6
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.01,08-02-2019,01:00:00,0.00,10.00,25.9,7.4,1006.20,75,280,1007.31,25.19,21.2
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.01,08-02-2019,01:00:00,0.00,10.00,28.0,7.4,1007.22,67,240,1007.52,25.24,21.3
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.50,08-02-2019,01:00:00,0.00,10.00,27.8,0.0,1006.78,67,000,1007.27,24.90,21.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.20,08-02-2019,01:00:00,0.01,10.00,27.4,14.8,1006.12,70,270,1007.52,25.48,21.4
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,2.70,08-02-2019,01:00:00,0.00,10.00,24.4,0.0,1000.91,96,000,1009.00,29.23,23.7
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,2.20,08-02-2019,01:00:00,0.00,10.00,29.1,11.1,1007.36,72,270,1007.65,29.11,23.6
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-02-2019,01:00:00,0.00,10.00,28.5,9.3,1004.44,72,200,1007.55,27.97,22.9
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-02-2019,01:00:00,0.00,10.00,28.5,5.6,1000.70,73,270,1007.61,28.24,23.1
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,14.20,08-02-2019,01:00:00,0.00,8.00,25.0,0.0,1001.97,94,000,1007.61,29.79,24.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.01,08-02-2019,01:00:00,0.00,10.00,25.5,0.0,1007.06,92,000,1008.33,29.91,24.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,08-02-2019,01:00:00,0.00,11.00,27.6,0.0,1006.99,73,000,1007.42,26.86,22.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10.70,08-02-2019,01:00:00,0.00,8.00,26.5,0.0,995.75,77,000,1008.04,26.47,22.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,3.80,08-02-2019,01:00:00,0.00,10.00,27.1,0.0,1007.23,83,000,1007.95,29.66,23.9
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.01,08-02-2019,01:00:00,0.00,10.00,29.0,5.6,1005.52,66,240,1007.94,26.50,22.0
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.01,08-02-2019,01:00:00,0.00,10.00,29.6,20.4,1007.20,71,270,1007.71,29.52,23.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-02-2019,01:00:00,0.00,9.00,27.5,3.7,1002.37,76,220,1007.52,27.73,22.8
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,5.70,08-02-2019,01:00:00,0.00,7.00,27.3,0.0,1007.65,78,000,1008.06,28.43,23.2
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,2.90,08-02-2019,01:00:00,0.00,8.00,26.0,0.0,1005.62,88,000,1008.41,29.50,23.8
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,5.40,08-02-2019,01:00:00,0.00,10.00,26.2,0.0,1008.02,81,000,1008.80,27.49,22.6
48501,TRAD,ตราด,ตราด,11.76667,102.88333,11.80,08-02-2019,01:00:00,0.00,6.00,28.4,7.4,1007.58,75,350,1008.04,29.14,23.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,2.80,08-02-2019,01:00:00,2.00,7.00,26.0,0.0,1008.45,84,000,1009.14,28.18,23.1
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,5.80,08-02-2019,01:00:00,1.60,8.00,27.0,0.0,1007.21,90,000,1008.74,32.21,25.3
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,11.40,08-02-2019,01:00:00,1.50,10.00,27.2,5.6,1008.54,90,190,1009.45,32.61,25.5
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-02-2019,01:00:00,0.00,10.00,28.5,0.0,1008.82,79,000,1009.50,30.70,24.5
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,08-02-2019,01:00:00,0.00,8.00,26.0,0.0,1008.62,90,000,1009.42,30.30,24.3
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,5.70,08-02-2019,01:00:00,0.00,10.00,25.6,0.0,1008.50,95,000,1009.14,31.17,24.7
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1.10,08-02-2019,01:00:00,0.00,10.00,25.8,0.0,1009.14,88,000,1009.54,29.13,23.6
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-02-2019,01:00:00,0.00,5.00,27.1,0.0,1007.04,91,000,1011.27,32.69,25.5
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1.40,08-02-2019,01:00:00,0.00,6.00,25.1,0.0,1008.01,97,000,1009.64,31.04,24.7
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.90,08-02-2019,01:00:00,0.00,10.00,25.0,0.0,1006.05,92,000,1009.55,29.00,23.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,6.50,08-02-2019,01:00:00,0.00,8.00,25.1,0.0,1008.54,95,000,1009.91,30.23,24.2
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,7.90,08-02-2019,01:00:00,0.00,10.00,28.8,14.8,1008.94,79,210,1009.82,31.29,24.8
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-02-2019,01:00:00,0.00,10.00,26.3,0.0,1005.46,88,000,1009.03,30.05,24.1
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-02-2019,01:00:00,0.00,10.00,29.5,0.0,1008.72,75,000,1009.16,30.72,24.5
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-02-2019,01:00:00,0.00,10.00,29.7,9.3,1007.81,75,250,1008.80,31.12,24.7
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-02-2019,01:00:00,0.00,10.00,29.4,16.7,1008.20,76,270,1009.01,31.08,24.7
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1.50,08-02-2019,01:00:00,0.00,10.00,25.5,0.0,1007.98,94,000,1009.81,30.71,24.5
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.70,08-02-2019,01:00:00,0.00,11.00,26.2,5.6,1009.49,85,200,1010.25,28.80,23.4
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,2.00,08-02-2019,01:00:00,0.00,10.00,24.8,0.0,1006.26,96,000,1010.29,29.95,24.1
48570,SATUN,สตูล,สตูล,6.65000,100.08333,5.40,08-02-2019,01:00:00,0.00,10.00,25.0,0.0,1009.26,93,000,1009.95,29.52,23.8
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.20,08-02-2019,01:00:00,0.00,10.00,25.0,0.0,1009.00,95,000,1010.12,30.05,24.1
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-02-2019,01:00:00,0.00,10.00,25.2,0.0,1007.24,94,000,1010.18,30.15,24.2
