WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,AirTemperature,LandVisibility,MeanSeaLevelPressure,VaporPressure,WindDirection,Rainfall24Hr,StationPressure,Rainfall,RelativeHumidity
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,21.8,09-02-2019,13:00:00,14.8,31.7,10.00,1007.16,26.15,280,2.20,1006.87,0.00,56
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,24.6,09-02-2019,13:00:00,5.6,32.0,10.00,1007.96,30.94,140,10.50,1007.28,0.00,65
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.3,09-02-2019,13:00:00,7.4,31.3,10.00,1007.23,30.37,240,11.50,1006.75,0.00,66
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,23.1,09-02-2019,13:00:00,29.6,31.1,10.00,1006.99,28.29,270,7.40,1005.60,0.00,63
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,26.6,09-02-2019,13:00:00,16.7,29.7,10.00,1007.52,34.88,250,0.00,1005.85,0.00,84
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.2,09-02-2019,13:00:00,0.0,28.4,6.00,1008.90,30.23,000,2.70,1000.92,0.01,78
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,22.9,09-02-2019,13:00:00,9.3,30.5,10.00,1006.94,27.95,270,0.00,1006.65,0.00,64
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,22.9,09-02-2019,13:00:00,0.0,29.5,10.00,1006.93,27.96,000,0.00,1003.83,0.00,68
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,22.9,09-02-2019,13:00:00,11.1,29.5,12.00,1007.64,27.96,270,0.80,1000.76,0.00,68
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.8,09-02-2019,13:00:00,7.4,27.5,8.00,1006.89,33.21,270,3.40,1001.30,1.80,90
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,22.9,09-02-2019,13:00:00,18.5,29.5,9.00,1008.19,27.96,300,0.01,998.95,0.01,68
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.0,09-02-2019,13:00:00,11.1,27.9,12.00,1008.62,29.82,270,0.10,1007.36,0.01,79
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,23.3,09-02-2019,13:00:00,18.5,30.3,8.00,1007.33,28.67,300,0.01,1006.90,0.01,66
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.0,09-02-2019,13:00:00,7.4,30.0,10.00,1007.62,28.09,230,0.20,995.47,0.01,66
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,24.4,09-02-2019,13:00:00,11.1,31.5,10.00,1007.54,30.49,240,0.00,1006.83,0.00,66
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,21.9,09-02-2019,13:00:00,7.4,31.5,10.00,1007.47,26.32,270,2.20,1005.07,0.00,57
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,24.5,09-02-2019,13:00:00,22.2,29.5,10.00,1007.22,30.72,250,0.10,1006.71,0.00,75
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,21.3,09-02-2019,13:00:00,18.5,30.7,11.00,1007.16,25.37,260,0.20,1002.07,0.00,57
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,24.8,09-02-2019,13:00:00,9.3,29.4,7.00,1007.11,31.36,220,7.90,1006.71,0.10,77
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.2,09-02-2019,13:00:00,0.0,28.5,8.00,1007.54,32.10,000,11.00,1004.78,1.00,83
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,22.3,09-02-2019,13:00:00,7.4,27.0,10.00,1008.40,26.84,220,0.30,1007.61,0.00,75
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.6,09-02-2019,13:00:00,7.4,28.0,5.00,1007.03,32.80,280,30.60,1006.57,1.50,87
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,23.6,09-02-2019,13:00:00,5.6,27.2,10.00,1009.17,29.04,260,2.90,1008.48,0.60,81
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.0,09-02-2019,13:00:00,3.7,27.3,8.00,1009.49,28.16,270,0.60,1007.96,0.60,78
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,25.2,09-02-2019,13:00:00,7.4,28.9,10.00,1010.31,32.06,250,20.10,1009.40,0.00,81
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,23.3,09-02-2019,13:00:00,5.6,30.3,12.00,1009.39,28.67,270,0.01,1008.71,0.00,66
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,25.4,09-02-2019,13:00:00,5.6,30.8,10.00,1009.53,32.51,240,0.00,1008.74,0.00,73
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,22.6,09-02-2019,13:00:00,5.6,33.5,10.00,1008.91,27.43,240,0.00,1008.28,0.00,53
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.2,09-02-2019,13:00:00,18.5,35.0,10.00,1008.53,30.22,270,0.00,1008.13,0.00,54
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.8,09-02-2019,13:00:00,7.4,31.0,6.00,1011.22,29.48,230,0.01,1007.05,0.01,66
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.1,09-02-2019,13:00:00,0.0,32.5,10.00,1008.92,28.25,000,0.01,1007.34,0.00,58
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,22.5,09-02-2019,13:00:00,18.5,32.0,12.00,1009.60,27.27,250,0.00,1006.17,0.00,57
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,23.0,09-02-2019,13:00:00,3.7,32.1,10.00,1009.34,28.02,210,0.00,1008.01,0.00,59
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.9,09-02-2019,13:00:00,5.6,30.5,10.00,1010.19,33.34,300,0.00,1009.31,0.00,76
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,22.9,09-02-2019,13:00:00,9.3,31.8,10.00,1009.51,27.99,300,0.00,1006.00,0.00,60
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,23.9,09-02-2019,13:00:00,0.0,32.6,10.00,1009.38,29.58,000,0.00,1008.95,0.00,60
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,25.0,09-02-2019,13:00:00,0.0,30.8,10.00,1009.70,31.64,000,0.00,1008.71,0.00,71
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,26.3,09-02-2019,13:00:00,9.3,29.5,10.00,1010.15,34.16,300,0.00,1009.33,0.00,83
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.0,09-02-2019,13:00:00,9.3,32.6,13.00,1009.53,29.87,270,0.00,1007.75,0.00,61
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.1,09-02-2019,13:00:00,11.1,31.5,10.00,1009.21,28.23,260,2.00,1008.47,0.00,61
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.2,09-02-2019,13:00:00,9.3,31.8,10.00,1009.51,30.24,250,4.00,1005.57,0.00,64
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.1,09-02-2019,13:00:00,9.3,31.7,10.00,1009.57,30.04,270,5.00,1008.90,0.00,64
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.8,09-02-2019,13:00:00,7.4,32.0,10.00,1009.08,29.51,230,14.40,1007.98,0.00,62
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.9,09-02-2019,13:00:00,11.1,32.0,12.00,1009.54,31.52,260,7.20,1006.66,0.00,66
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,26.2,09-02-2019,13:00:00,18.5,32.5,8.00,1008.98,34.07,240,0.30,1008.31,0.00,70
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,24.3,09-02-2019,13:00:00,7.4,31.2,6.00,1009.75,30.45,230,0.00,1005.67,0.00,67
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,23.1,09-02-2019,13:00:00,14.8,31.9,10.00,1008.74,28.18,050,0.00,1008.16,0.00,60
