WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,RelativeHumidity,Rainfall24Hr,DewPoint,Rainfall,MeanSeaLevelPressure,WindDirection,MinimumTemperature,AirTemperature,WindSpeed,LandVisibility,StationPressure
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,27.88,09-13-2019,07:00:00,78,0.00,22.9,0.00,1010.38,270,26.1,27.0,7.4,11.00,1005.21
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,32.05,09-13-2019,07:00:00,89,0.00,25.2,0.00,1010.26,000,26.3,27.2,0.0,8.00,1009.84
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,31.79,09-13-2019,07:00:00,92,0.20,25.1,0.00,1010.33,000,26.0,26.5,0.0,8.00,1007.55
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,28.18,09-13-2019,07:00:00,84,0.00,23.1,0.00,1010.87,000,23.0,26.0,0.0,10.00,1010.07
48501,TRAD,ตราด,ตราด,11.76667,102.88333,29.69,09-13-2019,07:00:00,95,17.40,23.9,6.00,1010.35,100,24.3,24.8,5.6,7.00,1009.89
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,29.64,09-13-2019,07:00:00,91,0.00,23.9,0.00,1011.60,280,24.9,25.5,3.7,8.00,1010.91
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,28.36,09-13-2019,07:00:00,94,0.00,23.2,0.00,1011.70,000,23.6,24.2,0.0,8.00,1010.15
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,29.99,09-13-2019,07:00:00,92,0.00,24.1,0.00,1012.15,000,24.9,25.4,0.0,10.00,1011.23
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,30.54,09-13-2019,07:00:00,93,0.00,24.4,0.00,1011.93,000,24.2,25.7,0.0,10.00,1011.23
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,26.25,09-13-2019,07:00:00,96,0.60,21.9,0.00,1012.17,000,22.0,22.5,0.0,6.00,1011.35
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,28.69,09-13-2019,07:00:00,97,5.10,23.4,0.00,1011.41,000,23.2,23.8,0.0,9.00,1010.77
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,28.01,09-13-2019,07:00:00,96,0.30,23.0,0.00,1011.68,000,23.3,23.7,0.0,8.00,1011.27
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,26.91,09-13-2019,07:00:00,96,0.00,22.3,0.00,1013.87,000,22.4,22.9,0.0,5.00,1009.57
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,27.24,09-13-2019,07:00:00,98,0.00,22.5,0.00,1012.94,000,22.6,22.8,0.0,10.00,1011.29
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,27.16,09-13-2019,07:00:00,96,43.00,22.4,0.00,1012.12,000,22.7,23.2,0.0,7.00,1008.58
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,29.20,09-13-2019,07:00:00,99,3.30,23.6,0.00,1011.48,000,23.8,23.8,0.0,7.00,1010.10
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,29.66,09-13-2019,07:00:00,98,0.00,23.9,0.00,1012.05,000,23.8,24.2,0.0,10.00,1011.16
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,27.66,09-13-2019,07:00:00,96,0.00,22.8,0.00,1012.03,000,22.6,23.5,0.0,10.00,1008.42
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,31.03,09-13-2019,07:00:00,92,0.80,24.7,0.00,1011.81,000,25.5,26.1,0.0,10.00,1011.37
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,29.52,09-13-2019,07:00:00,93,0.00,23.8,0.00,1011.57,000,24.0,25.0,0.0,10.00,1010.56
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,29.97,09-13-2019,07:00:00,87,0.00,24.1,0.00,1011.90,300,25.0,26.4,9.3,10.00,1011.08
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,30.32,09-13-2019,07:00:00,96,0.00,24.3,0.00,1011.99,000,24.6,25.0,0.0,2.00,1010.16
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,28.97,09-13-2019,07:00:00,86,0.00,23.5,0.00,1011.88,270,24.7,26.0,3.7,7.00,1011.12
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,29.39,09-13-2019,07:00:00,97,0.60,23.8,0.00,1012.31,000,22.4,24.2,0.0,2.00,1008.26
48570,SATUN,สตูล,สตูล,6.65000,100.08333,29.00,09-13-2019,07:00:00,92,0.00,23.5,0.00,1012.15,000,24.2,25.0,0.0,8.00,1011.46
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,29.49,09-13-2019,07:00:00,97,30.60,23.8,0.00,1011.66,000,23.5,24.4,0.0,9.00,1010.53
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,29.30,09-13-2019,07:00:00,98,1.50,23.7,0.00,1012.16,000,21.9,24.0,0.0,8.00,1009.20
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,29.74,09-13-2019,07:00:00,99,3.30,23.9,0.00,1011.11,000,23.8,24.1,0.0,7.00,1010.41
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,27.92,09-13-2019,07:00:00,95,1.30,22.9,0.00,1012.26,240,23.4,23.8,9.3,2.00,1008.07
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,26.93,09-13-2019,07:00:00,88,0.00,22.3,0.00,1010.93,250,.0,24.4,5.6,9.00,1010.33
