WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,AirTemperature,VaporPressure,WindSpeed,LandVisibility,Rainfall24Hr,Rainfall,MeanSeaLevelPressure,DewPoint,WindDirection,RelativeHumidity
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-19-2019,10:00:00,876.58,20.1,23.05,0.0,.10,2.20,0.40,1011.98,19.8,000,98
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-19-2019,10:00:00,1005.34,28.6,33.45,0.0,7.00,9.80,0.00,1011.22,25.9,000,85
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-19-2019,10:00:00,1010.89,27.0,33.34,16.7,.50,31.50,4.00,1011.69,25.9,010,94
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-19-2019,10:00:00,1010.81,27.0,30.02,0.0,10.00,24.70,0.01,1011.26,24.1,000,84
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-19-2019,10:00:00,1000.29,28.7,31.38,0.0,10.00,4.00,0.00,1011.58,24.8,000,80
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-19-2019,10:00:00,1010.84,27.9,32.32,3.7,10.00,8.90,0.00,1011.85,25.3,030,86
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-19-2019,10:00:00,1010.03,26.0,31.65,0.0,6.00,9.80,8.60,1011.86,25.0,000,94
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-19-2019,10:00:00,1011.96,28.5,31.54,0.0,9.00,0.20,0.00,1012.73,24.9,000,81
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-19-2019,10:00:00,1010.93,28.2,30.12,5.6,9.00,7.00,0.00,1011.64,24.2,020,79
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-19-2019,10:00:00,1010.29,27.9,32.60,0.0,7.00,38.30,0.00,1011.00,25.5,000,87
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-19-2019,10:00:00,989.82,29.3,29.49,9.3,10.00,0.10,0.00,1010.90,23.8,060,72
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-19-2019,10:00:00,994.42,29.2,31.53,0.0,10.00,8.50,0.01,1011.08,24.9,000,78
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-19-2019,10:00:00,994.72,30.5,31.88,7.4,9.00,12.90,0.10,1011.03,25.1,180,73
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-19-2019,10:00:00,988.99,29.5,30.44,5.6,8.00,0.01,0.00,1010.75,24.3,040,74
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-19-2019,10:00:00,968.31,25.3,29.01,3.7,6.00,9.90,9.90,1012.00,23.5,050,90
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-19-2019,10:00:00,990.21,27.2,32.61,9.3,8.00,0.50,0.01,1010.84,25.5,040,90
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-19-2019,10:00:00,992.02,29.5,33.58,9.3,8.00,0.00,0.00,1012.78,26.0,080,81
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-19-2019,10:00:00,1010.75,29.5,32.13,5.6,9.00,1.50,0.00,1011.18,25.2,020,78
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-19-2019,10:00:00,1009.58,26.5,32.63,0.0,8.00,11.20,0.30,1011.01,25.5,000,94
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-19-2019,10:00:00,1006.48,25.9,32.01,0.0,7.00,99.40,36.20,1011.45,25.2,000,96
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-19-2019,10:00:00,1008.03,27.6,30.34,0.0,8.00,33.20,0.00,1011.33,24.3,000,82
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-19-2019,10:00:00,1010.41,27.9,32.88,0.0,8.00,26.50,0.00,1011.52,25.6,000,88
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-19-2019,10:00:00,1010.86,28.1,33.29,3.7,8.00,22.30,0.00,1011.16,25.8,150,88
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,09-19-2019,10:00:00,1010.40,28.5,32.96,0.0,8.00,30.20,0.01,1011.09,25.7,000,85
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-19-2019,10:00:00,1010.34,28.0,31.95,0.0,10.00,33.90,0.00,1010.83,25.1,000,85
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-19-2019,10:00:00,1007.62,27.4,33.29,11.1,6.00,24.60,0.01,1009.03,25.8,340,91
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,09-19-2019,10:00:00,1009.79,27.0,34.48,13.0,5.00,2.20,0.01,1011.48,26.4,060,97
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-19-2019,10:00:00,1004.00,25.2,31.49,0.0,10.00,27.80,6.10,1012.09,24.9,000,98
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-19-2019,10:00:00,1011.02,26.0,32.20,5.6,8.00,6.50,0.50,1011.31,25.3,080,96
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-19-2019,10:00:00,1007.74,29.0,31.13,0.0,10.00,1.00,0.00,1010.87,24.7,000,78
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-19-2019,10:00:00,1003.92,27.5,30.70,0.0,10.00,0.00,0.00,1010.87,24.5,000,84
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-19-2019,10:00:00,1005.94,27.0,32.77,0.0,8.00,64.70,2.30,1011.56,25.6,000,92
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,09-19-2019,10:00:00,1002.52,27.7,32.48,0.0,8.00,0.00,0.00,1011.85,25.4,000,87
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-19-2019,10:00:00,1010.70,28.5,32.67,3.7,8.00,2.00,0.00,1011.97,25.5,350,84
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-19-2019,10:00:00,1010.59,29.9,31.80,7.4,11.00,0.30,0.30,1011.02,25.1,330,75
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-19-2019,10:00:00,998.92,26.5,29.89,0.0,10.00,0.00,0.00,1011.25,24.0,000,86
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-19-2019,10:00:00,1010.28,28.0,31.95,0.0,10.00,0.00,0.00,1011.00,25.1,000,85
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-19-2019,10:00:00,1008.52,29.4,33.66,5.6,8.00,49.90,0.50,1010.95,26.0,350,82
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-19-2019,10:00:00,1010.38,28.0,33.08,0.0,10.00,40.60,38.40,1010.90,25.7,000,88
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-19-2019,10:00:00,1005.31,29.6,32.63,1.9,14.00,76.00,0.10,1010.43,25.5,300,79
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-19-2019,10:00:00,1010.82,28.7,31.09,0.0,9.00,1.60,0.00,1011.23,24.7,000,79
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-19-2019,10:00:00,1008.05,28.0,33.37,7.4,8.00,7.50,0.00,1010.82,25.9,270,88
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-19-2019,10:00:00,1010.32,29.4,28.31,11.1,10.00,0.00,0.00,1011.11,23.1,290,69
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-19-2019,10:00:00,1011.55,25.0,30.32,5.6,4.00,58.70,12.50,1012.02,24.3,040,96
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-19-2019,10:00:00,1010.82,28.8,29.90,7.4,8.00,1.50,0.00,1011.50,24.0,300,76
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-19-2019,10:00:00,1010.13,29.0,27.30,3.7,9.00,0.60,0.00,1011.65,22.5,270,68
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-19-2019,10:00:00,1011.78,29.0,29.74,3.7,10.00,30.60,0.00,1012.70,23.9,210,74
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-19-2019,10:00:00,1011.47,28.6,30.62,0.0,12.00,3.70,0.00,1012.16,24.4,000,78
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-19-2019,10:00:00,1011.35,30.0,30.31,5.6,10.00,0.00,0.00,1012.14,24.3,220,71
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-19-2019,10:00:00,1011.29,30.5,29.61,0.0,12.00,9.80,0.00,1011.92,23.9,000,68
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-19-2019,10:00:00,1011.33,31.0,31.47,0.0,10.00,0.00,0.00,1011.73,24.9,000,70
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-19-2019,10:00:00,1010.27,27.5,32.36,0.0,7.00,48.20,0.00,1014.50,25.4,000,88
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-19-2019,10:00:00,1010.59,28.2,29.03,0.0,12.00,0.40,0.00,1012.20,23.5,000,76
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-19-2019,10:00:00,1008.28,30.5,29.89,0.0,10.00,1.70,0.00,1011.73,24.0,000,68
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-19-2019,10:00:00,1010.31,29.9,29.27,5.6,10.00,0.00,0.00,1011.66,23.7,260,69
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-19-2019,10:00:00,1011.32,29.2,28.75,0.0,10.00,4.50,0.00,1012.20,23.4,000,71
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-19-2019,10:00:00,1008.85,29.2,28.21,0.0,10.00,0.00,0.00,1012.40,23.1,000,70
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-19-2019,10:00:00,1011.29,30.6,28.97,3.7,10.00,0.20,0.00,1011.72,23.5,310,66
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-19-2019,10:00:00,1010.83,30.0,29.75,9.3,10.00,5.70,0.00,1011.82,24.0,280,70
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-19-2019,10:00:00,1011.60,29.3,35.21,5.6,10.00,0.80,0.00,1012.42,26.8,280,86
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-19-2019,10:00:00,1010.39,30.0,30.31,7.4,10.00,0.00,0.00,1012.20,24.3,080,71
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-19-2019,10:00:00,1011.25,29.6,27.88,3.7,3.00,3.50,0.00,1012.00,22.9,340,67
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-19-2019,10:00:00,1008.00,29.0,31.13,5.6,4.00,0.80,0.00,1011.99,24.7,120,78
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-19-2019,10:00:00,1011.74,28.3,31.70,0.0,7.00,11.90,0.00,1012.42,25.0,000,82
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-19-2019,10:00:00,1011.12,29.7,30.55,0.0,8.00,0.20,0.00,1012.23,24.4,000,73
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-19-2019,10:00:00,1009.11,29.0,32.26,5.6,7.00,0.50,0.00,1012.02,25.3,210,81
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,09-19-2019,10:00:00,1011.24,28.0,33.37,0.0,6.00,10.50,0.00,1011.93,25.9,000,88
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,09-19-2019,10:00:00,1008.63,27.6,30.89,0.0,4.00,0.00,0.00,1012.77,24.6,000,84
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,09-19-2019,10:00:00,1011.58,28.7,32.79,0.0,9.00,3.30,0.00,1012.17,25.6,000,83
