WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,WindDirection,VaporPressure,RelativeHumidity,LandVisibility,WindSpeed,Rainfall,AirTemperature,MeanSeaLevelPressure,StationPressure,DewPoint
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,11.00,08-30-2019,13:00:00,000,34.49,73,12.00,0.0,0.00,32.0,997.93,968.86,26.4
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1.80,08-30-2019,13:00:00,000,35.79,91,7.00,0.0,1.80,28.6,1000.70,965.70,27.1
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,5.90,08-30-2019,13:00:00,320,33.22,74,15.00,7.4,0.00,31.0,996.36,967.41,25.8
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-30-2019,13:00:00,320,31.31,72,11.00,9.3,0.00,30.5,999.00,991.84,24.8
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,2.00,08-30-2019,13:00:00,020,32.10,70,12.00,18.5,0.00,31.3,997.09,977.68,25.2
48353,LOEI,เลย,เลย,17.45000,101.73333,5.30,08-30-2019,13:00:00,340,29.80,65,15.00,14.8,0.00,31.3,996.52,968.60,24.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,14.40,08-30-2019,13:00:00,030,25.52,59,15.00,14.8,12.10,30.2,996.12,976.39,21.4
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,19.20,08-30-2019,13:00:00,120,26.58,95,6.00,11.1,4.20,23.0,995.96,974.20,22.1
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,27.70,08-30-2019,13:00:00,120,27.91,98,8.00,24.1,5.50,23.2,996.06,976.55,22.9
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,50.10,08-30-2019,13:00:00,150,27.17,91,7.00,13.0,2.30,24.1,1000.36,983.57,22.5
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,64.30,08-30-2019,13:00:00,090,27.58,95,7.00,9.3,4.50,23.6,1000.60,983.12,22.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,15.20,08-30-2019,13:00:00,320,29.77,82,15.00,5.6,11.20,27.3,995.49,970.06,24.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.01,08-30-2019,13:00:00,000,34.81,92,10.00,0.0,0.01,28.0,1000.36,994.63,26.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.01,08-30-2019,13:00:00,000,33.21,90,8.00,0.0,0.01,27.5,999.59,993.45,25.8
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,63.70,08-30-2019,13:00:00,180,31.64,85,10.00,5.6,0.40,27.7,999.08,982.81,25.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,08-30-2019,13:00:00,210,29.19,77,10.00,3.7,0.00,28.0,1000.91,978.80,23.6
48376,TAK,ตาก,ตาก,16.87833,99.14333,1.00,08-30-2019,13:00:00,260,30.48,85,7.00,14.8,1.00,27.1,1001.19,986.89,24.4
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.50,08-30-2019,13:00:00,000,33.58,81,6.00,0.0,0.50,29.5,1000.61,984.47,26.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,11.00,08-30-2019,13:00:00,270,35.66,92,10.00,5.6,9.80,28.4,1000.09,994.92,27.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,15.50,08-30-2019,13:00:00,000,34.19,88,10.00,0.0,1.50,28.4,997.02,984.02,26.3
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1.90,08-30-2019,13:00:00,210,32.69,91,8.00,9.3,1.90,27.1,1000.80,991.54,25.5
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,19.90,08-30-2019,13:00:00,330,30.89,84,5.00,11.1,4.30,27.6,995.78,974.38,24.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,182.00,08-30-2019,13:00:00,000,30.65,99,3.00,0.0,34.30,24.6,996.36,978.91,24.4
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,221.50,08-30-2019,13:00:00,140,27.83,97,9.00,5.6,44.80,23.3,998.78,982.89,22.8
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,39.10,08-30-2019,13:00:00,010,31.60,92,8.00,9.3,15.40,26.4,994.89,976.20,25.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,2.40,08-30-2019,13:00:00,000,28.59,88,6.00,0.0,1.40,25.5,1003.97,952.88,23.3
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,52.40,08-30-2019,13:00:00,260,31.25,96,7.00,14.8,50.40,25.5,999.92,995.97,24.8
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,3.60,08-30-2019,13:00:00,270,25.69,97,.30,7.4,3.00,22.0,1002.62,908.10,21.5
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,199.10,08-30-2019,13:00:00,160,29.85,97,8.00,5.6,0.20,24.6,994.91,979.00,24.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,17.70,08-30-2019,13:00:00,000,32.09,97,5.00,0.0,16.70,25.8,1001.44,997.41,25.2
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,6.50,08-30-2019,13:00:00,000,32.20,96,7.00,0.0,5.30,26.0,1002.02,991.36,25.3
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,3.70,08-30-2019,13:00:00,000,31.66,89,6.00,0.0,2.50,27.0,1001.25,999.33,25.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,22.20,08-30-2019,13:00:00,230,29.66,83,10.00,27.8,0.40,27.1,998.07,977.40,23.9
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,325.10,08-30-2019,13:00:00,210,26.83,96,6.00,25.9,75.60,23.0,996.42,978.71,22.2
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,296.70,08-30-2019,13:00:00,180,27.15,99,5.00,22.2,86.40,22.6,996.13,979.91,22.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,65.00,08-30-2019,13:00:00,190,29.62,86,10.00,13.0,1.30,26.5,1001.76,987.78,23.9
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,61.40,08-30-2019,13:00:00,190,30.71,94,6.00,5.6,2.00,25.5,1000.43,985.62,24.5
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,45.90,08-30-2019,13:00:00,230,30.32,96,3.00,16.7,5.20,25.0,1001.08,986.40,24.3
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,6.20,08-30-2019,13:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",32.97,92,7.00,0.0,4.20,27.1,1001.37,998.37,25.7
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,23.00,08-30-2019,13:00:00,000,29.99,92,7.00,0.0,14.80,25.4,1000.00,992.06,24.1
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,3.20,08-30-2019,13:00:00,220,31.39,83,6.00,14.8,0.90,28.0,1001.76,1000.66,24.8
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,102.00,08-30-2019,13:00:00,220,28.42,98,2.00,7.4,28.90,23.5,999.24,984.50,23.2
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.60,08-30-2019,13:00:00,230,21.87,99,.05,5.6,2.80,19.1,1002.18,867.68,18.9
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,14.20,08-30-2019,13:00:00,000,32.20,96,5.00,0.0,5.20,26.0,1000.33,994.47,25.3
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1.40,08-30-2019,13:00:00,240,31.16,84,7.00,5.6,0.30,27.6,1001.81,1001.01,24.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,2.90,08-30-2019,13:00:00,230,32.67,84,10.00,14.8,0.50,28.5,1002.00,1001.55,25.5
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,08-30-2019,13:00:00,000,30.42,83,7.00,0.0,0.00,27.5,1003.79,992.55,24.3
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.30,08-30-2019,13:00:00,220,31.16,76,12.00,3.7,0.01,29.3,1001.54,1000.54,24.7
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1.90,08-30-2019,13:00:00,210,30.97,84,7.00,5.6,0.60,27.5,1001.51,999.70,24.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.40,08-30-2019,13:00:00,270,27.82,66,8.00,3.7,0.01,30.0,1001.51,1000.76,22.8
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.20,08-30-2019,13:00:00,230,31.14,81,10.00,14.8,0.20,28.3,1001.66,1000.96,24.7
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,6.90,08-30-2019,13:00:00,270,32.96,88,6.00,3.7,1.00,27.8,1001.50,1000.80,25.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,28.80,08-30-2019,13:00:00,240,29.93,97,6.00,11.1,16.20,24.5,1000.02,978.84,24.1
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,27.80,08-30-2019,13:00:00,000,29.41,96,6.00,0.0,7.70,24.5,1000.06,983.33,23.8
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,32.00,08-30-2019,13:00:00,180,29.41,96,3.00,5.6,9.80,24.5,1000.37,983.91,23.8
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,23.30,08-30-2019,13:00:00,000,28.89,94,4.00,0.0,11.20,24.5,1000.51,978.62,23.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,8.30,08-30-2019,13:00:00,210,26.78,84,10.00,14.8,0.50,25.2,1000.96,957.73,22.2
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,22.70,08-30-2019,13:00:00,230,30.02,98,3.00,5.6,10.20,24.4,1000.37,979.78,24.1
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,61.00,08-30-2019,13:00:00,200,28.59,100,2.00,38.9,22.00,23.3,999.64,978.72,23.3
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.70,08-30-2019,13:00:00,300,28.78,66,10.00,5.6,0.00,30.5,1002.19,1001.76,23.4
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,8.90,08-30-2019,13:00:00,000,33.10,95,6.00,0.0,1.30,26.6,1001.59,1000.18,25.7
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,15.70,08-30-2019,13:00:00,000,34.11,95,7.00,0.0,0.90,27.1,1001.81,996.90,26.2
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,08-30-2019,13:00:00,250,27.76,60,12.00,7.4,0.00,31.4,1001.94,998.71,22.8
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.60,08-30-2019,13:00:00,200,32.10,83,5.00,1.9,0.50,28.5,1001.74,1000.65,25.2
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.50,08-30-2019,13:00:00,190,31.49,79,8.00,7.4,0.40,28.9,1002.18,1001.89,24.9
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.90,08-30-2019,13:00:00,230,31.82,82,8.00,5.6,0.30,28.5,1002.15,1001.46,25.1
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.90,08-30-2019,13:00:00,120,32.27,84,7.00,3.7,0.10,28.3,1002.10,1001.61,25.3
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.01,08-30-2019,13:00:00,230,30.67,80,8.00,16.7,0.01,28.2,1001.96,1000.57,24.5
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.10,08-30-2019,13:00:00,210,36.17,93,9.00,25.9,0.01,28.5,1002.37,1000.71,27.2
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,9.60,08-30-2019,13:00:00,000,32.77,92,10.00,0.0,3.00,27.0,1003.94,995.96,25.6
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.40,08-30-2019,13:00:00,300,31.82,82,10.00,5.6,0.01,28.5,1001.84,1001.56,25.1
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-30-2019,13:00:00,000,31.13,78,10.00,0.0,0.00,29.0,1002.07,998.97,24.7
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-30-2019,13:00:00,180,29.49,72,10.00,5.6,0.00,29.3,1002.28,995.42,23.8
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,2.20,08-30-2019,13:00:00,250,33.78,92,7.00,5.6,0.40,27.5,1001.57,996.01,26.1
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,08-30-2019,13:00:00,180,35.94,87,10.00,7.4,0.00,29.5,1002.60,993.40,27.1
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,2.30,08-30-2019,13:00:00,270,29.06,67,14.00,18.5,0.00,30.5,1002.92,1001.68,23.6
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,6.30,08-30-2019,13:00:00,260,29.88,66,11.00,18.5,0.00,31.2,1001.72,1001.29,24.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,08-30-2019,13:00:00,270,28.73,64,10.00,7.4,0.00,30.9,1002.27,990.22,23.4
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-30-2019,13:00:00,000,28.40,56,10.00,0.0,0.00,33.0,1002.25,1001.55,23.2
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.01,08-30-2019,13:00:00,230,28.23,61,10.00,14.8,0.00,31.5,1002.66,1000.27,23.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.01,08-30-2019,13:00:00,240,31.31,72,10.00,13.0,0.00,30.5,1002.78,1002.27,24.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-30-2019,13:00:00,190,28.17,67,11.00,13.0,0.00,29.9,1002.20,997.12,23.1
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,9.50,08-30-2019,13:00:00,220,32.83,79,8.00,9.3,0.80,29.7,1002.53,1002.12,25.6
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,36.30,08-30-2019,13:00:00,160,32.50,79,8.00,13.0,0.00,29.4,1003.18,1000.44,25.4
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.70,08-30-2019,13:00:00,160,28.62,73,10.00,3.7,0.00,28.7,1003.86,1003.08,23.3
48501,TRAD,ตราด,ตราด,11.76667,102.88333,57.30,08-30-2019,13:00:00,240,33.86,86,7.00,13.0,0.00,28.8,1003.72,1003.27,26.1
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,42.40,08-30-2019,13:00:00,000,29.77,96,5.00,0.0,37.00,24.7,1005.91,1005.22,24.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,30.20,08-30-2019,13:00:00,200,28.20,92,5.00,3.7,24.40,24.4,1006.21,1004.67,23.1
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,47.10,08-30-2019,13:00:00,220,31.63,90,9.00,7.4,1.70,26.7,1006.65,1005.74,25.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.70,08-30-2019,13:00:00,240,31.11,87,10.00,7.4,0.40,27.0,1006.11,1005.42,24.7
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,15.10,08-30-2019,13:00:00,180,33.35,98,8.00,5.6,2.40,26.3,1007.02,1006.22,25.9
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,13.10,08-30-2019,13:00:00,000,30.15,82,9.00,0.0,2.50,27.5,1006.30,1005.67,24.2
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,11.10,08-30-2019,13:00:00,190,30.70,89,10.00,11.1,1.90,26.5,1006.87,1006.47,24.5
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,6.10,08-30-2019,13:00:00,270,29.08,84,6.00,9.3,0.30,26.5,1008.20,1003.98,23.6
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,25.40,08-30-2019,13:00:00,000,30.30,97,9.00,0.0,4.60,24.7,1007.77,1006.14,24.3
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,26.60,08-30-2019,13:00:00,000,33.20,87,6.00,0.0,5.00,28.2,1009.25,1005.78,25.8
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,20.60,08-30-2019,13:00:00,290,30.05,95,4.00,9.3,6.90,25.0,1007.60,1006.23,24.1
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,94.20,08-30-2019,13:00:00,240,32.79,96,8.00,14.8,4.60,26.3,1007.96,1007.07,25.6
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,74.20,08-30-2019,13:00:00,260,28.86,97,10.00,7.4,25.10,23.9,1008.00,1004.40,23.5
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,38.20,08-30-2019,13:00:00,000,28.75,89,8.00,0.0,12.00,25.3,1007.80,1007.36,23.4
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,76.80,08-30-2019,13:00:00,250,30.76,91,7.00,16.7,24.00,26.1,1007.52,1006.52,24.5
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,43.20,08-30-2019,13:00:00,270,30.84,92,5.00,33.3,24.20,26.0,1007.70,1006.88,24.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,50.00,08-30-2019,13:00:00,270,29.41,96,1.00,5.6,12.10,24.5,1008.65,1006.82,23.8
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,3.90,08-30-2019,13:00:00,240,32.76,72,11.00,5.6,3.90,31.2,1006.29,1005.54,25.6
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,9.20,08-30-2019,13:00:00,230,28.43,61,10.00,16.7,0.00,31.6,1007.16,1003.23,23.2
48570,SATUN,สตูล,สตูล,6.65000,100.08333,17.80,08-30-2019,13:00:00,190,32.75,75,10.00,9.3,0.00,30.5,1007.26,1006.58,25.6
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,2.60,08-30-2019,13:00:00,000,30.65,67,10.00,0.0,0.00,31.3,1006.46,1005.36,24.5
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,9.80,08-30-2019,13:00:00,190,32.31,68,12.00,7.4,0.00,32.1,1006.87,1004.00,25.3
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,7.20,08-30-2019,13:00:00,000,31.92,62,11.00,0.0,0.00,33.3,1005.54,1004.87,25.1
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,7.50,08-30-2019,13:00:00,240,24.51,47,10.00,16.7,0.00,33.7,1006.80,1002.77,20.8
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.30,08-30-2019,13:00:00,150,29.63,64,10.00,5.6,0.00,31.5,1006.65,1006.07,23.9
