WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,LandVisibility,Rainfall24Hr,WindSpeed,VaporPressure,Rainfall,RelativeHumidity,AirTemperature,StationPressure,WindDirection,DewPoint
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1005.45,08-06-2019,16:00:00,.90,26.90,0.0,24.90,1.70,95,21.8,910.60,000,21.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1002.20,08-06-2019,16:00:00,10.00,2.50,0.0,35.46,0.00,67,33.8,986.64,000,26.9
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1004.13,08-06-2019,16:00:00,10.00,2.90,3.7,33.40,0.00,72,31.5,1000.17,190,25.9
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1004.98,08-06-2019,16:00:00,10.00,0.00,0.0,27.27,0.00,57,32.0,994.51,000,22.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1004.45,08-06-2019,16:00:00,10.00,1.10,0.0,30.14,0.00,70,30.2,1002.54,000,24.2
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1002.29,08-06-2019,16:00:00,10.00,0.00,14.8,23.36,0.00,41,35.1,982.07,250,20.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1001.90,08-06-2019,16:00:00,10.00,0.00,11.1,28.92,0.00,56,33.4,984.69,230,23.5
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1001.55,08-06-2019,16:00:00,10.00,0.00,5.6,29.17,0.00,58,33.1,985.80,340,23.6
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1002.59,08-06-2019,16:00:00,10.00,0.60,7.4,29.91,0.60,62,32.2,988.86,300,24.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1002.95,08-06-2019,16:00:00,9.00,1.00,0.0,32.76,0.00,72,31.2,988.38,000,25.6
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1002.43,08-06-2019,16:00:00,8.00,0.01,7.4,32.28,0.00,66,32.5,988.09,310,25.3
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1003.91,08-06-2019,16:00:00,10.00,0.70,0.0,29.02,0.00,61,31.9,1000.95,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",23.5
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1003.69,08-06-2019,16:00:00,10.00,0.00,7.4,29.67,0.00,63,31.8,995.89,250,23.9
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1004.63,08-06-2019,16:00:00,8.00,6.60,9.3,30.21,0.00,68,30.8,1003.54,180,24.2
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1002.34,08-06-2019,16:00:00,8.00,18.10,0.0,23.55,18.10,72,25.5,987.65,000,20.1
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1006.06,08-06-2019,16:00:00,.05,31.60,5.6,23.20,0.80,98,20.2,871.50,290,19.9
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1004.05,08-06-2019,16:00:00,10.00,0.90,0.0,29.46,0.01,61,32.4,998.29,000,23.8
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1004.68,08-06-2019,16:00:00,9.00,7.00,3.7,29.39,0.00,63,31.8,1003.89,230,23.8
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1004.80,08-06-2019,16:00:00,10.00,2.10,11.1,31.23,0.00,71,30.6,1004.36,210,24.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1005.68,08-06-2019,16:00:00,4.00,62.00,0.0,33.00,0.00,87,28.1,994.43,000,25.7
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1004.62,08-06-2019,16:00:00,12.00,3.10,0.0,30.03,0.00,62,32.4,1003.63,000,24.1
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1004.62,08-06-2019,16:00:00,10.00,5.70,0.0,29.51,0.00,62,32.0,1002.83,000,23.8
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1004.69,08-06-2019,16:00:00,8.00,2.90,0.0,29.80,0.01,65,31.3,1003.94,000,24.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1004.78,08-06-2019,16:00:00,10.00,10.20,9.3,29.76,0.00,66,31.0,1004.09,210,24.0
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1004.09,08-06-2019,16:00:00,8.00,10.40,3.7,31.27,0.00,65,32.3,1003.41,300,24.8
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1003.16,08-06-2019,16:00:00,12.00,0.00,13.0,27.37,0.00,50,34.6,982.61,310,22.6
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1002.32,08-06-2019,16:00:00,11.00,0.40,0.0,30.12,0.10,58,33.7,986.05,000,24.2
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1002.67,08-06-2019,16:00:00,10.00,1.00,5.6,30.46,0.00,57,34.0,986.68,270,24.3
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1003.22,08-06-2019,16:00:00,10.00,0.01,25.9,25.21,0.00,46,34.5,981.98,270,21.2
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1004.51,08-06-2019,16:00:00,10.00,3.20,11.1,27.32,0.00,72,28.0,961.53,180,22.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1002.79,08-06-2019,16:00:00,12.00,0.00,14.8,25.11,0.00,44,35.3,982.87,120,21.2
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1004.05,08-06-2019,16:00:00,10.00,0.00,5.6,29.42,0.00,59,32.8,983.69,300,23.8
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.10,08-06-2019,16:00:00,10.00,8.70,9.3,33.20,0.50,80,29.6,1004.67,200,25.8
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1003.32,08-06-2019,16:00:00,11.00,1.10,3.7,31.35,0.00,68,31.5,1001.93,260,24.8
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1004.71,08-06-2019,16:00:00,8.00,1.30,0.0,31.89,0.00,67,31.9,999.86,000,25.1
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1004.93,08-06-2019,16:00:00,12.00,4.80,3.7,31.38,0.00,80,28.7,1001.66,190,24.8
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1004.77,08-06-2019,16:00:00,10.00,3.20,7.4,30.28,0.01,66,31.4,1003.68,260,24.3
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1004.84,08-06-2019,16:00:00,10.00,6.40,11.1,30.98,0.00,67,31.6,1004.54,220,24.6
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1004.40,08-06-2019,16:00:00,10.00,13.40,0.0,32.22,0.00,70,31.5,1003.73,000,25.3
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1004.84,08-06-2019,16:00:00,10.00,15.10,5.6,30.90,0.00,69,31.0,1004.36,240,24.6
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1005.13,08-06-2019,16:00:00,10.00,6.00,13.0,29.28,0.00,66,30.9,1003.74,280,23.7
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1005.27,08-06-2019,16:00:00,10.00,19.00,14.8,32.71,0.00,83,28.8,1003.61,210,25.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1007.02,08-06-2019,16:00:00,10.00,1.70,0.0,26.60,0.00,61,30.5,999.11,000,22.1
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1004.92,08-06-2019,16:00:00,12.00,12.90,0.0,32.55,0.00,72,31.1,1004.64,000,25.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1005.29,08-06-2019,16:00:00,10.00,3.50,0.0,28.91,0.00,68,30.0,1002.20,000,23.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1005.33,08-06-2019,16:00:00,10.00,11.70,0.0,31.44,0.00,74,30.0,998.47,000,24.9
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1004.72,08-06-2019,16:00:00,8.00,0.20,18.5,29.22,0.00,61,32.0,999.23,250,23.7
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1006.16,08-06-2019,16:00:00,12.00,1.60,7.4,29.63,0.00,64,31.5,996.99,210,23.9
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1006.22,08-06-2019,16:00:00,14.00,17.20,3.7,30.34,0.00,70,30.3,1004.97,270,24.3
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1004.93,08-06-2019,16:00:00,11.00,6.10,3.7,34.93,0.10,77,31.1,1004.51,160,26.6
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1005.35,08-06-2019,16:00:00,10.00,13.60,3.7,31.66,0.40,80,28.7,993.18,180,25.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1005.55,08-06-2019,16:00:00,10.00,3.50,0.0,35.30,0.00,87,29.2,1004.85,000,26.8
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1005.69,08-06-2019,16:00:00,8.00,2.70,14.8,30.38,0.80,69,30.6,1003.28,200,24.3
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.00,08-06-2019,16:00:00,8.00,0.20,9.3,33.83,0.01,83,29.2,1005.48,210,26.1
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1005.16,08-06-2019,16:00:00,10.00,0.40,5.6,31.44,0.01,74,30.0,1000.07,190,24.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1006.13,08-06-2019,16:00:00,8.00,102.40,0.0,31.62,0.60,82,28.4,1005.72,000,25.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1006.44,08-06-2019,16:00:00,8.00,67.00,0.0,30.15,0.00,78,28.5,1003.69,000,24.2
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1005.54,08-06-2019,16:00:00,10.00,0.10,3.7,30.57,0.10,76,29.0,1004.76,190,24.4
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1006.59,08-06-2019,16:00:00,6.00,132.20,0.0,32.86,1.60,93,26.9,1006.13,000,25.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1006.44,08-06-2019,16:00:00,7.00,7.20,11.1,30.51,1.80,89,26.4,1005.75,240,24.4
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1005.99,08-06-2019,16:00:00,6.00,7.40,1.9,31.46,0.40,80,28.6,1004.47,280,24.9
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1006.74,08-06-2019,16:00:00,10.00,18.30,11.1,30.90,0.60,69,31.0,1005.84,230,24.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1005.79,08-06-2019,16:00:00,12.00,1.50,13.0,29.38,0.00,60,32.5,1005.11,270,23.7
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1006.17,08-06-2019,16:00:00,10.00,5.80,9.3,29.50,0.00,55,34.1,1005.39,250,23.8
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1005.77,08-06-2019,16:00:00,10.00,2.60,9.3,25.63,0.00,48,34.0,1005.15,270,21.5
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1005.88,08-06-2019,16:00:00,10.00,0.00,11.1,27.70,0.00,51,34.2,1005.49,270,22.8
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1007.55,08-06-2019,16:00:00,8.00,1.20,9.3,26.07,0.00,50,33.8,1003.44,230,21.8
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1006.59,08-06-2019,16:00:00,10.00,0.00,0.0,24.92,0.00,49,33.2,1005.01,000,21.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1006.92,08-06-2019,16:00:00,12.00,0.00,9.3,22.43,0.00,45,33.0,1003.52,270,19.3
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1005.93,08-06-2019,16:00:00,10.00,0.00,14.8,22.30,0.00,42,33.8,1004.61,300,19.2
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1007.42,08-06-2019,16:00:00,10.00,0.00,14.8,30.33,0.00,68,31.0,1006.55,240,24.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1006.93,08-06-2019,16:00:00,10.00,0.00,0.0,28.29,0.00,63,31.1,1003.42,000,23.1
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1006.88,08-06-2019,16:00:00,10.00,0.00,13.0,27.61,0.00,49,35.0,1006.45,300,22.7
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1006.87,08-06-2019,16:00:00,10.00,0.00,5.6,28.50,0.00,59,32.2,1005.89,290,23.2
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1007.08,08-06-2019,16:00:00,10.00,0.00,11.1,31.77,0.00,68,31.7,1006.27,250,25.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1006.80,08-06-2019,16:00:00,13.00,0.00,13.0,27.43,0.00,53,33.5,1005.02,220,22.6
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1005.74,08-06-2019,16:00:00,11.00,0.00,5.6,21.79,0.00,37,35.7,1005.01,320,18.9
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1006.37,08-06-2019,16:00:00,10.00,0.00,13.0,25.60,0.00,46,34.7,1002.48,260,21.5
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1006.64,08-06-2019,16:00:00,10.00,0.00,5.6,29.46,0.00,58,33.1,1005.97,250,23.8
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1005.87,08-06-2019,16:00:00,10.00,0.00,11.1,23.44,0.00,42,35.0,1004.78,220,20.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1006.44,08-06-2019,16:00:00,11.00,0.00,13.0,27.20,0.00,49,34.8,1003.60,260,22.5
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1005.78,08-06-2019,16:00:00,10.00,0.00,7.4,28.55,0.00,53,34.2,1005.11,230,23.3
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1006.56,08-06-2019,16:00:00,8.00,0.00,7.4,28.40,0.00,56,33.0,1002.52,200,23.2
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1006.84,08-06-2019,16:00:00,10.00,0.00,7.4,28.25,0.00,58,32.5,1006.26,150,23.1
