WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr,RelativeHumidity,Rainfall,StationPressure,AirTemperature,WindDirection,VaporPressure,WindSpeed
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.3,08-18-2019,10:00:00,12.00,1010.35,0.00,76,0.00,1004.20,30.0,120,32.30,5.6
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.2,08-18-2019,10:00:00,10.00,1011.03,10.80,78,0.00,994.61,28.5,180,30.15,11.1
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.7,08-18-2019,10:00:00,10.00,1009.50,0.30,79,0.00,987.19,27.8,000,29.36,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,23.9,08-18-2019,10:00:00,8.00,1010.73,0.00,67,0.00,996.47,30.8,100,29.65,3.7
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.9,08-18-2019,10:00:00,8.00,1010.34,0.00,72,0.00,994.04,29.5,000,29.60,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.4,08-18-2019,10:00:00,10.00,1010.72,2.80,81,0.00,1005.50,28.9,160,32.34,5.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.6,08-18-2019,10:00:00,12.00,1009.19,0.00,76,0.00,996.06,29.2,170,30.96,3.7
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,25.8,08-18-2019,10:00:00,12.00,1009.93,5.10,78,0.00,1000.67,30.0,000,33.17,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.5,08-18-2019,10:00:00,10.00,1009.86,1.60,68,0.00,988.33,30.0,220,28.91,9.3
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,25.0,08-18-2019,10:00:00,10.00,1010.42,0.70,75,0.00,993.03,30.0,240,31.72,7.4
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,25.2,08-18-2019,10:00:00,12.00,1009.34,20.20,78,0.00,993.60,29.5,230,32.13,9.3
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,23.7,08-18-2019,10:00:00,10.00,1008.80,0.01,67,0.00,990.10,30.5,220,29.33,14.8
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.1,08-18-2019,10:00:00,11.00,1011.31,17.00,84,0.00,959.92,26.0,000,28.18,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.5,08-18-2019,10:00:00,8.00,1010.02,30.60,79,0.00,1006.08,29.5,180,32.71,7.4
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.1,08-18-2019,10:00:00,6.00,1010.45,1.60,88,0.00,915.55,23.2,230,24.95,7.4
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,26.1,08-18-2019,10:00:00,8.00,1009.98,14.50,83,0.00,994.07,29.3,250,33.74,13.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.9,08-18-2019,10:00:00,12.00,1010.20,0.01,72,0.00,1006.20,30.6,190,31.51,3.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,23.7,08-18-2019,10:00:00,9.00,1011.74,0.01,68,0.00,1001.13,30.2,210,29.30,3.7
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,23.2,08-18-2019,10:00:00,10.00,1011.01,0.00,71,0.00,1009.08,29.0,180,28.37,5.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,22.2,08-18-2019,10:00:00,10.00,1010.81,0.00,60,0.00,990.14,31.0,200,26.73,18.5
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.4,08-18-2019,10:00:00,10.00,1010.16,71.30,81,0.00,992.50,28.0,260,30.56,18.5
