WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,DewPoint,StationPressure,WindDirection,RelativeHumidity,VaporPressure,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,Rainfall,WindSpeed
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,12.00,07-16-2019,16:00:00,24.6,981.20,360,54,30.86,1000.69,35.3,0.00,0.00,7.4
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,15.00,07-16-2019,16:00:00,25.4,980.32,350,59,32.42,1001.38,34.5,0.00,0.00,3.7
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,15.00,07-16-2019,16:00:00,24.1,981.50,000,57,29.95,1000.41,33.9,0.00,0.00,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,12.00,07-16-2019,16:00:00,23.3,985.05,000,51,28.63,1001.27,34.8,0.00,0.00,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,12.00,07-16-2019,16:00:00,23.7,984.57,120,53,29.38,1001.45,34.6,0.00,0.00,3.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,15.00,07-16-2019,16:00:00,21.4,974.37,260,47,25.46,999.34,34.2,0.00,0.00,9.3
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,07-16-2019,16:00:00,24.7,995.59,000,52,31.19,1001.18,36.0,0.00,0.00,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,12.00,07-16-2019,16:00:00,25.6,994.81,000,56,32.88,1000.79,35.8,0.00,0.00,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10.00,07-16-2019,16:00:00,23.8,985.09,000,66,29.48,1001.21,31.0,0.00,0.00,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10.00,07-16-2019,16:00:00,24.4,980.00,000,81,30.56,1002.13,28.0,38.30,6.70,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,6.00,07-16-2019,16:00:00,25.8,988.95,260,78,33.17,1003.14,30.0,2.00,1.00,11.1
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,7.00,07-16-2019,16:00:00,23.3,985.58,240,60,28.66,1001.61,32.0,0.00,0.00,13.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,07-16-2019,16:00:00,22.5,996.79,190,47,27.28,1001.84,35.4,0.00,0.00,7.4
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,12.00,07-16-2019,16:00:00,23.6,987.12,310,52,29.05,999.89,35.0,0.00,0.00,5.6
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,12.00,07-16-2019,16:00:00,22.0,992.11,070,45,26.46,1001.12,35.7,0.00,0.00,5.6
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10.00,07-16-2019,16:00:00,22.0,979.38,100,45,26.50,1000.30,36.0,0.00,0.00,1.9
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,12.00,07-16-2019,16:00:00,23.3,983.48,210,47,28.56,1000.34,36.3,0.00,0.00,11.1
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,12.00,07-16-2019,16:00:00,21.8,984.93,230,43,26.09,1000.18,36.5,0.00,0.00,7.4
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10.00,07-16-2019,16:00:00,25.0,981.09,340,50,31.64,999.20,37.3,0.00,0.00,1.9
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,11.00,07-16-2019,16:00:00,22.1,951.96,000,65,26.62,1002.32,29.5,5.10,0.00,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,12.00,07-16-2019,16:00:00,21.9,997.27,230,47,26.27,1001.10,34.9,0.00,0.00,3.7
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,3.00,07-16-2019,16:00:00,21.1,909.79,200,93,24.97,1004.39,22.3,14.30,5.60,9.3
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10.00,07-16-2019,16:00:00,23.6,985.78,270,44,29.10,1001.13,37.8,0.01,0.00,5.6
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,12.00,07-16-2019,16:00:00,25.0,1003.74,030,51,31.74,1007.65,36.8,0.00,0.00,1.9
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10.00,07-16-2019,16:00:00,23.0,991.62,000,49,28.14,1001.95,35.4,0.00,0.00,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10.00,07-16-2019,16:00:00,23.5,999.73,150,51,28.88,1001.60,35.2,0.00,0.00,7.4
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,12.00,07-16-2019,16:00:00,20.2,979.99,280,35,23.64,999.98,38.1,0.00,0.00,9.3
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,07-16-2019,16:00:00,22.0,983.26,000,43,26.37,1000.27,36.5,0.20,0.00,0.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,07-16-2019,16:00:00,22.4,984.14,200,42,27.07,999.64,37.4,0.00,0.00,7.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,07-16-2019,16:00:00,23.7,987.33,290,53,29.21,1000.93,34.8,0.00,0.00,3.7
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10.00,07-16-2019,16:00:00,25.4,987.25,000,62,32.48,1001.68,33.7,0.00,0.00,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10.00,07-16-2019,16:00:00,23.5,987.65,290,46,28.87,1001.78,37.0,0.00,0.00,7.4
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,07-16-2019,16:00:00,23.7,998.45,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",49,29.23,1001.37,36.2,0.00,0.00,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10.00,07-16-2019,16:00:00,23.7,993.55,240,51,29.38,1001.24,35.3,0.00,0.00,13.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,10.00,07-16-2019,16:00:00,23.6,1001.06,160,53,29.17,1002.13,34.5,0.00,0.00,9.3
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,07-16-2019,16:00:00,20.6,987.60,000,41,24.26,1001.78,36.0,0.00,0.00,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,8.00,07-16-2019,16:00:00,19.9,868.61,000,76,23.25,1000.74,24.4,0.00,0.00,0.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,07-16-2019,16:00:00,27.2,995.35,000,57,36.14,1001.00,37.2,0.00,0.00,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,12.00,07-16-2019,16:00:00,26.2,1001.62,240,60,33.99,1002.40,35.2,0.00,0.00,9.3
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,07-16-2019,16:00:00,25.0,1002.07,230,67,31.68,1002.51,31.8,1.00,0.00,14.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,10.00,07-16-2019,16:00:00,22.4,992.95,010,55,27.13,1004.01,32.5,0.20,0.00,11.1
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,12.00,07-16-2019,16:00:00,22.4,1000.88,220,46,27.15,1001.86,35.9,0.00,0.00,11.1
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,12.00,07-16-2019,16:00:00,23.3,1000.27,200,51,28.67,1002.03,35.1,0.00,0.00,5.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,9.00,07-16-2019,16:00:00,20.7,1001.22,290,43,24.45,1001.96,35.1,0.00,0.00,14.8
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,07-16-2019,16:00:00,24.4,1001.64,180,63,30.61,1002.33,32.4,18.20,0.00,14.8
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,12.00,07-16-2019,16:00:00,24.1,1001.22,210,49,30.09,1001.90,36.6,0.60,0.00,5.6
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,12.00,07-16-2019,16:00:00,22.8,980.12,270,42,27.70,1000.42,37.7,0.00,0.00,11.1
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,14.00,07-16-2019,16:00:00,22.9,984.97,000,48,27.97,1001.13,35.6,28.30,0.00,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,12.00,07-16-2019,16:00:00,24.3,985.45,240,51,30.29,1001.32,36.0,20.40,0.00,1.9
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,07-16-2019,16:00:00,20.8,979.46,300,39,24.55,1000.48,37.0,0.00,0.00,11.1
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,14.00,07-16-2019,16:00:00,21.4,959.41,250,52,25.41,1001.65,32.6,0.00,0.00,22.2
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,12.00,07-16-2019,16:00:00,20.1,980.42,310,35,23.56,1000.11,38.2,0.00,0.00,7.4
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10.00,07-16-2019,16:00:00,25.0,982.22,150,58,31.74,1002.43,34.6,46.40,0.00,11.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,07-16-2019,16:00:00,25.0,1002.34,180,68,31.77,1002.77,31.7,14.80,0.00,18.5
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,11.00,07-16-2019,16:00:00,25.4,1000.67,000,59,32.42,1002.05,34.5,0.00,0.00,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,10.00,07-16-2019,16:00:00,24.2,997.07,000,54,30.22,1001.85,35.0,0.00,0.00,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,12.00,07-16-2019,16:00:00,21.8,999.26,300,44,26.10,1002.44,35.8,0.00,0.00,9.3
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,13.00,07-16-2019,16:00:00,23.6,1001.35,280,51,29.09,1002.42,35.3,0.00,0.00,14.8
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,07-16-2019,16:00:00,25.0,1002.14,220,61,31.75,1002.44,33.5,3.80,0.00,9.3
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,12.00,07-16-2019,16:00:00,24.9,1001.33,210,60,31.50,1002.00,33.8,2.10,0.00,5.6
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,07-16-2019,16:00:00,24.4,1002.28,240,57,30.58,1002.75,34.2,46.70,0.00,3.7
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,07-16-2019,16:00:00,23.9,1001.01,210,54,29.67,1002.37,34.6,0.01,0.00,11.1
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,12.00,07-16-2019,16:00:00,24.4,1001.04,190,68,30.61,1002.69,31.0,0.00,0.00,9.3
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,07-16-2019,16:00:00,23.6,996.69,230,55,29.21,1004.49,34.1,0.00,0.00,3.7
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,12.00,07-16-2019,16:00:00,24.4,1002.09,330,57,30.58,1002.37,34.2,0.00,0.00,7.4
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,12.00,07-16-2019,16:00:00,22.9,999.83,230,60,27.96,1002.91,31.5,0.00,0.00,5.6
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,12.00,07-16-2019,16:00:00,23.3,996.22,270,60,28.66,1003.02,32.0,0.00,0.00,7.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10.00,07-16-2019,16:00:00,24.7,996.50,270,52,31.19,1001.91,36.0,0.00,0.00,13.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,12.00,07-16-2019,16:00:00,23.7,997.50,230,58,29.25,1006.62,33.0,0.00,0.00,11.1
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,15.00,07-16-2019,16:00:00,24.0,1002.39,320,56,29.87,1003.62,34.0,0.00,0.00,7.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,07-16-2019,16:00:00,26.4,1002.01,170,59,34.51,1002.42,35.7,0.00,0.00,3.7
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10.00,07-16-2019,16:00:00,22.8,991.54,270,57,27.69,1003.53,32.5,0.00,0.00,3.7
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,07-16-2019,16:00:00,22.7,1002.60,280,49,27.61,1003.29,35.0,0.00,0.00,11.1
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,07-16-2019,16:00:00,23.3,1002.20,200,52,28.59,1004.57,34.5,0.00,0.00,14.8
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,12.00,07-16-2019,16:00:00,25.5,1002.89,250,70,32.73,1003.40,31.6,0.00,0.00,13.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,12.00,07-16-2019,16:00:00,24.1,997.84,190,60,29.99,1002.88,32.8,0.00,0.00,3.7
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,11.00,07-16-2019,16:00:00,25.3,1003.19,190,64,32.16,1003.59,33.0,0.00,0.00,9.3
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,10.00,07-16-2019,16:00:00,25.2,1001.10,220,71,32.05,1003.82,31.0,0.00,0.00,5.6
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,07-16-2019,16:00:00,21.8,1003.17,230,55,26.09,1003.94,32.1,0.00,0.00,5.6
48501,TRAD,ตราด,ตราด,11.76667,102.88333,8.00,07-16-2019,16:00:00,25.6,1003.58,270,79,32.83,1004.04,29.7,1.00,0.00,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,10.00,07-16-2019,16:00:00,22.4,1004.16,280,59,27.02,1004.83,31.3,0.01,0.00,9.3
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,9.00,07-16-2019,16:00:00,23.5,1003.14,000,68,28.91,1004.64,30.0,0.20,0.00,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,8.00,07-16-2019,16:00:00,23.9,1006.19,170,89,29.66,1007.11,25.8,48.70,29.40,3.7
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,12.00,07-16-2019,16:00:00,24.5,1004.81,270,63,30.69,1005.48,32.3,1.60,0.00,14.8
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,8.00,07-16-2019,16:00:00,24.5,1006.80,000,90,30.67,1007.60,26.2,13.10,2.20,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,8.00,07-16-2019,16:00:00,23.4,1005.95,000,90,28.83,1006.59,25.2,13.50,13.50,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,07-16-2019,16:00:00,23.8,1006.81,000,97,29.49,1007.22,24.4,8.50,8.50,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,3.00,07-16-2019,16:00:00,23.5,1004.87,190,91,28.92,1009.11,25.1,8.70,8.70,9.3
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,12.00,07-16-2019,16:00:00,24.0,1005.96,000,95,29.87,1007.58,24.9,4.60,2.60,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,7.00,07-16-2019,16:00:00,24.2,1004.46,000,94,30.15,1007.96,25.2,16.90,10.70,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,9.00,07-16-2019,16:00:00,23.7,1005.61,280,87,29.23,1006.97,26.0,0.01,0.01,11.1
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,8.00,07-16-2019,16:00:00,23.4,1006.92,330,97,28.78,1007.81,24.0,49.30,11.80,9.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,07-16-2019,16:00:00,22.7,1003.77,000,95,27.58,1007.37,23.6,3.70,2.50,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,07-16-2019,16:00:00,24.6,1006.12,000,93,31.00,1006.56,25.8,31.00,30.00,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,8.00,07-16-2019,16:00:00,24.4,1005.32,250,89,30.59,1006.32,26.3,9.30,9.30,7.4
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,8.00,07-16-2019,16:00:00,23.3,1006.51,270,97,28.61,1007.34,23.9,40.40,35.00,9.3
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,7.00,07-16-2019,16:00:00,23.6,1005.98,000,92,29.08,1007.81,24.9,22.70,20.90,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,12.00,07-16-2019,16:00:00,23.2,1005.99,100,65,28.50,1006.73,30.5,0.01,0.01,5.6
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,07-16-2019,16:00:00,23.8,1003.17,230,72,29.41,1007.14,29.4,23.40,0.00,13.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,07-16-2019,16:00:00,24.7,1007.50,000,78,31.13,1008.18,29.0,9.80,3.80,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,07-16-2019,16:00:00,23.4,1005.66,160,68,28.83,1006.76,30.1,0.00,0.00,16.7
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,12.00,07-16-2019,16:00:00,24.5,1004.67,260,76,30.77,1007.57,29.1,0.00,0.00,13.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,11.00,07-16-2019,16:00:00,25.5,1005.80,260,79,32.63,1006.48,29.6,13.70,13.70,18.5
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,8.00,07-16-2019,16:00:00,22.5,1003.29,210,73,27.22,1007.40,27.8,0.00,0.00,13.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10.00,07-16-2019,16:00:00,23.0,1005.90,230,63,28.09,1006.48,31.0,0.00,0.00,14.8
