WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,VaporPressure,MeanSeaLevelPressure,Rainfall24Hr,WindDirection,WindSpeed,StationPressure,LandVisibility,Rainfall,RelativeHumidity,DewPoint
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,31.0,09-06-2019,16:00:00,33.52,1002.50,0.00,000,0.0,989.54,12.00,0.00,75,26.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,31.7,09-06-2019,16:00:00,31.77,1004.13,1.40,320,11.1,994.98,10.00,1.40,68,25.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,32.0,09-06-2019,16:00:00,31.52,1003.02,1.00,200,7.4,981.77,10.00,0.00,66,24.9
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,32.7,09-06-2019,16:00:00,30.07,1003.12,3.20,240,14.8,986.01,12.00,0.00,61,24.1
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,26.6,09-06-2019,16:00:00,31.99,1002.70,13.00,000,0.0,986.91,12.00,3.10,92,25.2
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,31.5,09-06-2019,16:00:00,30.49,1002.08,1.00,230,3.7,983.57,10.00,0.00,66,24.4
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,25.0,09-06-2019,16:00:00,29.00,1006.74,15.20,000,0.0,955.42,9.00,1.00,92,23.5
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,32.5,09-06-2019,16:00:00,31.11,1003.78,1.10,000,0.0,999.90,10.00,0.50,64,24.7
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.8,09-06-2019,16:00:00,23.85,1005.89,4.60,200,9.3,910.69,.30,0.80,97,20.3
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,31.1,09-06-2019,16:00:00,32.84,1003.18,1.40,230,7.4,987.47,12.00,0.00,73,25.6
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,32.2,09-06-2019,16:00:00,30.48,1004.27,1.40,140,1.9,1000.31,10.00,0.00,63,24.4
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,29.6,09-06-2019,16:00:00,33.50,1005.18,4.10,000,0.0,994.62,10.00,1.20,81,25.9
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,33.5,09-06-2019,16:00:00,28.84,1004.37,0.00,000,0.0,1002.49,12.00,0.00,56,23.4
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,32.1,09-06-2019,16:00:00,27.46,1003.39,1.60,240,9.3,982.95,12.00,0.00,57,22.6
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,31.0,09-06-2019,16:00:00,29.48,1002.95,0.80,280,5.6,985.59,10.00,0.00,66,23.8
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,31.6,09-06-2019,16:00:00,29.55,1002.75,0.20,210,13.0,986.90,10.00,0.00,64,23.8
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,30.9,09-06-2019,16:00:00,29.56,1003.89,5.20,280,9.3,990.08,10.00,0.00,66,23.9
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,31.3,09-06-2019,16:00:00,30.65,1004.02,14.40,280,3.7,989.44,10.00,0.00,67,24.5
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,31.1,09-06-2019,16:00:00,33.14,1004.50,0.20,260,7.4,990.06,10.00,0.00,73,25.8
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,35.1,09-06-2019,16:00:00,30.43,1004.13,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,1001.20,10.00,0.00,54,24.3
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,32.2,09-06-2019,16:00:00,32.53,1004.07,0.60,000,0.0,996.28,10.00,0.00,68,25.4
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,32.1,09-06-2019,16:00:00,29.99,1004.64,0.20,210,5.6,1003.55,8.00,0.00,63,24.1
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,31.6,09-06-2019,16:00:00,34.82,1003.33,0.00,000,0.0,988.92,9.00,0.00,75,26.6
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,21.0,09-06-2019,16:00:00,23.92,1006.12,11.80,260,7.4,871.88,.10,0.00,96,20.4
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,30.2,09-06-2019,16:00:00,34.47,1004.00,1.70,000,0.0,998.20,10.00,0.00,80,26.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,33.0,09-06-2019,16:00:00,32.16,1005.04,0.80,240,18.5,1004.25,9.00,0.00,64,25.3
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,30.0,09-06-2019,16:00:00,30.31,1005.61,16.60,210,18.5,1005.17,10.00,0.00,71,24.3
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,27.5,09-06-2019,16:00:00,30.97,1006.97,5.20,000,0.0,995.68,4.00,2.60,84,24.6
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,33.5,09-06-2019,16:00:00,27.99,1004.72,0.00,290,9.3,1003.73,12.00,0.00,54,22.9
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,32.0,09-06-2019,16:00:00,30.94,1004.85,0.60,260,3.7,1003.06,7.00,0.01,65,24.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,30.0,09-06-2019,16:00:00,28.91,1005.32,2.40,230,3.7,1004.56,7.00,2.40,68,23.5
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,30.7,09-06-2019,16:00:00,28.89,1005.10,7.00,200,20.4,1004.40,9.00,0.00,65,23.5
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,31.3,09-06-2019,16:00:00,32.97,1004.67,15.40,210,5.6,1003.97,7.00,0.00,72,25.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,31.9,09-06-2019,16:00:00,28.46,1004.30,0.01,290,13.0,983.54,12.00,0.00,60,23.2
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,31.0,09-06-2019,16:00:00,30.05,1004.03,3.00,240,9.3,987.58,11.00,0.00,67,24.1
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,31.7,09-06-2019,16:00:00,29.75,1004.60,4.90,230,11.1,988.46,14.00,0.00,64,24.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,32.0,09-06-2019,16:00:00,28.66,1004.08,0.20,000,0.0,982.64,12.00,0.00,60,23.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,29.0,09-06-2019,16:00:00,28.37,1004.71,1.70,230,14.8,961.86,14.00,0.00,71,23.2
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,31.0,09-06-2019,16:00:00,29.48,1003.89,1.00,250,5.6,983.67,10.00,0.00,66,23.8
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,30.6,09-06-2019,16:00:00,33.85,1005.57,0.00,260,14.8,985.03,10.00,0.00,77,26.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,30.1,09-06-2019,16:00:00,30.22,1005.73,3.20,160,11.1,1005.30,10.00,0.60,71,24.2
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,30.0,09-06-2019,16:00:00,34.34,1005.03,62.90,000,0.0,1003.63,8.00,0.00,81,26.4
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,30.0,09-06-2019,16:00:00,32.59,1005.10,31.30,000,0.0,1000.22,8.00,0.00,77,25.5
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,32.5,09-06-2019,16:00:00,26.86,1005.34,0.10,240,5.6,1002.12,12.00,0.00,55,22.3
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,32.5,09-06-2019,16:00:00,28.53,1004.91,0.01,280,11.1,1003.82,10.00,0.00,58,23.3
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,32.0,09-06-2019,16:00:00,30.08,1005.34,9.00,200,11.1,1005.05,10.00,0.00,63,24.1
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,31.0,09-06-2019,16:00:00,32.34,1005.76,6.20,230,7.4,1005.08,10.00,0.00,72,25.4
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.5,09-06-2019,16:00:00,30.49,1005.07,5.00,150,3.7,1004.59,10.00,0.00,66,24.4
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,32.6,09-06-2019,16:00:00,28.73,1005.23,1.20,250,18.5,1003.85,10.00,0.00,58,23.4
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,30.5,09-06-2019,16:00:00,31.31,1005.45,13.50,210,18.5,1003.79,10.00,0.00,72,24.8
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,30.0,09-06-2019,16:00:00,30.31,1007.10,32.90,180,7.4,999.17,10.00,0.00,71,24.3
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,31.3,09-06-2019,16:00:00,29.80,1005.27,41.80,290,3.7,1004.99,10.00,0.00,65,24.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,30.3,09-06-2019,16:00:00,28.94,1005.90,15.60,250,5.6,1002.81,10.00,0.00,67,23.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,30.5,09-06-2019,16:00:00,27.95,1006.28,1.70,250,7.4,999.43,10.00,0.00,64,22.9
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,30.3,09-06-2019,16:00:00,31.76,1005.30,43.00,260,13.0,999.77,10.00,0.00,74,25.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,29.8,09-06-2019,16:00:00,27.71,1007.01,5.20,230,22.2,997.79,12.00,0.00,66,22.8
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,32.2,09-06-2019,16:00:00,27.38,1006.86,1.60,270,7.4,1005.62,14.00,0.00,57,22.6
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,32.5,09-06-2019,16:00:00,25.49,1005.52,0.10,270,14.8,1005.10,11.00,0.00,52,21.4
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,30.1,09-06-2019,16:00:00,27.47,1006.63,0.01,000,0.0,994.50,8.00,0.00,64,22.6
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,32.2,09-06-2019,16:00:00,27.11,1006.21,0.00,170,7.4,1005.51,10.00,0.00,56,22.4
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,31.6,09-06-2019,16:00:00,27.60,1006.74,0.00,230,14.8,1004.34,9.00,0.00,59,22.7
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.1,09-06-2019,16:00:00,29.65,1006.36,0.60,220,14.8,1005.84,12.00,0.00,74,23.9
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,30.5,09-06-2019,16:00:00,27.68,1005.85,0.40,210,9.3,1000.76,15.00,0.00,63,22.8
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,29.6,09-06-2019,16:00:00,27.88,1006.41,27.10,000,0.0,1006.00,9.00,0.00,67,22.9
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,29.5,09-06-2019,16:00:00,30.72,1006.90,16.10,000,0.0,1004.16,8.00,0.00,75,24.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.9,09-06-2019,16:00:00,27.36,1006.24,0.50,300,3.7,1005.46,10.00,0.00,65,22.6
48501,TRAD,ตราด,ตราด,11.76667,102.88333,29.3,09-06-2019,16:00:00,33.74,1006.59,0.50,300,7.4,1006.14,7.00,0.00,83,26.1
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,31.0,09-06-2019,16:00:00,29.48,1006.79,0.00,300,5.6,1006.12,8.00,0.00,66,23.8
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,30.6,09-06-2019,16:00:00,32.09,1006.78,0.20,270,3.7,1005.27,7.00,0.00,73,25.2
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,29.8,09-06-2019,16:00:00,31.89,1007.92,0.00,240,5.6,1007.01,10.00,0.00,76,25.1
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,33.8,09-06-2019,16:00:00,28.31,1006.83,0.00,270,13.0,1006.16,10.00,0.00,54,23.1
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,32.0,09-06-2019,16:00:00,30.08,1007.40,0.00,300,3.7,1006.62,10.00,0.00,63,24.1
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,30.6,09-06-2019,16:00:00,30.38,1006.15,0.00,090,5.6,1005.52,10.00,0.00,69,24.3
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,32.6,09-06-2019,16:00:00,33.09,1006.42,0.00,070,11.1,1006.02,10.00,0.00,67,25.7
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,32.6,09-06-2019,16:00:00,31.02,1008.63,2.20,240,3.7,1004.50,6.00,0.00,63,24.7
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,33.0,09-06-2019,16:00:00,25.08,1006.87,0.00,000,0.0,1005.29,10.00,0.00,50,21.1
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,30.0,09-06-2019,16:00:00,28.91,1007.96,0.00,000,0.0,1004.52,10.00,0.00,68,23.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,33.5,09-06-2019,16:00:00,29.70,1006.16,0.00,120,5.6,1004.84,10.00,0.00,57,23.9
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,30.3,09-06-2019,16:00:00,33.80,1007.53,0.00,270,11.1,1006.65,10.00,0.00,78,26.1
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,31.7,09-06-2019,16:00:00,28.35,1006.90,0.00,000,0.0,1003.39,10.00,0.00,61,23.2
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,32.0,09-06-2019,16:00:00,30.94,1007.22,0.00,000,0.0,1006.79,10.00,0.00,65,24.6
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,31.3,09-06-2019,16:00:00,32.39,1007.17,0.00,310,13.0,1006.19,10.00,0.00,71,25.4
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,31.1,09-06-2019,16:00:00,32.26,1007.23,0.00,210,5.6,1006.42,10.00,0.00,71,25.3
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,34.2,09-06-2019,16:00:00,27.70,1006.52,0.00,230,13.0,1004.76,10.00,0.00,51,22.8
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,31.7,09-06-2019,16:00:00,31.47,1006.43,0.00,050,7.4,1005.69,10.00,0.00,67,24.9
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,33.1,09-06-2019,16:00:00,28.88,1006.66,0.00,240,11.1,1002.74,10.00,0.00,57,23.5
48570,SATUN,สตูล,สตูล,6.65000,100.08333,32.7,09-06-2019,16:00:00,29.79,1006.73,0.00,000,0.0,1006.06,10.00,0.00,60,24.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,33.2,09-06-2019,16:00:00,27.67,1006.90,0.00,230,13.0,1005.81,12.00,0.00,54,22.8
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,34.5,09-06-2019,16:00:00,30.34,1006.86,0.00,230,11.1,1004.01,12.00,0.00,55,24.3
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,31.7,09-06-2019,16:00:00,33.83,1005.98,0.00,360,5.6,1005.30,10.00,0.00,72,26.1
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,31.5,09-06-2019,16:00:00,31.35,1006.77,0.00,000,0.0,1002.71,7.00,0.00,68,24.8
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,31.5,09-06-2019,16:00:00,29.63,1006.77,0.00,040,13.0,1006.19,10.00,0.00,64,23.9
