WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,StationPressure,VaporPressure,WindSpeed,Rainfall,AirTemperature,DewPoint,WindDirection,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,5.00,08-31-2019,04:00:00,985.81,27.92,0.0,39.80,23.5,22.9,000,96,71.70,1003.34
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,7.00,08-31-2019,04:00:00,971.59,28.01,9.3,3.60,24.0,23.0,180,94,30.60,997.35
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,08-31-2019,04:00:00,994.31,31.33,9.3,0.00,25.4,24.8,260,97,33.80,1000.08
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,8.00,08-31-2019,04:00:00,991.74,31.66,0.0,0.00,25.0,25.0,000,100,41.90,997.91
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10.00,08-31-2019,04:00:00,983.85,29.41,0.0,0.00,24.5,23.8,000,96,106.40,1000.31
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,6.00,08-31-2019,04:00:00,977.38,28.53,9.3,16.70,24.0,23.3,210,96,39.00,999.76
48376,TAK,ตาก,ตาก,16.87833,99.14333,6.00,08-31-2019,04:00:00,986.53,27.26,0.0,6.50,24.3,22.5,000,90,45.90,1000.96
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,7.00,08-31-2019,04:00:00,984.00,29.93,0.0,21.80,24.5,24.1,000,97,89.40,1000.41
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,08-31-2019,04:00:00,994.94,31.41,3.7,4.90,25.3,24.9,240,97,51.50,1000.16
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,5.00,08-31-2019,04:00:00,985.31,30.12,0.0,25.30,24.6,24.2,000,97,70.30,998.50
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,5.00,08-31-2019,04:00:00,991.04,30.02,5.6,14.50,24.4,24.1,330,98,77.40,1000.38
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,3.00,08-31-2019,04:00:00,978.84,27.90,7.4,18.60,22.9,22.9,180,100,51.40,1000.68
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,4.00,08-31-2019,04:00:00,983.32,28.07,0.0,63.30,23.0,23.0,000,100,213.20,1000.94
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,08-31-2019,04:00:00,986.12,27.25,0.0,7.80,24.0,22.5,000,91,159.40,1002.03
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,5.00,08-31-2019,04:00:00,980.59,27.65,3.7,33.40,22.9,22.7,210,99,88.50,999.59
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,5.00,08-31-2019,04:00:00,951.34,26.09,0.0,3.10,23.0,21.8,000,93,11.20,1002.80
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,4.00,08-31-2019,04:00:00,996.24,30.56,13.0,9.40,24.7,24.4,200,98,102.00,1000.20
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1.50,08-31-2019,04:00:00,905.95,23.57,7.4,14.70,20.3,20.1,210,99,65.50,1000.82
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,5.00,08-31-2019,04:00:00,984.61,29.84,5.6,0.40,24.3,24.0,150,98,120.60,1000.63
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,5.00,08-31-2019,04:00:00,996.54,30.77,3.7,2.20,25.1,24.5,180,97,51.10,1000.58
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,3.00,08-31-2019,04:00:00,991.02,29.49,0.0,7.70,24.4,23.8,000,97,51.50,1001.73
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1.00,08-31-2019,04:00:00,998.99,29.95,5.6,1.40,24.8,24.1,130,96,15.00,1000.92
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,5.00,08-31-2019,04:00:00,979.87,29.13,9.3,21.80,24.2,23.6,180,97,83.90,1000.79
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,08-31-2019,04:00:00,983.36,29.00,14.8,0.00,25.0,23.5,220,92,291.90,1001.03
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,08-31-2019,04:00:00,984.68,30.32,11.1,1.00,25.0,24.3,200,96,266.80,1000.85
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,08-31-2019,04:00:00,989.15,29.52,5.6,0.00,25.0,23.8,160,93,17.40,1003.23
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,6.00,08-31-2019,04:00:00,988.90,29.00,0.0,0.00,25.0,23.5,000,92,13.80,1003.78
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,3.00,08-31-2019,04:00:00,988.77,30.32,7.4,0.01,25.0,24.3,160,96,19.70,1003.49
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,5.00,08-31-2019,04:00:00,997.72,31.33,0.0,1.00,25.4,24.8,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",97,28.20,1000.74
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,6.00,08-31-2019,04:00:00,992.51,29.41,9.3,7.40,24.5,23.8,140,96,47.80,1000.47
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,6.00,08-31-2019,04:00:00,1000.64,30.57,5.6,1.20,26.0,24.4,220,91,3.70,1001.75
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,5.00,08-31-2019,04:00:00,987.68,28.27,0.0,0.00,24.0,23.1,000,95,118.50,1002.44
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,.05,08-31-2019,04:00:00,868.42,22.42,11.1,6.60,19.5,19.3,260,99,44.20,1002.84
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,5.00,08-31-2019,04:00:00,995.68,30.38,3.7,10.40,24.6,24.3,190,98,60.00,1001.57
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,08-31-2019,04:00:00,1001.00,30.13,5.6,0.01,26.2,24.2,210,89,1.50,1001.80
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,08-31-2019,04:00:00,1000.94,28.86,11.1,0.00,28.4,23.5,230,75,0.70,1001.38
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,4.00,08-31-2019,04:00:00,991.54,30.32,0.0,0.20,25.0,24.3,000,96,0.20,1002.87
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10.00,08-31-2019,04:00:00,1000.34,29.43,3.7,0.00,26.4,23.8,210,86,0.40,1001.35
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,6.00,08-31-2019,04:00:00,999.79,31.63,0.0,2.00,25.7,25.0,000,96,6.50,1001.61
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,5.00,08-31-2019,04:00:00,997.92,29.08,0.0,0.00,26.5,23.6,000,84,0.20,998.68
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,08-31-2019,04:00:00,1001.21,29.04,5.6,0.00,27.2,23.6,190,81,0.60,1001.91
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,08-31-2019,04:00:00,1000.92,31.82,0.0,0.40,26.8,25.1,000,90,6.30,1001.62
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,7.00,08-31-2019,04:00:00,980.29,29.93,0.0,0.10,24.5,24.1,000,97,59.00,1001.50
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,5.00,08-31-2019,04:00:00,985.61,29.93,0.0,0.60,24.5,24.1,000,97,33.40,1002.38
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,5.00,08-31-2019,04:00:00,986.38,30.56,7.4,0.30,24.7,24.4,180,98,40.20,1002.87
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,5.00,08-31-2019,04:00:00,979.90,30.03,0.0,0.50,24.7,24.1,000,97,52.30,1001.80
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,8.00,08-31-2019,04:00:00,958.66,27.50,14.8,0.80,23.7,22.7,230,94,12.60,1002.15
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,8.00,08-31-2019,04:00:00,981.18,30.38,5.6,1.40,24.6,24.3,210,98,42.60,1001.79
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,4.00,08-31-2019,04:00:00,982.26,30.73,20.4,0.60,24.5,24.5,190,100,85.00,1003.17
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,08-31-2019,04:00:00,1001.00,28.43,5.6,0.00,27.3,23.2,260,78,0.01,1001.43
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,6.00,08-31-2019,04:00:00,999.67,31.79,0.0,0.00,25.5,25.1,000,97,10.90,1001.09
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,6.00,08-31-2019,04:00:00,997.50,30.23,0.0,0.00,25.1,24.2,000,95,7.30,1002.44
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10.00,08-31-2019,04:00:00,998.20,29.62,0.0,0.20,26.5,23.9,000,86,0.20,1001.48
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,5.00,08-31-2019,04:00:00,1000.39,30.84,0.0,0.01,26.0,24.6,000,92,0.60,1001.49
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,8.00,08-31-2019,04:00:00,1001.32,30.45,3.7,0.01,27.8,24.3,200,82,1.00,1001.62
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,08-31-2019,04:00:00,1000.91,28.88,0.0,0.00,26.1,23.5,000,85,1.40,1001.40
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,08-31-2019,04:00:00,1000.42,29.60,5.6,0.01,26.2,23.9,240,87,1.40,1001.83
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,08-31-2019,04:00:00,996.32,29.03,7.4,0.00,25.6,23.5,230,88,3.90,1004.34
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,08-31-2019,04:00:00,1001.32,29.52,0.0,0.00,27.6,23.8,000,80,0.20,1001.60
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,08-31-2019,04:00:00,998.96,30.40,5.6,0.00,28.2,24.3,120,80,0.01,1002.06
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,08-31-2019,04:00:00,995.28,28.61,5.6,0.00,27.4,23.3,210,78,0.00,1002.17
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10.00,08-31-2019,04:00:00,997.57,31.00,0.0,0.00,25.8,24.6,000,93,1.60,1003.17
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10.00,08-31-2019,04:00:00,1001.27,30.44,0.0,0.01,25.5,24.3,000,93,0.01,1002.53
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,08-31-2019,04:00:00,1001.31,28.53,5.6,0.01,27.5,23.3,240,78,0.01,1001.74
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10.00,08-31-2019,04:00:00,989.84,27.13,3.7,0.60,25.7,22.4,210,82,0.60,1002.09
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,08-31-2019,04:00:00,1001.63,29.08,3.7,0.00,26.5,23.6,210,84,0.00,1002.34
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,08-31-2019,04:00:00,1000.39,28.92,14.8,0.01,28.0,23.5,230,77,0.01,1002.81
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10.00,08-31-2019,04:00:00,1002.43,30.56,25.9,0.01,28.0,24.4,260,81,0.01,1002.94
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,8.00,08-31-2019,04:00:00,997.99,28.53,5.6,0.01,27.5,23.3,230,78,0.10,1003.12
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.00,08-31-2019,04:00:00,1003.11,30.59,0.0,0.20,27.3,24.4,000,84,3.50,1003.52
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,08-31-2019,04:00:00,1000.88,31.22,7.4,1.80,26.2,24.8,220,92,2.90,1003.64
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,08-31-2019,04:00:00,1003.50,29.08,3.7,0.00,26.5,23.6,280,84,16.70,1004.29
48501,TRAD,ตราด,ตราด,11.76667,102.88333,6.00,08-31-2019,04:00:00,1004.06,32.77,5.6,0.00,27.0,25.6,250,92,13.80,1004.52
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.00,08-31-2019,04:00:00,1004.28,28.29,0.0,1.10,24.6,23.1,000,92,49.10,1004.96
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,8.00,08-31-2019,04:00:00,1003.43,27.45,5.6,1.60,25.0,22.6,300,87,40.00,1004.96
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,08-31-2019,04:00:00,1005.60,28.89,3.7,13.70,24.5,23.5,210,94,78.40,1006.52
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,08-31-2019,04:00:00,1004.47,27.65,7.4,0.00,27.6,22.7,260,75,1.50,1005.15
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,7.00,08-31-2019,04:00:00,1005.41,29.11,0.0,0.00,23.6,23.6,000,100,11.90,1006.21
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,08-31-2019,04:00:00,1004.36,28.67,5.6,0.00,25.4,23.3,090,88,5.40,1005.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,8.00,08-31-2019,04:00:00,1005.45,28.81,0.0,0.00,24.6,23.4,000,93,4.00,1005.86
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,6.00,08-31-2019,04:00:00,1002.89,27.11,0.0,0.00,27.3,22.4,000,75,1.20,1007.09
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10.00,08-31-2019,04:00:00,1004.69,27.91,0.0,0.00,23.2,22.9,000,98,14.30,1006.32
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10.00,08-31-2019,04:00:00,1003.74,27.66,0.0,0.00,23.5,22.8,000,96,14.80,1007.25
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,7.00,08-31-2019,04:00:00,1004.68,28.95,0.0,0.00,23.8,23.5,000,98,21.00,1006.05
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,08-31-2019,04:00:00,1005.28,29.19,14.8,0.00,28.0,23.6,240,77,56.80,1006.16
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,08-31-2019,04:00:00,1002.91,27.83,0.0,0.00,23.3,22.8,000,97,38.20,1006.51
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,08-31-2019,04:00:00,1006.30,29.41,0.0,0.00,24.5,23.8,000,96,35.60,1006.74
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,9.00,08-31-2019,04:00:00,1005.00,32.23,0.0,0.00,28.0,25.3,000,85,67.80,1005.99
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,08-31-2019,04:00:00,1005.09,29.80,9.3,0.00,25.3,24.0,270,92,45.40,1005.91
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,8.00,08-31-2019,04:00:00,1004.50,27.32,0.0,0.00,23.0,22.5,000,97,43.00,1006.34
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,08-31-2019,04:00:00,1005.56,28.20,1.9,0.00,24.4,23.1,200,92,16.80,1006.32
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,6.00,08-31-2019,04:00:00,1002.67,27.15,0.0,0.00,22.6,22.4,000,99,11.00,1006.72
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,08-31-2019,04:00:00,1007.17,28.18,0.0,0.00,23.8,23.1,000,96,20.50,1007.86
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,08-31-2019,04:00:00,1005.26,29.13,0.0,0.00,24.2,23.6,000,97,4.00,1006.39
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,08-31-2019,04:00:00,1003.88,28.25,0.0,0.00,23.4,23.1,000,98,27.60,1006.83
