WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,VaporPressure,StationPressure,WindSpeed,WindDirection,LandVisibility,Rainfall,AirTemperature,Rainfall24Hr,DewPoint
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1007.64,07-29-2019,10:00:00,60,27.99,990.41,9.3,220,12.00,0.00,31.8,1.50,22.9
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1006.36,07-29-2019,10:00:00,76,29.60,990.62,5.6,220,12.00,0.00,28.5,0.00,23.9
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1006.25,07-29-2019,10:00:00,64,32.25,987.75,5.6,200,10.00,0.00,32.9,0.00,25.3
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1009.74,07-29-2019,10:00:00,83,26.52,958.30,0.0,000,10.00,0.00,25.2,0.00,22.1
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1008.21,07-29-2019,10:00:00,64,29.63,1004.31,0.0,000,12.00,0.00,31.5,0.00,23.9
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1009.94,07-29-2019,10:00:00,90,23.80,914.72,9.3,200,7.00,0.01,22.0,0.01,20.3
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1007.45,07-29-2019,10:00:00,72,31.93,991.66,5.6,260,8.00,0.00,30.8,0.00,25.1
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1008.88,07-29-2019,10:00:00,72,32.68,1004.90,3.7,040,12.00,0.00,31.3,1.70,25.5
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1009.65,07-29-2019,10:00:00,61,28.23,999.10,3.7,320,10.00,0.00,31.5,0.00,23.1
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1009.08,07-29-2019,10:00:00,50,25.08,1007.18,0.0,000,12.00,0.00,33.0,0.20,21.1
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1007.65,07-29-2019,10:00:00,50,25.46,987.19,9.3,250,12.00,0.00,33.2,0.00,21.4
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1007.37,07-29-2019,10:00:00,69,30.18,989.90,13.0,250,10.00,0.00,30.5,0.00,24.2
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1007.38,07-29-2019,10:00:00,69,31.19,991.43,14.8,270,10.00,0.00,31.0,0.00,24.7
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1008.93,07-29-2019,10:00:00,72,28.54,994.95,5.6,240,10.00,0.00,28.8,1.20,23.3
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1009.81,07-29-2019,10:00:00,75,29.33,995.02,3.7,170,10.00,0.00,28.5,1.60,23.7
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1008.70,07-29-2019,10:00:00,81,32.26,994.10,7.4,240,8.00,0.00,29.0,0.00,25.3
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1008.19,07-29-2019,10:00:00,61,28.74,1005.21,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,0.00,31.9,8.90,23.4
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1009.20,07-29-2019,10:00:00,74,31.76,1001.32,5.6,160,10.00,0.10,30.3,0.10,25.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1009.00,07-29-2019,10:00:00,60,28.86,1007.91,5.6,230,10.00,0.00,32.1,0.00,23.4
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1005.63,07-29-2019,10:00:00,87,33.20,991.02,0.0,000,9.00,0.00,28.2,0.00,25.8
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1009.52,07-29-2019,10:00:00,90,24.26,875.37,7.4,290,7.00,0.00,22.3,34.00,20.6
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1009.47,07-29-2019,10:00:00,66,28.78,1003.64,0.0,000,10.00,0.00,30.5,0.00,23.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1009.51,07-29-2019,10:00:00,53,26.45,1008.72,14.8,240,10.00,0.00,33.0,0.00,22.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1009.57,07-29-2019,10:00:00,61,28.15,1009.13,14.8,240,10.00,0.00,31.6,0.00,23.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1011.68,07-29-2019,10:00:00,84,30.02,1000.32,0.0,000,6.00,0.20,27.0,0.40,24.1
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1009.33,07-29-2019,10:00:00,55,27.84,1008.34,7.4,210,12.00,0.00,33.0,0.00,22.9
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1009.15,07-29-2019,10:00:00,53,27.31,1007.36,7.4,250,10.00,0.00,33.3,0.01,22.5
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1009.31,07-29-2019,10:00:00,55,27.13,1008.56,3.7,270,9.00,0.00,32.5,0.00,22.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1009.47,07-29-2019,10:00:00,57,27.46,1008.78,14.8,240,10.00,0.00,32.1,0.00,22.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1009.38,07-29-2019,10:00:00,68,29.81,1008.68,5.6,270,12.00,0.00,30.6,17.00,24.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1008.30,07-29-2019,10:00:00,54,27.59,987.55,7.4,260,12.00,0.00,33.3,0.00,22.7
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1008.60,07-29-2019,10:00:00,81,32.26,991.97,5.6,230,9.00,0.00,29.0,11.40,25.3
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1009.20,07-29-2019,10:00:00,79,32.10,992.86,5.6,230,14.00,0.00,29.2,23.30,25.2
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1008.25,07-29-2019,10:00:00,54,25.91,986.72,0.0,000,10.00,0.00,32.0,0.00,21.7
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1009.28,07-29-2019,10:00:00,62,24.68,966.22,14.8,230,15.00,0.00,29.0,0.00,20.9
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1008.66,07-29-2019,10:00:00,63,28.09,988.33,13.0,210,10.00,0.00,31.0,0.01,23.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1010.19,07-29-2019,10:00:00,79,33.33,989.50,14.8,230,9.00,0.00,29.8,23.20,25.9
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1010.17,07-29-2019,10:00:00,61,27.74,1009.75,3.7,280,10.00,0.00,31.1,0.01,22.8
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1009.59,07-29-2019,10:00:00,83,33.74,1008.18,0.0,000,10.00,0.00,29.3,12.00,26.1
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1009.71,07-29-2019,10:00:00,71,32.05,1004.83,3.7,280,8.00,0.00,31.0,0.00,25.2
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1009.72,07-29-2019,10:00:00,58,27.43,1006.47,18.5,280,12.00,0.00,31.8,0.00,22.6
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1009.60,07-29-2019,10:00:00,63,29.07,1008.51,3.7,270,10.00,0.00,31.5,0.00,23.6
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1009.90,07-29-2019,10:00:00,60,28.66,1009.61,9.3,200,10.00,0.00,32.0,0.00,23.3
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1009.10,07-29-2019,10:00:00,63,28.09,1008.42,5.6,230,10.00,0.00,31.0,0.00,23.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1009.80,07-29-2019,10:00:00,61,27.93,1009.32,7.4,120,10.00,0.00,31.2,0.00,22.9
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1009.82,07-29-2019,10:00:00,60,27.68,1008.43,20.4,250,10.00,0.00,31.5,0.00,22.8
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1009.94,07-29-2019,10:00:00,73,30.47,1008.27,9.3,220,12.00,0.00,29.8,0.00,24.4
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1011.49,07-29-2019,10:00:00,67,29.65,1003.55,3.7,180,10.00,0.00,30.8,0.00,23.9
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1009.73,07-29-2019,10:00:00,67,31.06,1009.45,11.1,270,12.00,0.00,31.5,0.00,24.7
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1009.61,07-29-2019,10:00:00,63,29.07,1006.52,5.6,240,12.00,0.00,31.5,0.00,23.6
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1009.78,07-29-2019,10:00:00,66,28.39,1002.90,7.4,260,12.00,0.00,30.3,0.00,23.2
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1009.89,07-29-2019,10:00:00,65,29.52,1004.35,3.7,320,7.00,0.00,31.3,0.00,23.8
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1010.63,07-29-2019,10:00:00,61,29.66,1001.45,9.3,230,12.00,0.00,32.5,0.00,23.9
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1010.20,07-29-2019,10:00:00,63,28.96,1008.95,0.0,000,15.00,0.00,31.3,1.90,23.5
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1009.59,07-29-2019,10:00:00,54,24.89,1009.17,14.8,200,11.00,0.00,31.6,0.00,21.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1010.20,07-29-2019,10:00:00,51,26.31,998.17,7.4,270,10.00,0.00,33.5,0.00,21.9
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1009.87,07-29-2019,10:00:00,55,26.28,1009.17,11.1,260,10.00,0.00,32.2,0.00,21.9
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1009.93,07-29-2019,10:00:00,53,28.43,1007.54,14.8,220,10.00,0.00,34.0,0.00,23.2
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1010.11,07-29-2019,10:00:00,72,31.31,1009.60,11.1,280,10.00,0.00,30.5,7.50,24.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1009.61,07-29-2019,10:00:00,56,29.25,1004.56,3.7,120,12.00,0.00,33.7,0.00,23.7
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1010.63,07-29-2019,10:00:00,84,33.28,1010.22,7.4,180,8.00,0.01,28.8,9.90,25.8
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1010.82,07-29-2019,10:00:00,85,31.95,1008.05,3.7,100,8.00,2.40,28.0,11.60,25.1
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.55,07-29-2019,10:00:00,63,28.48,1008.77,16.7,300,10.00,0.00,31.2,0.00,23.2
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1011.02,07-29-2019,10:00:00,92,31.22,1010.55,3.7,350,7.00,2.20,26.2,34.00,24.8
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1011.02,07-29-2019,10:00:00,72,31.31,1010.34,3.7,270,8.00,0.00,30.5,0.00,24.8
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1010.64,07-29-2019,10:00:00,68,29.89,1009.13,7.4,270,10.00,0.00,30.5,0.00,24.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1011.84,07-29-2019,10:00:00,73,31.48,1010.93,7.4,200,10.00,0.20,30.3,17.80,24.9
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.71,07-29-2019,10:00:00,65,28.81,1010.03,13.0,270,10.00,0.00,30.8,1.20,23.4
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1011.46,07-29-2019,10:00:00,67,31.27,1010.67,7.4,250,10.00,0.00,31.6,0.10,24.8
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.43,07-29-2019,10:00:00,62,30.32,1009.80,5.6,100,12.00,0.00,32.4,0.00,24.3
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.78,07-29-2019,10:00:00,61,32.02,1010.38,14.8,210,12.00,0.00,33.9,0.00,25.2
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1013.02,07-29-2019,10:00:00,70,30.06,1008.83,9.3,230,7.00,0.00,30.3,0.00,24.1
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1010.98,07-29-2019,10:00:00,75,30.01,1009.38,0.0,000,10.00,0.00,29.0,4.20,24.1
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1011.25,07-29-2019,10:00:00,71,30.31,1007.79,5.6,220,12.00,0.00,30.0,12.00,24.3
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1011.11,07-29-2019,10:00:00,65,29.40,1009.77,3.7,220,10.00,0.00,31.1,0.00,23.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1011.34,07-29-2019,10:00:00,67,29.06,1010.46,9.3,270,10.00,0.00,30.5,0.00,23.6
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1011.75,07-29-2019,10:00:00,73,31.07,1008.21,7.4,280,10.00,0.00,30.1,7.10,24.7
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1011.36,07-29-2019,10:00:00,62,28.51,1010.93,7.4,270,10.00,0.00,31.5,0.00,23.2
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.92,07-29-2019,10:00:00,65,30.00,1009.94,13.0,270,10.00,0.00,31.4,0.01,24.1
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1011.80,07-29-2019,10:00:00,68,29.50,1010.99,13.0,260,10.00,0.00,30.3,0.00,23.8
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1011.62,07-29-2019,10:00:00,67,29.73,1009.82,9.3,240,10.00,0.00,30.7,0.00,23.9
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1011.49,07-29-2019,10:00:00,64,28.45,1010.74,7.4,230,11.00,0.00,30.9,0.00,23.2
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1011.92,07-29-2019,10:00:00,64,28.73,1007.96,14.8,240,10.00,0.00,30.9,0.00,23.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1011.75,07-29-2019,10:00:00,65,28.81,1011.07,0.0,000,10.00,0.00,30.8,0.00,23.4
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1011.46,07-29-2019,10:00:00,71,30.62,1010.35,0.0,000,10.00,0.00,30.3,0.00,24.4
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1011.83,07-29-2019,10:00:00,66,29.88,1008.93,18.5,260,11.00,0.00,31.2,0.00,24.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1010.75,07-29-2019,10:00:00,68,30.01,1010.07,5.6,230,12.00,0.00,30.7,0.00,24.1
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1011.82,07-29-2019,10:00:00,69,32.35,1007.74,0.0,000,8.00,0.00,31.7,0.00,25.4
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1011.43,07-29-2019,10:00:00,78,30.15,1010.85,5.6,250,10.00,0.00,28.5,0.00,24.2
