WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,VaporPressure,RelativeHumidity,Rainfall,DewPoint,MeanSeaLevelPressure,WindDirection,LandVisibility,AirTemperature,Rainfall24Hr,StationPressure,WindSpeed
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,08-29-2019,13:00:00,31.76,71,0.00,25.0,1004.53,230,10.00,31.0,11.90,1004.09,20.4
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,08-29-2019,13:00:00,30.54,70,0.00,24.4,1006.16,010,8.00,30.4,15.80,995.00,9.3
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,08-29-2019,13:00:00,30.94,63,0.00,24.6,1004.73,320,12.00,32.7,2.10,1003.74,3.7
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,08-29-2019,13:00:00,32.01,79,0.00,25.2,1005.17,050,8.00,29.3,2.40,1003.37,3.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,08-29-2019,13:00:00,26.31,51,0.00,21.9,1004.39,000,9.00,33.5,0.70,1003.64,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,08-29-2019,13:00:00,27.52,59,0.00,22.7,1004.76,310,10.00,31.7,0.00,1004.07,20.4
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,08-29-2019,13:00:00,31.72,72,0.00,25.0,1004.61,270,7.00,30.7,33.00,1003.91,5.6
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,08-29-2019,13:00:00,31.67,84,0.01,25.0,1005.02,300,10.00,28.0,6.00,983.98,5.6
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,08-29-2019,13:00:00,33.58,92,1.10,26.0,1004.42,320,7.00,27.4,14.60,987.77,3.7
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,08-29-2019,13:00:00,32.61,90,1.50,25.5,1005.14,000,5.00,27.2,13.30,988.75,0.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,08-29-2019,13:00:00,31.65,77,0.01,25.0,1004.46,300,10.00,29.4,3.60,982.84,11.1
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,08-29-2019,13:00:00,29.72,85,0.00,23.9,1005.33,230,8.00,26.7,11.50,962.12,7.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,08-29-2019,13:00:00,31.95,85,0.60,25.1,1004.33,330,2.00,28.0,40.40,983.89,3.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,08-29-2019,13:00:00,33.40,100,1.40,25.9,1006.29,340,6.00,25.9,16.60,985.41,3.7
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,08-29-2019,13:00:00,29.39,63,0.00,23.8,1009.74,240,10.00,31.8,13.50,1009.31,5.6
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,08-29-2019,13:00:00,32.42,79,0.00,25.4,1004.81,000,8.00,29.5,13.10,1003.41,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,08-29-2019,13:00:00,33.04,82,0.00,25.7,1004.45,000,8.00,29.1,6.50,999.56,0.0
