WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,LandVisibility,DewPoint,Rainfall24Hr,WindSpeed,StationPressure,VaporPressure,WindDirection,AirTemperature,RelativeHumidity
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-16-2019,04:00:00,1005.07,10.00,24.0,1.00,5.6,1004.62,29.91,230,26.8,85
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,07-16-2019,04:00:00,1006.36,4.00,23.8,7.40,0.0,994.97,29.41,000,24.5,96
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-16-2019,04:00:00,1005.09,10.00,22.7,0.00,3.7,1004.08,27.58,200,26.1,82
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,07-16-2019,04:00:00,1004.75,7.00,23.1,0.00,3.7,1002.92,28.26,150,25.9,85
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,07-16-2019,04:00:00,1005.33,3.00,22.8,0.00,0.0,1004.56,27.70,000,25.0,88
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,07-16-2019,04:00:00,1005.48,8.00,23.3,0.00,5.6,1004.77,28.59,250,25.5,88
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,07-16-2019,04:00:00,1005.00,7.00,25.3,0.60,0.0,1004.29,32.25,000,27.3,89
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-16-2019,04:00:00,1003.97,10.00,23.3,0.00,3.7,982.91,28.53,240,27.5,78
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,07-16-2019,04:00:00,1004.19,6.00,24.8,28.30,0.0,987.44,31.25,000,25.5,96
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,07-16-2019,04:00:00,1005.07,7.00,24.3,20.40,3.7,988.58,30.42,210,25.2,95
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-16-2019,04:00:00,1004.24,10.00,23.0,0.00,0.0,982.42,28.13,000,26.7,80
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-16-2019,04:00:00,1004.50,10.00,21.4,0.00,3.7,961.26,25.45,170,26.2,75
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,07-16-2019,04:00:00,1004.46,8.00,23.5,0.00,5.6,983.95,28.94,190,27.0,81
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,07-16-2019,04:00:00,1005.63,7.00,24.9,46.40,9.3,984.70,31.47,190,24.9,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,07-16-2019,04:00:00,1005.70,10.00,24.1,14.80,0.0,1005.27,29.97,000,26.4,87
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,07-16-2019,04:00:00,1005.22,6.00,24.3,0.00,0.0,1003.80,30.32,000,25.0,96
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,07-16-2019,04:00:00,1005.30,8.00,24.1,0.00,0.0,1000.35,29.99,000,25.4,92
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-16-2019,04:00:00,1005.34,12.00,22.5,0.00,0.0,1002.04,27.25,000,26.5,79
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,07-16-2019,04:00:00,1005.29,10.00,22.8,0.00,0.0,1004.18,27.70,000,25.0,88
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,07-16-2019,04:00:00,1005.29,8.00,23.4,3.80,0.0,1004.99,28.82,000,26.5,83
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-16-2019,04:00:00,1006.22,10.00,22.8,49.30,3.7,1005.73,27.82,300,27.4,76
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,07-16-2019,04:00:00,1005.50,10.00,22.7,0.01,11.1,1004.10,27.54,190,27.1,77
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,07-16-2019,04:00:00,1007.06,10.00,23.3,0.00,0.0,998.97,28.53,000,24.0,96
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,07-16-2019,04:00:00,1005.04,10.00,24.9,0.00,0.0,1004.76,31.46,000,28.6,80
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-16-2019,04:00:00,1005.16,10.00,23.7,0.00,0.0,1002.05,29.35,000,28.8,74
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-16-2019,04:00:00,1005.27,10.00,24.2,0.00,0.0,998.38,30.26,000,28.7,77
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-16-2019,04:00:00,1005.29,7.00,23.8,0.00,0.0,999.68,29.50,000,26.0,88
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,07-16-2019,04:00:00,1006.53,10.00,23.6,2.90,0.0,1005.26,29.08,000,24.9,92
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,07-16-2019,04:00:00,1005.41,11.00,22.8,0.00,3.7,1004.98,27.69,240,26.6,80
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,07-16-2019,04:00:00,1006.12,10.00,22.3,0.00,0.0,993.74,27.00,000,23.7,92
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,07-16-2019,04:00:00,1005.83,10.00,23.3,21.00,0.0,1005.11,28.55,000,26.5,83
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,07-16-2019,04:00:00,1005.83,10.00,23.1,0.00,0.0,1003.41,28.22,000,28.2,74
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,07-16-2019,04:00:00,1005.21,10.00,23.9,0.00,7.4,1004.70,29.74,280,29.0,74
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-16-2019,04:00:00,1005.33,10.00,23.6,0.00,0.0,1000.18,29.19,000,26.7,83
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,07-16-2019,04:00:00,1005.46,7.00,25.7,0.00,0.0,1005.04,33.09,000,27.3,91
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,07-16-2019,04:00:00,1005.59,8.00,24.5,0.00,0.0,1002.82,30.67,000,26.2,90
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-16-2019,04:00:00,1005.96,10.00,22.3,0.00,0.0,1005.18,26.85,000,27.3,74
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,07-16-2019,04:00:00,1005.63,7.00,25.1,78.50,3.7,1005.17,31.95,080,28.0,85
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,07-16-2019,04:00:00,1006.41,7.00,23.9,0.01,0.0,1005.73,29.74,000,25.7,90
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,07-16-2019,04:00:00,1006.67,8.00,25.0,6.60,0.0,1005.14,31.76,000,26.2,93
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,07-16-2019,04:00:00,1007.26,10.00,24.9,10.10,0.0,1006.34,31.57,000,26.1,93
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-16-2019,04:00:00,1006.89,10.00,25.3,1.60,0.0,1006.20,32.26,000,26.6,93
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,07-16-2019,04:00:00,1007.28,8.00,24.3,0.00,0.0,1006.48,30.32,000,25.0,96
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,07-16-2019,04:00:00,1006.45,10.00,24.1,0.00,0.0,1005.81,29.97,000,25.1,94
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,07-16-2019,04:00:00,1006.99,10.00,23.7,0.00,0.0,1006.58,29.26,000,25.0,92
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-16-2019,04:00:00,1008.94,5.00,23.5,0.00,0.0,1004.69,28.88,000,24.2,96
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,07-16-2019,04:00:00,1006.21,6.00,23.3,5.60,0.0,1004.58,28.53,000,24.0,96
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,07-16-2019,04:00:00,1007.81,6.00,23.7,10.50,0.0,1004.30,29.30,000,24.0,98
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,07-16-2019,04:00:00,1006.80,8.00,23.9,0.00,0.0,1005.44,29.74,000,25.7,90
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.20,07-16-2019,04:00:00,1007.17,10.00,25.3,5.40,0.0,1006.28,32.20,000,26.0,96
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,07-16-2019,04:00:00,1007.11,10.00,23.7,0.00,0.0,1003.52,29.26,000,25.0,92
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,07-16-2019,04:00:00,1008.23,10.00,24.6,0.60,0.0,1007.79,30.97,000,27.5,84
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,07-16-2019,04:00:00,1006.83,10.00,25.0,0.60,13.0,1005.85,31.72,280,30.0,75
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,07-16-2019,04:00:00,1007.12,10.00,23.3,0.00,11.1,1006.30,28.55,260,26.5,83
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,07-16-2019,04:00:00,1007.05,10.00,24.3,0.00,0.0,1005.23,30.42,000,25.2,95
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,07-16-2019,04:00:00,1006.86,10.00,23.9,0.00,3.7,1006.10,29.72,250,26.7,85
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,07-16-2019,04:00:00,1007.40,10.00,24.1,0.00,0.0,1003.37,29.95,000,24.8,96
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,07-16-2019,04:00:00,1006.77,10.00,23.7,0.00,0.0,1006.08,29.38,000,25.5,90
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,07-16-2019,04:00:00,1007.13,10.00,24.4,0.00,0.0,1006.01,30.48,000,24.8,97
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,07-16-2019,04:00:00,1007.54,10.00,24.1,0.00,0.0,1004.60,30.05,000,25.0,95
